player,team,matches,shots,xg,goals,goals_minus_xg
Maximilian Beier,Hoffenheim,2,6,0.56,1.0,0.44
Harmanjot Singh Khabra,Kerala Blasters,6,9,0.56,1.0,0.44
Nikhil Poojary,Hyderabad,11,14,0.56,1.0,0.44
Redeem Tlang,Odisha,3,7,0.59,1.0,0.41
Randal Kolo Muani,Nantes,2,6,1.61,2.0,0.39
Deniz Undav,VfB Stuttgart,2,9,0.63,1.0,0.37
Jorge Rolando Pereyra Díaz,Kerala Blasters,14,37,7.64,8.0,0.36
Enzo Le Fée,Lorient,3,6,0.65,1.0,0.35
Jordan Murray,Jamshedpur,14,33,3.65,4.0,0.35
Pronay Halder,Jamshedpur,5,7,0.67,1.0,0.33
Warren Zaire Emery,Paris Saint-Germain,5,7,0.68,1.0,0.32
Juan Bernat Velasco,Paris Saint-Germain,7,7,0.68,1.0,0.32
Fabián Ruiz Peña,Paris Saint-Germain,13,18,1.69,2.0,0.31
Jayesh Dilip Rane,Bengaluru,6,14,0.69,1.0,0.31
Rahul Bheke,Mumbai City,8,12,1.69,2.0,0.31
Jeremie Frimpong,Bayer Leverkusen,28,56,8.72,9.0,0.28
Naorem Mahesh Singh,East Bengal,13,24,1.73,2.0,0.27
Mirlan Murzaev,Chennaiyin,13,32,1.73,2.0,0.27
Marco Sahanek,NorthEast United,6,15,0.78,1.0,0.22
Alexandre Monteiro de Lima,Jamshedpur,10,15,0.79,1.0,0.21
Marco Verratti,Paris Saint-Germain,8,9,0.82,1.0,0.18
Makan Winkle Chote,Goa,8,12,0.83,1.0,0.17
Ishan Pandita,Jamshedpur,12,22,2.89,3.0,0.11
Halicharan Narzary,Hyderabad,3,5,0.89,1.0,0.11
Folarin Balogun,Stade de Reims,1,6,0.93,1.0,0.07
Nerijus Valskis,Chennaiyin,8,15,1.94,2.0,0.06
Iman Basafa,Bengaluru,4,6,0.94,1.0,0.06
Sergio Ramos García,Paris Saint-Germain,16,26,2.94,3.0,0.06
Subhasish Bose,ATK Mohun Bagan,10,16,0.95,1.0,0.05
Anirudh Thapa,Chennaiyin,9,13,0.95,1.0,0.05
Rohit Danu,Hyderabad,9,15,1.97,2.0,0.03
Aibanbha Kupar Dohling,Goa,8,12,0.98,1.0,0.02
Rochharzela Rochharzela,NorthEast United,7,9,0.99,1.0,0.01
Ricky Lallawmawma,Jamshedpur,4,5,0.07,0.0,-0.07
Terem Igobor Moffi,Lorient,2,7,1.08,1.0,-0.08
Eli Sabia Filho,Jamshedpur,6,11,1.08,1.0,-0.08
Moirangthem Thoiba Singh,Odisha,5,5,0.08,0.0,-0.08
Ayush Adhikari,Kerala Blasters,7,10,1.09,1.0,-0.09
Lalrinliana Hnamte,East Bengal,10,14,1.09,1.0,-0.09
Keisham Reagan Singh,Chennaiyin,5,6,0.09,0.0,-0.09
Soraisham Sandeep Singh,Kerala Blasters,3,5,0.1,0.0,-0.1
Rahim Ali,Chennaiyin,10,20,2.14,2.0,-0.14
Asish Rai,Hyderabad,8,10,0.14,0.0,-0.14
Amarjit Singh Kiyam Singh,East Bengal,5,5,0.16,0.0,-0.16
Sourav Das,East Bengal,9,10,0.17,0.0,-0.17
Jerry Lalrinzuala,Chennaiyin,5,6,0.17,0.0,-0.17
Karl Brillant Toko Ekambi,Lyon,2,5,0.17,0.0,-0.17
Lenny Rodrigues,ATK Mohun Bagan,6,7,0.17,0.0,-0.17
Nerijus Valskis,Jamshedpur,5,17,2.17,2.0,-0.17
Hira Mondal,East Bengal,5,8,0.18,0.0,-0.18
Germanpreet Singh,Chennaiyin,7,13,1.18,1.0,-0.18
Przemysław Frankowski,Lens,2,6,1.19,1.0,-0.19
Laldinliana Renthlei,Jamshedpur,7,7,0.19,0.0,-0.19
Manvir Singh,ATK Mohun Bagan,18,46,6.21,6.0,-0.21
Pragyan Sundar Gogoi,NorthEast United,6,7,0.22,0.0,-0.22
Provat Lakra,NorthEast United,5,8,0.23,0.0,-0.23
Benjamin Bourigeaud,Rennes,3,5,0.26,0.0,-0.26
Fares Chaïbi,Eintracht Frankfurt,2,5,0.26,0.0,-0.26
Stephy Alvaro Mavididi,Montpellier,2,5,0.27,0.0,-0.27
Deepak Tangri,ATK Mohun Bagan,10,12,0.29,0.0,-0.29
Jessel Carneiro,Kerala Blasters,6,6,0.29,0.0,-0.29
Princeton Rebello,Goa,8,13,0.29,0.0,-0.29
