match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3813299,Hyderabad,29,17.93,4.51,4.68
3813299,Bengaluru,26,17.46,4.49,3.95
3813300,Kerala Blasters,26,18.85,4.85,4.38
3813300,Odisha,37,14.43,4.41,3.56
3813301,NorthEast United,40,14.0,4.22,3.86
3813301,Odisha,41,14.85,5.24,3.01
3813302,Jamshedpur,52,15.72,4.85,5.66
3813302,NorthEast United,40,14.7,4.75,3.25
3813303,ATK Mohun Bagan,36,18.26,4.53,5.21
3813303,Goa,32,15.17,4.82,3.41
3813304,Hyderabad,37,17.71,5.04,3.9
3813304,East Bengal,23,12.36,3.99,3.73
3813305,Hyderabad,38,17.44,4.48,4.27
3813305,Kerala Blasters,26,13.26,4.34,3.43
3813306,ATK Mohun Bagan,42,16.83,4.79,4.02
3813306,NorthEast United,49,13.3,4.08,3.35
3813307,Bengaluru,31,14.93,3.94,3.8
3813307,Jamshedpur,28,15.66,4.71,3.37
3813308,Odisha,36,20.03,4.99,5.73
3813308,Goa,45,15.78,4.7,3.65
3813309,Hyderabad,33,17.67,4.7,4.0
3813309,Chennaiyin,23,14.59,4.36,3.51
3813310,East Bengal,18,12.11,3.51,4.15
3813310,Kerala Blasters,21,13.39,4.4,3.66
3813311,Jamshedpur,31,15.5,4.7,3.97
3813311,Chennaiyin,35,13.97,4.98,3.3
3813312,ATK Mohun Bagan,31,16.7,4.59,3.86
3813312,Mumbai City,29,14.59,4.9,3.29
3813313,ATK Mohun Bagan,31,19.35,5.11,3.77
3813313,Odisha,38,14.92,4.84,3.52
3813314,ATK Mohun Bagan,23,17.76,4.19,3.97
3813314,Kerala Blasters,36,15.36,4.95,3.53
3813315,Jamshedpur,24,14.86,3.25,4.76
3813315,Goa,21,17.69,4.99,3.5
3813316,Goa,39,16.66,4.83,4.23
3813316,NorthEast United,30,15.97,4.51,3.73
3813317,East Bengal,18,14.1,4.14,8.04
3813317,Odisha,25,13.78,4.75,3.38
3813318,NorthEast United,42,12.7,4.33,3.98
3813318,Mumbai City,31,13.62,5.08,3.38
3817848,ATK Mohun Bagan,29,15.83,4.36,3.91
3817848,Goa,36,16.58,5.25,3.91
3817849,Bengaluru,38,15.93,4.42,4.21
3817849,Mumbai City,40,15.18,4.78,3.4
3817850,East Bengal,28,15.02,4.14,4.18
3817850,Jamshedpur,37,11.55,4.82,2.75
3817851,Kerala Blasters,34,15.05,4.54,3.85
3817851,Odisha,44,16.55,4.7,3.72
3817852,Mumbai City,31,16.32,4.8,3.72
3817852,Chennaiyin,31,16.14,4.68,3.26
3817853,East Bengal,22,9.7,3.39,3.17
3817853,Goa,37,14.07,4.66,2.96
3817854,ATK Mohun Bagan,29,13.36,4.07,3.58
3817854,Bengaluru,36,15.4,5.18,3.31
3817855,Kerala Blasters,36,16.03,4.57,3.43
3817855,ATK Mohun Bagan,39,13.43,4.89,2.86
3817856,ATK Mohun Bagan,43,14.81,5.17,5.17
3817856,Jamshedpur,26,13.95,4.27,3.79
3817857,Hyderabad,27,13.36,4.62,3.28
3817857,Jamshedpur,24,12.31,4.11,3.23
3817858,Kerala Blasters,24,14.11,5.34,2.9
3817858,Chennaiyin,29,13.5,4.84,2.87
3817859,Jamshedpur,34,21.17,4.89,5.78
3817859,NorthEast United,32,14.61,5.29,2.62
3817860,Hyderabad,39,21.05,4.83,4.5
3817860,Odisha,33,15.69,4.4,3.76
3817861,Kerala Blasters,32,18.69,4.45,4.33
3817861,Bengaluru,20,17.68,4.83,4.04
3817862,Mumbai City,35,14.48,4.65,4.63
3817862,Odisha,28,14.96,4.87,3.26
3817863,Hyderabad,22,14.91,4.36,3.84
3817863,Goa,46,15.46,4.64,3.58
3817864,Mumbai City,34,18.63,4.52,3.95
3817864,ATK Mohun Bagan,29,14.65,4.88,3.35
3817865,NorthEast United,29,17.35,4.85,3.72
3817865,Odisha,34,17.49,4.85,3.65
3817866,Kerala Blasters,23,16.34,4.76,3.52
3817866,Mumbai City,38,13.86,4.59,2.95
3817867,Mumbai City,31,17.39,4.91,3.51
3817867,NorthEast United,29,14.7,5.05,3.24
3817868,Chennaiyin,28,15.57,4.38,3.67
3817868,Bengaluru,38,14.83,4.71,3.23
3817869,Bengaluru,31,16.15,5.2,3.26
3817869,Hyderabad,27,13.45,4.9,3.24
3817870,Kerala Blasters,29,16.62,4.69,4.67
3817870,Goa,35,14.89,4.52,3.48
3817871,Hyderabad,28,21.62,5.19,4.19
3817871,NorthEast United,34,16.18,5.17,3.14
3817872,Bengaluru,37,18.53,4.93,4.03
3817872,Odisha,30,13.78,4.22,3.38
3817873,ATK Mohun Bagan,32,20.8,5.08,5.45
3817873,NorthEast United,46,16.68,4.95,3.97
3817874,Goa,25,13.81,4.02,3.68
3817874,Bengaluru,25,11.64,4.26,3.22
3817875,Jamshedpur,37,14.69,4.06,3.61
3817875,Goa,35,14.82,5.08,3.11
3817876,Chennaiyin,35,18.11,4.3,4.23
3817876,NorthEast United,44,16.45,5.12,3.23
3817877,NorthEast United,28,17.08,3.91,4.93
3817877,Bengaluru,32,17.67,5.15,3.72
3817878,Hyderabad,36,18.0,4.63,4.55
3817878,East Bengal,29,12.32,4.95,2.51
3817879,Chennaiyin,31,14.63,3.89,4.44
3817879,Hyderabad,32,15.52,4.66,3.29
3817880,Chennaiyin,32,17.82,5.06,3.67
3817880,Odisha,37,12.89,4.58,3.17
3817881,Jamshedpur,29,15.99,4.49,3.6
3817881,Kerala Blasters,26,12.86,4.45,3.19
3817882,East Bengal,32,16.61,5.07,3.34
3817882,Chennaiyin,30,12.08,4.98,2.48
3817883,Bengaluru,23,18.98,4.62,4.37
3817883,Jamshedpur,36,15.8,4.86,3.56
3817884,Hyderabad,35,15.77,4.46,5.98
3817884,ATK Mohun Bagan,30,15.78,4.58,3.69
3817885,Mumbai City,34,13.6,4.65,3.05
3817885,East Bengal,26,12.53,4.68,3.0
3817886,Kerala Blasters,34,13.69,4.74,3.17
3817886,NorthEast United,34,12.66,4.73,2.86
3817887,Hyderabad,30,11.11,4.15,3.68
3817887,Mumbai City,34,15.74,4.73,3.56
3817888,ATK Mohun Bagan,34,13.8,4.87,3.48
3817888,East Bengal,22,10.64,3.7,3.05
3817889,Chennaiyin,33,12.83,5.34,2.67
3817889,ATK Mohun Bagan,31,11.92,4.91,2.6
3817890,NorthEast United,33,16.67,4.18,4.37
3817890,Goa,30,18.24,5.42,3.06
3817891,Bengaluru,33,14.77,4.57,3.98
3817891,East Bengal,35,13.4,4.06,3.71
3817892,ATK Mohun Bagan,30,19.27,4.4,4.51
3817892,Odisha,30,16.48,4.64,3.44
3817893,NorthEast United,31,20.04,5.49,4.01
3817893,East Bengal,31,14.5,4.93,3.39
3817894,Odisha,34,15.44,3.98,4.38
3817894,Goa,35,17.45,4.99,3.6
3817895,Chennaiyin,31,13.17,4.34,3.46
3817895,Goa,44,12.43,4.94,3.18
3817896,East Bengal,27,16.99,4.96,4.4
3817896,Odisha,33,14.34,4.85,3.05
3817897,Hyderabad,30,13.51,4.2,3.53
3817897,Kerala Blasters,24,12.78,4.15,3.25
3817898,Goa,31,14.95,4.84,4.31
3817898,Mumbai City,26,15.17,4.39,3.45
3817899,Jamshedpur,34,13.4,4.02,4.58
3817899,Odisha,29,15.25,4.41,3.53
3817900,Chennaiyin,26,18.87,5.14,3.96
3817900,Jamshedpur,33,13.96,4.87,3.3
3817901,Jamshedpur,25,18.37,4.73,4.16
3817901,Mumbai City,46,15.46,4.84,3.74
3817902,Kerala Blasters,34,12.98,4.11,3.36
3817902,East Bengal,33,14.23,4.53,3.23
3827335,Jamshedpur,35,18.67,4.71,4.22
3827335,Kerala Blasters,28,11.65,4.73,2.89
3827336,Hyderabad,24,19.2,4.41,4.66
3827336,ATK Mohun Bagan,53,16.13,4.75,3.43
3827337,Jamshedpur,32,16.51,4.56,3.84
3827337,Kerala Blasters,31,14.27,4.29,3.78
3827338,ATK Mohun Bagan,25,19.15,4.92,4.17
3827338,Hyderabad,34,11.35,4.51,3.05
3827767,Hyderabad,49,14.64,3.97,5.06
3827767,Kerala Blasters,54,11.94,4.5,3.17
3837650,Paris Saint-Germain,25,15.42,4.74,3.59
3837650,Clermont Foot,26,14.78,4.6,3.38
3837659,Paris Saint-Germain,21,14.48,5.13,3.29
3837659,Montpellier,29,11.31,4.3,2.97
3837662,Paris Saint-Germain,23,16.47,3.99,4.5
3837662,Lille,22,16.41,3.9,4.24
3837680,Paris Saint-Germain,28,18.59,5.23,4.24
3837680,AS Monaco,25,19.15,4.81,3.88
3837683,Paris Saint-Germain,26,16.45,5.03,3.36
3837683,Toulouse,26,17.22,5.26,3.28
3837695,Nantes,35,12.82,4.46,3.16
3837695,Paris Saint-Germain,35,13.31,5.26,2.87
3837706,Stade Brestois,22,14.21,5.16,2.86
3837706,Paris Saint-Germain,29,13.2,5.15,2.6
3837717,Paris Saint-Germain,28,15.2,4.88,3.39
3837717,Lyon,33,16.7,4.82,3.31
