match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
3895194,Augsburg,Phillip Tietz,35,7.0,7.0,10,20.0,78,40.38
3817851,Kerala Blasters,Adrián Nicolás Luna Retamar,34,6.0,12.0,15,35.29,93,32.9
3895210,Borussia Mönchengladbach,Julian Weigl,34,4.0,5.0,0,14.71,92,33.26
3837918,Rennes,Arnaud Kalimuendo Muinga,34,5.0,3.0,16,8.82,76,40.26
3802752,Paris Saint-Germain,Idrissa Gana Gueye,34,2.0,5.0,3,14.71,83,36.87
3802690,Lorient,Laurent Abergel,34,1.0,8.0,1,23.53,90,34.0
3837928,Lyon,Sael Kumbedi Nseke,34,3.0,7.0,2,20.59,61,50.16
3895210,Borussia Mönchengladbach,Florian Neuhaus,34,4.0,6.0,0,17.65,77,39.74
3803000,Clermont Foot,Mohamed Bayo,34,6.0,3.0,16,8.82,82,37.32
3837896,Paris Saint-Germain,Warren Zaire Emery,33,8.0,5.0,6,15.15,85,34.94
3802818,Lorient,Thomas Monconduit,33,4.0,6.0,3,18.18,87,34.14
3895113,Wolfsburg,Yannick Gerhardt,33,2.0,1.0,4,3.03,77,38.57
3837683,Toulouse,Stijn Spierings,33,5.0,6.0,5,18.18,91,32.64
3838004,Strasbourg,Jean-Ricner Bellegarde,33,3.0,1.0,5,3.03,85,34.94
3895309,Borussia Dortmund,Niclas Füllkrug,33,6.0,2.0,12,6.06,97,30.62
3895194,Augsburg,Kevin Mbabu,33,2.0,6.0,13,18.18,92,32.28
3817872,Bengaluru,Danish Farooq Bhat,33,8.0,9.0,18,27.27,94,31.6
3895107,FC Köln,Faride Alidou,33,5.0,3.0,11,9.09,61,48.69
3817894,Odisha,Moirangthem Thoiba Singh,33,7.0,9.0,3,27.27,89,33.37
3817855,ATK Mohun Bagan,Joni Ensio Kauko,33,8.0,7.0,10,21.21,96,30.94
3817860,Odisha,Moirangthem Thoiba Singh,33,12.0,7.0,3,21.21,86,34.53
3813280,East Bengal,Naorem Mahesh Singh,33,10.0,7.0,5,21.21,93,31.94
3817901,Jamshedpur,Jitendra Singh,33,8.0,10.0,5,30.3,94,31.6
3837859,Toulouse,Fares Chaïbi,32,5.0,3.0,5,9.38,92,31.3
3895250,FSV Mainz 05,Karim Onisiwo,32,5.0,5.0,10,15.63,82,35.12
3895074,Bayer Leverkusen,Florian Wirtz,32,8.0,5.0,11,15.63,94,30.64
3895074,Bayern Munich,Konrad Laimer,32,7.0,7.0,6,21.88,83,34.7
3802983,Marseille,Boubacar Kamara,32,6.0,8.0,3,25.0,96,30.0
3827337,Jamshedpur,Pronay Halder,32,5.0,10.0,1,31.25,94,30.64
3837706,Stade Brestois,Pierre Lees Melou,32,4.0,6.0,3,18.75,70,41.14
3802948,Metz,Vincent Pajot,32,1.0,8.0,1,25.0,94,30.64
3895220,Darmstadt 98,Oscar Vilhelmsson,32,3.0,6.0,8,18.75,66,43.64
3895320,VfB Stuttgart,Atakan Karazor,32,8.0,5.0,4,15.63,93,30.97
3895210,Borussia Mönchengladbach,Franck Honorat,32,3.0,2.0,7,6.25,68,42.35
3813300,Kerala Blasters,Adrián Nicolás Luna Retamar,32,6.0,7.0,11,21.88,85,33.88
3813306,NorthEast United,Imran Khan,32,5.0,6.0,6,18.75,91,31.65
3837706,Stade Brestois,Haris Belkebla,32,1.0,5.0,3,15.63,87,33.1
3837747,Marseille,Valentin Rongier,32,8.0,2.0,6,6.25,94,30.64
3813311,Chennaiyin,Vladimir Koman Jr.,32,8.0,7.0,2,21.88,73,39.45
3895180,Bayer Leverkusen,Jonas Hofmann,32,7.0,4.0,24,12.5,82,35.12
3817872,Bengaluru,Bruno Edgar Silva Almeida,32,3.0,9.0,5,28.13,95,30.32
3803000,Clermont Foot,Jason Berthomier,31,5.0,2.0,9,6.45,65,42.92
3813318,NorthEast United,Pragyan Sundar Gogoi,31,4.0,6.0,1,19.35,84,33.21
3802709,Paris Saint-Germain,Idrissa Gana Gueye,31,6.0,13.0,2,41.94,91,30.66
3838004,Strasbourg,Ibrahima Sissoko,31,3.0,4.0,2,12.9,74,37.7
3817859,Jamshedpur,Daniel Chima Chukwu,31,6.0,5.0,14,16.13,74,37.7
3817864,Mumbai City,Lalengmawia Ralte,31,8.0,11.0,4,35.48,93,30.0
3802983,Paris Saint-Germain,Achraf Hakimi Mouh,31,5.0,4.0,9,12.9,96,29.06
3813275,Jamshedpur,Jitendra Singh,31,9.0,10.0,5,32.26,89,31.35
3802904,Bordeaux,Jean Emile Junior Onana Onana,31,6.0,7.0,5,22.58,67,41.64
3837727,OGC Nice,Gaëtan Laborde,31,9.0,2.0,17,6.45,83,33.61
3837747,Paris Saint-Germain,Fabián Ruiz Peña,31,6.0,10.0,3,32.26,95,29.37
3837896,Nantes,Ludovic Blas,31,6.0,5.0,6,16.13,93,30.0
3895086,FC Heidenheim,Eren Sami Dinkçi,31,4.0,3.0,11,9.68,77,36.23
3895107,Bayer Leverkusen,Jonas Hofmann,31,4.0,2.0,14,6.45,87,32.07
3895302,Werder Bremen,Senne Lynen,31,3.0,5.0,4,16.13,85,32.82
3817856,Jamshedpur,Jitendra Singh,31,5.0,10.0,4,32.26,93,30.0
3837902,Paris Saint-Germain,Warren Zaire Emery,31,4.0,6.0,7,19.35,88,31.7
3817867,Mumbai City,Cássio Gabriel Vilela Ferreira,31,8.0,4.0,17,12.9,95,29.37
3802643,Paris Saint-Germain,Marco Verratti,31,5.0,6.0,4,19.35,94,29.68
3802643,Strasbourg,Adrien Thomasson,31,7.0,7.0,11,22.58,68,41.03
3895095,Bayer Leverkusen,Florian Wirtz,31,12.0,2.0,12,6.45,60,46.5
3827338,ATK Mohun Bagan,Joni Ensio Kauko,31,6.0,5.0,10,16.13,96,29.06
3837987,AC Ajaccio,Kevin Spadanuda,30,4.0,5.0,2,16.67,61,44.26
3895153,Bayer Leverkusen,Florian Wirtz,30,5.0,4.0,17,13.33,80,33.75
3837844,Montpellier,Téji Savanier,30,5.0,10.0,4,33.33,93,29.03
3895258,FC Köln,Max Finkgräfe,30,1.0,4.0,1,13.33,90,30.0
3837896,Paris Saint-Germain,Fabián Ruiz Peña,30,11.0,6.0,13,20.0,95,28.42
3895180,Bayer Leverkusen,Florian Wirtz,30,7.0,3.0,14,10.0,84,32.14
3837954,Angers,Ibrahima Niane,30,3.0,4.0,7,13.33,68,39.71
3837938,OGC Nice,Hichem Boudaoui,30,2.0,5.0,8,16.67,73,36.99
3837987,AC Ajaccio,Mounaim El Idrissy,30,4.0,4.0,2,13.33,62,43.55
3802805,Paris Saint-Germain,Marco Verratti,30,10.0,10.0,12,33.33,90,30.0
3813303,ATK Mohun Bagan,Deepak Tangri,30,4.0,2.0,4,6.67,95,28.42
