player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
Florian Neuhaus,Borussia Mönchengladbach,15,15.0,1.0,5.0,1.4
Paul Jaeckel,Union Berlin,11,11.0,1.0,7.0,1.14
Marvin Ducksch,Werder Bremen,14,14.0,1.0,3.0,2.0
Jamal Musiala,Bayern Munich,12,12.0,1.0,5.0,1.4
Rocco Reitz,Borussia Mönchengladbach,11,11.0,1.0,7.0,1.29
Jan-Niklas Beste,FC Heidenheim,12,12.0,1.0,5.0,1.2
Fredrik Jensen,Augsburg,7,7.0,1.0,2.0,2.5
David Datro Fofana,Union Berlin,5,5.0,1.0,1.0,0.0
Tiago Barreiros de Melo Tomás,Wolfsburg,7,7.0,1.0,3.0,1.67
Jens Petter Hauge,Eintracht Frankfurt,6,6.0,1.0,3.0,1.33
Antonios Papadopoulos,Borussia Dortmund,6,6.0,1.0,5.0,1.0
Sepp van den Berg,FSV Mainz 05,32,32.0,1.0,17.0,1.24
Ian Maatsen,Borussia Dortmund,13,13.0,1.0,4.0,1.0
Chris Führich,VfB Stuttgart,24,24.0,1.0,5.0,2.4
Davie Selke,FC Köln,5,5.0,1.0,1.0,1.0
Hugo Larsson,Eintracht Frankfurt,29,29.0,1.0,10.0,1.8
Mohamed Simakan,RB Leipzig,57,56.0,0.98,29.0,1.66
Mats Hummels,Borussia Dortmund,33,32.0,0.97,18.0,1.44
Emre Can,Borussia Dortmund,29,28.0,0.97,11.0,1.18
Leart Paqarada,FC Köln,23,22.0,0.96,12.0,1.5
Phillip Tietz,Augsburg,25,24.0,0.96,6.0,0.67
Lucas Höler,Freiburg,24,23.0,0.96,10.0,1.2
Robin Zentner,FSV Mainz 05,20,19.0,0.95,14.0,1.36
Mads Pedersen,Augsburg,20,19.0,0.95,7.0,1.43
Dominik Kohr,FSV Mainz 05,19,18.0,0.95,7.0,1.57
Arthur Augusto de Matos Soares,Bayer Leverkusen,41,39.0,0.95,17.0,1.47
Alassane Pléa,Borussia Mönchengladbach,19,18.0,0.95,8.0,0.88
David Raum,RB Leipzig,49,46.0,0.94,16.0,2.31
Julian Brandt,Borussia Dortmund,31,29.0,0.94,10.0,1.0
Julian Chabot,FC Köln,29,27.0,0.93,15.0,1.6
Julian Weigl,Borussia Mönchengladbach,30,28.0,0.93,10.0,1.2
Finn Ole Becker,Hoffenheim,13,12.0,0.92,4.0,1.5
Kevin Paredes,Wolfsburg,13,12.0,0.92,4.0,1.0
Robin Hack,Borussia Mönchengladbach,12,11.0,0.92,5.0,1.2
Jamie Leweling,VfB Stuttgart,13,12.0,0.92,5.0,1.6
Pavao Pervan,Wolfsburg,13,12.0,0.92,11.0,1.0
Kouadio Emmanuel Koné,Borussia Mönchengladbach,13,12.0,0.92,3.0,1.0
