match_id,team,possession_pct,total_xg,epr,style
3813282,Kerala Blasters,39.57,1.4586154641583562,27.13,Balanced
3813283,Bengaluru,50.42,1.9848564509302378,25.4,Balanced
3813283,Chennaiyin,49.58,0.6843915279023349,72.44,Patient Build-up
3813284,Mumbai City,56.75,1.6705438205972314,33.97,Balanced
3813284,Jamshedpur,43.25,1.6718944497406483,25.87,Balanced
3813285,Bengaluru,52.16,1.1416075178422034,45.69,Patient Build-up
3813285,Goa,47.84,0.7902083389926702,60.54,Patient Build-up
3813286,Mumbai City,68.53,0.6793500753119588,100.88,Patient Build-up
3813286,Chennaiyin,31.47,0.7084324862807989,44.42,Patient Build-up
3813287,ATK Mohun Bagan,50.89,1.9903078554198146,25.57,Balanced
3813287,Bengaluru,49.11,2.3178884368389845,21.19,Balanced
3813288,Hyderabad,58.82,0.4880248960107565,120.53,Patient Build-up
3813288,Jamshedpur,41.18,0.9891531020402908,41.63,Patient Build-up
3813289,Bengaluru,66.17,2.2679509203881025,29.18,Balanced
3813289,Odisha,33.83,0.6367928981781006,53.13,Patient Build-up
3813290,Hyderabad,52.66,2.0685811080038548,25.46,Balanced
3813290,NorthEast United,47.34,1.4159217849373817,33.43,Balanced
3813291,East Bengal,54.87,0.7330511305481195,74.85,Patient Build-up
3813291,ATK Mohun Bagan,45.13,0.9669864661991596,46.67,Patient Build-up
3813292,Bengaluru,63.32,1.0381549969315529,60.99,Patient Build-up
3813292,Kerala Blasters,36.68,0.29153113812208176,125.82,Patient Build-up
3813293,Bengaluru,72.39,0.8829607171937823,81.99,Patient Build-up
3813293,East Bengal,27.61,0.33059170842170715,83.52,Patient Build-up
3813294,Chennaiyin,51.21,1.2155934292823076,42.13,Patient Build-up
3813294,NorthEast United,48.79,0.5919700441882014,82.42,Patient Build-up
3813295,Hyderabad,56.14,1.9944207048974931,28.15,Balanced
3813295,Odisha,43.86,0.8785510212182999,49.92,Patient Build-up
3813296,Kerala Blasters,54.09,1.5857595400884748,34.11,Balanced
3813296,NorthEast United,45.91,0.3436764841899276,133.58,Patient Build-up
3813297,Bengaluru,67.47,0.9406748055480421,71.73,Patient Build-up
3813297,NorthEast United,32.53,1.4512742729857564,22.41,Balanced
3813298,Jamshedpur,63.24,1.3163039055652916,48.04,Patient Build-up
3813298,East Bengal,36.76,0.5835507493466139,62.99,Patient Build-up
3813299,Bengaluru,55.46,0.560359051451087,98.97,Patient Build-up
3813299,Hyderabad,44.54,0.30529145430773497,145.89,Patient Build-up
3813300,Kerala Blasters,54.33,2.305404582992196,23.57,Balanced
3813300,Odisha,45.67,2.436929556541145,18.74,Clinical/Direct
3813301,Odisha,61.3,0.7258270052261651,84.46,Patient Build-up
3813301,NorthEast United,38.7,1.365543166641146,28.34,Balanced
3813302,NorthEast United,53.28,1.5431820042431355,34.53,Balanced
3813302,Jamshedpur,46.72,3.3379695219919086,14.0,Clinical/Direct
3813303,Goa,53.93,0.9229191998019814,58.43,Patient Build-up
3813303,ATK Mohun Bagan,46.07,0.24574684305116534,187.47,Patient Build-up
3813304,Hyderabad,65.44,0.7526951041072607,86.94,Patient Build-up
3813304,East Bengal,34.56,0.6350326100364327,54.42,Patient Build-up
3813305,Hyderabad,57.46,1.2386258570477366,46.39,Patient Build-up
3813305,Kerala Blasters,42.54,0.8572790087200701,49.62,Patient Build-up
3813306,ATK Mohun Bagan,57.63,3.4171702368184924,16.86,Clinical/Direct
3813306,NorthEast United,42.37,1.4177418327890337,29.89,Balanced
3813307,Bengaluru,61.77,0.6508860476315022,94.9,Patient Build-up
3813307,Jamshedpur,38.23,0.7743322551250458,49.37,Patient Build-up
3813308,Goa,57.56,1.2705101743340492,45.3,Patient Build-up
3813308,Odisha,42.44,1.2427609749138355,34.15,Balanced
