match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
3813267,East Bengal,56.0,1.661,51.79,30.36,17.86,Low Block,29.0,17.0,10.0
3813267,Goa,55.0,1.618,58.18,21.82,20.0,Low Block,32.0,12.0,11.0
3813268,ATK Mohun Bagan,74.0,1.297,77.03,16.22,6.76,Low Block,57.0,12.0,5.0
3813268,Jamshedpur,68.0,1.426,66.18,25.0,8.82,Low Block,45.0,17.0,6.0
3813269,Jamshedpur,35.0,1.457,57.14,40.0,2.86,Low Block,20.0,14.0,1.0
3813269,Odisha,42.0,1.238,78.57,19.05,2.38,Low Block,33.0,8.0,1.0
3813270,Goa,36.0,1.556,52.78,38.89,8.33,Low Block,19.0,14.0,3.0
3813270,Mumbai City,41.0,1.61,51.22,36.59,12.2,Low Block,21.0,15.0,5.0
3813271,Goa,50.0,1.64,46.0,44.0,10.0,Balanced,23.0,22.0,5.0
3813271,Kerala Blasters,69.0,1.406,62.32,34.78,2.9,Low Block,43.0,24.0,2.0
3813272,Goa,60.0,1.417,66.67,25.0,8.33,Low Block,40.0,15.0,5.0
3813272,Hyderabad,69.0,1.551,59.42,26.09,14.49,Low Block,41.0,18.0,10.0
3813273,Mumbai City,39.0,1.41,69.23,20.51,10.26,Low Block,27.0,8.0,4.0
3813273,Odisha,56.0,1.196,82.14,16.07,1.79,Low Block,46.0,9.0,1.0
3813274,Bengaluru,59.0,1.508,64.41,20.34,15.25,Low Block,38.0,12.0,9.0
3813274,Mumbai City,65.0,1.415,69.23,20.0,10.77,Low Block,45.0,13.0,7.0
3813275,Jamshedpur,39.0,1.41,66.67,25.64,7.69,Low Block,26.0,10.0,3.0
3813275,Kerala Blasters,68.0,1.324,75.0,17.65,7.35,Low Block,51.0,12.0,5.0
3813276,East Bengal,46.0,1.391,69.57,21.74,8.7,Low Block,32.0,10.0,4.0
3813276,NorthEast United,46.0,1.522,60.87,26.09,13.04,Low Block,28.0,12.0,6.0
3813277,Hyderabad,54.0,1.574,59.26,24.07,16.67,Low Block,32.0,13.0,9.0
3813277,Mumbai City,44.0,1.591,52.27,36.36,11.36,Low Block,23.0,16.0,5.0
3813278,Chennaiyin,66.0,1.47,62.12,28.79,9.09,Low Block,41.0,19.0,6.0
3813278,Kerala Blasters,55.0,1.345,70.91,23.64,5.45,Low Block,39.0,13.0,3.0
3813279,Chennaiyin,60.0,1.333,71.67,23.33,5.0,Low Block,43.0,14.0,3.0
3813279,Odisha,66.0,1.273,77.27,18.18,4.55,Low Block,51.0,12.0,3.0
3813280,Chennaiyin,46.0,1.587,54.35,32.61,13.04,Low Block,25.0,15.0,6.0
3813280,East Bengal,63.0,1.349,68.25,28.57,3.17,Low Block,43.0,18.0,2.0
3813281,ATK Mohun Bagan,75.0,1.307,72.0,25.33,2.67,Low Block,54.0,19.0,2.0
3813281,Chennaiyin,34.0,1.5,61.76,26.47,11.76,Low Block,21.0,9.0,4.0
3813282,Kerala Blasters,60.0,1.45,65.0,25.0,10.0,Low Block,39.0,15.0,6.0
3813282,Mumbai City,34.0,1.353,64.71,35.29,0.0,Low Block,22.0,12.0,0.0
3813283,Bengaluru,60.0,1.433,61.67,33.33,5.0,Low Block,37.0,20.0,3.0
3813283,Chennaiyin,56.0,1.482,62.5,26.79,10.71,Low Block,35.0,15.0,6.0
3813284,Jamshedpur,57.0,1.702,43.86,42.11,14.04,Balanced,25.0,24.0,8.0
3813284,Mumbai City,62.0,1.242,82.26,11.29,6.45,Low Block,51.0,7.0,4.0
3813285,Bengaluru,33.0,1.667,45.45,42.42,12.12,Balanced,15.0,14.0,4.0
3813285,Goa,54.0,1.296,79.63,11.11,9.26,Low Block,43.0,6.0,5.0
3813286,Chennaiyin,68.0,1.206,82.35,14.71,2.94,Low Block,56.0,10.0,2.0
3813286,Mumbai City,49.0,1.51,57.14,34.69,8.16,Low Block,28.0,17.0,4.0
3813287,ATK Mohun Bagan,50.0,1.48,62.0,28.0,10.0,Low Block,31.0,14.0,5.0
3813287,Bengaluru,48.0,1.396,68.75,22.92,8.33,Low Block,33.0,11.0,4.0
3813288,Hyderabad,59.0,1.441,64.41,27.12,8.47,Low Block,38.0,16.0,5.0
3813288,Jamshedpur,65.0,1.431,64.62,27.69,7.69,Low Block,42.0,18.0,5.0
3813289,Bengaluru,34.0,1.5,55.88,38.24,5.88,Low Block,19.0,13.0,2.0
3813289,Odisha,59.0,1.237,77.97,20.34,1.69,Low Block,46.0,12.0,1.0
3813290,Hyderabad,51.0,1.431,64.71,27.45,7.84,Low Block,33.0,14.0,4.0
3813290,NorthEast United,40.0,1.275,72.5,27.5,0.0,Low Block,29.0,11.0,0.0
3813291,ATK Mohun Bagan,44.0,1.386,68.18,25.0,6.82,Low Block,30.0,11.0,3.0
3813291,East Bengal,25.0,1.44,56.0,44.0,0.0,Low Block,14.0,11.0,0.0
3813292,Bengaluru,44.0,1.341,75.0,15.91,9.09,Low Block,33.0,7.0,4.0
3813292,Kerala Blasters,49.0,1.633,48.98,38.78,12.24,Balanced,24.0,19.0,6.0
3813293,Bengaluru,37.0,1.838,37.84,40.54,21.62,Balanced,14.0,15.0,8.0
3813293,East Bengal,60.0,1.417,65.0,28.33,6.67,Low Block,39.0,17.0,4.0
3813294,Chennaiyin,49.0,1.612,48.98,40.82,10.2,Balanced,24.0,20.0,5.0
3813294,NorthEast United,59.0,1.525,54.24,38.98,6.78,Low Block,32.0,23.0,4.0
3813295,Hyderabad,35.0,1.457,62.86,28.57,8.57,Low Block,22.0,10.0,3.0
3813295,Odisha,44.0,1.545,52.27,40.91,6.82,Low Block,23.0,18.0,3.0
3813296,Kerala Blasters,53.0,1.415,67.92,22.64,9.43,Low Block,36.0,12.0,5.0
3813296,NorthEast United,56.0,1.339,71.43,23.21,5.36,Low Block,40.0,13.0,3.0
3813297,Bengaluru,48.0,1.604,54.17,31.25,14.58,Low Block,26.0,15.0,7.0
3813297,NorthEast United,51.0,1.451,58.82,37.25,3.92,Low Block,30.0,19.0,2.0
3813298,East Bengal,80.0,1.2,82.5,15.0,2.5,Low Block,66.0,12.0,2.0
3813298,Jamshedpur,46.0,1.565,60.87,21.74,17.39,Low Block,28.0,10.0,8.0
3813299,Bengaluru,56.0,1.464,66.07,21.43,12.5,Low Block,37.0,12.0,7.0
3813299,Hyderabad,70.0,1.4,70.0,20.0,10.0,Low Block,49.0,14.0,7.0
3813300,Kerala Blasters,56.0,1.375,66.07,30.36,3.57,Low Block,37.0,17.0,2.0
3813300,Odisha,56.0,1.429,62.5,32.14,5.36,Low Block,35.0,18.0,3.0
3813301,NorthEast United,57.0,1.491,56.14,38.6,5.26,Low Block,32.0,22.0,3.0
3813301,Odisha,41.0,1.415,68.29,21.95,9.76,Low Block,28.0,9.0,4.0
3813302,Jamshedpur,59.0,1.746,32.2,61.02,6.78,Mid-Block,19.0,36.0,4.0
3813302,NorthEast United,59.0,1.186,83.05,15.25,1.69,Low Block,49.0,9.0,1.0
