match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
3837902,Stade Brestois,Haris Belkebla,0.0,2.0,39.0,2.0,0.0,5.0,1.0,1.0,7.0,34.0,17.0,5.0,0.0,43.0,14.29,90.7,4.65,0.0,8.93,Balanced Defender
3895194,Augsburg,Phillip Tietz,0.0,2.0,35.0,6.0,3.0,3.0,3.0,1.0,5.0,15.0,27.0,15.0,1.0,43.0,20.0,81.4,4.65,2.33,26.32,Balanced Defender
3813306,NorthEast United,Suhair Vadakkepeedika,0.0,5.0,36.0,2.0,0.0,5.0,5.0,3.0,5.0,15.0,25.0,18.0,4.0,43.0,60.0,83.72,11.63,9.3,31.03,Balanced Defender
3895232,Bayer Leverkusen,Florian Wirtz,0.0,0.0,40.0,2.0,0.0,6.0,2.0,1.0,6.0,14.0,23.0,19.0,2.0,42.0,16.67,95.24,0.0,4.76,33.93,Balanced Defender
3895232,Bayer Leverkusen,Amine Adli,0.0,3.0,37.0,2.0,1.0,1.0,2.0,0.0,5.0,10.0,20.0,21.0,1.0,42.0,0.0,88.1,7.14,2.38,41.18,Balanced Defender
3837928,Lyon,Thiago Henrique Mendes Ribeiro,0.0,2.0,39.0,1.0,2.0,5.0,2.0,2.0,6.0,37.0,16.0,4.0,0.0,42.0,33.33,92.86,4.76,0.0,7.02,Balanced Defender
3837918,Rennes,Benjamin Bourigeaud,0.0,3.0,36.0,3.0,1.0,9.0,1.0,1.0,3.0,17.0,27.0,12.0,2.0,42.0,33.33,85.71,7.14,4.76,21.43,Balanced Defender
3813303,ATK Mohun Bagan,Liston Colaco,0.0,0.0,40.0,2.0,0.0,5.0,4.0,0.0,1.0,12.0,28.0,12.0,1.0,42.0,0.0,95.24,0.0,2.38,23.08,Balanced Defender
3837885,Paris Saint-Germain,Vitor Machado Ferreira,0.0,1.0,36.0,5.0,1.0,4.0,1.0,0.0,4.0,17.0,24.0,11.0,0.0,42.0,0.0,85.71,2.38,0.0,21.15,Balanced Defender
3802805,OGC Nice,Justin Kluivert,0.0,2.0,39.0,1.0,0.0,7.0,0.0,2.0,4.0,14.0,29.0,10.0,3.0,42.0,50.0,92.86,4.76,7.14,18.87,Balanced Defender
3895210,Borussia Mönchengladbach,Theoson Jordan Siebatcheu,0.0,0.0,40.0,2.0,0.0,1.0,3.0,0.0,2.0,18.0,26.0,4.0,0.0,42.0,0.0,95.24,0.0,0.0,8.33,Balanced Defender
3837963,Lorient,Laurent Abergel,0.0,4.0,35.0,2.0,2.0,3.0,1.0,1.0,5.0,27.0,22.0,3.0,0.0,41.0,20.0,85.37,9.76,0.0,5.77,Balanced Defender
3837954,Angers,Adrien Hunou,0.0,1.0,36.0,4.0,0.0,3.0,2.0,0.0,0.0,15.0,19.0,12.0,0.0,41.0,0.0,87.8,2.44,0.0,26.09,Balanced Defender
3895074,Bayern Munich,Konrad Laimer,0.0,3.0,32.0,6.0,1.0,7.0,0.0,1.0,6.0,23.0,22.0,10.0,3.0,41.0,16.67,78.05,7.32,7.32,18.18,Balanced Defender
3837928,Paris Saint-Germain,Vitor Machado Ferreira,0.0,3.0,35.0,3.0,0.0,7.0,3.0,0.0,2.0,4.0,30.0,19.0,7.0,41.0,0.0,85.37,7.32,17.07,35.85,Balanced Defender
3802752,Lyon,Lucas Tolentino Coelho de Lima,0.0,0.0,38.0,3.0,3.0,7.0,5.0,3.0,6.0,22.0,31.0,9.0,1.0,41.0,50.0,92.68,0.0,2.44,14.52,Balanced Defender
3817900,Jamshedpur,Pronay Halder,0.0,4.0,35.0,2.0,0.0,3.0,0.0,0.0,4.0,10.0,33.0,5.0,2.0,41.0,0.0,85.37,9.76,4.88,10.42,Balanced Defender
3837947,Paris Saint-Germain,Carlos Soler Barragán,0.0,0.0,39.0,2.0,1.0,2.0,5.0,0.0,5.0,15.0,24.0,15.0,1.0,41.0,0.0,95.12,0.0,2.44,27.78,Balanced Defender
3895182,Bochum,Gonçalo Mendes Paciencia,0.0,0.0,39.0,2.0,0.0,3.0,0.0,0.0,7.0,4.0,28.0,19.0,2.0,41.0,0.0,95.12,0.0,4.88,37.25,Balanced Defender
3895220,Darmstadt 98,Luca Pfeiffer,0.0,0.0,41.0,0.0,2.0,2.0,2.0,0.0,6.0,8.0,36.0,9.0,0.0,41.0,0.0,100.0,0.0,0.0,16.98,Balanced Defender
3813316,NorthEast United,Suhair Vadakkepeedika,0.0,3.0,36.0,2.0,1.0,8.0,4.0,3.0,7.0,25.0,30.0,6.0,2.0,41.0,42.86,87.8,7.32,4.88,9.84,Balanced Defender
3817894,Odisha,Moirangthem Thoiba Singh,0.0,4.0,33.0,4.0,4.0,1.0,4.0,0.0,10.0,19.0,34.0,7.0,2.0,41.0,0.0,80.49,9.76,4.88,11.67,Balanced Defender
3827767,Kerala Blasters,Adrián Nicolás Luna Retamar,0.0,4.0,35.0,2.0,1.0,11.0,1.0,0.0,3.0,17.0,26.0,14.0,4.0,41.0,0.0,85.37,9.76,9.76,24.56,Balanced Defender
