team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Eintracht Frankfurt,Omar Marmoush,94.0,6.0,6.0,4.0,5.74,5.74,3.83,15.31,Complete Progressor
Bayern Munich,Konrad Laimer,83.0,5.0,6.0,3.0,5.42,6.51,3.25,15.18,Complete Progressor
Bayern Munich,Alphonso Davies,95.0,4.0,4.0,8.0,3.79,3.79,7.58,15.16,Complete Progressor
ATK Mohun Bagan,Liston Colaco,1729.0,37.0,124.0,130.0,1.93,6.45,6.77,15.15,Ball Carrier
Stade de Reims,Thomas Foket,227.0,5.0,13.0,20.0,1.98,5.15,7.93,15.06,Ball Carrier
Stade de Reims,Maxime Busi,90.0,3.0,5.0,7.0,3.0,5.0,7.0,15.0,Complete Progressor
Strasbourg,Mouhamadou Diarra,90.0,2.0,7.0,6.0,2.0,7.0,6.0,15.0,Ball Carrier
Auxerre,Lassine Sinayoko,139.0,5.0,5.0,13.0,3.24,3.24,8.42,14.9,Complete Progressor
Montpellier,Mihailo Ristić,91.0,3.0,7.0,5.0,2.97,6.92,4.95,14.84,Ball Carrier
Eintracht Frankfurt,Hugo Ekitike,79.0,1.0,4.0,8.0,1.14,4.56,9.11,14.809999999999999,Ball Carrier
Nantes,Jaouen Hadjam,67.0,2.0,5.0,4.0,2.69,6.72,5.37,14.780000000000001,Ball Carrier
RB Leipzig,Timo Werner,61.0,0.0,5.0,5.0,0.0,7.38,7.38,14.76,Ball Carrier
Lille,Timothy Weah,177.0,5.0,10.0,14.0,2.54,5.08,7.12,14.74,Ball Carrier
Bayern Munich,Eric Dier,92.0,13.0,1.0,1.0,12.72,0.98,0.98,14.680000000000001,Progressive Passer
Rennes,Karl Brillant Toko Ekambi,92.0,2.0,7.0,6.0,1.96,6.85,5.87,14.68,Ball Carrier
Stade Brestois,Jean-Kevin Duverne,184.0,9.0,8.0,13.0,4.4,3.91,6.36,14.670000000000002,Complete Progressor
Angers,Jean-Mattéo Bahoya Négoce,86.0,0.0,7.0,7.0,0.0,7.33,7.33,14.66,Ball Carrier
Lyon,Alexandre Lacazette,160.0,10.0,11.0,5.0,5.62,6.19,2.81,14.620000000000001,Complete Progressor
Lille,Burak Yılmaz,74.0,2.0,4.0,6.0,2.43,4.86,7.3,14.59,Ball Carrier
Lille,Rémy Cabella,87.0,6.0,1.0,7.0,6.21,1.03,7.24,14.48,Progressive Passer
Bayer Leverkusen,Gustavo Adolfo Puerta Molano,56.0,6.0,2.0,1.0,9.64,3.21,1.61,14.46,Complete Progressor
VfB Stuttgart,Josha Mamadou Karaboue Vagnoman,81.0,2.0,4.0,7.0,2.22,4.44,7.78,14.440000000000001,Ball Carrier
Goa,Brandon Fernandes,493.0,24.0,19.0,36.0,4.38,3.47,6.57,14.42,Complete Progressor
Bayern Munich,Joshua Kimmich,94.0,7.0,4.0,4.0,6.7,3.83,3.83,14.360000000000001,Complete Progressor
Angers,Souleyman Doumbia,94.0,2.0,5.0,8.0,1.91,4.79,7.66,14.36,Ball Carrier
Lens,Angelo Fulgini,44.0,2.0,2.0,3.0,4.09,4.09,6.14,14.32,Complete Progressor
FC Heidenheim,Florian Pick,44.0,1.0,4.0,2.0,2.05,8.18,4.09,14.32,Ball Carrier
Bayer Leverkusen,Jonas Hofmann,2208.0,82.0,84.0,184.0,3.34,3.42,7.5,14.26,Complete Progressor
Mumbai City,Lallianzuala Chhangte,540.0,10.0,37.0,38.0,1.67,6.17,6.33,14.17,Ball Carrier
Hyderabad,Soraisam Pritam Kumar Singh,32.0,3.0,0.0,2.0,8.44,0.0,5.62,14.059999999999999,Progressive Passer
Darmstadt 98,Gerrit Holtmann,64.0,2.0,4.0,4.0,2.81,5.62,5.62,14.05,Ball Carrier
VfB Stuttgart,Angelo Stiller,90.0,6.0,5.0,3.0,6.0,5.0,3.0,14.0,Complete Progressor
Paris Saint-Germain,Julian Draxler,181.0,6.0,9.0,13.0,2.98,4.48,6.46,13.920000000000002,Ball Carrier
Nantes,Evann Guessand,78.0,2.0,5.0,5.0,2.31,5.77,5.77,13.85,Ball Carrier
Angers,Abdallah Dipo Sima,98.0,2.0,4.0,9.0,1.84,3.67,8.27,13.78,Ball Carrier
Mumbai City,Cássio Gabriel Vilela Ferreira,1645.0,78.0,81.0,90.0,4.27,4.43,4.92,13.62,Complete Progressor
Bayer Leverkusen,Alejandro Grimaldo García,2851.0,112.0,110.0,208.0,3.54,3.47,6.57,13.58,Complete Progressor
Paris Saint-Germain,Pablo Sarabia García,226.0,8.0,8.0,18.0,3.19,3.19,7.17,13.55,Complete Progressor
Stade de Reims,Thibault De Smet,93.0,5.0,2.0,7.0,4.84,1.94,6.77,13.549999999999999,Progressive Passer
ATK Mohun Bagan,Kiyan Nassiri Giri,300.0,10.0,9.0,26.0,3.0,2.7,7.8,13.5,Progressive Passer
Angers,Batista Mendy,167.0,21.0,2.0,2.0,11.32,1.08,1.08,13.48,Progressive Passer
Jamshedpur,Greg Stewart,1798.0,72.0,94.0,103.0,3.6,4.71,5.16,13.47,Complete Progressor
Clermont Foot,Muhammed Cham Saracevic,141.0,6.0,8.0,7.0,3.83,5.11,4.47,13.41,Complete Progressor
Paris Saint-Germain,Achraf Hakimi Mouh,3566.0,100.0,154.0,276.0,2.52,3.89,6.97,13.379999999999999,Ball Carrier
OGC Nice,Nicolas Pépé,121.0,3.0,6.0,9.0,2.23,4.46,6.69,13.379999999999999,Ball Carrier
Marseille,Pape Gueye,115.0,7.0,3.0,7.0,5.48,2.35,5.48,13.31,Progressive Passer
Bochum,Takuma Asano,61.0,0.0,3.0,6.0,0.0,4.43,8.85,13.28,Ball Carrier
Augsburg,Sven Michel,34.0,1.0,3.0,1.0,2.65,7.94,2.65,13.24,Ball Carrier
Eintracht Frankfurt,Aurélio Gabriel Ulineia Buta,109.0,2.0,5.0,9.0,1.65,4.13,7.43,13.209999999999999,Ball Carrier
Marseille,Alexis Alejandro Sánchez Sánchez,157.0,6.0,7.0,10.0,3.44,4.01,5.73,13.18,Complete Progressor
FC Heidenheim,Kevin Sessa,41.0,2.0,2.0,2.0,4.39,4.39,4.39,13.169999999999998,Complete Progressor
Bengaluru,Udanta Kumam Singh,1145.0,27.0,60.0,79.0,2.12,4.72,6.21,13.05,Ball Carrier
Lorient,Dango Aboubacar Faissal Ouattara,166.0,2.0,11.0,11.0,1.08,5.96,5.96,13.0,Ball Carrier
Goa,Alberto Noguera Ripoll,1723.0,100.0,77.0,72.0,5.22,4.02,3.76,12.999999999999998,Complete Progressor
Bayer Leverkusen,Granit Xhaka,2862.0,284.0,77.0,50.0,8.93,2.42,1.57,12.92,Progressive Passer
Lyon,Xherdan Shaqiri,77.0,1.0,3.0,7.0,1.17,3.51,8.18,12.86,Ball Carrier
Lyon,Houssem Aouar,49.0,1.0,2.0,4.0,1.84,3.67,7.35,12.86,Ball Carrier
Nantes,Marcus Coco,106.0,3.0,7.0,5.0,2.55,5.94,4.25,12.74,Ball Carrier
Lille,André Filipe Tavares Gomes,92.0,10.0,1.0,2.0,9.78,0.98,1.96,12.719999999999999,Progressive Passer
OGC Nice,Sofiane Diop,92.0,3.0,6.0,4.0,2.93,5.87,3.91,12.71,Ball Carrier
VfB Stuttgart,Deniz Undav,156.0,5.0,8.0,9.0,2.88,4.62,5.19,12.690000000000001,Ball Carrier
Troyes,Thierno Balde,71.0,4.0,2.0,4.0,5.07,2.54,5.07,12.68,Progressive Passer
AS Monaco,Sofiane Diop,64.0,2.0,3.0,4.0,2.81,4.22,5.62,12.649999999999999,Ball Carrier
Auxerre,Mathias Autret,64.0,4.0,2.0,3.0,5.62,2.81,4.22,12.649999999999999,Progressive Passer
AS Monaco,Wissam Ben Yedder,150.0,5.0,7.0,9.0,3.0,4.2,5.4,12.600000000000001,Complete Progressor
Lorient,Darlin Zidane Yongwa Ngameni,93.0,2.0,3.0,8.0,1.94,2.9,7.74,12.58,Progression Outlet
Borussia Mönchengladbach,Alassane Pléa,93.0,3.0,3.0,7.0,2.9,2.9,6.77,12.57,Progression Outlet
East Bengal,Songpu Singsit,43.0,1.0,2.0,3.0,2.09,4.19,6.28,12.56,Ball Carrier
Goa,Makan Winkle Chote,702.0,21.0,32.0,45.0,2.69,4.1,5.77,12.559999999999999,Ball Carrier
Jamshedpur,Boris Singh Thangjam,996.0,26.0,51.0,61.0,2.35,4.61,5.51,12.47,Ball Carrier
Nantes,Quentin Merlin,123.0,7.0,4.0,6.0,5.12,2.93,4.39,12.440000000000001,Progressive Passer
Augsburg,Arne Maier,123.0,7.0,4.0,6.0,5.12,2.93,4.39,12.440000000000001,Progressive Passer
Lens,David Pereira da Costa,160.0,5.0,9.0,8.0,2.81,5.06,4.5,12.37,Ball Carrier
Chennaiyin,Mirlan Murzaev,1066.0,35.0,60.0,51.0,2.95,5.07,4.31,12.329999999999998,Ball Carrier
Lyon,Bruno Guimarães Rodriguez Moura,95.0,8.0,4.0,1.0,7.58,3.79,0.95,12.32,Complete Progressor
Bayern Munich,Noussair Mazraoui,117.0,5.0,5.0,6.0,3.85,3.85,4.62,12.32,Complete Progressor
Saint-Étienne,Adil Aouchiche,66.0,1.0,3.0,5.0,1.36,4.09,6.82,12.27,Ball Carrier
Nantes,Randal Kolo Muani,184.0,4.0,7.0,14.0,1.96,3.42,6.85,12.23,Ball Carrier
AC Ajaccio,Mickaël Barreto,96.0,2.0,5.0,6.0,1.88,4.69,5.62,12.190000000000001,Ball Carrier
Bayer Leverkusen,Borja Iglesias Quintas,260.0,6.0,10.0,19.0,2.08,3.46,6.58,12.120000000000001,Ball Carrier
Freiburg,Roland Sallai,60.0,0.0,3.0,5.0,0.0,4.5,7.5,12.0,Ball Carrier
Stade Brestois,Franck Honorat,188.0,3.0,8.0,14.0,1.44,3.83,6.7,11.969999999999999,Ball Carrier
Bayer Leverkusen,Josip Stanišić,1303.0,69.0,45.0,59.0,4.77,3.11,4.08,11.959999999999999,Complete Progressor
Strasbourg,Adrien Thomasson,68.0,3.0,3.0,3.0,3.97,3.97,3.97,11.91,Complete Progressor
Angers,Ibrahima Niane,68.0,1.0,3.0,5.0,1.32,3.97,6.62,11.91,Ball Carrier
Metz,Farid Boulaya,68.0,3.0,3.0,3.0,3.97,3.97,3.97,11.91,Complete Progressor
Lens,Gaël Kakuta,53.0,2.0,2.0,3.0,3.4,3.4,5.09,11.89,Complete Progressor
Hyderabad,Eduardo García Martín,560.0,31.0,13.0,30.0,4.98,2.09,4.82,11.89,Progressive Passer
Hoffenheim,Ihlas Bebou,38.0,1.0,2.0,2.0,2.37,4.74,4.74,11.850000000000001,Ball Carrier
Lille,Jonathan Bamba,349.0,12.0,12.0,22.0,3.09,3.09,5.67,11.85,Complete Progressor
Bayer Leverkusen,Patrik Schick,1064.0,21.0,34.0,84.0,1.78,2.88,7.11,11.77,Progression Outlet
Stade de Reims,Nathanaël Mbuku,100.0,1.0,5.0,7.0,0.9,4.5,6.3,11.7,Ball Carrier
Metz,William Mikelbrencis,54.0,1.0,3.0,3.0,1.67,5.0,5.0,11.67,Ball Carrier
Chennaiyin,Lallianzuala Chhangte,658.0,11.0,32.0,42.0,1.5,4.38,5.74,11.620000000000001,Ball Carrier
VfB Stuttgart,Chris Führich,155.0,4.0,9.0,7.0,2.32,5.23,4.06,11.61,Ball Carrier
OGC Nice,Aaron Ramsey,140.0,9.0,6.0,3.0,5.79,3.86,1.93,11.58,Complete Progressor
Werder Bremen,Mitchell Weiser,181.0,11.0,5.0,7.0,5.47,2.49,3.48,11.44,Progressive Passer
Bayern Munich,Sacha Boey,79.0,1.0,5.0,4.0,1.14,5.7,4.56,11.399999999999999,Ball Carrier
Troyes,Mama Samba Baldé,103.0,1.0,7.0,5.0,0.87,6.12,4.37,11.36,Ball Carrier
Paris Saint-Germain,Renato Júnior Luz Sanches,682.0,40.0,26.0,20.0,5.28,3.43,2.64,11.350000000000001,Complete Progressor
NorthEast United,Mathias Coureur,835.0,20.0,36.0,49.0,2.16,3.88,5.28,11.32,Ball Carrier
Strasbourg,Dimitri Liénard,112.0,3.0,1.0,10.0,2.41,0.8,8.04,11.25,Progression Outlet
AC Ajaccio,Bevic Moussiti-Oko,56.0,0.0,2.0,5.0,0.0,3.21,8.04,11.25,Ball Carrier
Goa,Nongdamba Singh Naorem,304.0,3.0,13.0,22.0,0.89,3.85,6.51,11.25,Ball Carrier
NorthEast United,Manvir Singh,80.0,0.0,3.0,7.0,0.0,3.38,7.87,11.25,Ball Carrier
RB Leipzig,Kevin Kampl,48.0,2.0,3.0,1.0,3.75,5.62,1.88,11.25,Complete Progressor
Bochum,Lukas Daschner,32.0,1.0,2.0,1.0,2.81,5.62,2.81,11.24,Ball Carrier
Jamshedpur,Jordan Murray,713.0,19.0,34.0,36.0,2.4,4.29,4.54,11.23,Ball Carrier
Mumbai City,Raynier Fernandes,602.0,24.0,18.0,33.0,3.59,2.69,4.93,11.209999999999999,Progressive Passer
Bayer Leverkusen,Edmond Fayçal Tapsoba,2124.0,190.0,63.0,10.0,8.05,2.67,0.42,11.14,Progressive Passer
Auxerre,Nuno Miguel da Costa Jóia,114.0,2.0,4.0,8.0,1.58,3.16,6.32,11.06,Ball Carrier
NorthEast United,Marcelo Leite Pereira,473.0,13.0,24.0,21.0,2.47,4.57,4.0,11.040000000000001,Ball Carrier
Angers,Adrien Hunou,147.0,7.0,7.0,4.0,4.29,4.29,2.45,11.030000000000001,Complete Progressor
Clermont Foot,Elbasan Rashani,172.0,4.0,8.0,9.0,2.09,4.19,4.71,10.99,Ball Carrier
Paris Saint-Germain,Hugo Ekitike,780.0,19.0,27.0,49.0,2.19,3.12,5.65,10.96,Ball Carrier
Lyon,Mateus Cardoso Lemos Martins,74.0,2.0,5.0,2.0,2.43,6.08,2.43,10.94,Ball Carrier
Stade Brestois,Romain Del Castillo,74.0,3.0,4.0,2.0,3.65,4.86,2.43,10.94,Complete Progressor
Marseille,Cheikh Ahmadou Bamba Mbacke Dieng,33.0,0.0,1.0,3.0,0.0,2.73,8.18,10.91,Progression Outlet
Marseille,Cengiz Ünder,223.0,8.0,8.0,11.0,3.23,3.23,4.44,10.9,Complete Progressor
Eintracht Frankfurt,Mario Götze,157.0,9.0,4.0,6.0,5.16,2.29,3.44,10.89,Progressive Passer
Rennes,Benjamin Bourigeaud,248.0,12.0,5.0,13.0,4.35,1.81,4.72,10.879999999999999,Progressive Passer
ATK Mohun Bagan,Manvir Singh,1873.0,43.0,80.0,103.0,2.07,3.84,4.95,10.86,Ball Carrier
Odisha,Nandhakumar Sekar,739.0,14.0,35.0,40.0,1.71,4.26,4.87,10.84,Ball Carrier
Nantes,Ludovic Blas,358.0,12.0,12.0,19.0,3.02,3.02,4.78,10.82,Progressive Passer
Chennaiyin,Khumanthem Ninthoinganba Meetei,541.0,10.0,30.0,25.0,1.66,4.99,4.16,10.81,Ball Carrier
Toulouse,Branco van den Boomen,167.0,14.0,3.0,3.0,7.54,1.62,1.62,10.780000000000001,Progressive Passer
Hyderabad,Nikhil Poojary,1356.0,31.0,56.0,75.0,2.06,3.72,4.98,10.760000000000002,Ball Carrier
Angers,Nabil Bentaleb,92.0,9.0,2.0,0.0,8.8,1.96,0.0,10.760000000000002,Progressive Passer
Hyderabad,Aniket Anil Jadhav,1132.0,19.0,50.0,66.0,1.51,3.98,5.25,10.74,Ball Carrier
Hoffenheim,Marius Bülter,109.0,2.0,5.0,6.0,1.65,4.13,4.95,10.73,Ball Carrier
Borussia Mönchengladbach,Franck Honorat,143.0,5.0,7.0,5.0,3.15,4.41,3.15,10.71,Complete Progressor
Rennes,Martin Terrier,160.0,2.0,7.0,10.0,1.12,3.94,5.62,10.68,Ball Carrier
Toulouse,Fares Chaïbi,118.0,4.0,4.0,6.0,3.05,3.05,4.58,10.68,Complete Progressor
ATK Mohun Bagan,David Joel Williams,692.0,26.0,26.0,30.0,3.38,3.38,3.9,10.66,Complete Progressor
Toulouse,Ado Onaiwu,76.0,0.0,5.0,4.0,0.0,5.92,4.74,10.66,Ball Carrier
Montpellier,Florent Mollet,76.0,1.0,3.0,5.0,1.18,3.55,5.92,10.649999999999999,Ball Carrier
Jamshedpur,Ritwik Kumar Das,981.0,18.0,43.0,55.0,1.65,3.94,5.05,10.64,Ball Carrier
Bochum,Kevin Stöger,93.0,5.0,3.0,3.0,4.84,2.9,2.9,10.64,Progressive Passer
Goa,Alexander Romario Jesuraj,431.0,8.0,13.0,30.0,1.67,2.71,6.26,10.64,Progression Outlet
Goa,Eduardo Bedia Peláez,1415.0,108.0,32.0,27.0,6.87,2.04,1.72,10.63,Progressive Passer
Strasbourg,Habibou Mouhamadou Diallo,110.0,0.0,4.0,9.0,0.0,3.27,7.36,10.63,Ball Carrier
Troyes,Abdu Conté,161.0,6.0,5.0,8.0,3.35,2.8,4.47,10.620000000000001,Progressive Passer
Saint-Étienne,Ryad Boudebouz,161.0,9.0,6.0,4.0,5.03,3.35,2.24,10.620000000000001,Complete Progressor
Marseille,Mattéo Guendouzi Olié,373.0,16.0,15.0,13.0,3.86,3.62,3.14,10.620000000000001,Complete Progressor
Mumbai City,Vikram Pratap Singh,645.0,8.0,37.0,31.0,1.12,5.16,4.33,10.61,Ball Carrier
Marseille,Jordan Veretout,170.0,11.0,5.0,4.0,5.82,2.65,2.12,10.59,Progressive Passer
FSV Mainz 05,Tom Krauß,34.0,2.0,0.0,2.0,5.29,0.0,5.29,10.58,Progressive Passer
East Bengal,Francisco José Sota Bernard,324.0,15.0,8.0,15.0,4.17,2.22,4.17,10.56,Progressive Passer
OGC Nice,Flavius Daniliuc,77.0,6.0,2.0,1.0,7.01,2.34,1.17,10.52,Progressive Passer
Paris Saint-Germain,Nuno Mendes,2797.0,75.0,90.0,162.0,2.41,2.9,5.21,10.52,Progression Outlet
AS Monaco,Aleksandr Golovin,154.0,5.0,6.0,7.0,2.92,3.51,4.09,10.52,Ball Carrier
Paris Saint-Germain,Marco Verratti,3360.0,229.0,94.0,69.0,6.13,2.52,1.85,10.5,Progressive Passer
Kerala Blasters,Jorge Rolando Pereyra Díaz,1570.0,38.0,65.0,80.0,2.18,3.73,4.59,10.5,Ball Carrier
Mumbai City,Bipin Singh Thounajam,1711.0,26.0,67.0,106.0,1.37,3.52,5.58,10.47,Ball Carrier
Borussia Mönchengladbach,Tomáš Čvančara,78.0,1.0,3.0,5.0,1.15,3.46,5.77,10.379999999999999,Ball Carrier
ATK Mohun Bagan,Roy Krishna,1233.0,35.0,43.0,64.0,2.55,3.14,4.67,10.36,Ball Carrier
Bayer Leverkusen,Odilon Kossonou,1850.0,125.0,55.0,32.0,6.08,2.68,1.56,10.32,Progressive Passer
Lens,Florian Sotoca,166.0,8.0,7.0,4.0,4.34,3.8,2.17,10.31,Complete Progressor
Rennes,Flavien Tait,88.0,6.0,4.0,0.0,6.14,4.09,0.0,10.23,Complete Progressor
Rennes,Désiré Doué,132.0,3.0,8.0,4.0,2.05,5.45,2.73,10.23,Ball Carrier
Kerala Blasters,Vincy Barretto,432.0,8.0,17.0,24.0,1.67,3.54,5.0,10.21,Ball Carrier
Eintracht Frankfurt,Ansgar Knauff,115.0,2.0,3.0,8.0,1.57,2.35,6.26,10.18,Progression Outlet
Werder Bremen,Rafael Santos Borré Amaury,71.0,0.0,3.0,5.0,0.0,3.8,6.34,10.14,Ball Carrier
Troyes,Wilson Odobert,80.0,3.0,3.0,3.0,3.38,3.38,3.38,10.14,Complete Progressor
OGC Nice,Hichem Boudaoui,160.0,5.0,7.0,6.0,2.81,3.94,3.38,10.129999999999999,Ball Carrier
OGC Nice,Youssouf Ndayishimiye,89.0,3.0,4.0,3.0,3.03,4.04,3.03,10.1,Complete Progressor
NorthEast United,Suhair Vadakkepeedika,1634.0,48.0,51.0,83.0,2.64,2.81,4.57,10.02,Progression Outlet
Strasbourg,Ibrahima Sissoko,99.0,5.0,4.0,2.0,4.55,3.64,1.82,10.01,Complete Progressor
Bayern Munich,Jamal Musiala,117.0,4.0,4.0,5.0,3.08,3.08,3.85,10.01,Complete Progressor
