match_id,team,passes,total_passes,possession_pct
3827338,ATK Mohun Bagan,528,969.0,54.49
3827338,Hyderabad,441,969.0,45.51
3827767,Kerala Blasters,621,1139.0,54.52
3827767,Hyderabad,518,1139.0,45.48
3837650,Paris Saint-Germain,712,1158.0,61.49
3837650,Clermont Foot,446,1158.0,38.51
3837659,Paris Saint-Germain,644,1106.0,58.23
3837659,Montpellier,462,1106.0,41.77
3837662,Paris Saint-Germain,619,1195.0,51.8
3837662,Lille,576,1195.0,48.2
3837680,Paris Saint-Germain,730,1096.0,66.61
3837680,AS Monaco,366,1096.0,33.39
3837683,Paris Saint-Germain,635,1032.0,61.53
3837683,Toulouse,397,1032.0,38.47
3837695,Paris Saint-Germain,733,1217.0,60.23
3837695,Nantes,484,1217.0,39.77
3837706,Paris Saint-Germain,708,1165.0,60.77
3837706,Stade Brestois,457,1165.0,39.23
3837717,Paris Saint-Germain,819,1264.0,64.79
3837717,Lyon,445,1264.0,35.21
3837727,Paris Saint-Germain,699,1219.0,57.34
3837727,OGC Nice,520,1219.0,42.66
3837747,Paris Saint-Germain,542,1080.0,50.19
3837747,Marseille,538,1080.0,49.81
3837752,Paris Saint-Germain,705,1094.0,64.44
3837752,AC Ajaccio,389,1094.0,35.56
3837771,Paris Saint-Germain,715,1071.0,66.76
3837771,Troyes,356,1071.0,33.24
3837785,Paris Saint-Germain,682,1161.0,58.74
3837785,Auxerre,479,1161.0,41.26
3837818,Paris Saint-Germain,868,1300.0,66.77
3837818,Angers,432,1300.0,33.23
3837827,Paris Saint-Germain,711,1089.0,65.29
3837827,Rennes,378,1089.0,34.71
3837839,Paris Saint-Germain,738,1253.0,58.9
3837839,Stade de Reims,515,1253.0,41.1
3837844,Paris Saint-Germain,733,1106.0,66.27
3837844,Montpellier,373,1106.0,33.73
3837859,Paris Saint-Germain,664,1100.0,60.36
3837859,Toulouse,436,1100.0,39.64
3837876,Lille,547,1022.0,53.52
3837876,Paris Saint-Germain,475,1022.0,46.48
3837885,Marseille,512,958.0,53.44
3837885,Paris Saint-Germain,446,958.0,46.56
3837896,Paris Saint-Germain,792,1179.0,67.18
3837896,Nantes,387,1179.0,32.82
3837902,Paris Saint-Germain,649,1061.0,61.17
3837902,Stade Brestois,412,1061.0,38.83
3837918,Paris Saint-Germain,679,1127.0,60.25
3837918,Rennes,448,1127.0,39.75
3837928,Paris Saint-Germain,741,1182.0,62.69
3837928,Lyon,441,1182.0,37.31
3837938,Paris Saint-Germain,749,1368.0,54.75
3837938,OGC Nice,619,1368.0,45.25
3837947,Paris Saint-Germain,753,1221.0,61.67
3837947,Lens,468,1221.0,38.33
3837954,Paris Saint-Germain,885,1348.0,65.65
3837954,Angers,463,1348.0,34.35
3837963,Paris Saint-Germain,618,1164.0,53.09
3837963,Lorient,546,1164.0,46.91
3837987,Paris Saint-Germain,785,1075.0,73.02
3837987,AC Ajaccio,290,1075.0,26.98
3837998,Paris Saint-Germain,778,1245.0,62.49
3837998,Auxerre,467,1245.0,37.51
3838004,Paris Saint-Germain,752,1144.0,65.73
3838004,Strasbourg,392,1144.0,34.27
3838017,Paris Saint-Germain,584,1078.0,54.17
3838017,Clermont Foot,494,1078.0,45.83
3895052,RB Leipzig,600,1081.0,55.5
3895052,Bayer Leverkusen,481,1081.0,44.5
3895060,Bayer Leverkusen,737,1239.0,59.48
3895060,Borussia Mönchengladbach,502,1239.0,40.52
3895067,Bayer Leverkusen,820,1130.0,72.57
3895067,Darmstadt 98,310,1130.0,27.43
3895074,Bayern Munich,637,1240.0,51.37
3895074,Bayer Leverkusen,603,1240.0,48.63
3895086,Bayer Leverkusen,873,1237.0,70.57
3895086,FC Heidenheim,364,1237.0,29.43
3895095,Bayer Leverkusen,635,1162.0,54.65
3895095,FSV Mainz 05,527,1162.0,45.35
3895107,Bayer Leverkusen,775,1211.0,64.0
3895107,FC Köln,436,1211.0,36.0
3895113,Bayer Leverkusen,654,1127.0,58.03
3895113,Wolfsburg,473,1127.0,41.97
3895121,Bayer Leverkusen,752,1081.0,69.57
3895121,Freiburg,329,1081.0,30.43
3895134,Bayer Leverkusen,588,1128.0,52.13
3895134,Hoffenheim,540,1128.0,47.87
3895139,Bayer Leverkusen,855,1257.0,68.02
3895139,Union Berlin,402,1257.0,31.98
3895153,Bayer Leverkusen,772,1309.0,58.98
3895153,Werder Bremen,537,1309.0,41.02
3895158,Bayer Leverkusen,727,1066.0,68.2
3895158,Borussia Dortmund,339,1066.0,31.8
3895167,VfB Stuttgart,608,1172.0,51.88
3895167,Bayer Leverkusen,564,1172.0,48.12
3895180,Bayer Leverkusen,779,1273.0,61.19
3895180,Eintracht Frankfurt,494,1273.0,38.81
3895182,Bayer Leverkusen,786,1137.0,69.13
3895182,Bochum,351,1137.0,30.87
3895194,Bayer Leverkusen,852,1132.0,75.27
3895194,Augsburg,280,1132.0,24.73
3895202,Bayer Leverkusen,675,1130.0,59.73
3895202,RB Leipzig,455,1130.0,40.27
3895210,Bayer Leverkusen,1002,1346.0,74.44
3895210,Borussia Mönchengladbach,344,1346.0,25.56
3895220,Bayer Leverkusen,803,1194.0,67.25
3895220,Darmstadt 98,391,1194.0,32.75
3895232,Bayern Munich,713,1166.0,61.15
3895232,Bayer Leverkusen,453,1166.0,38.85
3895244,Bayer Leverkusen,662,1084.0,61.07
3895244,FC Heidenheim,422,1084.0,38.93
3895250,Bayer Leverkusen,723,1087.0,66.51
3895250,FSV Mainz 05,364,1087.0,33.49
3895258,Bayer Leverkusen,874,1131.0,77.28
3895258,FC Köln,257,1131.0,22.72
3895266,Bayer Leverkusen,940,1240.0,75.81
3895266,Wolfsburg,300,1240.0,24.19
3895275,Bayer Leverkusen,764,1137.0,67.19
3895275,Freiburg,373,1137.0,32.81
3895286,Bayer Leverkusen,785,1154.0,68.02
3895286,Hoffenheim,369,1154.0,31.98
3895292,Bayer Leverkusen,708,1080.0,65.56
3895292,Union Berlin,372,1080.0,34.44
3895302,Bayer Leverkusen,651,1172.0,55.55
3895302,Werder Bremen,521,1172.0,44.45
3895309,Bayer Leverkusen,564,1084.0,52.03
3895309,Borussia Dortmund,520,1084.0,47.97
3895320,VfB Stuttgart,546,1076.0,50.74
3895320,Bayer Leverkusen,530,1076.0,49.26
3895333,Eintracht Frankfurt,566,1007.0,56.21
3895333,Bayer Leverkusen,441,1007.0,43.79
3895340,Bayer Leverkusen,645,956.0,67.47
3895340,Bochum,311,956.0,32.53
3895348,Bayer Leverkusen,771,1188.0,64.9
3895348,Augsburg,417,1188.0,35.1
