match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
3817865,Odisha,16,1.953,1.953,2.0,2.0,0.122
3817865,NorthEast United,14,0.953,0.953,0.0,0.0,0.068
3817866,Kerala Blasters,16,1.774,0.991,3.0,2.0,0.066
3817866,Mumbai City,14,1.587,0.803,1.0,0.0,0.062
3817867,Mumbai City,18,2.534,1.75,1.0,0.0,0.103
3817867,NorthEast United,11,0.799,0.799,1.0,1.0,0.073
3817868,Bengaluru,14,3.382,2.598,3.0,2.0,0.2
3817868,Chennaiyin,15,1.425,1.425,0.0,0.0,0.095
3817869,Bengaluru,8,0.992,0.992,1.0,1.0,0.124
3817869,Hyderabad,11,0.577,0.577,2.0,2.0,0.052
3817870,Kerala Blasters,13,2.991,2.208,4.0,3.0,0.184
3817870,Goa,15,2.388,1.605,4.0,3.0,0.115
3817871,Hyderabad,20,3.033,3.033,5.0,5.0,0.152
3817871,NorthEast United,9,0.304,0.304,0.0,0.0,0.034
3817872,Odisha,14,1.691,1.691,1.0,1.0,0.121
3817872,Bengaluru,11,1.945,1.161,2.0,1.0,0.116
3817873,ATK Mohun Bagan,16,2.327,2.327,3.0,3.0,0.145
3817873,NorthEast United,24,1.259,1.259,1.0,1.0,0.052
3817874,Goa,11,1.294,1.294,1.0,1.0,0.118
3817874,Bengaluru,12,0.689,0.689,1.0,1.0,0.057
3817875,Goa,12,1.542,1.542,0.0,0.0,0.129
3817875,Jamshedpur,5,0.395,0.395,1.0,1.0,0.079
3817876,NorthEast United,28,3.242,3.242,1.0,1.0,0.116
3817876,Chennaiyin,11,0.716,0.716,2.0,2.0,0.065
3817877,NorthEast United,14,1.933,1.933,2.0,2.0,0.138
3817877,Bengaluru,15,1.604,1.604,1.0,1.0,0.107
3817878,Hyderabad,21,2.928,2.928,4.0,4.0,0.139
3817878,East Bengal,12,1.244,0.46,0.0,0.0,0.042
3817879,Hyderabad,25,1.212,1.212,1.0,1.0,0.048
3817879,Chennaiyin,11,0.91,0.91,1.0,1.0,0.083
3817880,Odisha,19,1.956,1.956,2.0,2.0,0.103
3817880,Chennaiyin,14,1.561,1.561,2.0,2.0,0.111
3817881,Jamshedpur,12,2.014,0.447,3.0,1.0,0.045
3817881,Kerala Blasters,10,0.281,0.281,0.0,0.0,0.028
3817882,East Bengal,26,1.595,1.595,2.0,2.0,0.061
3817882,Chennaiyin,7,0.685,0.685,1.0,1.0,0.098
3817883,Bengaluru,11,1.411,1.411,3.0,3.0,0.128
3817883,Jamshedpur,13,1.155,1.155,1.0,1.0,0.089
3817884,ATK Mohun Bagan,17,2.278,2.278,2.0,2.0,0.134
3817884,Hyderabad,15,1.039,1.039,1.0,1.0,0.069
3817885,Mumbai City,12,1.289,1.289,1.0,1.0,0.107
3817885,East Bengal,13,1.019,1.019,0.0,0.0,0.078
3817886,Kerala Blasters,16,1.417,1.417,2.0,2.0,0.089
3817886,NorthEast United,11,0.478,0.478,1.0,1.0,0.043
3817887,Hyderabad,14,1.568,1.568,2.0,2.0,0.112
3817887,Mumbai City,16,0.924,0.924,1.0,1.0,0.058
3817888,ATK Mohun Bagan,31,3.093,2.309,3.0,3.0,0.077
3817888,East Bengal,13,1.075,1.075,1.0,1.0,0.083
3817889,Chennaiyin,16,0.714,0.714,0.0,0.0,0.045
3817889,ATK Mohun Bagan,8,0.265,0.265,1.0,1.0,0.033
3817890,Goa,25,2.224,2.224,1.0,1.0,0.089
3817890,NorthEast United,11,0.515,0.515,1.0,1.0,0.047
3817891,East Bengal,17,1.552,1.552,0.0,0.0,0.091
3817891,Bengaluru,8,1.154,1.154,1.0,1.0,0.144
3817892,ATK Mohun Bagan,17,1.576,0.792,1.0,0.0,0.05
3817892,Odisha,13,1.551,0.768,1.0,1.0,0.064
3817893,NorthEast United,10,0.871,0.871,1.0,1.0,0.087
3817893,East Bengal,18,1.273,0.489,1.0,0.0,0.029
3817894,Goa,24,1.704,1.704,1.0,1.0,0.071
3817894,Odisha,11,1.916,1.133,1.0,0.0,0.113
3817895,Goa,18,1.87,1.87,4.0,4.0,0.104
3817895,Chennaiyin,7,0.484,0.484,0.0,0.0,0.069
3817896,Odisha,8,1.297,1.297,2.0,2.0,0.162
3817896,East Bengal,15,0.619,0.619,1.0,1.0,0.041
3817897,Hyderabad,9,1.421,1.421,2.0,2.0,0.158
3817897,Kerala Blasters,18,1.384,1.384,1.0,1.0,0.077
3817898,Goa,16,1.909,1.126,0.0,0.0,0.075
3817898,Mumbai City,15,0.645,0.645,2.0,2.0,0.043
3817899,Jamshedpur,21,3.145,3.145,5.0,5.0,0.15
3817899,Odisha,4,0.22,0.22,1.0,1.0,0.055
3817900,Jamshedpur,28,3.414,3.414,4.0,4.0,0.122
3817900,Chennaiyin,15,0.875,0.875,1.0,1.0,0.058
3817901,Jamshedpur,10,2.668,1.884,3.0,2.0,0.209
3817901,Mumbai City,17,2.555,0.988,2.0,1.0,0.066
3817902,Kerala Blasters,15,0.636,0.636,1.0,1.0,0.042
3817902,East Bengal,9,0.452,0.452,0.0,0.0,0.05
3827335,Kerala Blasters,11,1.423,1.423,1.0,1.0,0.129
3827335,Jamshedpur,11,1.093,1.093,1.0,1.0,0.099
3827336,ATK Mohun Bagan,30,2.579,2.579,1.0,1.0,0.086
3827336,Hyderabad,10,0.642,0.642,0.0,0.0,0.064
3827337,Jamshedpur,6,0.58,0.58,0.0,0.0,0.097
3827337,Kerala Blasters,6,0.555,0.555,1.0,1.0,0.093
3827338,ATK Mohun Bagan,13,1.717,1.717,1.0,1.0,0.132
3827338,Hyderabad,11,0.943,0.943,3.0,3.0,0.086
3827767,Kerala Blasters,20,4.319,1.185,2.0,1.0,0.074
3827767,Hyderabad,18,3.999,0.865,4.0,1.0,0.062
3837650,Paris Saint-Germain,18,2.611,2.611,5.0,5.0,0.145
3837650,Clermont Foot,7,0.264,0.264,0.0,0.0,0.038
3837659,Paris Saint-Germain,20,3.53,1.963,4.0,3.0,0.109
3837659,Montpellier,7,0.811,0.811,2.0,2.0,0.116
3837662,Paris Saint-Germain,16,3.899,3.899,7.0,7.0,0.244
3837662,Lille,16,1.974,1.974,1.0,1.0,0.123
3837680,Paris Saint-Germain,18,2.56,1.777,1.0,0.0,0.105
3837680,AS Monaco,4,0.453,0.453,1.0,1.0,0.113
3837683,Paris Saint-Germain,21,3.057,3.057,3.0,3.0,0.146
3837683,Toulouse,14,0.804,0.804,0.0,0.0,0.057
3837695,Paris Saint-Germain,20,3.824,3.824,3.0,3.0,0.191
3837695,Nantes,11,0.428,0.428,0.0,0.0,0.039
3837706,Paris Saint-Germain,14,1.493,1.493,1.0,1.0,0.107
3837706,Stade Brestois,6,1.082,0.298,0.0,0.0,0.06
3837717,Paris Saint-Germain,15,1.949,1.949,1.0,1.0,0.13
3837717,Lyon,12,0.811,0.811,0.0,0.0,0.068
3837727,Paris Saint-Germain,12,0.773,0.773,2.0,2.0,0.064
3837727,OGC Nice,4,0.382,0.382,1.0,1.0,0.096
3837747,Paris Saint-Germain,22,2.09,2.09,1.0,1.0,0.095
3837747,Marseille,20,1.209,1.209,0.0,0.0,0.06
3837752,Paris Saint-Germain,11,2.862,2.862,3.0,3.0,0.26
3837752,AC Ajaccio,8,0.24,0.24,0.0,0.0,0.03
3837771,Paris Saint-Germain,20,2.835,2.052,4.0,3.0,0.108
3837771,Troyes,16,1.721,1.721,3.0,3.0,0.108
3837785,Paris Saint-Germain,9,1.428,1.428,5.0,5.0,0.159
3837785,Auxerre,10,0.667,0.667,0.0,0.0,0.067
3837818,Paris Saint-Germain,9,1.351,1.351,2.0,2.0,0.15
3837818,Angers,6,0.354,0.354,0.0,0.0,0.059
3837827,Paris Saint-Germain,8,1.039,1.039,0.0,0.0,0.13
3837827,Rennes,8,0.555,0.555,1.0,1.0,0.069
3837839,Stade de Reims,17,1.907,1.907,1.0,1.0,0.112
3837839,Paris Saint-Germain,12,1.72,1.72,1.0,1.0,0.143
3837844,Paris Saint-Germain,19,3.997,3.213,3.0,3.0,0.179
3837844,Montpellier,6,0.346,0.346,1.0,1.0,0.058
3837859,Paris Saint-Germain,22,1.768,1.768,2.0,2.0,0.08
3837859,Toulouse,12,0.7,0.7,1.0,1.0,0.058
3837876,Lille,16,2.204,1.421,3.0,2.0,0.095
3837876,Paris Saint-Germain,12,1.255,1.255,4.0,4.0,0.105
3837885,Paris Saint-Germain,12,2.197,2.197,3.0,3.0,0.183
3837885,Marseille,19,1.568,1.568,0.0,0.0,0.083
3837896,Paris Saint-Germain,17,1.472,1.472,3.0,3.0,0.087
3837896,Nantes,8,0.408,0.408,2.0,2.0,0.051
3837902,Paris Saint-Germain,17,2.47,2.47,2.0,2.0,0.145
3837902,Stade Brestois,7,0.622,0.622,1.0,1.0,0.089
3837918,Paris Saint-Germain,17,1.59,1.59,0.0,0.0,0.094
3837918,Rennes,10,1.359,1.359,2.0,2.0,0.136
3837928,Lyon,10,2.269,1.485,1.0,1.0,0.165
3837928,Paris Saint-Germain,16,1.064,1.064,0.0,0.0,0.067
3837938,OGC Nice,21,1.273,1.273,0.0,0.0,0.061
3837938,Paris Saint-Germain,13,0.772,0.772,2.0,2.0,0.059
3837947,Paris Saint-Germain,15,1.5,1.5,3.0,3.0,0.1
3837947,Lens,14,1.715,0.931,1.0,0.0,0.072
3837954,Paris Saint-Germain,10,1.914,1.914,2.0,2.0,0.191
3837954,Angers,16,1.246,1.246,1.0,1.0,0.078
3837963,Lorient,14,3.212,3.212,3.0,3.0,0.229
3837963,Paris Saint-Germain,13,1.984,1.984,1.0,1.0,0.153
3837987,Paris Saint-Germain,16,2.142,2.142,4.0,4.0,0.134
3837987,AC Ajaccio,7,0.303,0.303,0.0,0.0,0.043
3837998,Paris Saint-Germain,15,1.552,1.552,2.0,2.0,0.103
3837998,Auxerre,14,0.871,0.871,1.0,1.0,0.062
3838004,Strasbourg,17,1.4,1.4,1.0,1.0,0.082
3838004,Paris Saint-Germain,7,0.91,0.91,1.0,1.0,0.13
3838017,Clermont Foot,12,3.372,2.588,3.0,3.0,0.235
3838017,Paris Saint-Germain,16,2.018,1.234,2.0,1.0,0.082
3895052,RB Leipzig,14,1.722,1.722,2.0,2.0,0.123
3895052,Bayer Leverkusen,11,1.523,1.523,3.0,3.0,0.138
3895060,Bayer Leverkusen,24,2.72,2.72,3.0,3.0,0.113
3895060,Borussia Mönchengladbach,12,0.799,0.799,0.0,0.0,0.067
3895067,Bayer Leverkusen,25,3.305,3.305,5.0,5.0,0.132
3895067,Darmstadt 98,5,0.579,0.579,1.0,1.0,0.116
3895074,Bayern Munich,16,2.21,2.21,2.0,2.0,0.138
3895074,Bayer Leverkusen,13,2.218,1.435,2.0,1.0,0.12
3895086,Bayer Leverkusen,21,3.708,2.925,4.0,3.0,0.146
3895086,FC Heidenheim,2,0.327,0.327,1.0,1.0,0.163
3895095,Bayer Leverkusen,6,0.794,0.794,2.0,2.0,0.132
3895095,FSV Mainz 05,10,0.435,0.435,0.0,0.0,0.044
3895107,Bayer Leverkusen,23,2.942,2.942,3.0,3.0,0.128
3895107,FC Köln,7,1.19,1.19,0.0,0.0,0.17
3895113,Bayer Leverkusen,13,1.963,1.963,2.0,2.0,0.151
3895113,Wolfsburg,18,1.198,1.198,1.0,1.0,0.067
3895121,Bayer Leverkusen,18,1.425,1.425,1.0,1.0,0.079
3895121,Freiburg,10,0.768,0.768,1.0,1.0,0.077
3895134,Hoffenheim,12,1.484,1.484,2.0,2.0,0.124
3895134,Bayer Leverkusen,10,1.274,1.274,3.0,3.0,0.127
3895139,Bayer Leverkusen,18,1.883,1.883,4.0,4.0,0.105
3895139,Union Berlin,2,0.039,0.039,0.0,0.0,0.019
3895153,Bayer Leverkusen,14,1.091,1.091,2.0,2.0,0.078
3895153,Werder Bremen,2,0.186,0.186,0.0,0.0,0.093
3895158,Bayer Leverkusen,24,2.145,2.145,1.0,1.0,0.089
3895158,Borussia Dortmund,6,0.808,0.808,1.0,1.0,0.135
