match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3817901,Laldinliana Renthlei,Jamshedpur,3,1.257,3.0,2.0,0.419,4.0,261.0,0.433,47.11
3837727,Kylian Mbappé Lottin,Paris Saint-Germain,1,0.173,1.0,1.0,0.173,1.0,36.0,0.432,23.17
3817861,Chencho Gyeltshen,Kerala Blasters,1,0.024,1.0,0.0,0.024,2.0,5.0,0.432,4.19
3813291,Prabir Das,ATK Mohun Bagan,1,0.067,1.0,0.0,0.067,1.0,14.0,0.431,6.93
3817859,Marcelo Leite Pereira,NorthEast United,7,1.644,8.0,2.0,0.235,16.0,343.0,0.431,93.42
3837844,Enzo Gianni Tchato Mbiayi,Montpellier,2,0.086,2.0,1.0,0.043,3.0,18.0,0.43,24.84
3895266,Patrik Schick,Bayer Leverkusen,2,0.717,2.0,1.0,0.359,4.0,150.0,0.43,40.28
3817894,Saviour Gama,Goa,4,0.42,4.0,1.0,0.105,10.0,88.0,0.43,26.2
3817871,Seityasen Singh,Hyderabad,4,0.459,4.0,2.0,0.115,9.0,96.0,0.43,17.18
3813275,Sahal Abdul Samad,Kerala Blasters,2,0.658,3.0,1.0,0.329,2.0,138.0,0.429,87.8
3817900,Jerry Lalrinzuala,Chennaiyin,1,0.229,2.0,1.0,0.229,2.0,48.0,0.429,26.84
3895340,Lukas Daschner,Bochum,1,0.152,1.0,0.0,0.152,2.0,32.0,0.428,48.39
3837695,Juan Bernat Velasco,Paris Saint-Germain,3,0.67,4.0,0.0,0.223,12.0,141.0,0.428,21.0
3837771,Marcos Aoás Corrêa,Paris Saint-Germain,3,0.428,3.0,0.0,0.143,19.0,90.0,0.428,15.43
3838017,Jim Allevinah,Clermont Foot,1,0.223,1.0,0.0,0.223,5.0,47.0,0.427,6.61
3813285,Muhammed Nemil Valiyattil,Goa,1,0.071,1.0,0.0,0.071,2.0,15.0,0.426,8.98
3813264,Javier Siverio Toro,Hyderabad,1,0.09,1.0,1.0,0.09,1.0,19.0,0.426,6.65
3895121,Manuel Gulde,Freiburg,3,0.368,4.0,1.0,0.123,4.0,78.0,0.425,50.05
3813282,Raynier Fernandes,Mumbai City,1,0.104,1.0,0.0,0.104,4.0,22.0,0.425,7.53
3813290,Konsham Chinglensana Singh,Hyderabad,2,0.867,2.0,1.0,0.433,5.0,184.0,0.424,42.05
3817885,Igor Angulo Albóniga,Mumbai City,2,0.603,4.0,0.0,0.301,2.0,128.0,0.424,49.21
3813300,Vincy Barretto,Kerala Blasters,2,0.582,3.0,0.0,0.291,8.0,124.0,0.422,26.47
3813297,Suhair Vadakkepeedika,NorthEast United,2,0.581,3.0,2.0,0.291,5.0,124.0,0.422,44.02
3813267,Aibanbha Kupar Dohling,Goa,3,1.167,4.0,1.0,0.389,6.0,249.0,0.422,40.93
3895302,Patrik Schick,Bayer Leverkusen,2,0.178,2.0,0.0,0.089,5.0,38.0,0.422,6.15
3817855,Roy Krishna,ATK Mohun Bagan,3,0.323,3.0,0.0,0.108,6.0,69.0,0.421,22.48
3895309,Florian Wirtz,Bayer Leverkusen,1,0.117,1.0,1.0,0.117,1.0,25.0,0.421,8.58
3837938,Gaëtan Laborde,OGC Nice,1,0.056,1.0,0.0,0.056,6.0,12.0,0.42,5.56
3837938,Renato Júnior Luz Sanches,Paris Saint-Germain,1,0.042,1.0,0.0,0.042,5.0,9.0,0.42,5.66
3817852,Mohammad Nawaz,Mumbai City,2,0.878,2.0,1.0,0.439,4.0,188.0,0.42,53.82
3837928,Amin Sarr,Lyon,1,0.098,1.0,0.0,0.098,4.0,21.0,0.42,5.6
3837963,Bonke Innocent,Lorient,3,0.791,3.0,2.0,0.264,16.0,171.0,0.416,30.19
3817865,Lalkhawpuimawia Lalkhawpuimawia,NorthEast United,3,0.652,3.0,0.0,0.217,3.0,141.0,0.416,70.43
3817898,Sanson Pereira,Goa,1,0.106,1.0,0.0,0.106,4.0,23.0,0.415,5.55
