player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Vincy Barretto,Kerala Blasters,3817870,1,0.41,0.41,2.0,30.0,1.229
Renato Júnior Luz Sanches,Paris Saint-Germain,3837859,1,0.176,0.176,2.0,13.0,1.222
Paul Ramfangzauva,Odisha,3817896,1,0.83,0.83,2.0,62.0,1.205
David Joel Williams,ATK Mohun Bagan,3813306,2,0.293,0.146,9.0,22.0,1.198
Lenny Rodrigues,ATK Mohun Bagan,3813306,2,0.293,0.146,7.0,22.0,1.198
Valère Germain,Montpellier,3837659,1,0.146,0.146,3.0,11.0,1.191
Adam Hložek,Bayer Leverkusen,3895210,3,0.575,0.144,5.0,44.0,1.177
Daniel Lalhlimpuia,Odisha,3813300,2,0.591,0.296,2.0,46.0,1.157
Thilo Kehrer,Paris Saint-Germain,3802818,1,0.089,0.089,1.0,7.0,1.149
David Joel Williams,ATK Mohun Bagan,3827338,1,0.661,0.661,1.0,52.0,1.144
Rahim Ali,Chennaiyin,3813279,3,0.876,0.292,6.0,69.0,1.143
Fabio Carvalho,RB Leipzig,3895052,1,0.297,0.148,4.0,24.0,1.112
Julian Draxler,Paris Saint-Germain,3802802,2,0.363,0.182,2.0,30.0,1.09
Joni Ensio Kauko,ATK Mohun Bagan,3817884,1,0.727,0.727,2.0,60.0,1.09
Diego Maurício Machado de Brito,Mumbai City,3817852,1,0.384,0.384,1.0,32.0,1.081
Fabien Lemoine,Lorient,3802818,1,0.048,0.048,8.0,4.0,1.073
Leandro Daniel Paredes,Paris Saint-Germain,3837659,2,0.423,0.211,8.0,38.0,1.001
Achraf Hakimi Mouh,Paris Saint-Germain,3802752,2,0.399,0.2,5.0,36.0,0.998
Jonas Hofmann,Bayer Leverkusen,3895220,1,0.176,0.176,9.0,16.0,0.991
Sahil Tavora,Hyderabad,3817878,1,0.483,0.242,2.0,44.0,0.989
Sergio Ramos García,Paris Saint-Germain,3837695,2,1.476,0.295,9.0,135.0,0.984
Amine Adli,Bayer Leverkusen,3895107,2,0.459,0.229,3.0,42.0,0.983
Joe Zoherliana,NorthEast United,3817859,1,0.958,0.958,1.0,90.0,0.958
Maximilian Philipp,Freiburg,3895275,1,0.231,0.116,4.0,22.0,0.947
Jakub Kamiński,Wolfsburg,3895113,1,0.293,0.146,4.0,28.0,0.941
Carlos Soler Barragán,Paris Saint-Germain,3837963,1,0.449,0.449,1.0,43.0,0.94
Alexander Romario Jesuraj,Goa,3817875,2,0.393,0.196,9.0,38.0,0.93
Nordi Mukiele Mulere,Paris Saint-Germain,3837717,2,0.635,0.318,5.0,62.0,0.922
Justin Kluivert,OGC Nice,3802793,1,0.731,0.731,8.0,72.0,0.914
Ismaël Gharbi,Paris Saint-Germain,3802930,1,0.03,0.03,6.0,3.0,0.912
Danilo Luís Hélio Pereira,Paris Saint-Germain,3837747,1,0.243,0.243,6.0,24.0,0.91
Veljko Birmančević,Toulouse,3837859,2,0.359,0.12,6.0,36.0,0.898
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3802802,1,0.267,0.267,6.0,27.0,0.89
Devendra Dhaku Murgaokar,Goa,3817895,1,0.077,0.077,4.0,8.0,0.87
Hichem Boudaoui,OGC Nice,3802805,1,0.076,0.076,3.0,8.0,0.86
Nuno Mendes,Paris Saint-Germain,3802795,1,0.095,0.095,1.0,10.0,0.858
Arthur Augusto de Matos Soares,Bayer Leverkusen,3895060,2,0.418,0.209,4.0,44.0,0.855
