player,team,match_id,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
Airam López Cabrera,Goa,3813315,2,0.102,0.051,4.0,56.0,0.165
Hernán Daniel Santana Trujillo,NorthEast United,3813306,5,0.828,0.166,11.0,455.0,0.164
Jean-Ricner Bellegarde,Strasbourg,3838004,5,0.931,0.155,13.0,510.0,0.164
Adil Khan,East Bengal,3817893,2,0.069,0.035,12.0,38.0,0.164
Hugo Adnan Boumous,ATK Mohun Bagan,3813268,7,1.227,0.175,23.0,672.0,0.164
Kylian Mbappé Lottin,Paris Saint-Germain,3837717,6,1.189,0.17,11.0,651.0,0.164
Milos Veljkovic,Werder Bremen,3895302,3,0.471,0.157,18.0,258.0,0.164
Dennis Appiah,Nantes,3802839,2,0.316,0.158,3.0,174.0,0.164
Carl Gerard McHugh,ATK Mohun Bagan,3817855,4,0.509,0.127,8.0,280.0,0.164
Hugo Ekitike,Paris Saint-Germain,3837998,1,0.093,0.093,3.0,51.0,0.164
Josip Stanišić,Bayer Leverkusen,3895266,7,1.122,0.16,25.0,616.0,0.164
João Victor de Albuquerque Bruno,Hyderabad,3813295,1,0.169,0.169,2.0,93.0,0.163
Manvir Singh,NorthEast United,3817865,1,0.025,0.025,2.0,14.0,0.163
Konsham Chinglensana Singh,Hyderabad,3813295,1,0.169,0.169,1.0,93.0,0.163
Juan Antonio González Fernández,Hyderabad,3813295,1,0.169,0.169,2.0,93.0,0.163
Lukáš Hrádecký,Bayer Leverkusen,3895180,3,0.506,0.169,4.0,279.0,0.163
Exequiel Alejandro Palacios,Bayer Leverkusen,3895095,3,0.665,0.166,16.0,368.0,0.163
Iman Basafa,Bengaluru,3817849,1,0.098,0.049,4.0,54.0,0.163
Jessel Carneiro,Kerala Blasters,3813300,4,0.844,0.169,7.0,465.0,0.163
Kylian Mbappé Lottin,Paris Saint-Germain,3837683,7,1.454,0.162,25.0,801.0,0.163
Roy Krishna,ATK Mohun Bagan,3827336,4,0.861,0.172,10.0,475.0,0.163
Grischa Prömel,Hoffenheim,3895134,5,1.009,0.168,23.0,558.0,0.163
Mohamed Ali,Goa,3813267,5,0.968,0.161,20.0,534.0,0.163
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837680,5,1.076,0.154,26.0,595.0,0.163
Moirangthem Thoiba Singh,Odisha,3817851,1,0.089,0.089,1.0,49.0,0.163
Gianluigi Donnarumma,Paris Saint-Germain,3802983,1,0.166,0.166,1.0,92.0,0.162
Marcos Aoás Corrêa,Paris Saint-Germain,3802839,4,0.679,0.17,9.0,376.0,0.162
Leroy Sané,Bayern Munich,3895074,7,1.385,0.173,19.0,768.0,0.162
Mohammad Yasir,Hyderabad,3817884,2,0.27,0.09,5.0,150.0,0.162
Nuno Mendes,Paris Saint-Germain,3802818,8,1.278,0.16,20.0,712.0,0.162
Makan Winkle Chote,Goa,3813271,2,0.115,0.029,10.0,64.0,0.162
Jitendra Singh,Jamshedpur,3817901,2,0.339,0.169,6.0,188.0,0.162
Robert Andrich,Bayer Leverkusen,3895302,5,0.793,0.159,16.0,440.0,0.162
Waldemar Anton,VfB Stuttgart,3895167,7,1.475,0.164,33.0,819.0,0.162
Pratik Prabhakar Chaudhari,Bengaluru,3817849,3,0.848,0.17,13.0,475.0,0.161
Liridon Krasniqi,Odisha,3813317,3,0.506,0.169,10.0,282.0,0.161
Darlin Zidane Yongwa Ngameni,Lorient,3837963,3,0.499,0.166,9.0,279.0,0.161
Exequiel Alejandro Palacios,Bayer Leverkusen,3895060,9,1.359,0.124,51.0,759.0,0.161
Vitor Machado Ferreira,Paris Saint-Germain,3837954,4,0.619,0.155,12.0,348.0,0.16
Alejandro Grimaldo García,Bayer Leverkusen,3895074,3,0.5,0.167,8.0,282.0,0.16
Mohammed Irshad,NorthEast United,3817890,1,0.027,0.027,1.0,15.0,0.16
Jere Juhani Uronen,Stade Brestois,3837706,2,0.082,0.041,8.0,46.0,0.16
Slavko Damjanović,Chennaiyin,3817868,4,0.758,0.152,8.0,425.0,0.16
Patrick Osterhage,Bochum,3895340,1,0.152,0.152,2.0,85.0,0.16
Victor Okoh Boniface,Bayer Leverkusen,3895067,4,0.97,0.162,18.0,546.0,0.16
Presnel Kimpembe,Paris Saint-Germain,3837885,1,0.023,0.023,1.0,13.0,0.16
Oliver Baumann,Hoffenheim,3895134,4,1.015,0.169,16.0,570.0,0.16
José Luis Espinosa Arroyo,ATK Mohun Bagan,3813306,6,0.984,0.164,15.0,552.0,0.16
Oliver Baumann,Hoffenheim,3895286,3,0.506,0.169,3.0,285.0,0.16
Exequiel Alejandro Palacios,Bayer Leverkusen,3895113,7,1.153,0.165,22.0,651.0,0.159
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837902,4,0.631,0.158,9.0,356.0,0.159
Cleiton Augusto Oliveira Silva,Bengaluru,3817869,4,0.666,0.167,7.0,376.0,0.159
Florian Wirtz,Bayer Leverkusen,3895275,7,1.327,0.166,45.0,752.0,0.159
Florian Wirtz,Bayer Leverkusen,3895220,8,1.061,0.133,28.0,600.0,0.159
Saviour Gama,Goa,3817848,5,0.465,0.078,6.0,264.0,0.159
Deepak Tangri,ATK Mohun Bagan,3827338,2,0.282,0.141,4.0,160.0,0.158
Florian Wirtz,Bayer Leverkusen,3895074,3,0.659,0.165,21.0,376.0,0.158
Hrvoje Smolčić,Eintracht Frankfurt,3895180,1,0.053,0.053,2.0,30.0,0.158
Fabián Ruiz Peña,Paris Saint-Germain,3837885,3,0.484,0.161,6.0,276.0,0.158
Gurpreet Singh Sandhu,Bengaluru,3817869,3,0.494,0.165,5.0,282.0,0.158
Suhair Vadakkepeedika,NorthEast United,3813290,3,0.834,0.139,7.0,474.0,0.158
Wahengbam Angousana Luwang,East Bengal,3817878,1,0.039,0.039,2.0,22.0,0.158
Mirshad Koottappunna,NorthEast United,3817859,3,0.612,0.153,5.0,348.0,0.158
Rahim Ali,Chennaiyin,3813294,2,0.452,0.151,5.0,258.0,0.158
Sada Thioub,Saint-Étienne,3802709,3,0.126,0.042,15.0,72.0,0.158
Ellyes Joris Skhiri,Eintracht Frankfurt,3895180,1,0.053,0.053,4.0,30.0,0.158
Sergio Ramos García,Paris Saint-Germain,3837876,4,0.83,0.166,33.0,475.0,0.157
Josip Stanišić,Bayer Leverkusen,3895182,7,1.139,0.163,23.0,651.0,0.157
Nordi Mukiele Mulere,Paris Saint-Germain,3837683,3,0.456,0.152,9.0,261.0,0.157
Eli Sabia Filho,Jamshedpur,3817899,2,0.315,0.157,4.0,180.0,0.157
Piero Martín Hincapié Reyna,Bayer Leverkusen,3895275,9,1.712,0.156,60.0,979.0,0.157
Eli Sabia Filho,Jamshedpur,3827335,1,0.317,0.159,4.0,182.0,0.157
Igor Silva de Almeida,Lorient,3802690,1,0.024,0.024,2.0,14.0,0.157
Neymar da Silva Santos Junior,Paris Saint-Germain,3802696,6,0.669,0.111,18.0,384.0,0.157
Angel Gomes,Lille,3837662,7,1.4,0.156,44.0,801.0,0.157
Rohit Kumar,Bengaluru,3813287,1,0.03,0.03,3.0,17.0,0.157
Marcos Aoás Corrêa,Paris Saint-Germain,3837844,8,1.297,0.162,24.0,744.0,0.157
Granit Xhaka,Bayer Leverkusen,3895309,6,1.019,0.17,19.0,588.0,0.156
Adrián Nicolás Luna Retamar,Kerala Blasters,3827337,1,0.163,0.163,2.0,94.0,0.156
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3802818,4,0.624,0.156,13.0,360.0,0.156
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837998,5,0.816,0.163,16.0,470.0,0.156
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895266,8,1.221,0.153,28.0,704.0,0.156
Jonas Hofmann,Bayer Leverkusen,3895067,9,1.611,0.161,36.0,930.0,0.156
Sergio Ramos García,Paris Saint-Germain,3837659,4,0.626,0.156,8.0,360.0,0.156
Nathanaël Mbuku,Stade de Reims,3802696,2,0.156,0.078,4.0,90.0,0.156
Juan Bernat Velasco,Paris Saint-Germain,3837818,3,0.474,0.158,9.0,273.0,0.156
Kylian Mbappé Lottin,Paris Saint-Germain,3802930,4,0.652,0.163,6.0,376.0,0.156
Halicharan Narzary,Hyderabad,3827336,1,0.045,0.045,3.0,26.0,0.155
Udanta Kumam Singh,Bengaluru,3817849,2,0.34,0.113,12.0,198.0,0.155
Ayush Adhikari,Kerala Blasters,3813296,2,0.295,0.098,15.0,171.0,0.155
Muhammad Ashique Kuruniyan,Bengaluru,3813289,3,0.29,0.097,10.0,168.0,0.155
Sékou Mara,Bordeaux,3802904,3,0.119,0.04,5.0,69.0,0.155
Sergio Ramos García,Paris Saint-Germain,3802948,10,2.106,0.162,36.0,1222.0,0.155
Gianluigi Donnarumma,Paris Saint-Germain,3837876,4,0.792,0.158,14.0,460.0,0.155
Marcel Sabitzer,Borussia Dortmund,3895158,2,0.444,0.148,10.0,258.0,0.155
Prabir Das,ATK Mohun Bagan,3817884,7,1.132,0.162,14.0,658.0,0.155
Danish Farooq Bhat,Bengaluru,3817877,6,0.926,0.132,15.0,539.0,0.155
Ander Herrera Agüera,Paris Saint-Germain,3802690,9,1.15,0.128,48.0,666.0,0.155
Raju Eknath Gaikwad,East Bengal,3817896,1,0.065,0.033,2.0,38.0,0.155
Sergio Ramos García,Paris Saint-Germain,3837987,9,1.534,0.153,54.0,890.0,0.155
Ahmed Jahouh,Mumbai City,3813282,6,0.964,0.161,10.0,564.0,0.154
Marcos Aoás Corrêa,Paris Saint-Germain,3802802,5,0.769,0.154,11.0,450.0,0.154
Jonas Hofmann,Bayer Leverkusen,3895074,4,0.778,0.156,25.0,455.0,0.154
Pritam Kotal,ATK Mohun Bagan,3827336,6,1.149,0.164,18.0,672.0,0.154
Désiré Doué,Rennes,3837827,2,0.226,0.113,3.0,132.0,0.154
Moirangthem Givson Singh,Kerala Blasters,3817870,3,0.466,0.155,5.0,273.0,0.154
Gianluigi Donnarumma,Paris Saint-Germain,3802699,4,0.649,0.162,6.0,380.0,0.154
Slavko Damjanović,Chennaiyin,3817880,5,0.781,0.156,9.0,455.0,0.154
Khumanthem Ninthoinganba Meetei,Chennaiyin,3817882,2,0.213,0.106,5.0,124.0,0.154
Jean-Charles Castelletto,Nantes,3802984,2,0.305,0.153,4.0,178.0,0.154
Alexis Flips,Stade de Reims,3837839,3,0.378,0.126,10.0,222.0,0.153
Boubacar Kamara,Marseille,3802902,1,0.119,0.119,2.0,70.0,0.153
Ricky Lallawmawma,Jamshedpur,3817901,1,0.161,0.161,2.0,95.0,0.153
Marco Verratti,Paris Saint-Germain,3837717,6,0.748,0.107,36.0,441.0,0.153
Danylo Ignatenko,Bordeaux,3802904,2,0.085,0.042,4.0,50.0,0.153
Cédric Hountondji,Angers,3837954,2,0.434,0.145,4.0,255.0,0.153
Rahul Bheke,Mumbai City,3817901,5,1.129,0.161,13.0,665.0,0.153
Alejandro Grimaldo García,Bayer Leverkusen,3895067,8,1.582,0.158,20.0,930.0,0.153
Rowllin Borges,Mumbai City,3813277,1,0.041,0.041,2.0,24.0,0.153
Sekou Oumar Yansane,Paris Saint-Germain,3802690,1,0.029,0.029,1.0,17.0,0.153
Adil Khan,East Bengal,3813317,1,0.039,0.039,1.0,23.0,0.152
Presnel Kimpembe,Paris Saint-Germain,3802818,8,1.239,0.155,26.0,736.0,0.152
Rohit Danu,Hyderabad,3813272,3,0.41,0.137,8.0,243.0,0.152
Jonathan Tah,Bayer Leverkusen,3895275,9,1.69,0.154,45.0,1001.0,0.152
Georginio Wijnaldum,Paris Saint-Germain,3802818,1,0.08,0.08,2.0,47.0,0.152
Exequiel Alejandro Palacios,Bayer Leverkusen,3895275,9,1.634,0.149,54.0,968.0,0.152
Pablo Paulino Rosario,OGC Nice,3837727,2,0.306,0.153,5.0,182.0,0.152
Jonathan Tah,Bayer Leverkusen,3895074,3,0.657,0.164,6.0,388.0,0.152
Renato Júnior Luz Sanches,Paris Saint-Germain,3837928,1,0.123,0.123,2.0,73.0,0.152
Harold Moukoudi,Saint-Étienne,3802709,3,0.167,0.056,8.0,99.0,0.152
Prabhushkan Singh Gill,Kerala Blasters,3817897,2,0.314,0.157,3.0,186.0,0.152
Hormipam Ruivah,Kerala Blasters,3827335,4,0.623,0.156,11.0,368.0,0.152
Thongkhosiem Haokip,East Bengal,3813317,1,0.039,0.039,2.0,23.0,0.152
Ángel Fabián Di María Hernández,Paris Saint-Germain,3802837,4,0.935,0.156,37.0,552.0,0.152
Exequiel Alejandro Palacios,Bayer Leverkusen,3895134,5,0.942,0.157,22.0,558.0,0.152
Bruno Edgar Silva Almeida,Bengaluru,3817877,4,0.65,0.162,10.0,388.0,0.151
José Luis Espinosa Arroyo,ATK Mohun Bagan,3813313,4,0.749,0.15,19.0,445.0,0.151
Ozan Muhammed Kabak,Hoffenheim,3895134,5,1.09,0.156,27.0,651.0,0.151
Marcos Aoás Corrêa,Paris Saint-Germain,3837818,4,0.602,0.151,21.0,360.0,0.151
Exequiel Alejandro Palacios,Bayer Leverkusen,3895067,7,0.872,0.109,32.0,520.0,0.151
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837752,2,0.302,0.151,5.0,180.0,0.151
Julian Draxler,Paris Saint-Germain,3802907,3,0.212,0.071,7.0,126.0,0.151
Mohamed Achi,Nantes,3837695,1,0.008,0.008,4.0,5.0,0.151
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895113,5,0.78,0.156,18.0,465.0,0.151
Marcos Aoás Corrêa,Paris Saint-Germain,3802685,8,1.545,0.154,33.0,920.0,0.151
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895067,13,2.618,0.154,63.0,1564.0,0.151
Seriton Fernandes,Goa,3817898,9,1.417,0.157,31.0,846.0,0.151
Gabriel Gudmundsson,Lille,3802907,3,0.458,0.153,5.0,273.0,0.151
Exequiel Alejandro Palacios,Bayer Leverkusen,3895167,5,0.813,0.136,36.0,486.0,0.151
Neymar da Silva Santos Junior,Paris Saint-Germain,3802984,5,1.008,0.112,38.0,603.0,0.15
Fabián Ruiz Peña,Paris Saint-Germain,3837954,3,0.613,0.153,17.0,368.0,0.15
Erik Palmer-Brown,Troyes,3837771,1,0.303,0.152,4.0,182.0,0.15
Predrag Rajković,Stade de Reims,3802802,1,0.15,0.15,1.0,90.0,0.15
Gauthier Gallon,Troyes,3837771,1,0.303,0.152,4.0,182.0,0.15
Vignesh Dakshinamurthy,Mumbai City,3817887,1,0.068,0.068,6.0,41.0,0.15
Amey Ganesh Ranawade,Mumbai City,3817867,2,0.306,0.153,3.0,184.0,0.15
Suhair Vadakkepeedika,NorthEast United,3813297,1,0.103,0.103,2.0,62.0,0.15
Prabir Das,ATK Mohun Bagan,3817873,2,0.146,0.073,4.0,88.0,0.15
PC Laldinpuia,Jamshedpur,3827335,2,0.33,0.11,8.0,198.0,0.15
Ajith Kumar,Bengaluru,3813297,4,0.629,0.157,8.0,376.0,0.15
Devendra Dhaku Murgaokar,Goa,3813308,1,0.119,0.119,4.0,72.0,0.149
Carl Gerard McHugh,ATK Mohun Bagan,3813313,6,1.055,0.151,30.0,637.0,0.149
Thilo Kehrer,Paris Saint-Germain,3802984,6,1.39,0.154,21.0,837.0,0.149
Jeremie Frimpong,Bayer Leverkusen,3895060,5,0.656,0.109,22.0,396.0,0.149
Kylian Mbappé Lottin,Paris Saint-Germain,3802907,6,1.053,0.15,16.0,637.0,0.149
Odilon Kossonou,Bayer Leverkusen,3895052,4,0.615,0.154,13.0,372.0,0.149
Nongdamba Singh Naorem,Goa,3813308,1,0.119,0.119,1.0,72.0,0.149
Idrissa Gana Gueye,Paris Saint-Germain,3802902,1,0.076,0.076,4.0,46.0,0.149
Rochharzela Rochharzela,NorthEast United,3813290,1,0.025,0.025,2.0,15.0,0.149
Laldanmawia Ralte,NorthEast United,3813290,1,0.125,0.125,2.0,76.0,0.149
Jeakson Singh Thaunaojam,Kerala Blasters,3813300,5,0.933,0.155,22.0,564.0,0.149
Marcos Aoás Corrêa,Paris Saint-Germain,3837954,5,0.904,0.151,25.0,546.0,0.149
Xavi Simons,RB Leipzig,3895202,2,0.274,0.137,6.0,166.0,0.148
Gianluigi Donnarumma,Paris Saint-Germain,3837987,2,0.29,0.145,2.0,176.0,0.148
Lalengmawia Ralte,Mumbai City,3817901,7,1.565,0.156,25.0,950.0,0.148
Kevin Vogt,Hoffenheim,3895134,7,1.394,0.155,46.0,846.0,0.148
Caio Henrique Oliveira Silva,AS Monaco,3837680,2,0.309,0.154,5.0,188.0,0.148
Amine Adli,Bayer Leverkusen,3895258,2,0.089,0.044,15.0,54.0,0.148
Hitesh Sharma,Hyderabad,3813264,6,0.562,0.094,12.0,342.0,0.148
Fabián Ruiz Peña,Paris Saint-Germain,3837928,1,0.058,0.058,1.0,35.0,0.148
Vishal Kaith,Chennaiyin,3813294,3,0.464,0.155,3.0,282.0,0.148
Slavko Damjanović,Chennaiyin,3813294,3,0.464,0.155,4.0,282.0,0.148
Ikoma Loïs Openda,Lens,3837947,1,0.146,0.146,1.0,89.0,0.148
Cleiton Augusto Oliveira Silva,Bengaluru,3813285,4,0.759,0.152,9.0,460.0,0.148
Silas Katompa Mvumpa,VfB Stuttgart,3895167,2,0.095,0.048,4.0,58.0,0.147
Jean-Mattéo Bahoya Négoce,Angers,3837954,4,0.561,0.14,9.0,344.0,0.147
Alexander Djiku,Strasbourg,3802643,5,0.882,0.147,16.0,540.0,0.147
Isaac Vanmalsawma Chhakchhuak,Odisha,3817880,5,0.579,0.116,13.0,355.0,0.147
Kevin Stöger,Bochum,3895340,1,0.152,0.152,2.0,93.0,0.147
Asish Rai,Hyderabad,3813272,3,0.508,0.127,5.0,312.0,0.147
Keisham Reagan Singh,Chennaiyin,3813280,5,1.203,0.15,23.0,736.0,0.147
Joni Ensio Kauko,ATK Mohun Bagan,3817855,6,1.097,0.157,19.0,672.0,0.147
Faride Alidou,FC Köln,3895107,1,0.1,0.1,1.0,61.0,0.147
Gianluigi Donnarumma,Paris Saint-Germain,3837785,1,0.134,0.134,1.0,82.0,0.147
Mehtab Singh,Mumbai City,3813282,3,0.196,0.065,7.0,120.0,0.147
Suhair Vadakkepeedika,NorthEast United,3813302,1,0.145,0.145,1.0,89.0,0.146
Boris Singh Thangjam,Jamshedpur,3813284,2,0.14,0.07,4.0,86.0,0.146
Niklas Dorsch,Augsburg,3895348,2,0.292,0.146,4.0,180.0,0.146
Thilo Kehrer,Paris Saint-Germain,3802709,3,0.219,0.073,5.0,135.0,0.146
Alan Henrique Costa,Bengaluru,3817849,1,0.153,0.153,1.0,95.0,0.145
Gianluigi Donnarumma,Paris Saint-Germain,3837839,1,0.307,0.153,4.0,190.0,0.145
Marius Wolf,Borussia Dortmund,3895309,2,0.256,0.085,7.0,159.0,0.145
Serigne Mourtada Fall,Mumbai City,3817885,3,0.443,0.148,9.0,276.0,0.145
Jonathan Tah,Bayer Leverkusen,3895167,4,0.582,0.145,20.0,360.0,0.145
Juan Antonio González Fernández,Hyderabad,3817871,3,0.444,0.148,8.0,276.0,0.145
Imran Khan,NorthEast United,3813306,6,0.877,0.146,13.0,546.0,0.145
Vladimir Koman Jr.,Chennaiyin,3817882,2,0.213,0.106,6.0,132.0,0.145
Lukáš Hrádecký,Bayer Leverkusen,3895067,5,0.991,0.142,10.0,616.0,0.145
Keylor Navas Gamboa,Paris Saint-Germain,3802696,3,0.458,0.153,5.0,285.0,0.145
Victor Okoh Boniface,Bayer Leverkusen,3895095,1,0.124,0.124,3.0,77.0,0.145
Mashoor Shereef Thangalakath,NorthEast United,3813290,2,0.15,0.075,4.0,94.0,0.144
Jean-Ricner Bellegarde,Strasbourg,3802643,4,0.753,0.151,11.0,470.0,0.144
Jens Petter Hauge,Eintracht Frankfurt,3895180,1,0.032,0.032,1.0,20.0,0.144
Granit Xhaka,Bayer Leverkusen,3895167,6,0.883,0.147,38.0,552.0,0.144
Wahengbam Angousana Luwang,East Bengal,3817893,3,0.077,0.026,13.0,48.0,0.144
Marcos Aoás Corrêa,Paris Saint-Germain,3802699,6,0.834,0.139,21.0,522.0,0.144
Alejandro Grimaldo García,Bayer Leverkusen,3895060,6,1.179,0.147,13.0,736.0,0.144
Hugo Ekitike,Paris Saint-Germain,3837918,4,0.256,0.064,12.0,160.0,0.144
Amarjit Singh Kiyam Singh,East Bengal,3813317,2,0.102,0.051,9.0,64.0,0.144
João Victor de Albuquerque Bruno,Hyderabad,3817897,5,0.923,0.154,17.0,576.0,0.144
Zaydou Youssouf,Saint-Étienne,3802837,2,0.15,0.075,4.0,94.0,0.144
Jeakson Singh Thaunaojam,Kerala Blasters,3813278,3,0.738,0.148,16.0,460.0,0.144
Liston Colaco,ATK Mohun Bagan,3813313,5,0.729,0.146,9.0,455.0,0.144
Christoph Zimmermann,Darmstadt 98,3895220,3,0.589,0.147,7.0,368.0,0.144
Renato Júnior Luz Sanches,Paris Saint-Germain,3837771,1,0.024,0.024,11.0,15.0,0.144
Iván Garrido González,Goa,3817898,8,1.191,0.149,23.0,744.0,0.144
Tomislav Mrčela,East Bengal,3813291,1,0.075,0.075,1.0,47.0,0.144
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837876,4,0.597,0.149,7.0,372.0,0.144
Vitor Machado Ferreira,Paris Saint-Germain,3837771,7,0.644,0.092,21.0,406.0,0.143
Lalthathanga Khawlhring,Kerala Blasters,3817897,4,0.574,0.143,9.0,360.0,0.143
Prince Vinny Ibara Doniama,Bengaluru,3813293,1,0.299,0.149,2.0,188.0,0.143
Presnel Kimpembe,Paris Saint-Germain,3802948,7,1.047,0.15,23.0,658.0,0.143
Arthur Augusto de Matos Soares,Bayer Leverkusen,3895333,3,0.28,0.093,11.0,177.0,0.143
Valentin Rongier,Marseille,3837885,3,0.869,0.145,26.0,546.0,0.143
Daniel Olmo Carvajal,RB Leipzig,3895052,4,0.886,0.148,14.0,558.0,0.143
Odilon Kossonou,Bayer Leverkusen,3895158,8,1.329,0.148,20.0,837.0,0.143
Adil Aouchiche,Saint-Étienne,3802709,1,0.03,0.03,2.0,19.0,0.143
Sehnaj Singh,NorthEast United,3813301,1,0.125,0.125,5.0,79.0,0.143
Jean-Clair Todibo,OGC Nice,3837938,3,0.572,0.143,12.0,360.0,0.143
Subhasish Bose,ATK Mohun Bagan,3813306,6,0.885,0.147,15.0,558.0,0.143
Alejandro Grimaldo García,Bayer Leverkusen,3895113,4,0.58,0.145,11.0,364.0,0.143
Edmond Fayçal Tapsoba,Bayer Leverkusen,3895340,13,2.031,0.145,71.0,1274.0,0.143
Nerijus Valskis,Jamshedpur,3813269,3,0.591,0.148,6.0,372.0,0.143
Isaac Vanmalsawma Chhakchhuak,Odisha,3813295,4,0.59,0.148,10.0,372.0,0.143
Matthias Ginter,Freiburg,3895275,1,0.092,0.092,2.0,58.0,0.143
Gerzino Nyamsi,Strasbourg,3802643,4,0.725,0.145,15.0,455.0,0.143
Granit Xhaka,Bayer Leverkusen,3895074,7,1.232,0.154,32.0,776.0,0.143
Robert Andrich,Bayer Leverkusen,3895074,1,0.073,0.073,1.0,46.0,0.143
Romain Hamouma,Saint-Étienne,3802709,3,0.167,0.056,13.0,105.0,0.143
Idrissa Gana Gueye,Paris Saint-Germain,3802676,6,1.02,0.128,17.0,640.0,0.143
Lallianzuala Chhangte,Chennaiyin,3813280,4,0.716,0.143,8.0,455.0,0.142
Granit Xhaka,Bayer Leverkusen,3895266,8,1.109,0.139,78.0,704.0,0.142
Princeton Rebello,Goa,3817863,6,0.689,0.115,19.0,438.0,0.142
Granit Xhaka,Bayer Leverkusen,3895067,7,0.873,0.125,52.0,553.0,0.142
Danilo Luís Hélio Pereira,Paris Saint-Germain,3837902,5,0.822,0.137,25.0,522.0,0.142
Jeremie Frimpong,Bayer Leverkusen,3895086,7,0.986,0.123,18.0,624.0,0.142
Frédéric Guilbert,Strasbourg,3802643,4,0.512,0.128,9.0,324.0,0.142
Jonathan Tah,Bayer Leverkusen,3895067,9,1.234,0.112,29.0,781.0,0.142
David Raum,RB Leipzig,3895052,4,0.592,0.148,9.0,376.0,0.142
Soraisham Sandeep Singh,Kerala Blasters,3813314,2,0.091,0.046,4.0,58.0,0.142
Jonas Hofmann,Bayer Leverkusen,3895086,7,1.498,0.15,20.0,950.0,0.142
Greg Stewart,Jamshedpur,3813269,4,0.735,0.147,7.0,470.0,0.141
Adam Hložek,Bayer Leverkusen,3895220,5,0.707,0.141,9.0,450.0,0.141
Issiaga Sylla,Toulouse,3837683,3,0.118,0.039,7.0,75.0,0.141
Ignatius Kpene Ganago,Nantes,3837695,1,0.034,0.034,2.0,22.0,0.141
Lucas Calodat,Saint-Étienne,3802837,1,0.006,0.006,4.0,4.0,0.141
Devendra Dhaku Murgaokar,Goa,3813267,3,0.356,0.119,6.0,228.0,0.141
Pratik Prabhakar Chaudhari,Bengaluru,3817872,3,0.593,0.148,15.0,380.0,0.141
João Victor de Albuquerque Bruno,Hyderabad,3817884,2,0.343,0.114,9.0,219.0,0.141
Slavko Damjanović,Chennaiyin,3813278,2,0.286,0.143,4.0,182.0,0.141
Odilon Kossonou,Bayer Leverkusen,3895060,8,1.113,0.124,35.0,711.0,0.141
Juan Bernat Velasco,Paris Saint-Germain,3802795,4,0.521,0.13,14.0,332.0,0.141
Ricky Lallawmawma,Jamshedpur,3813302,7,0.854,0.122,13.0,546.0,0.141
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,3837650,5,0.695,0.139,12.0,445.0,0.141
Piero Martín Hincapié Reyna,Bayer Leverkusen,3895107,3,0.093,0.031,20.0,60.0,0.14
Seriton Fernandes,Goa,3813266,3,0.503,0.126,14.0,324.0,0.14
Jonas Hofmann,Bayer Leverkusen,3895052,2,0.271,0.136,6.0,174.0,0.14
Marko Lešković,Kerala Blasters,3813300,4,0.73,0.146,15.0,470.0,0.14
Ritwik Kumar Das,Jamshedpur,3813307,1,0.033,0.033,4.0,21.0,0.14
Jitendra Singh,Jamshedpur,3813302,5,0.684,0.137,16.0,440.0,0.14
Thomas Müller,Bayern Munich,3895232,1,0.047,0.047,1.0,30.0,0.14
Marcos Aoás Corrêa,Paris Saint-Germain,3837659,4,0.552,0.138,5.0,356.0,0.14
Jeremie Frimpong,Bayer Leverkusen,3895180,4,0.51,0.127,11.0,328.0,0.14
Folarin Balogun,Stade de Reims,3837839,2,0.296,0.148,6.0,190.0,0.14
Victor Okoh Boniface,Bayer Leverkusen,3895074,1,0.295,0.147,8.0,190.0,0.14
Borja Iglesias Quintas,Bayer Leverkusen,3895258,1,0.084,0.042,12.0,54.0,0.14
Halicharan Narzary,Hyderabad,3827767,2,0.18,0.09,2.0,116.0,0.14
Narayan Das,Chennaiyin,3817880,6,0.821,0.137,15.0,528.0,0.14
Hendry Antonay,Odisha,3817880,5,1.052,0.132,16.0,680.0,0.139
Fares Chaïbi,Toulouse,3837683,4,0.161,0.04,11.0,104.0,0.139
Ayush Adhikari,Kerala Blasters,3817858,3,0.356,0.119,6.0,231.0,0.139
Fabián Ruiz Peña,Paris Saint-Germain,3837844,6,0.971,0.139,23.0,630.0,0.139
Idrissa Gana Gueye,Paris Saint-Germain,3802752,4,0.513,0.128,17.0,332.0,0.139
Frédéric Guilbert,Strasbourg,3838004,6,0.972,0.139,18.0,630.0,0.139
Anton Stach,Hoffenheim,3895134,6,1.147,0.143,29.0,744.0,0.139
Vitor Machado Ferreira,Paris Saint-Germain,3837818,5,0.654,0.131,25.0,425.0,0.139
Laldinliana Renthlei,Jamshedpur,3817900,9,1.426,0.143,27.0,920.0,0.139
Nikhil Raj Murugesh Kumar,Odisha,3813269,1,0.032,0.032,2.0,21.0,0.139
