match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3837695,Nantes,30.0,26.0,30.0,86.0,30.23,34.88
3837695,Paris Saint-Germain,51.0,44.0,51.0,146.0,30.14,34.93
3837706,Paris Saint-Germain,39.0,39.0,39.0,117.0,33.33,33.33
3837706,Stade Brestois,24.0,17.0,24.0,65.0,26.15,36.92
3837717,Lyon,37.0,41.0,37.0,115.0,35.65,32.17
3837717,Paris Saint-Germain,37.0,36.0,37.0,110.0,32.73,33.64
3837727,OGC Nice,16.0,19.0,16.0,51.0,37.25,31.37
3837727,Paris Saint-Germain,44.0,32.0,44.0,120.0,26.67,36.67
3837747,Marseille,45.0,34.0,45.0,124.0,27.42,36.29
3837747,Paris Saint-Germain,38.0,42.0,38.0,118.0,35.59,32.2
3837752,AC Ajaccio,27.0,29.0,27.0,83.0,34.94,32.53
3837752,Paris Saint-Germain,41.0,38.0,41.0,120.0,31.67,34.17
3837771,Paris Saint-Germain,35.0,37.0,35.0,107.0,34.58,32.71
3837771,Troyes,22.0,24.0,22.0,68.0,35.29,32.35
3837785,Auxerre,30.0,27.0,30.0,87.0,31.03,34.48
3837785,Paris Saint-Germain,48.0,39.0,48.0,135.0,28.89,35.56
3837818,Angers,38.0,35.0,38.0,111.0,31.53,34.23
3837818,Paris Saint-Germain,57.0,28.0,57.0,142.0,19.72,40.14
3837827,Paris Saint-Germain,30.0,20.0,30.0,80.0,25.0,37.5
3837827,Rennes,10.0,16.0,10.0,36.0,44.44,27.78
3837839,Paris Saint-Germain,45.0,42.0,45.0,132.0,31.82,34.09
3837839,Stade de Reims,60.0,36.0,60.0,156.0,23.08,38.46
3837844,Montpellier,12.0,11.0,12.0,35.0,31.43,34.29
3837844,Paris Saint-Germain,66.0,43.0,66.0,175.0,24.57,37.71
3837859,Paris Saint-Germain,29.0,31.0,29.0,89.0,34.83,32.58
3837859,Toulouse,30.0,23.0,30.0,83.0,27.71,36.14
3837876,Lille,44.0,22.0,44.0,110.0,20.0,40.0
3837876,Paris Saint-Germain,33.0,31.0,33.0,97.0,31.96,34.02
3837885,Marseille,42.0,29.0,42.0,113.0,25.66,37.17
3837885,Paris Saint-Germain,15.0,9.0,15.0,39.0,23.08,38.46
3837896,Nantes,20.0,25.0,20.0,65.0,38.46,30.77
3837896,Paris Saint-Germain,55.0,50.0,55.0,160.0,31.25,34.38
3837902,Paris Saint-Germain,51.0,34.0,51.0,136.0,25.0,37.5
3837902,Stade Brestois,20.0,12.0,20.0,52.0,23.08,38.46
3837918,Paris Saint-Germain,29.0,20.0,29.0,78.0,25.64,37.18
3837918,Rennes,32.0,25.0,32.0,89.0,28.09,35.96
3837928,Lyon,23.0,19.0,23.0,65.0,29.23,35.38
3837928,Paris Saint-Germain,35.0,36.0,35.0,106.0,33.96,33.02
3837938,OGC Nice,36.0,35.0,36.0,107.0,32.71,33.64
3837938,Paris Saint-Germain,28.0,18.0,28.0,74.0,24.32,37.84
3837947,Lens,18.0,17.0,18.0,53.0,32.08,33.96
3837947,Paris Saint-Germain,29.0,22.0,29.0,80.0,27.5,36.25
3837954,Angers,48.0,40.0,48.0,136.0,29.41,35.29
3837954,Paris Saint-Germain,51.0,37.0,51.0,139.0,26.62,36.69
3837963,Lorient,27.0,32.0,27.0,86.0,37.21,31.4
3837963,Paris Saint-Germain,36.0,29.0,36.0,101.0,28.71,35.64
3837987,AC Ajaccio,14.0,12.0,14.0,40.0,30.0,35.0
3837987,Paris Saint-Germain,72.0,49.0,72.0,193.0,25.39,37.31
3837998,Auxerre,41.0,28.0,41.0,110.0,25.45,37.27
3837998,Paris Saint-Germain,28.0,24.0,28.0,80.0,30.0,35.0
3838004,Paris Saint-Germain,34.0,29.0,34.0,97.0,29.9,35.05
3838004,Strasbourg,26.0,30.0,26.0,82.0,36.59,31.71
3838017,Clermont Foot,25.0,25.0,25.0,75.0,33.33,33.33
3838017,Paris Saint-Germain,38.0,28.0,38.0,104.0,26.92,36.54
3895052,Bayer Leverkusen,34.0,33.0,34.0,101.0,32.67,33.66
3895052,RB Leipzig,20.0,22.0,20.0,62.0,35.48,32.26
3895060,Bayer Leverkusen,45.0,40.0,45.0,130.0,30.77,34.62
3895060,Borussia Mönchengladbach,39.0,31.0,39.0,109.0,28.44,35.78
3895067,Bayer Leverkusen,65.0,43.0,65.0,173.0,24.86,37.57
3895067,Darmstadt 98,4.0,3.0,4.0,11.0,27.27,36.36
3895074,Bayer Leverkusen,31.0,29.0,31.0,91.0,31.87,34.07
3895074,Bayern Munich,45.0,35.0,45.0,125.0,28.0,36.0
3895086,Bayer Leverkusen,56.0,40.0,56.0,152.0,26.32,36.84
3895086,FC Heidenheim,18.0,11.0,18.0,47.0,23.4,38.3
3895095,Bayer Leverkusen,30.0,20.0,30.0,80.0,25.0,37.5
3895095,FSV Mainz 05,19.0,11.0,19.0,49.0,22.45,38.78
3895107,Bayer Leverkusen,54.0,45.0,54.0,153.0,29.41,35.29
3895107,FC Köln,20.0,8.0,20.0,48.0,16.67,41.67
3895113,Bayer Leverkusen,32.0,32.0,32.0,96.0,33.33,33.33
3895113,Wolfsburg,28.0,20.0,28.0,76.0,26.32,36.84
3895121,Bayer Leverkusen,51.0,38.0,51.0,140.0,27.14,36.43
3895121,Freiburg,18.0,12.0,18.0,48.0,25.0,37.5
3895134,Bayer Leverkusen,40.0,38.0,40.0,118.0,32.2,33.9
3895134,Hoffenheim,22.0,23.0,22.0,67.0,34.33,32.84
3895139,Bayer Leverkusen,78.0,28.0,78.0,184.0,15.22,42.39
3895139,Union Berlin,17.0,6.0,17.0,40.0,15.0,42.5
3895153,Bayer Leverkusen,32.0,33.0,32.0,97.0,34.02,32.99
3895153,Werder Bremen,37.0,26.0,37.0,100.0,26.0,37.0
3895158,Bayer Leverkusen,50.0,40.0,50.0,140.0,28.57,35.71
3895158,Borussia Dortmund,9.0,14.0,9.0,32.0,43.75,28.12
3895167,Bayer Leverkusen,33.0,33.0,33.0,99.0,33.33,33.33
3895167,VfB Stuttgart,40.0,39.0,40.0,119.0,32.77,33.61
3895180,Bayer Leverkusen,29.0,31.0,29.0,89.0,34.83,32.58
3895180,Eintracht Frankfurt,16.0,13.0,16.0,45.0,28.89,35.56
3895182,Bayer Leverkusen,51.0,33.0,51.0,135.0,24.44,37.78
3895182,Bochum,14.0,10.0,14.0,38.0,26.32,36.84
3895194,Augsburg,13.0,13.0,13.0,39.0,33.33,33.33
3895194,Bayer Leverkusen,50.0,31.0,50.0,131.0,23.66,38.17
3895202,Bayer Leverkusen,28.0,24.0,28.0,80.0,30.0,35.0
3895202,RB Leipzig,13.0,8.0,13.0,34.0,23.53,38.24
3895210,Bayer Leverkusen,78.0,80.0,78.0,236.0,33.9,33.05
