match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
3895266,Bayer Leverkusen,Florian Wirtz,86.0,104.0,190.0,11,12,23,21.89
3895220,Bayer Leverkusen,Piero Martín Hincapié Reyna,96.0,94.0,190.0,10,10,20,26.54
3895340,Bayer Leverkusen,Edmond Fayçal Tapsoba,95.0,94.0,189.0,13,13,26,32.59
3837752,Paris Saint-Germain,Fabián Ruiz Peña,94.0,94.0,188.0,12,12,24,29.84
3895139,Bayer Leverkusen,Piero Martín Hincapié Reyna,99.0,89.0,188.0,11,11,22,24.01
3802802,Paris Saint-Germain,Marco Verratti,91.0,96.0,187.0,10,11,21,23.64
3803000,Paris Saint-Germain,Sergio Ramos García,97.0,90.0,187.0,12,12,24,26.98
3802685,Paris Saint-Germain,Marco Verratti,92.0,95.0,187.0,11,13,24,28.42
3838017,Paris Saint-Germain,Marco Verratti,95.0,91.0,186.0,13,13,26,35.36
3802983,Marseille,Boubacar Kamara,93.0,93.0,186.0,12,12,24,30.49
3895121,Bayer Leverkusen,Jonathan Tah,95.0,90.0,185.0,9,10,19,27.49
3802837,Paris Saint-Germain,Ángel Fabián Di María Hernández,86.0,98.0,184.0,11,11,22,26.98
3895121,Bayer Leverkusen,Granit Xhaka,91.0,92.0,183.0,9,10,19,27.19
3837695,Nantes,Pedro Chirivella Burgos,92.0,90.0,182.0,15,15,30,43.65
3802837,Paris Saint-Germain,Sergio Ramos García,96.0,85.0,181.0,11,11,22,26.54
3895266,Bayer Leverkusen,Edmond Fayçal Tapsoba,95.0,85.0,180.0,11,10,21,20.74
3837938,Paris Saint-Germain,Marcos Aoás Corrêa,91.0,89.0,180.0,10,10,20,26.12
3802665,Paris Saint-Germain,Marco Verratti,91.0,88.0,179.0,12,13,25,25.0
3837987,Paris Saint-Germain,Sergio Ramos García,90.0,89.0,179.0,14,11,25,25.28
3802795,Paris Saint-Germain,Marco Verratti,88.0,91.0,179.0,13,14,27,27.2
3895182,Bayer Leverkusen,Josip Stanišić,95.0,84.0,179.0,13,13,26,26.09
3802984,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,79.0,99.0,178.0,11,12,23,23.86
3895074,Bayern Munich,Min Jae Kim,91.0,86.0,177.0,11,12,23,32.48
3895275,Bayer Leverkusen,Piero Martín Hincapié Reyna,90.0,87.0,177.0,8,9,17,25.5
3837659,Paris Saint-Germain,Marco Verratti,90.0,87.0,177.0,11,10,21,30.31
3802948,Paris Saint-Germain,Lionel Andrés Messi Cuccittini,85.0,92.0,177.0,11,12,23,24.48
3817889,ATK Mohun Bagan,Carl Gerard McHugh,87.0,89.0,176.0,10,12,22,32.0
3803000,Paris Saint-Germain,Marco Verratti,90.0,86.0,176.0,11,10,21,25.4
3895348,Bayer Leverkusen,Edmond Fayçal Tapsoba,92.0,84.0,176.0,13,12,25,25.11
3813308,Goa,Eduardo Bedia Peláez,93.0,83.0,176.0,14,14,28,40.55
3837998,Paris Saint-Germain,Sergio Ramos García,94.0,82.0,176.0,10,11,21,24.79
