match_id,team,opponent_passes,defensive_actions,ppda
3895220,Darmstadt 98,538,32,16.81
3895232,Bayer Leverkusen,476,34,14.0
3895232,Bayern Munich,247,35,7.06
3895244,Bayer Leverkusen,263,25,10.52
3895244,FC Heidenheim,392,51,7.69
3895250,Bayer Leverkusen,193,28,6.89
3895250,FSV Mainz 05,529,48,11.02
3895258,Bayer Leverkusen,100,31,3.23
3895258,FC Köln,747,16,46.69
3895266,Bayer Leverkusen,141,23,6.13
3895266,Wolfsburg,855,15,57.0
3895275,Bayer Leverkusen,225,23,9.78
3895275,Freiburg,558,38,14.68
3895286,Bayer Leverkusen,166,27,6.15
3895286,Hoffenheim,696,20,34.8
3895292,Bayer Leverkusen,167,30,5.57
3895292,Union Berlin,525,36,14.58
3895302,Bayer Leverkusen,256,25,10.24
3895302,Werder Bremen,493,20,24.65
3895309,Bayer Leverkusen,238,29,8.21
3895309,Borussia Dortmund,405,34,11.91
3895320,Bayer Leverkusen,289,30,9.63
3895320,VfB Stuttgart,340,24,14.17
3895333,Bayer Leverkusen,370,11,33.64
3895333,Eintracht Frankfurt,245,40,6.13
3895340,Bayer Leverkusen,192,31,6.19
3895340,Bochum,481,30,16.03
3895348,Augsburg,589,21,28.05
3895348,Bayer Leverkusen,236,19,12.42
