match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3895309,Bayer Leverkusen,34,4.478,122.0,0.132,3.59
3895309,Borussia Dortmund,38,2.6870000000000003,141.0,0.071,3.71
3895320,Bayer Leverkusen,22,4.739,52.0,0.215,2.36
3895320,VfB Stuttgart,40,8.207,125.0,0.205,3.12
3895333,Bayer Leverkusen,29,5.09,80.0,0.176,2.76
3895333,Eintracht Frankfurt,40,4.29,133.0,0.107,3.32
3895340,Bayer Leverkusen,108,10.362,425.0,0.096,3.94
3895340,Bochum,3,0.34299999999999997,5.0,0.114,1.67
3895348,Augsburg,37,3.644,100.0,0.098,2.7
3895348,Bayer Leverkusen,91,6.216,365.0,0.068,4.01
