season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2022,3869118,Eric Dier,England,1,0.146,0.146,5.0,13.0,1.01
2023,3920401,Facinet Conte,Guinea,1,0.417,0.209,2.0,38.0,0.989
2024,3930169,Lawrence Shankland,Scotland,1,0.033,0.033,1.0,3.0,0.979
2024,3939973,Eduardo Antonio Guerrero Lozcano,Panama,1,0.076,0.076,1.0,7.0,0.978
2024,3930174,Rúben Diogo Da Silva Neves,Portugal,2,1.049,0.525,4.0,98.0,0.964
2022,3869684,Mario Pašalić,Croatia,1,0.236,0.236,2.0,22.0,0.964
2023,3920386,Bright Osayi-Samuel,Nigeria,1,0.551,0.138,20.0,52.0,0.954
2022,3869685,Lautaro Javier Martínez,Argentina,2,0.846,0.211,10.0,80.0,0.951
2024,3938644,Nélson Cabral Semedo,Portugal,2,0.917,0.306,6.0,87.0,0.949
2022,3869321,Ángel Fabián Di María Hernández,Argentina,5,0.42,0.084,9.0,40.0,0.945
2022,3857266,Kingsley Coman,France,2,0.417,0.209,9.0,40.0,0.939
2022,3857266,Ibrahima Konaté,France,2,0.417,0.209,11.0,40.0,0.939
2024,3939985,Tanitoluwa Oluwaseyi,Canada,1,0.196,0.196,4.0,19.0,0.927
2024,3940983,Emre Can,Germany,1,0.256,0.256,8.0,25.0,0.923
2022,3869151,Jamie MacLaren,Australia,1,0.234,0.234,1.0,23.0,0.915
2022,3857279,Jules Koundé,France,2,0.121,0.06,6.0,12.0,0.907
2024,3942382,Muhammed Kerem Aktürkoğlu,Turkey,1,0.322,0.161,6.0,32.0,0.907
2024,3939991,Deiver Andrés Machado Mena,Colombia,1,0.463,0.463,1.0,46.0,0.905
2024,3942226,José Luis Sanmartín Mato,Spain,1,0.201,0.201,2.0,20.0,0.903
2024,3938639,Luka Lochoshvili,Georgia,1,0.396,0.198,4.0,40.0,0.891
2024,3942227,Mohamed Zeki Amdouni,Switzerland,1,0.157,0.079,2.0,16.0,0.885
2023,3920405,Fiston Kalala Mayele,Congo DR,1,0.438,0.438,2.0,46.0,0.856
2024,3941017,Ezri Konsa Ngoyo,England,1,0.123,0.123,1.0,13.0,0.854
2024,3941017,Lukáš Haraslín,Slovakia,1,0.528,0.528,5.0,56.0,0.849
2024,3930167,Arbër Hoxha,Albania,3,0.31,0.103,9.0,33.0,0.845
2023,3920407,Petrus Shitembi,Namibia,1,0.459,0.459,2.0,49.0,0.843
2023,3920405,Silas Katompa Mvumpa,Congo DR,1,0.262,0.262,2.0,28.0,0.843
2023,3920386,Calvin Bassey Ughelumba,Nigeria,2,0.559,0.112,38.0,60.0,0.839
2022,3857255,Shūichi Gonda,Japan,1,0.873,0.873,1.0,94.0,0.835
2024,3940983,Waldemar Anton,Germany,2,0.13,0.065,2.0,14.0,0.835
2024,3938641,Michael Gregoritsch,Austria,2,0.204,0.102,4.0,22.0,0.834
2022,3857292,Mario Götze,Germany,4,1.476,0.295,8.0,160.0,0.83
2022,3857283,Abderrazak Hamdallah,Morocco,1,0.181,0.181,1.0,20.0,0.815
2024,3930176,Leroy Sané,Germany,1,0.163,0.163,4.0,18.0,0.814
2023,3920400,Sadio Mané,Senegal,1,0.875,0.875,2.0,97.0,0.812
2024,3940983,Niclas Füllkrug,Germany,1,0.256,0.256,2.0,29.0,0.796
2024,3930177,Attila Szalai,Hungary,1,0.185,0.185,1.0,21.0,0.792
2022,3857296,Thorgan Hazard,Belgium,2,0.837,0.279,5.0,96.0,0.784
2022,3857263,Lukas Klostermann,Germany,3,0.852,0.213,6.0,100.0,0.767
2022,3869552,Abderrazak Hamdallah,Morocco,1,0.612,0.204,3.0,72.0,0.765
2022,3869117,DeAndre Yedlin,United States,3,0.48,0.16,9.0,57.0,0.757
2022,3869684,Bruno Petković,Croatia,1,0.236,0.236,2.0,28.0,0.757
2023,3920419,Amir Richardson,Morocco,3,0.807,0.202,10.0,96.0,0.756
2022,3857260,Abdulrahman Al-Obood,Saudi Arabia,2,0.536,0.268,6.0,64.0,0.753
2023,3920414,Jérémy Bela,Angola,1,0.66,0.33,4.0,80.0,0.743
2024,3939990,Malik Tillman,United States,1,0.082,0.041,6.0,10.0,0.74
2024,3930169,Ryan Christie,Scotland,1,0.033,0.033,3.0,4.0,0.734
2022,3869151,Nicolás Alejandro Tagliafico,Argentina,2,0.424,0.212,3.0,52.0,0.733
2024,3939989,Adalid Terrazas Abasto,Bolivia,2,0.504,0.252,15.0,62.0,0.732
2024,3939989,Leonel Justiniano Arauz,Bolivia,2,0.504,0.252,11.0,62.0,0.732
2022,3857270,Diego Roberto Godín Leal,Uruguay,1,0.494,0.494,6.0,61.0,0.729
2022,3857291,Nicholas Williams Arthuer,Spain,3,0.604,0.201,12.0,75.0,0.724
2023,3920401,Naby Deco Keïta,Guinea,2,0.455,0.152,6.0,57.0,0.718
2024,3930159,Bendegúz Bolla,Hungary,2,0.734,0.367,6.0,92.0,0.718
2022,3857290,Djibril Sow,Switzerland,1,0.552,0.552,3.0,70.0,0.71
2024,3938640,Oleksandr Zubkov,Ukraine,2,0.425,0.212,9.0,54.0,0.708
2023,3922241,Hemeya Tanjy,Mauritania,1,0.508,0.508,2.0,65.0,0.703
2024,3941018,Mikel Merino Zazón,Spain,4,0.388,0.078,29.0,50.0,0.699
2023,3920408,Jannick Buyla Sam,Equatorial Guinea,2,0.544,0.272,3.0,70.0,0.699
2024,3930177,Martin Ádám,Hungary,1,0.185,0.185,1.0,24.0,0.693
2024,3939988,Ernesto Alexis Vega Rojas,Mexico,1,0.069,0.069,1.0,9.0,0.685
2024,3939976,Gabriel Teodoro Martinelli Silva,Brazil,2,0.161,0.081,17.0,22.0,0.661
2024,3939978,Jonathan Osorio,Canada,1,0.366,0.366,1.0,50.0,0.659
2023,3920408,Jeremie Boga,Côte d'Ivoire,3,0.609,0.203,9.0,84.0,0.652
2022,3869117,Jesus Ferreira,United States,1,0.32,0.32,1.0,45.0,0.639
2022,3857259,Nemanja Radonjić,Serbia,1,0.113,0.113,2.0,16.0,0.638
2024,3942382,Mehmet Zeki Çelik,Turkey,1,0.078,0.078,1.0,11.0,0.638
2022,3857270,Edinson Roberto Cavani Gómez,Uruguay,1,0.494,0.494,1.0,70.0,0.635
2022,3857260,Raúl Alonso Jiménez Rodríguez,Mexico,1,0.282,0.141,4.0,40.0,0.635
2024,3941017,Ľubomír Tupta,Slovakia,2,0.141,0.07,6.0,20.0,0.634
2022,3857285,Memphis Depay,Netherlands,2,0.737,0.246,6.0,105.0,0.632
2024,3942349,João Félix Sequeira,Portugal,1,0.132,0.132,2.0,19.0,0.627
2023,3920397,Carlos Akapo Martínez,Equatorial Guinea,2,1.094,0.547,3.0,158.0,0.623
2024,3930177,Ádám Nagy,Hungary,1,0.263,0.263,1.0,38.0,0.623
2023,3920408,Luis Miguel Nlavo Asue,Equatorial Guinea,1,0.263,0.131,6.0,38.0,0.623
2023,3920405,Amine Adli,Morocco,2,0.477,0.159,6.0,69.0,0.622
2024,3930165,Youssouf Fofana,France,1,0.035,0.035,1.0,5.0,0.622
2022,3857290,Ruben Vargas,Switzerland,1,0.552,0.552,1.0,80.0,0.621
2022,3857271,Ali Gholizadeh,Iran,1,0.351,0.351,2.0,51.0,0.62
2023,3920397,Marciano Sanca Tchami,Guinea-Bissau,1,0.22,0.22,3.0,32.0,0.618
2024,3942227,Silvan Widmer,Switzerland,2,0.728,0.364,3.0,106.0,0.618
2022,3857263,Leroy Sané,Germany,1,0.164,0.164,2.0,24.0,0.617
2023,3920400,Jules Olivier Ntcham,Cameroon,1,0.116,0.116,2.0,17.0,0.616
2022,3857301,Pape Matar Sarr,Senegal,1,0.116,0.116,2.0,17.0,0.615
2022,3857268,Jonathan Osorio,Canada,2,0.178,0.089,6.0,26.0,0.615
2024,3941018,Alejandro Grimaldo García,Spain,4,0.885,0.177,9.0,130.0,0.613
2024,3938639,Zuriko Davitashvili,Georgia,2,0.447,0.149,5.0,66.0,0.61
2024,3943076,Paul Brian Rodríguez Bravo,Uruguay,3,0.669,0.223,4.0,99.0,0.608
2022,3869420,Frederico Rodrigues Santos,Brazil,1,0.101,0.101,1.0,15.0,0.608
2024,3930159,Breel-Donald Embolo,Switzerland,1,0.148,0.148,5.0,22.0,0.607
2023,3923881,Wilfried Stephane Singo,Côte d'Ivoire,2,0.309,0.154,5.0,46.0,0.604
2022,3869321,Rodrigo Javier De Paul,Argentina,1,0.434,0.434,2.0,65.0,0.602
2023,3922237,Signori Dominique Nymi António,Angola,2,0.977,0.488,5.0,146.0,0.602
2024,3943077,Jorge Andrés Carrascal Guardo,Colombia,1,0.107,0.107,4.0,16.0,0.601
2022,3857259,Marko Grujić,Serbia,1,0.113,0.113,4.0,17.0,0.601
2024,3943077,Andrés Mateus Uribe Villa,Colombia,1,0.107,0.107,4.0,16.0,0.601
2024,3930162,Jon Gorenc Stankovič,Slovenia,2,0.299,0.1,10.0,45.0,0.597
2023,3920397,Esteban Obiang Obono,Equatorial Guinea,1,0.605,0.605,1.0,92.0,0.592
2023,3920408,Simon Adingra,Côte d'Ivoire,1,0.131,0.065,2.0,20.0,0.588
2024,3939985,Liam Millar,Canada,1,0.196,0.196,8.0,30.0,0.587
2024,3930168,Emre Can,Germany,2,0.371,0.124,16.0,57.0,0.586
