season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2023,Patson Daka,Zambia,3,5,0.5,1.0,0.5
2022,Alexis Mac Allister,Argentina,3,7,0.5,1.0,0.5
2023,Abdoulaye Seck,Senegal,2,5,0.51,1.0,0.49
2024,Donyell Malen,Netherlands,3,6,1.51,2.0,0.49
2023,Aboubakary Koita,Mauritania,4,12,0.52,1.0,0.48
2022,Daley Blind,Netherlands,3,5,0.52,1.0,0.48
2023,Gilson Benchimol Tavares,Cape Verde Islands,2,6,0.52,1.0,0.48
2023,Bertrand Isidore Traoré,Burkina Faso,4,11,2.53,3.0,0.47
2022,Ángel Fabián Di María Hernández,Argentina,3,7,0.53,1.0,0.47
2023,Sadio Mané,Senegal,3,7,1.54,2.0,0.46
2024,Xavi Simons,Netherlands,6,11,0.55,1.0,0.45
2024,Khvicha Kvaratskhelia,Georgia,4,6,0.55,1.0,0.45
2023,Frank Magri,Cameroon,3,6,0.56,1.0,0.44
2022,Salem Mohammed Al Dawsari,Saudi Arabia,3,7,1.56,2.0,0.44
2024,Breel-Donald Embolo,Switzerland,3,8,1.57,2.0,0.43
2022,Hee-Chan Hwang,South Korea,2,6,0.57,1.0,0.43
2024,Lisandro Martínez,Argentina,3,5,0.58,1.0,0.42
2022,Lovro Majer,Croatia,4,5,1.59,2.0,0.41
2024,Mikel Oyarzabal Ugarte,Spain,3,6,0.6,1.0,0.4
2022,Marco Asensio Willemsen,Spain,4,10,0.61,1.0,0.39
2023,Seko Fofana,Côte d'Ivoire,6,17,0.62,1.0,0.38
2022,Michy Batshuayi Tunga,Belgium,2,6,0.62,1.0,0.38
2023,Habibou Mouhamadou Diallo,Senegal,3,5,1.64,2.0,0.36
2024,Roman Yaremchuk,Ukraine,3,6,0.66,1.0,0.34
2023,Deivi Miguel Vieira,Angola,3,6,0.66,1.0,0.34
2024,Julio César Enciso Espínola,Paraguay,3,14,0.66,1.0,0.34
2022,Boulaye Dia,Senegal,4,8,0.66,1.0,0.34
2022,Haji Wright,United States,4,7,0.66,1.0,0.34
2022,João Félix Sequeira,Portugal,4,11,0.67,1.0,0.33
2023,Jean-Philippe Krasso,Côte d'Ivoire,3,7,0.67,1.0,0.33
2024,Marcel Sabitzer,Austria,3,11,0.67,1.0,0.33
2022,Niclas Füllkrug,Germany,3,8,1.69,2.0,0.31
2024,Ruben Vargas,Switzerland,3,5,0.69,1.0,0.31
2024,Moise Bombito,Canada,2,5,1.7,2.0,0.3
2023,Mohamed Konaté,Burkina Faso,3,8,0.71,1.0,0.29
2022,Serge Gnabry,Germany,3,12,0.73,1.0,0.27
2022,Adrien Rabiot,France,5,9,0.73,1.0,0.27
2024,Luis Alberto Suárez Díaz,Uruguay,3,6,1.73,2.0,0.27
2024,İlkay Gündoğan,Germany,3,7,0.75,1.0,0.25
2024,Francisco Fernandes Conceição,Portugal,3,5,0.75,1.0,0.25
2022,Ivan Perišić,Croatia,6,16,0.76,1.0,0.24
2023,Karl Brillant Toko Ekambi,Cameroon,2,6,0.81,1.0,0.19
2022,Vinícius José Paixão de Oliveira Júnior,Brazil,4,9,0.81,1.0,0.19
2022,Jude Bellingham,England,3,5,0.84,1.0,0.16
2024,Raphael Dias Belloli,Brazil,4,8,0.84,1.0,0.16
2024,Christian Dannemann Eriksen,Denmark,4,12,0.84,1.0,0.16
2023,Silas Katompa Mvumpa,Congo DR,5,5,1.85,2.0,0.15
2024,Darwin Gabriel Núñez Ribeiro,Uruguay,6,21,1.86,2.0,0.14
2024,Kevin De Bruyne,Belgium,4,11,0.86,1.0,0.14
2024,Trent Alexander-Arnold,England,3,5,0.91,1.0,0.09
2022,Achraf Hakimi Mouh,Morocco,4,5,0.92,1.0,0.08
2023,Arthur Masuaku,Congo DR,4,7,0.93,1.0,0.07
2023,Mohamed Abdel Monem,Egypt,4,6,0.95,1.0,0.05
2024,Manuel Ugarte Ribeiro,Uruguay,4,5,0.96,1.0,0.04
2024,Robert Lewandowski,Poland,1,5,0.99,1.0,0.01
2024,Fabian Lukas Schär,Switzerland,3,6,1.0,1.0,0.0
2024,Bruno Miguel Borges Fernandes,Portugal,4,11,2.01,2.0,-0.01
2023,Ismaïla Sarr,Senegal,4,7,1.02,1.0,-0.02
2024,Ismael Koné,Canada,3,7,2.03,2.0,-0.03
2024,Theo Bernard François Hernández,France,4,5,1.03,1.0,-0.03
2022,Enzo Fernandez,Argentina,6,9,1.05,1.0,-0.05
2022,Randal Kolo Muani,France,3,5,2.05,2.0,-0.05
2024,Harry Kane,England,7,18,3.05,3.0,-0.05
2023,Nicolas Pépé,Côte d'Ivoire,4,5,1.06,1.0,-0.06
2023,Achraf Hakimi Mouh,Morocco,4,6,1.06,1.0,-0.06
2022,Daniel Olmo Carvajal,Spain,4,12,1.08,1.0,-0.08
2022,Ahmad Nourollahi,Iran,2,5,0.08,0.0,-0.08
2024,Denis Mihai Drăguş,Romania,3,5,1.1,1.0,-0.1
2024,James David Rodríguez Rubio,Colombia,5,8,1.11,1.0,-0.11
2022,Federico Santiago Valverde Dipetta,Uruguay,3,7,0.12,0.0,-0.12
2022,Kang-In Lee,South Korea,3,5,0.12,0.0,-0.12
2023,Jules Olivier Ntcham,Cameroon,3,5,0.12,0.0,-0.12
2022,Luka Modrić,Croatia,6,7,1.13,1.0,-0.13
2022,Neymar da Silva Santos Junior,Brazil,3,12,2.13,2.0,-0.13
2022,İlkay Gündoğan,Germany,1,6,1.13,1.0,-0.13
2022,Christian Pulisic,United States,3,9,1.14,1.0,-0.14
2022,Antony Matheus dos Santos,Brazil,4,6,0.15,0.0,-0.15
2023,Ambrosini Antonio Cabaça Salvador,Angola,4,7,1.15,1.0,-0.15
2024,Maximilian Mittelstädt,Germany,3,5,0.15,0.0,-0.15
2022,Kevin De Bruyne,Belgium,3,7,0.18,0.0,-0.18
2022,Aurélien Djani Tchouaméni,France,6,7,1.18,1.0,-0.18
2022,Memphis Depay,Netherlands,3,10,1.18,1.0,-0.18
2024,Diego Nicolás De La Cruz Arcosa,Uruguay,4,5,0.18,0.0,-0.18
2022,Wataru Endo,Japan,2,6,0.18,0.0,-0.18
2024,Patrik Schick,Czech Republic,1,7,1.19,1.0,-0.19
2022,Pierre Kunde Malong,Cameroon,2,5,0.19,0.0,-0.19
2023,Lameck Banda,Zambia,2,5,0.2,0.0,-0.2
2022,In-Beom Hwang,South Korea,4,6,0.2,0.0,-0.2
2024,Florian Grillitsch,Austria,2,5,0.2,0.0,-0.2
2024,Ladislav Krejčí,Czech Republic,2,5,0.2,0.0,-0.2
2022,Nikola Vlašić,Croatia,5,7,2.2,2.0,-0.2
2024,João Maria Lobo Alves Palhinha Gonçalves,Portugal,2,5,0.21,0.0,-0.21
2024,Jhon Adolfo Arias Andrade,Colombia,5,7,0.21,0.0,-0.21
