season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2022,3857277,Morocco,Selim Amallah,29,6.0,7.0,1,24.14,93,28.06
2023,3920396,Egypt,Hamdi Fathi,29,3.0,7.0,5,24.14,90,29.0
2024,3942785,Argentina,Julián Álvarez,29,4.0,3.0,9,10.34,76,34.34
2024,3930160,Croatia,Lovro Majer,29,3.0,9.0,10,31.03,93,28.06
2022,3869151,Australia,Jackson Irvine,29,2.0,2.0,5,6.9,95,27.47
2022,3869685,France,Randal Kolo Muani,29,6.0,11.0,12,37.93,84,31.07
2024,3939983,Brazil,João Victor Gomes da Silva,29,8.0,3.0,7,10.34,92,28.37
2023,3922243,South Africa,Percy Tau,29,2.0,3.0,3,10.34,98,26.63
2024,3939977,Chile,Darío Esteban Osorio Osorio,28,3.0,8.0,4,28.57,93,27.1
2024,3938641,Austria,Nicolas Seiwald,28,3.0,3.0,1,10.71,92,27.39
2024,3930176,Switzerland,Remo Freuler,28,6.0,5.0,9,17.86,92,27.39
2024,3943043,England,Philip Foden,28,6.0,2.0,6,7.14,88,28.64
2024,3938644,Georgia,Otar Kiteishvili,28,4.0,6.0,2,21.43,91,27.69
2023,3920412,Guinea,Aguibou Camara,28,7.0,7.0,8,25.0,96,26.25
2024,3930177,Hungary,Dominik Szoboszlai,28,4.0,8.0,8,28.57,97,25.98
2023,3920405,Congo DR,Charles Pickel,28,4.0,7.0,3,25.0,81,31.11
2022,3857289,Mexico,Jesús Daniel Gallardo Vasconcelos,28,4.0,9.0,6,32.14,95,26.53
2023,3920395,Zambia,Fashion Sakala,28,5.0,3.0,4,10.71,95,26.53
2023,3922242,Senegal,Habibou Mouhamadou Diallo,28,3.0,2.0,6,7.14,66,38.18
2022,3869151,Australia,Mitchell Thomas Duke,28,2.0,2.0,17,7.14,71,35.49
2024,3930164,Slovakia,Ondrej Duda,27,5.0,2.0,6,7.41,92,26.41
2023,3920413,Gambia,Yankuba Minteh,27,6.0,4.0,9,14.81,99,24.55
2024,3943043,England,Jude Bellingham,27,4.0,9.0,8,33.33,87,27.93
2023,3920419,Zambia,Edward Chilufya,27,7.0,4.0,6,14.81,70,34.71
2023,3922356,Guinea,Aguibou Camara,27,11.0,8.0,5,29.63,93,26.13
2024,3941021,Romania,Denis Mihai Drăguş,27,7.0,4.0,11,14.81,71,34.23
2024,3930177,Hungary,András Schäfer,27,3.0,7.0,4,25.93,99,24.55
2022,3857255,Japan,Takefusa Kubo,27,3.0,2.0,4,7.41,45,54.0
2024,3941019,Belgium,Jeremy Doku,27,4.0,8.0,5,29.63,92,26.41
2022,3869685,Argentina,Julián Álvarez,27,5.0,1.0,6,3.7,99,24.55
2022,3869519,Argentina,Julián Álvarez,27,6.0,5.0,11,18.52,73,33.29
