season_name,player,team,total_passes,total_opponents_packed,avg_packing_per_pass,progressive_passes,avg_packing_progressive
2024,Zeno Debast,Belgium,5,9.0,1.8,3.0,3.0
2022,Nicholas Williams Arthuer,Spain,5,9.0,1.8,3.0,1.33
2024,Marcel Sabitzer,Austria,5,9.0,1.8,3.0,2.33
2024,Yunus Akgün,Turkey,5,9.0,1.8,3.0,2.33
2022,Mason Mount,England,10,18.0,1.8,8.0,2.0
2022,Kylian Mbappé Lottin,France,5,9.0,1.8,2.0,1.0
2022,Sami Khalil Al Naji,Saudi Arabia,5,9.0,1.8,4.0,2.0
2022,Woo-Young Jung,South Korea,14,25.0,1.79,10.0,2.3
2024,Christian Dannemann Eriksen,Denmark,14,25.0,1.79,10.0,2.2
2022,Min Jae Kim,South Korea,9,16.0,1.78,6.0,2.17
2024,Rúben Diogo Da Silva Neves,Portugal,9,16.0,1.78,8.0,2.0
2022,Hirving Rodrigo Lozano Bahena,Mexico,9,16.0,1.78,6.0,2.33
2024,Roland Sallai,Hungary,8,14.0,1.75,3.0,3.33
2022,Pape Abou Cissé,Senegal,8,14.0,1.75,7.0,2.0
2022,Youri Tielemans,Belgium,8,14.0,1.75,4.0,3.25
2024,Florian Grillitsch,Austria,12,21.0,1.75,5.0,3.2
2022,Cody Mathès Gakpo,Netherlands,8,14.0,1.75,5.0,2.4
2024,Jack Hendry,Scotland,8,14.0,1.75,4.0,3.5
2022,Young-Gwon Kim,South Korea,8,14.0,1.75,6.0,2.33
2022,Kylian Mbappé Lottin,France,12,21.0,1.75,6.0,2.83
2022,Jackson Irvine,Australia,8,14.0,1.75,5.0,2.0
2024,Martin Dúbravka,Slovakia,16,28.0,1.75,15.0,1.8
2024,Toni Kroos,Germany,50,87.0,1.74,31.0,2.32
2024,Manuel Obafemi Akanji,Switzerland,23,40.0,1.74,17.0,1.94
2022,Jun-Ho Son,South Korea,15,26.0,1.73,7.0,3.29
2022,Chris Mepham,Wales,11,19.0,1.73,8.0,2.25
2022,In-Beom Hwang,South Korea,11,19.0,1.73,6.0,2.83
2022,Lucas Tolentino Coelho de Lima,Brazil,11,19.0,1.73,7.0,2.29
2024,Fabian Lukas Schär,Switzerland,11,19.0,1.73,8.0,2.25
2024,Guram Kashia,Georgia,7,12.0,1.71,7.0,1.71
2024,Oleksandr Zinchenko,Ukraine,17,29.0,1.71,8.0,3.0
2024,Joachim Andersen,Denmark,17,29.0,1.71,11.0,2.36
2022,Ousmane Dembélé,France,7,12.0,1.71,1.0,4.0
2024,Chris Führich,Germany,7,12.0,1.71,3.0,2.0
2022,Grzegorz Krychowiak,Poland,7,12.0,1.71,4.0,2.5
2024,Valentin Mihai Mihăilă,Romania,7,12.0,1.71,3.0,3.33
2022,Piotr Zieliński,Poland,30,51.0,1.7,16.0,2.69
2022,Milos Veljkovic,Serbia,10,17.0,1.7,9.0,1.78
2024,Leandro Trossard,Belgium,10,17.0,1.7,2.0,2.5
