team,archetype,archetype_score,second_archetype,second_archetype_score,blend_score,gmm_confidence,sample_weight,wc_presence_weight,quality_adjustment,final_score,n_matches,ppda,possession_pct,defensive_line_height,field_tilt_pct,npxg,epr,progressive_carry_pct,avg_xg_per_buildup_possession
Italy,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.7778,0.75,-1.2,26.8,4,16.215,53.485,1.4655,21.86,0.826,117.845,27.8463,0.0648
Jamaica,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,0.7333,0.75,-2.5,32.1,3,12.2867,47.29,1.2753,20.5933,0.703,69.39,30.0804,0.111
Japan,Compact Transition,70,Possession Dominant,82,70.0,1.0,0.7778,0.8571,2.1,48.8,4,17.1125,36.0325,1.3885,23.34,1.0625,30.195,36.9277,0.1572
Mali,Possession Dominant,82,Moderate Possession,48,82.0,0.0,0.8222,0.75,-2.1,48.5,5,5.682,57.796,1.4368,19.636,1.0138,63.672,29.6619,0.0652
Mauritania,Moderate Possession,48,Possession Dominant,82,48.0,0.0,0.7778,0.75,3.1,31.1,4,9.6,36.865,1.3095,22.99,0.933,44.8925,36.7552,0.0695
Mexico,Possession Dominant,82,Moderate Possession,48,82.0,0.0,0.8667,0.8286,-2.8,56.1,6,5.9933,56.7167,1.5038,26.5533,1.122,80.2167,34.1848,0.061
Morocco,Compact Transition,70,Possession Dominant,82,70.0,1.0,1.0,0.9143,0.0,64.0,11,12.3882,44.6555,1.4939,20.3818,1.1478,44.1936,42.6311,0.1135
Mozambique,Compact Transition,70,Possession Dominant,82,70.0,1.0,0.7333,0.75,-2.0,36.5,3,15.7933,50.01,1.461,23.2133,0.605,81.9133,35.7011,0.0853
Namibia,High Press / High Output,80,Possession Dominant,82,80.0,1.0,0.7778,0.75,-2.7,44.0,4,6.46,43.49,1.5545,31.36,0.9265,55.415,39.7194,0.1422
Netherlands,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,1.0,0.8857,-1.1,54.7,11,11.5009,53.2936,1.4359,23.2191,1.1193,89.9045,34.3535,0.1318
Nigeria,High Press / High Output,80,Possession Dominant,82,80.0,1.0,0.9111,0.75,-0.5,54.2,7,8.5586,43.2457,1.3754,27.5757,1.1697,44.05,36.8523,0.0993
Panama,Moderate Possession,48,High Press / High Output,95,48.0,0.0008,0.7778,0.75,0.4,28.4,4,7.025,53.62,1.5423,26.8725,0.8058,74.4725,33.7401,0.0652
Paraguay,Moderate Possession,48,High Press / High Output,95,48.0,0.0,0.7333,0.75,2.6,29.0,3,6.08,48.3467,1.6293,24.1967,0.9867,50.87,44.3932,0.0713
Peru,Moderate Possession,48,Possession Dominant,82,48.0,1.0,0.7333,0.75,-2.2,24.2,3,7.1333,38.03,1.5243,23.5,0.4733,101.7433,38.9372,0.0833
Poland,Mid-Block Reactive,63,Possession Dominant,82,63.0,1.0,0.9111,0.8571,1.0,50.2,7,15.4643,38.8471,1.3331,21.0357,0.834,46.7643,41.8934,0.1166
Portugal,Possession Dominant,82,High Press / High Output,95,82.0,0.0,1.0,0.8857,3.3,75.9,10,8.764,63.601,1.5389,26.412,1.4187,39.262,39.2219,0.0973
Qatar,Low Intensity,35,Possession Dominant,82,35.0,1.0,0.7333,0.8286,1.5,22.8,3,19.0567,43.18,1.2633,16.7433,0.4693,153.19,34.9176,0.0727
Romania,Mid-Block Reactive,63,Possession Dominant,82,63.0,0.0,0.7778,0.75,-1.8,35.0,4,14.095,38.41,1.2258,24.5625,0.7432,59.04,33.2143,0.082
Saudi Arabia,Moderate Possession,48,Possession Dominant,82,48.0,0.0,0.7333,0.8286,0.0,29.2,3,7.1967,44.59,1.327,30.6367,0.8057,89.6767,42.8283,0.086
