player,finishing_quality,xg_volume,progressive_passes,progressive_carries,packing,xg_chain,team_involvement,xg_buildup,network_centrality,defensive_actions,high_turnovers,pressure_volume,pressure_success,recency_factor,league_mult,finishing_quality_percentile,xg_volume_percentile,progressive_passes_percentile,progressive_carries_percentile,packing_percentile,xg_chain_percentile,team_involvement_percentile,xg_buildup_percentile,network_centrality_percentile,defensive_actions_percentile,high_turnovers_percentile,pressure_volume_percentile,pressure_success_percentile,latest_club,position,Mobility_Intensity,Progression,Control,Final_Third_Output,overall_quality,latest_club_right,position_right
Lalkhawpuimawia Lalkhawpuimawia,-0.8217742638798392,2.33,1.31,1.88,0.0,0.179125,34.18625,0.16016666666666668,5.964166666666667,21.4,2.1999999999999997,26.189,12.799,0.7,1.0,1.4558823529411764,79.34558823529412,26.71428571428571,49.89285714285714,33.426199261992615,64.16666666666667,53.53333333333333,69.63878326996198,14.19485294117647,60.627906976744185,69.83720930232559,92.68924302788844,2.366533864541833,NorthEast United,Center Forward,40.898268553692205,25.26058381655245,46.86288393256542,70.03872549019607,34.88208595389252,NorthEast United,Center Forward
Evidence Makgopa,-0.2988330874092508,2.06,0.62,1.7,0.0,0.12157142857142858,30.177142857142858,0.036500000000000005,7.375714285714285,20.6,2.2,16.53857142857143,20.4,0.85,1.0,9.463235294117647,74.79595588235294,2.75,43.410714285714285,33.426199261992615,40.333333333333336,44.36666666666667,1.693916349809886,28.025735294117645,57.174418604651166,70.22093023255815,68.62948207171314,42.20318725099602,Orlando Pirates,Center Forward,33.510876262392294,21.090405245123875,28.84897387329456,64.81642156862745,34.85252358613241,Orlando Pirates,Center Forward
Cleiton Augusto Oliveira Silva,0.8398890851474206,4.628,1.0075,1.1179999999999999,0.0,0.08686052631578949,36.8485,0.052305882352941174,9.308342105263158,12.35,2.135714285714286,7.888263157894737,17.27665789473684,0.7,0.65,89.90073529411765,93.17647058823529,12.571428571428571,27.107142857142854,33.426199261992615,23.46666666666667,58.666666666666664,9.787072243346007,38.580882352941174,13.622093023255813,68.30232558139535,14.988047808764941,26.03187250996016,Bengaluru,Center Forward,28.516226663114985,16.889849103848178,38.827596594721534,85.87791666666666,34.63653611284545,Bengaluru,Center Forward
Saviour Gama,-0.3552717097872244,1.01,1.57,1.86,0.0,0.1875,31.662499999999998,0.20153333333333334,9.173529411764706,17.25,0.25,13.568235294117645,45.93529411764706,0.7,1.0,7.643382352941177,43.3125,37.51785714285714,49.107142857142854,33.426199261992615,67.83333333333334,48.76666666666667,80.1787072243346,38.216911764705884,43.55232558139535,6.3313953488372094,50.8804780876494,98.21115537848605,Goa,Right Defensive Midfield,62.753220258500875,34.78508994464944,61.91512507921419,23.744901960784315,34.434794482838534,Goa,Right Defensive Midfield
Ritwik Kumar Das,0.41970925638703716,1.937,1.0725,2.561,0.0,0.08235000000000002,16.41,0.06705833333333334,7.629470588235295,15.23888888888889,1.7333333333333334,14.50264705882353,23.37858823529412,0.7,0.65,72.79411764705881,73.15808823529412,17.285714285714285,61.875,33.426199261992615,19.8,12.833333333333332,20.326996197718632,29.845588235294116,34.918604651162795,53.72093023255814,56.402390438247004,57.9800796812749,Jamshedpur,Left Wing,55.81270615213564,43.65695308381655,20.394377656005368,67.78588235294117,34.274353225322216,Jamshedpur,Left Wing
Presnel Kimpembe,0.14136179801597237,1.4300000000000002,5.016048872334821,0.9865974103945426,0.0,0.20536293792503504,48.96724822993623,0.19817539376679985,23.709827033441712,23.258782817778865,0.40113326681017625,11.223000700170003,40.62608482708114,0.85,1.3,49.86397058823529,57.87132352941177,88.78571428571428,23.96428571428571,33.426199261992615,72.23333333333333,76.26666666666667,79.42585551330798,91.72058823529412,74.05813953488372,8.058139534883722,39.047808764940235,95.45019920318725,Paris Saint-Germain,Left Center Back,37.377544936532935,42.222190959409595,48.920147543428016,10.284029411764706,34.24539290488261,Paris Saint-Germain,Left Center Back
Glan Martins,-0.031186028585721334,0.41,2.79,0.64,0.0,0.08829999999999999,40.372,0.0913,16.56,21.8,2.8,18.37454545454545,26.710909090909087,0.7,1.0,28.75367647058824,18.5625,67.57142857142857,15.714285714285714,33.426199261992615,25.300000000000004,63.43333333333333,40.653992395437264,73.88602941176471,63.31395348837209,84.80232558139535,74.9402390438247,69.4183266932271,Goa,Right Defensive Midfield,60.972930950616146,44.228393516078015,59.0899226869455,10.955676470588237,33.98428682018607,Goa,Right Defensive Midfield
Joel Joseph Chianese,0.5342947192063889,1.6835,1.2675,1.6835,0.0,0.161078125,24.652062500000003,0.1633666666666667,7.807526315789474,16.445,1.4949999999999999,15.193578947368422,12.449552631578946,0.7,0.65,77.88970588235294,65.15073529411765,25.33928571428571,42.82142857142857,33.426199261992615,58.666666666666664,33.733333333333334,71.1444866920152,31.301470588235293,41.44186046511628,42.593023255813954,60.7410358565737,1.9721115537848606,Hyderabad,Right Center Forward,26.762413717224124,22.07353024512388,47.56430230932676,74.69350490196078,33.972095031846514,Hyderabad,Right Center Forward
Ahmed Jahouh,0.5477679265512628,1.0725,3.5425000000000004,0.5395,0.0,0.06777333333333334,40.4742,0.08296785714285715,18.2585,17.25,1.6,12.597,23.92996666666667,0.7,0.65,78.61764705882352,46.224264705882355,76.21428571428571,14.535714285714283,33.426199261992615,9.9,64.16666666666667,35.38403041825095,78.61764705882352,43.55232558139535,47.96511627906976,44.569721115537845,59.952191235059765,Mumbai City,Left Defensive Midfield,42.50211407277865,49.32571494464945,61.921809252218,27.402617647058822,33.71847988378033,Mumbai City,Left Defensive Midfield
Bartholomew Owogbalor Ogbeche,4.193363146137593,5.486,1.3585,1.3585,0.0,0.08089249999999999,31.416775,0.034125,9.658675,11.8625,1.625,7.032349999999999,15.611049999999999,0.7,0.65,98.63602941176471,94.99632352941177,27.5,34.17857142857143,33.426199261992615,17.96666666666667,48.400000000000006,0.376425855513308,40.76470588235294,10.744186046511627,49.883720930232556,9.466135458167331,13.804780876494023,Hyderabad,Left Center Forward,20.6055081997591,18.389512387981025,32.12558488033997,90.2051225490196,33.67907428063592,Hyderabad,Left Center Forward
