cluster,Mobility_Intensity,Progression,Control,Final_Third_Output,archetype_name
0,34.453923249468396,42.413355184358146,44.4762467785861,49.9647568695823,Pragmatic Builders
1,65.42174048705425,48.26096208735914,49.739199222148976,36.29402649086676,Conservative Pressers
2,56.55347448303756,48.647038065703676,65.49034887015254,64.63351546639518,Elite Dominators
3,28.528565130008104,33.12439875413937,26.40920907101928,18.74507114089092,Survival Mode
