team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed
Rayo Vallecano,55.106842105263155,22.464473684210525,0.014222727919214905,71.97368421052632,0.44984210526315793,0.10228947368421053,1.3261188435319222,3.84921052631579,0.16782228503290197,1.464842105263158,0.47364884604148405,3.5965789473684207
AS Roma,57.04868421052631,26.79973684210526,0.019763256984751086,99.86842105263158,0.4356578947368421,0.12268421052631578,1.630238321903897,5.104736842105263,0.12404922795677865,1.4689736842105263,0.46051088397087925,3.438947368421053
Valencia,50.12605263157894,22.08078947368421,0.018894614013675613,76.55263157894737,0.45086842105263153,0.11821621621621621,1.259144335192301,4.026052631578947,0.11718990933201752,1.410736842105263,0.3765617251685363,3.768157894736842
Montpellier,49.55657894736842,23.643684210526317,0.015101658003083916,92.05263157894737,0.46194736842105266,0.112,1.048617075761094,4.066052631578947,0.12005560470112472,1.4660263157894737,0.39572801464015783,3.6236842105263154
Wolfsburg,57.51823529411765,21.540882352941175,0.016734507045719656,93.76470588235294,0.4255,0.09697058823529413,1.3907857150770724,5.32735294117647,0.11194889862039446,1.4468235294117646,0.392745332023024,3.4876470588235295
Eintracht Frankfurt,47.43617647058824,22.509117647058822,0.013479653652193219,61.705882352941174,0.4641764705882353,0.08694117647058823,0.9895482429385405,3.855294117647059,0.10656302889738606,1.4676176470588236,0.4247435331567825,3.673529411764706
West Ham United,48.38131578947368,26.070263157894736,0.023365778972028704,73.44736842105263,0.5001052631578947,0.09871052631578947,1.434909137076159,3.9357894736842107,0.11490082244799225,1.389157894736842,0.46341552329820374,3.751052631578947
Borussia Mönchengladbach,55.60441176470588,21.068235294117645,0.017323958014878224,82.02941176470588,0.43688235294117644,0.11741176470588235,1.446994775413152,5.2047058823529415,0.12067435669920142,1.4603529411764706,0.3829527897885754,3.385882352941177
Atlético Madrid,48.500263157894736,29.948684210526313,0.022096748870449087,90.23684210526316,0.4672631578947368,0.10907894736842104,1.3940163885953982,4.348684210526316,0.12895344102076828,1.5100263157894738,0.5107017543859649,3.421842105263158
Tottenham Hotspur,56.87552631578947,26.315526315789473,0.02261702824152605,85.78947368421052,0.4610263157894736,0.10834210526315789,1.6409527088552223,4.660263157894737,0.13543374438662772,1.4402105263157896,0.4995703633773022,3.5923684210526314
