dimension,baseline_mean,baseline_std,tournament_mean,tournament_std,cmi,compression_pct
possession_dominance,50.00187919122129,6.283591559460855,47.54388602690046,8.023702604874387,1.2769293689679024,-27.692936896790243
territorial_control,24.480122199662222,3.0071468792769744,23.07592838411588,4.409397120293585,1.4663058697531135,-46.63058697531135
possession_efficiency,0.01744201125654043,0.004413821163792731,0.017479723672147614,0.007541294551301011,1.7085636847191354,-70.85636847191354
progression_intensity,79.14789087754589,18.440755283587226,64.45075469402394,23.969317148180348,1.2998012705864435,-29.980127058644346
progression_method,0.45739241656833424,0.02345604287570029,0.4478860341047841,0.050976921595659495,2.173295890777466,-117.3295890777466
buildup_complexity,0.10620692530212654,0.018292550234196785,0.09821269643817719,0.02963142420519433,1.619862940149276,-61.98629401492759
offensive_threat,1.2576355854656778,0.31645436622792894,1.2568915229710371,0.6040264482631229,1.9087315983754438,-90.87315983754438
tempo,4.262451348960637,0.8509125084807757,5.010643984754561,1.1130361472472605,1.3080500476300225,-30.805004763002252
press_intensity,0.11845371023768601,0.022245675993226795,0.09841472678045485,0.034277934383925235,1.5408807713625756,-54.08807713625756
defensive_line_height,1.4312550917948974,0.05724005546633309,1.4198446058748941,0.11158589847183126,1.9494372876256696,-94.94372876256696
press_effectiveness,0.427401414482758,0.04518214778049634,0.41342071769769195,0.08873684392979363,1.9639802065385308,-96.39802065385308
counter_speed,3.6110473677379913,0.20135815260145135,3.3841053108216568,0.35499062192206204,1.7629811226203282,-76.29811226203283
