team,pressing_intensity,territorial_dominance,ball_control,possession_efficiency,defensive_positioning,attacking_threat,progression_style,buildup_quality
Venezuela,0.1472754050073638,28.925,53.3825,0.03419095649200786,1.4865,2.51525,2.1951219512195124,0.0935
Spain,0.13947001394700137,26.10636363636364,64.50363636363636,0.01807278403023084,1.6530909090909092,1.6072727272727272,1.530674846625767,0.09499999999999999
Turkey,0.07531254707034192,26.088,49.52,0.023308936646310195,1.3321999999999998,1.293,1.3061224489795917,0.098
Paraguay,0.16447368421052633,24.19666666666667,48.34666666666667,0.019657951641438964,1.6293333333333333,0.9866666666666667,1.278688524590164,0.07133333333333333
Tanzania,0.06376195536663125,12.886666666666665,50.846666666666664,0.000601271087078083,1.235,0.15366666666666667,1.4054054054054055,0.026333333333333334
Mozambique,0.06331785563528916,23.213333333333335,50.01,0.012208024741596808,1.461,0.8663333333333334,1.3953488372093024,0.08533333333333333
South Africa,0.08711885500933417,22.09714285714286,51.871428571428574,0.018832898383061153,1.3541428571428573,2.7494285714285716,1.595505617977528,0.08014285714285715
Georgia,0.03171834113075886,15.975000000000001,34.185,0.01315097317201473,1.14,1.05425,1.0,0.06625
Romania,0.0709471443774388,24.5625,38.41,0.01693766937669377,1.2257500000000001,0.93925,1.7391304347826086,0.082
Ukraine,0.07483162883512097,20.05666666666667,50.94,0.014331438398700618,1.3920000000000001,0.9946666666666667,1.697674418604651,0.07466666666666666
Switzerland,0.07362565445026178,24.358888888888888,47.76111111111111,0.01708720168593723,1.3745555555555555,1.6194444444444445,1.6666666666666667,0.16255555555555556
Namibia,0.15479876160990713,31.36,43.489999999999995,0.018045655508436346,1.5545,0.9265,1.4210526315789473,0.14225
Argentina,0.09944159718503785,21.753076923076925,57.58076923076923,0.02785157254263433,1.481,2.848692307692308,1.3565573770491803,0.12215384615384614
Egypt,0.11706175007316359,27.677500000000002,57.0175,0.03440564252537416,1.4922499999999999,3.33025,1.3506493506493507,0.08975
Zambia,0.08326394671107411,15.246666666666668,44.416666666666664,0.004832629917200941,1.38,0.4443333333333333,1.6521739130434783,0.051
Gambia,0.05247507433968864,25.19333333333333,40.84,0.0123951576250878,1.2876666666666667,0.8526666666666666,1.6785714285714286,0.11233333333333333
Guinea-Bissau,0.07562389715149986,20.706666666666667,46.120000000000005,0.011369234850494563,1.4276666666666664,0.6383333333333333,1.125,0.035666666666666666
Canada,0.12080536912751677,24.364444444444445,49.19888888888889,0.01766472354707649,1.518,2.1611111111111114,1.272189349112426,0.12133333333333335
South Korea,0.0926140310257004,31.145,48.4425,0.013341338136215063,1.47875,0.9012500000000001,1.8695652173913044,0.07275
Belgium,0.0844798455225682,20.44142857142857,55.81857142857143,0.014290672274054263,1.3927142857142858,1.1532857142857142,1.4758064516129032,0.10528571428571429
Albania,0.040972411909314395,14.953333333333333,35.373333333333335,0.01524932648808011,1.228,0.7280000000000001,1.65625,0.06799999999999999
Croatia,0.09806805923310778,24.303,54.761,0.02049684348610314,1.4657,1.8992999999999998,1.3244444444444445,0.133
Netherlands,0.08694964824915026,23.21909090909091,53.29363636363637,0.011122908134890542,1.4359090909090908,1.4753636363636362,1.782857142857143,0.1318181818181818
Saudi Arabia,0.13895321908290875,30.636666666666667,44.59,0.011151172731665614,1.327,1.067,1.2272727272727273,0.08600000000000001
Senegal,0.0971699259079315,26.8625,48.3575,0.024258596640184368,1.4185,1.6755,1.683168316831683,0.116375
Colombia,0.1500750375187594,21.885,54.403333333333336,0.02183723977289271,1.4988333333333335,1.5611666666666666,1.5841584158415842,0.08166666666666667
