team,possession_dominance,territorial_control,possession_efficiency,progression_intensity,progression_method,buildup_complexity,offensive_threat,tempo,press_intensity,defensive_line_height,press_effectiveness,counter_speed,assigned_archetype,distance_to_center,archetype_name,PC1,PC2,progression_score
Mexico,56.71666666666667,26.55333333333333,0.012466237274049451,81.0,0.4186666666666667,0.061,1.252613245897616,4.611666666666667,0.16685205784204674,1.5038333333333334,0.6482670089858793,3.3733333333333335,0,5.850873880727579,Proactive Organizers,2.4724037830848253,0.5051533476490883,1
Brazil,57.576666666666675,27.215555555555554,0.023793787177792465,98.44444444444444,0.4583333333333333,0.11977777777777779,2.569018610549392,5.975555555555555,0.12206700122067002,1.5206666666666666,0.5951559538723459,3.197777777777778,0,15.229648459698632,Proactive Organizers,5.635716227144137,1.1515362640793236,2
Serbia,51.330000000000005,20.973333333333333,0.00844832441565756,81.5,0.43900000000000006,0.08816666666666667,0.8542627356946468,5.631666666666667,0.10598834128245892,1.4503333333333333,0.40515394912985275,3.1466666666666665,0,5.930143043341126,Proactive Organizers,-0.2939699115637115,-3.6586535352087353,0
Denmark,56.39714285714286,23.445714285714285,0.015956598053295037,91.42857142857143,0.37757142857142856,0.109,1.0088362665181714,6.4314285714285715,0.1172332942555686,1.5087142857142857,0.4461856983596114,3.1057142857142854,0,8.81415127039722,Proactive Organizers,2.8325373115464934,-3.2103175884470603,1
Austria,52.705,27.8675,0.024112363614443307,98.25,0.43325,0.15325,1.5289531326852739,5.365,0.16174686615446826,1.65425,0.48439519852262236,3.1550000000000002,0,13.997987177405115,Proactive Organizers,5.181494660922097,0.45995672182185715,1
England,58.317499999999995,23.419166666666666,0.0185649308456326,82.41666666666667,0.40691666666666665,0.09608333333333334,1.6037111442225676,7.345,0.10268697586856067,1.4589166666666669,0.4279540481400438,3.3783333333333334,0,7.627687913036042,Proactive Organizers,2.8014949983867536,-2.515131000272825,4
France,50.925384615384615,27.766923076923074,0.02521432173474534,94.07692307692308,0.4622307692307693,0.11738461538461539,2.082149430572127,6.382307692307692,0.08029151998023594,1.404923076923077,0.4229556074766355,3.2984615384615386,0,10.115920778611624,Proactive Organizers,2.5524286660454707,-0.1704973110402986,4
Paraguay,48.34666666666667,24.19666666666667,0.019657951641438964,75.33333333333333,0.48666666666666664,0.07133333333333333,0.986445084757482,4.4433333333333325,0.16447368421052633,1.6293333333333333,0.49880197322057784,4.2,1,6.3720507133417,Balanced Mainstream,0.5939120260304839,2.3313149016362105,0
Turkey,49.52,26.088,0.023308936646310195,75.4,0.5132,0.098,1.2929245894774795,5.62,0.07531254707034192,1.3321999999999998,0.45437929212889594,3.156,1,7.4433775377356435,Balanced Mainstream,-0.31287580519871167,-0.23126529847409816,2
Ukraine,50.94,20.05666666666667,0.014331438398700618,67.33333333333333,0.435,0.07466666666666666,0.9947670988525109,5.773333333333333,0.07483162883512097,1.3920000000000001,0.3125430920180323,2.8866666666666667,1,6.148384143967553,Balanced Mainstream,-1.2618970331862147,-4.907526209411541,0
Uruguay,50.77444444444445,26.124444444444446,0.022572797271199617,70.11111111111111,0.44766666666666666,0.11699999999999999,2.0196427658407226,4.295555555555556,0.12313585989875495,1.453111111111111,0.42512586061447194,3.9355555555555557,1,5.054738181176304,Balanced Mainstream,1.3125072548962047,1.7607244385233856,3
Bolivia,43.73333333333333,13.523333333333333,0.002679887444727321,32.333333333333336,0.447,0.06266666666666666,0.3294392575820287,4.91,0.09143553794574824,1.3419999999999999,0.2522357723577236,2.76,1,38.41203065514333,Balanced Mainstream,-5.129896789675722,-7.133546447706513,0
Romania,38.41,24.5625,0.01693766937669377,30.0,0.48024999999999995,0.082,0.9391818784715724,3.6999999999999997,0.0709471443774388,1.2257500000000001,0.34530303030303033,3.005,1,40.159925037766364,Balanced Mainstream,-4.703327953165079,-1.5210846420786963,1
United States,49.90857142857143,26.46857142857143,0.01649503970591701,80.57142857142857,0.4402857142857143,0.10757142857142857,1.104071032189365,4.807142857142857,0.11697860962566843,1.5027142857142857,0.465409905610351,4.064285714285714,0,4.557908635069646,Proactive Organizers,0.5722186298584175,1.1916456955825783,1
Cameroon,42.550000000000004,24.7,0.015413070283600495,62.666666666666664,0.48033333333333333,0.076,1.02224781907474,4.21,0.09331259720062209,1.32,0.33512544802867383,3.5033333333333334,1,7.892048490665105,Balanced Mainstream,-3.233655214180985,-0.9891429244761597,0
Ghana,41.88666666666666,22.896666666666665,0.02574002574002574,52.0,0.5446666666666667,0.13233333333333333,1.1177511014975607,4.336666666666667,0.0947268708556994,1.4283333333333335,0.418554476806904,3.046666666666667,1,17.954963605744815,Balanced Mainstream,-1.1246061868782335,0.34958522861943164,0
Albania,35.373333333333335,14.953333333333333,0.01524932648808011,49.333333333333336,0.4363333333333333,0.06799999999999999,0.7278702814752857,4.6066666666666665,0.040972411909314395,1.228,0.3376262626262626,3.206666666666667,1,24.481573416526825,Balanced Mainstream,-5.051865656415422,-4.034828622715611,0
Panama,53.620000000000005,26.872500000000002,0.01342777535331834,64.5,0.38125,0.06525,0.8055454979185015,5.109999999999999,0.14234875444839856,1.5422500000000001,0.41719409282700426,3.8025,1,9.166731480397026,Balanced Mainstream,0.4264185925537573,-0.9561947931554581,2
Japan,36.0325,23.34,0.03311806590495115,81.25,0.443,0.15725,1.845892644720152,4.2,0.058436815193571946,1.3885,0.3964354527938343,4.0,1,16.041679836994884,Balanced Mainstream,0.2375156132646052,2.3271917068627066,1
Slovakia,47.8175,21.302500000000002,0.017684247756311066,51.0,0.40075,0.10300000000000001,0.9564724428346381,5.279999999999999,0.0947867298578199,1.34975,0.3605847404627892,3.015,1,18.507015410744263,Balanced Mainstream,-0.976324759797459,-3.369827604140552,1
Ecuador,47.05571428571428,21.425714285714285,0.020224199699526175,48.142857142857146,0.42228571428571426,0.06885714285714285,1.6717559221599783,4.1971428571428575,0.15037593984962408,1.4224285714285716,0.46247153484135417,3.742857142857143,1,21.252822975215047,Balanced Mainstream,-0.12478776780057076,0.4035475793997032,2
South Korea,48.4425,31.145,0.013341338136215063,57.75,0.3965,0.07275,0.9011487824609503,5.38,0.0926140310257004,1.47875,0.5746763754045308,3.02,1,14.03895650438568,Balanced Mainstream,0.8751325794067428,-0.5897827280194052,1
Iran,37.29,24.0,0.030991735537190084,58.0,0.4136666666666667,0.15166666666666664,1.2768021665203075,3.356666666666667,0.08027829810008029,1.3283333333333334,0.36506882989183875,3.8166666666666664,1,14.695102139606204,Balanced Mainstream,-1.3144865422040588,1.5482619449402057,0
Germany,61.31875,29.59875,0.030974136595942392,135.0,0.437375,0.120625,2.1195973509456962,7.05875,0.1392515230635335,1.611125,0.5561984417965169,3.42375,2,14.082945428939034,Elite Attackers,7.556002368113912,1.3128273550745808,2
Argentina,57.58076923076923,21.753076923076925,0.02785157254263433,72.38461538461539,0.46376923076923077,0.12215384615384614,2.8486343180210008,6.251538461538461,0.09944159718503785,1.481,0.3985798152464819,3.123846153846154,1,11.85254607799538,Balanced Mainstream,4.023651788205217,-1.1593459936408919,5
Switzerland,47.76111111111111,24.358888888888888,0.01708720168593723,67.66666666666667,0.46477777777777773,0.16255555555555556,1.619365348949537,5.41,0.07362565445026178,1.3745555555555555,0.34294254884806064,3.2933333333333334,1,2.6719998576850403,Balanced Mainstream,0.18335992716245114,-1.3927533895338626,2
Belgium,55.81857142857143,20.44142857142857,0.014290672274054263,73.28571428571429,0.44185714285714284,0.10528571428571429,1.153231524795826,6.185714285714285,0.0844798455225682,1.3927142857142858,0.40595238095238095,3.36,1,10.686581270146771,Balanced Mainstream,0.19899488457449424,-2.953886297825657,1
Croatia,54.761,24.303,0.02049684348610314,86.2,0.46929999999999994,0.133,1.8993636408820749,6.116,0.09806805923310778,1.4657,0.4487179487179487,3.3160000000000003,0,4.016326167441984,Proactive Organizers,2.755397026935112,-0.6844573959198171,3
Morocco,38.79714285714285,17.55142857142857,0.01937019204161824,45.285714285714285,0.4992857142857143,0.09414285714285715,1.239767145964184,4.441428571428571,0.06498329001113999,1.4118571428571427,0.3665130568356375,3.314285714285714,1,25.952034808860855,Balanced Mainstream,-2.8074579710053427,-1.63859858098172,3
Scotland,44.169999999999995,17.12,0.0036232321646396696,26.0,0.48533333333333334,0.06533333333333334,0.33864792094876367,4.513333333333333,0.06557377049180328,1.4296666666666666,0.3629359286293593,2.8233333333333337,1,43.836473499764836,Balanced Mainstream,-4.663970831129103,-4.94927985729046,0
Slovenia,32.2375,22.119999999999997,0.017097670442402225,39.5,0.536,0.12774999999999997,1.4373776122229174,3.9325,0.043327556325823226,1.27025,0.23286974219810042,3.6825,1,33.125792787620966,Balanced Mainstream,-5.255382239351787,-0.36232331765091674,1
