season_name,match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
2021/2022,3813318,Gurkirat Singh,Mumbai City,1,0.472,1.0,0.0,0.472,2.0,1.0,42.48,19.55
2022,3869220,Badr Banoun,Morocco,1,0.784,1.0,0.0,0.784,1.0,3.0,23.52,21.16
2022,3869685,Paulo Bruno Exequiel Dybala,Argentina,2,0.89,2.0,1.0,0.445,3.0,4.0,20.025,15.43
2022,3869220,Pablo Sarabia García,Spain,3,0.959,4.0,0.0,0.32,8.0,9.0,9.59,34.18
2021/2022,3813278,Vincy Barretto,Kerala Blasters,1,0.168,1.0,0.0,0.168,1.0,2.0,7.56,14.15
2021/2022,3802752,Georginio Wijnaldum,Paris Saint-Germain,1,0.166,4.0,0.0,0.166,1.0,2.0,7.47,8.79
2021/2022,3813300,Nikhil Raj Murugesh Kumar,Odisha,2,0.591,3.0,1.0,0.296,6.0,8.0,6.649,34.01
2021/2022,3817894,Alexander Romario Jesuraj,Goa,1,0.281,1.0,1.0,0.281,1.0,4.0,6.323,17.53
2021/2022,3802676,Wesley Saïd,Lens,1,0.567,1.0,1.0,0.567,2.0,9.0,5.67,67.04
2021/2022,3802676,Corentin Jean,Lens,1,0.567,1.0,1.0,0.567,1.0,9.0,5.67,67.04
2022,3857260,Hattan Babhir,Saudi Arabia,1,0.516,1.0,1.0,0.516,1.0,9.0,5.16,47.95
2022,3869552,Randal Kolo Muani,France,1,0.852,2.0,1.0,0.852,1.0,15.0,5.112,51.26
2021/2022,3813302,Alexandre Monteiro de Lima,Jamshedpur,1,0.492,1.0,1.0,0.492,1.0,9.0,4.92,15.68
2021/2022,3813302,Ishan Pandita,Jamshedpur,1,0.492,1.0,1.0,0.492,2.0,9.0,4.92,15.68
2022,3857281,Mislav Oršić,Croatia,2,0.733,2.0,1.0,0.366,5.0,14.0,4.712,28.43
2021/2022,3802907,Edon Zhegrova,Lille,1,0.208,1.0,0.0,0.208,5.0,4.0,4.68,20.34
2021/2022,3817890,Muhammed Nemil Valiyattil,Goa,1,0.302,1.0,0.0,0.302,1.0,6.0,4.53,15.42
2021/2022,3817868,Edmund Lalrindika,Bengaluru,1,0.516,1.0,0.0,0.516,1.0,11.0,4.222,15.31
2021/2022,3813300,Jorge Rolando Pereyra Díaz,Kerala Blasters,1,0.225,2.0,0.0,0.225,4.0,5.0,4.05,10.24
2022,3869420,Mislav Oršić,Croatia,2,0.883,2.0,2.0,0.442,3.0,20.0,3.974,23.44
2021/2022,3802709,Julian Draxler,Paris Saint-Germain,2,0.335,2.0,0.0,0.167,5.0,8.0,3.769,16.61
2022,3857281,Lovro Majer,Croatia,2,0.733,2.0,1.0,0.366,3.0,18.0,3.665,28.43
2021/2022,3802752,Mauro Emanuel Icardi Rivero,Paris Saint-Germain,1,0.358,1.0,1.0,0.358,1.0,9.0,3.58,18.97
2021/2022,3813271,Nongdamba Singh Naorem,Goa,2,0.145,3.0,0.0,0.073,3.0,4.0,3.262,14.86
2021/2022,3817870,Danstan Randall Fernandes,Goa,1,0.036,1.0,0.0,0.036,4.0,1.0,3.24,1.51
2021/2022,3802709,Juan Bernat Velasco,Paris Saint-Germain,1,0.215,1.0,0.0,0.215,2.0,6.0,3.225,10.66
2021/2022,3802676,Deiver Andrés Machado Mena,Lens,1,0.567,1.0,1.0,0.567,1.0,16.0,3.189,67.04
2022,3869685,Ibrahima Konaté,France,1,0.278,1.0,0.0,0.278,2.0,8.0,3.128,5.14
2022,3857286,Kevin José Rodríguez Cortez,Ecuador,1,0.138,1.0,0.0,0.138,1.0,4.0,3.105,11.96
2021/2022,3817877,Ngasepam Tondonba Singh,NorthEast United,1,0.926,2.0,1.0,0.926,1.0,27.0,3.087,50.62
2021/2022,3817901,Diego Maurício Machado de Brito,Mumbai City,2,0.81,2.0,1.0,0.405,3.0,24.0,3.038,37.14
2022,3857296,Jeremy Doku,Belgium,2,1.063,3.0,0.0,0.532,10.0,32.0,2.99,48.05
2021/2022,3817852,Bradden Inman,Mumbai City,1,0.384,1.0,1.0,0.384,6.0,12.0,2.88,23.54
2021/2022,3802983,Cédric Bakambu,Marseille,1,0.03,1.0,0.0,0.03,2.0,1.0,2.7,3.69
2021/2022,3817894,Muhammed Nemil Valiyattil,Goa,2,0.297,2.0,1.0,0.148,6.0,10.0,2.673,18.53
2021/2022,3817866,Diego Maurício Machado de Brito,Mumbai City,1,0.784,1.0,1.0,0.784,1.0,27.0,2.613,49.42
2022,3869685,Leandro Daniel Paredes,Argentina,2,1.272,3.0,2.0,0.636,3.0,44.0,2.602,22.05
2022,3857296,Youri Tielemans,Belgium,2,1.063,3.0,0.0,0.532,5.0,38.0,2.518,48.05
2021/2022,3817871,Mohammad Yasir,Hyderabad,2,0.388,2.0,1.0,0.194,8.0,14.0,2.494,14.52
2021/2022,3802948,Georginio Wijnaldum,Paris Saint-Germain,1,0.359,1.0,0.0,0.359,4.0,13.0,2.485,8.05
2021/2022,3813280,Jobby Justin,Chennaiyin,1,0.349,3.0,0.0,0.349,1.0,13.0,2.416,16.77
2021/2022,3813300,Chencho Gyeltshen,Kerala Blasters,1,0.225,2.0,0.0,0.225,2.0,9.0,2.25,10.24
2022,3869486,Zakaria Aboukhlal,Morocco,1,0.391,1.0,0.0,0.391,2.0,16.0,2.199,40.23
2021/2022,3827338,Kiyan Nassiri Giri,ATK Mohun Bagan,1,0.364,1.0,0.0,0.364,3.0,15.0,2.184,21.2
2021/2022,3802818,Igor Silva de Almeida,Lorient,1,0.048,1.0,0.0,0.048,2.0,2.0,2.16,7.71
2021/2022,3813290,Aaren D''Silva,Hyderabad,1,0.214,1.0,1.0,0.214,2.0,9.0,2.14,10.38
2022,3869219,Nikola Vlašić,Croatia,2,0.849,3.0,1.0,0.424,3.0,36.0,2.123,21.95
2022,3857271,Sardar Azmoun,Iran,1,0.351,1.0,0.0,0.351,2.0,15.0,2.106,24.59
2021/2022,3817870,Hormipam Ruivah,Kerala Blasters,2,0.463,2.0,1.0,0.232,7.0,20.0,2.084,15.55
2022,3869219,Marko Livaja,Croatia,2,0.831,2.0,0.0,0.415,2.0,36.0,2.077,21.49
2022,3869321,Gonzalo Ariel Montiel,Argentina,2,0.866,2.0,1.0,0.433,4.0,38.0,2.051,14.79
2022,3857256,Christian Fassnacht,Switzerland,1,0.317,1.0,0.0,0.317,2.0,14.0,2.038,10.86
2021/2022,3817859,Ishan Pandita,Jamshedpur,2,0.448,2.0,0.0,0.224,4.0,20.0,2.016,28.74
2021/2022,3817871,Javier Siverio Toro,Hyderabad,1,0.378,1.0,1.0,0.378,2.0,17.0,2.001,14.15
2022,3857292,Matthias Ginter,Germany,2,0.22,3.0,0.0,0.11,6.0,10.0,1.98,5.42
2021/2022,3817871,Eduardo García Martín,Hyderabad,2,0.388,2.0,1.0,0.194,7.0,18.0,1.94,14.52
2021/2022,3817876,Germanpreet Singh,Chennaiyin,2,0.172,2.0,0.0,0.086,3.0,8.0,1.935,26.0
2022,3857276,Atiba Hutchinson,Canada,1,0.639,2.0,0.0,0.639,1.0,30.0,1.917,63.35
2021/2022,3817867,Pranjal Prakash Bhumij,Mumbai City,2,0.422,2.0,0.0,0.211,3.0,20.0,1.899,16.8
2022,3869552,Abderrazak Hamdallah,Morocco,1,0.506,3.0,0.0,0.506,2.0,24.0,1.898,50.13
