season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2021/2022,3813318,Gurkirat Singh,Mumbai City,1,0.472,0.472,2.0,1.0,42.466
2021/2022,3802676,Wesley Saïd,Lens,1,0.567,0.567,2.0,9.0,5.667
2021/2022,3817894,Muhammed Nemil Valiyattil,Goa,1,0.281,0.281,2.0,5.0,5.058
2021/2022,3817871,Mohammad Yasir,Hyderabad,1,0.378,0.378,4.0,7.0,4.866
2021/2022,3802709,Julian Draxler,Paris Saint-Germain,1,0.215,0.215,4.0,4.0,4.843
2022,3869685,Paulo Bruno Exequiel Dybala,Argentina,1,0.107,0.107,2.0,2.0,4.795
2021/2022,3817890,Muhammed Nemil Valiyattil,Goa,1,0.302,0.302,1.0,6.0,4.531
2021/2022,3802709,Juan Bernat Velasco,Paris Saint-Germain,1,0.215,0.215,2.0,6.0,3.229
2021/2022,3817870,Prasanth Karuthadathkuni,Kerala Blasters,2,0.835,0.417,5.0,30.0,2.505
2021/2022,3817870,Brison Deuben Fernandes,Goa,1,0.108,0.108,1.0,4.0,2.43
2022,3857271,Philip Foden,England,1,0.626,0.626,1.0,25.0,2.255
2021/2022,3817867,Pranjal Prakash Bhumij,Mumbai City,1,0.246,0.246,1.0,10.0,2.217
2021/2022,3827338,Prabir Das,ATK Mohun Bagan,1,0.364,0.364,2.0,15.0,2.183
2021/2022,3802818,Igor Silva de Almeida,Lorient,1,0.048,0.048,2.0,2.0,2.147
2021/2022,3817871,Sahil Tavora,Hyderabad,1,0.378,0.378,6.0,16.0,2.129
2022,3857271,Marcus Rashford,England,1,0.626,0.626,2.0,27.0,2.088
2022,3857296,Jeremy Doku,Belgium,2,1.106,0.369,14.0,48.0,2.074
2021/2022,3817859,Jordan Murray,Jamshedpur,1,0.398,0.398,2.0,19.0,1.886
2021/2022,3813295,Joel Joseph Chianese,Hyderabad,1,0.506,0.506,1.0,25.0,1.823
2021/2022,3817892,Michael Soosairaj,ATK Mohun Bagan,2,0.36,0.18,6.0,18.0,1.802
2021/2022,3802948,Ander Herrera Agüera,Paris Saint-Germain,1,0.359,0.359,2.0,18.0,1.794
2021/2022,3802839,Julian Draxler,Paris Saint-Germain,1,0.575,0.575,4.0,29.0,1.784
2021/2022,3813318,Raynier Fernandes,Mumbai City,1,0.472,0.472,4.0,24.0,1.769
2022,3857281,Bruno Petković,Croatia,1,0.687,0.687,2.0,35.0,1.767
2021/2022,3813287,Prabir Das,ATK Mohun Bagan,1,0.234,0.234,1.0,12.0,1.754
2022,3857296,Youri Tielemans,Belgium,2,1.106,0.369,9.0,57.0,1.747
2022,3857255,Ritsu Doan,Japan,1,0.873,0.873,2.0,45.0,1.745
2021/2022,3817877,Ngasepam Tondonba Singh,NorthEast United,1,1.03,0.515,2.0,54.0,1.717
2022,3869118,Kalvin Phillips,England,1,0.146,0.146,4.0,8.0,1.642
2021/2022,3813287,Udanta Kumam Singh,Bengaluru,1,0.201,0.201,1.0,11.0,1.641
2021/2022,3813272,Aaren D''Silva,Hyderabad,1,0.217,0.217,2.0,12.0,1.624
2021/2022,3813317,Isaac Vanmalsawma Chhakchhuak,Odisha,1,0.304,0.304,3.0,17.0,1.609
2021/2022,3817877,Marcelo Leite Pereira,NorthEast United,1,1.03,0.515,2.0,58.0,1.599
2022,3857292,Matthias Ginter,Germany,2,0.266,0.089,10.0,15.0,1.598
2021/2022,3813300,Liridon Krasniqi,Odisha,1,0.546,0.546,6.0,32.0,1.537
2021/2022,3802699,Julian Draxler,Paris Saint-Germain,1,0.153,0.153,4.0,9.0,1.53
2021/2022,3802984,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.065,0.065,6.0,4.0,1.462
2021/2022,3813299,Sivasakthi Narayanan,Bengaluru,1,0.081,0.081,2.0,5.0,1.456
2021/2022,3817882,Mohammed Rafique,East Bengal,1,0.097,0.097,3.0,6.0,1.455
2021/2022,3802907,Ángel Fabián Di María Hernández,Paris Saint-Germain,1,0.71,0.71,2.0,44.0,1.451
2021/2022,3813300,Chencho Gyeltshen,Kerala Blasters,1,0.29,0.145,2.0,18.0,1.448
2021/2022,3817899,Sandip Mandi,Jamshedpur,2,0.281,0.14,4.0,18.0,1.405
2021/2022,3802643,Anthony Caci,Strasbourg,1,0.186,0.186,3.0,12.0,1.398
2022,3857271,Eric Dier,England,2,0.704,0.352,10.0,46.0,1.377
2021/2022,3802837,Leandro Daniel Paredes,Paris Saint-Germain,2,0.572,0.286,3.0,38.0,1.356
2022,3857285,Teun Koopmeiners,Netherlands,1,0.286,0.286,2.0,19.0,1.355
2022,3857254,Andreas Evald Cornelius,Denmark,1,0.84,0.42,2.0,56.0,1.349
2021/2022,3813306,Laldanmawia Ralte,NorthEast United,1,0.706,0.706,2.0,49.0,1.297
2022,3857264,Lautaro Javier Martínez,Argentina,1,0.224,0.224,7.0,16.0,1.261
2021/2022,3817868,Damaitphang Lyngdoh,Bengaluru,1,0.516,0.516,2.0,37.0,1.255
2021/2022,3817870,Vincy Barretto,Kerala Blasters,1,0.41,0.41,2.0,30.0,1.229
2022,3869685,Leandro Daniel Paredes,Argentina,1,0.592,0.296,4.0,44.0,1.212
2021/2022,3817896,Paul Ramfangzauva,Odisha,1,0.83,0.83,2.0,62.0,1.205
2021/2022,3813306,Lenny Rodrigues,ATK Mohun Bagan,2,0.293,0.146,7.0,22.0,1.198
2021/2022,3813306,David Joel Williams,ATK Mohun Bagan,2,0.293,0.146,9.0,22.0,1.198
2022,3869151,Gonzalo Ariel Montiel,Argentina,2,0.424,0.212,6.0,32.0,1.191
2022,3857264,Germán Alejandro Pezzella,Argentina,1,0.224,0.224,13.0,17.0,1.187
2022,3869152,Jan Bednarek,Poland,1,0.104,0.104,2.0,8.0,1.175
2021/2022,3813300,Daniel Lalhlimpuia,Odisha,2,0.591,0.296,2.0,46.0,1.157
2021/2022,3802818,Thilo Kehrer,Paris Saint-Germain,1,0.089,0.089,1.0,7.0,1.149
2021/2022,3827338,David Joel Williams,ATK Mohun Bagan,1,0.661,0.661,1.0,52.0,1.144
2021/2022,3813279,Rahim Ali,Chennaiyin,3,0.876,0.292,6.0,69.0,1.143
2021/2022,3802802,Julian Draxler,Paris Saint-Germain,2,0.363,0.182,2.0,30.0,1.09
2021/2022,3817884,Joni Ensio Kauko,ATK Mohun Bagan,1,0.727,0.727,2.0,60.0,1.09
2021/2022,3817852,Diego Maurício Machado de Brito,Mumbai City,1,0.384,0.384,1.0,32.0,1.081
2021/2022,3802818,Fabien Lemoine,Lorient,1,0.048,0.048,8.0,4.0,1.073
2022,3857285,Davy Klaassen,Netherlands,1,0.451,0.225,4.0,38.0,1.068
2022,3857278,Abolfazl Jalali,Iran,1,0.305,0.305,4.0,26.0,1.057
2022,3857256,Denis Lemi Zakaria Lako Lado,Switzerland,1,0.317,0.317,4.0,27.0,1.056
2022,3869118,Eric Dier,England,1,0.146,0.146,5.0,13.0,1.01
2021/2022,3802752,Achraf Hakimi Mouh,Paris Saint-Germain,2,0.399,0.2,5.0,36.0,0.998
2021/2022,3817878,Sahil Tavora,Hyderabad,1,0.483,0.242,2.0,44.0,0.989
2022,3869684,Mario Pašalić,Croatia,1,0.236,0.236,2.0,22.0,0.964
2021/2022,3817859,Joe Zoherliana,NorthEast United,1,0.958,0.958,1.0,90.0,0.958
2022,3869685,Lautaro Javier Martínez,Argentina,2,0.846,0.211,10.0,80.0,0.951
2022,3869321,Ángel Fabián Di María Hernández,Argentina,5,0.42,0.084,9.0,40.0,0.945
2022,3857266,Ibrahima Konaté,France,2,0.417,0.209,11.0,40.0,0.939
2022,3857266,Kingsley Coman,France,2,0.417,0.209,9.0,40.0,0.939
2021/2022,3817875,Alexander Romario Jesuraj,Goa,2,0.393,0.196,9.0,38.0,0.93
2022,3869151,Jamie MacLaren,Australia,1,0.234,0.234,1.0,23.0,0.915
2021/2022,3802793,Justin Kluivert,OGC Nice,1,0.731,0.731,8.0,72.0,0.914
2021/2022,3802930,Ismaël Gharbi,Paris Saint-Germain,1,0.03,0.03,6.0,3.0,0.912
2022,3857279,Jules Koundé,France,2,0.121,0.06,6.0,12.0,0.907
2021/2022,3802802,Lionel Andrés Messi Cuccittini,Paris Saint-Germain,1,0.267,0.267,6.0,27.0,0.89
2021/2022,3817895,Devendra Dhaku Murgaokar,Goa,1,0.077,0.077,4.0,8.0,0.87
2021/2022,3802805,Hichem Boudaoui,OGC Nice,1,0.076,0.076,3.0,8.0,0.86
2021/2022,3802795,Nuno Mendes,Paris Saint-Germain,1,0.095,0.095,1.0,10.0,0.858
2021/2022,3817854,Khangembam Bidyashagar Singh,Bengaluru,1,0.188,0.094,2.0,20.0,0.848
2021/2022,3803000,Alidu Seidu,Clermont Foot,1,0.809,0.809,1.0,86.0,0.847
2021/2022,3817878,Nim Dorjee Tamang,Hyderabad,1,0.113,0.113,1.0,12.0,0.845
2021/2022,3813316,Deshorn Brown,NorthEast United,1,0.336,0.168,2.0,36.0,0.839
2022,3857255,Shūichi Gonda,Japan,1,0.873,0.873,1.0,94.0,0.835
2022,3857292,Mario Götze,Germany,4,1.476,0.295,8.0,160.0,0.83
2021/2022,3802676,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.091,0.091,2.0,10.0,0.822
2021/2022,3817896,Arshdeep Singh Saini,Odisha,1,0.83,0.83,1.0,91.0,0.821
2021/2022,3813290,Javier Siverio Toro,Hyderabad,1,0.091,0.091,1.0,10.0,0.821
2022,3857283,Abderrazak Hamdallah,Morocco,1,0.181,0.181,1.0,20.0,0.815
2021/2022,3802902,Marco Verratti,Paris Saint-Germain,1,0.434,0.434,2.0,48.0,0.814
2021/2022,3802643,Jean Eudès Aholou,Strasbourg,2,0.433,0.144,6.0,48.0,0.812
2022,3857296,Thorgan Hazard,Belgium,2,0.837,0.279,5.0,96.0,0.784
2021/2022,3813272,Nongdamba Singh Naorem,Goa,1,0.174,0.087,2.0,20.0,0.781
2021/2022,3802793,Jean-Clair Todibo,OGC Nice,1,0.731,0.731,1.0,85.0,0.774
2021/2022,3813273,Mandar Rao Desai,Mumbai City,1,0.275,0.275,2.0,32.0,0.772
2021/2022,3817865,Akshunna Tyagi,Odisha,1,0.223,0.111,2.0,26.0,0.772
2021/2022,3813284,Narender Gahlot,Jamshedpur,1,0.248,0.248,2.0,29.0,0.769
2021/2022,3813274,Rowllin Borges,Mumbai City,1,0.12,0.06,6.0,14.0,0.769
2021/2022,3813300,Prasanth Karuthadathkuni,Kerala Blasters,1,0.29,0.145,4.0,34.0,0.767
2022,3857263,Lukas Klostermann,Germany,3,0.852,0.213,6.0,100.0,0.767
2022,3869552,Abderrazak Hamdallah,Morocco,1,0.612,0.204,3.0,72.0,0.765
2021/2022,3817888,Kiyan Nassiri Giri,ATK Mohun Bagan,4,1.152,0.288,12.0,136.0,0.763
2021/2022,3817901,Boris Singh Thangjam,Jamshedpur,2,1.234,0.617,6.0,146.0,0.761
2022,3869117,DeAndre Yedlin,United States,3,0.48,0.16,9.0,57.0,0.757
2022,3869684,Bruno Petković,Croatia,1,0.236,0.236,2.0,28.0,0.757
2021/2022,3827338,Lenny Rodrigues,ATK Mohun Bagan,2,0.872,0.436,8.0,104.0,0.754
2021/2022,3802948,Thilo Kehrer,Paris Saint-Germain,1,0.067,0.067,2.0,8.0,0.753
2022,3857260,Abdulrahman Al-Obood,Saudi Arabia,2,0.536,0.268,6.0,64.0,0.753
2021/2022,3802907,Domagoj Bradarić,Lille,2,0.333,0.167,8.0,40.0,0.75
2022,3869151,Nicolás Alejandro Tagliafico,Argentina,2,0.424,0.212,3.0,52.0,0.733
2021/2022,3802793,Dante Bonfim da Costa Santos,OGC Nice,1,0.731,0.731,2.0,90.0,0.731
2022,3857270,Diego Roberto Godín Leal,Uruguay,1,0.494,0.494,6.0,61.0,0.729
2022,3857291,Nicholas Williams Arthuer,Spain,3,0.604,0.201,12.0,75.0,0.724
2021/2022,3802793,Andy Delort,OGC Nice,1,0.731,0.731,2.0,91.0,0.723
2021/2022,3817874,Rohit Kumar,Bengaluru,1,0.08,0.08,2.0,10.0,0.721
2021/2022,3813289,Isak Vanlalruatfela,Odisha,2,0.35,0.175,4.0,44.0,0.716
2021/2022,3802665,Edouard Michut,Paris Saint-Germain,1,0.175,0.175,2.0,22.0,0.714
2022,3857290,Djibril Sow,Switzerland,1,0.552,0.552,3.0,70.0,0.71
2021/2022,3813306,Michael Soosairaj,ATK Mohun Bagan,3,0.328,0.109,6.0,42.0,0.704
2021/2022,3817875,Saviour Gama,Goa,3,0.419,0.14,4.0,54.0,0.698
2021/2022,3817862,Bradden Inman,Mumbai City,1,0.108,0.108,2.0,14.0,0.692
2021/2022,3827338,Amrinder Singh,ATK Mohun Bagan,1,0.661,0.661,6.0,87.0,0.684
2021/2022,3802665,Xavi Simons,Paris Saint-Germain,1,0.175,0.175,2.0,23.0,0.683
2021/2022,3802983,Dimitri Payet,Marseille,1,0.723,0.723,1.0,96.0,0.678
2021/2022,3817875,Leander D''Cunha,Goa,1,0.075,0.075,2.0,10.0,0.672
2021/2022,3813308,Airam López Cabrera,Goa,1,0.134,0.134,2.0,18.0,0.672
2021/2022,3817880,Debjit Majumder,Chennaiyin,1,0.652,0.652,1.0,88.0,0.667
2021/2022,3802948,Keylor Navas Gamboa,Paris Saint-Germain,1,0.606,0.606,2.0,82.0,0.665
2021/2022,3802685,Nuno Mendes,Paris Saint-Germain,2,0.242,0.081,4.0,33.0,0.66
2021/2022,3802643,Ángel Fabián Di María Hernández,Paris Saint-Germain,1,0.051,0.051,6.0,7.0,0.654
2021/2022,3817870,Adrián Nicolás Luna Retamar,Kerala Blasters,2,0.463,0.232,7.0,64.0,0.651
