season_name,match_id,team,passes,total_passes,possession_pct
2021/2022,3802643,Paris Saint-Germain,633,1124.0,56.32
2021/2022,3802643,Strasbourg,491,1124.0,43.68
2021/2022,3802665,Paris Saint-Germain,783,1127.0,69.48
2021/2022,3802665,Montpellier,344,1127.0,30.52
2021/2022,3802676,Paris Saint-Germain,766,1174.0,65.25
2021/2022,3802676,Lens,408,1174.0,34.75
2021/2022,3802683,Paris Saint-Germain,577,1096.0,52.65
2021/2022,3802683,AS Monaco,519,1096.0,47.35
2021/2022,3802685,Paris Saint-Germain,738,1159.0,63.68
2021/2022,3802685,Lens,421,1159.0,36.32
2021/2022,3802690,Paris Saint-Germain,838,1094.0,76.6
2021/2022,3802690,Lorient,256,1094.0,23.4
2021/2022,3802696,Paris Saint-Germain,763,1156.0,66.0
2021/2022,3802696,Stade de Reims,393,1156.0,34.0
2021/2022,3802699,Paris Saint-Germain,609,1025.0,59.41
2021/2022,3802699,Lille,416,1025.0,40.59
2021/2022,3802709,Paris Saint-Germain,667,1066.0,62.57
2021/2022,3802709,Saint-Étienne,399,1066.0,37.43
2021/2022,3802752,Paris Saint-Germain,551,1030.0,53.5
2021/2022,3802752,Lyon,479,1030.0,46.5
2021/2022,3802793,Paris Saint-Germain,788,1128.0,69.86
2021/2022,3802793,OGC Nice,340,1128.0,30.14
2021/2022,3802795,Paris Saint-Germain,726,1152.0,63.02
2021/2022,3802795,Rennes,426,1152.0,36.98
2021/2022,3802802,Paris Saint-Germain,878,1290.0,68.06
2021/2022,3802802,Stade de Reims,412,1290.0,31.94
2021/2022,3802805,Paris Saint-Germain,693,1205.0,57.51
2021/2022,3802805,OGC Nice,512,1205.0,42.49
2021/2022,3802809,Paris Saint-Germain,651,980.0,66.43
2021/2022,3802809,Rennes,329,980.0,33.57
2021/2022,3802818,Paris Saint-Germain,756,1144.0,66.08
2021/2022,3802818,Lorient,388,1144.0,33.92
2021/2022,3802837,Paris Saint-Germain,753,1057.0,71.24
2021/2022,3802837,Saint-Étienne,304,1057.0,28.76
2021/2022,3802839,Paris Saint-Germain,740,1043.0,70.95
2021/2022,3802839,Nantes,303,1043.0,29.05
2021/2022,3802902,Paris Saint-Germain,561,1085.0,51.71
2021/2022,3802902,Marseille,524,1085.0,48.29
2021/2022,3802904,Paris Saint-Germain,659,1153.0,57.16
2021/2022,3802904,Bordeaux,494,1153.0,42.84
2021/2022,3802907,Paris Saint-Germain,648,1110.0,58.38
2021/2022,3802907,Lille,462,1110.0,41.62
2021/2022,3802930,Paris Saint-Germain,657,1047.0,62.75
2021/2022,3802930,Troyes,390,1047.0,37.25
2021/2022,3802948,Paris Saint-Germain,787,1053.0,74.74
2021/2022,3802948,Metz,266,1053.0,25.26
2021/2022,3802983,Marseille,678,1188.0,57.07
2021/2022,3802983,Paris Saint-Germain,510,1188.0,42.93
2021/2022,3802984,Paris Saint-Germain,813,1229.0,66.15
2021/2022,3802984,Nantes,416,1229.0,33.85
2021/2022,3803000,Paris Saint-Germain,746,1175.0,63.49
2021/2022,3803000,Clermont Foot,429,1175.0,36.51
2021/2022,3813264,ATK Mohun Bagan,466,879.0,53.01
2021/2022,3813264,Hyderabad,413,879.0,46.99
2021/2022,3813265,Mumbai City,554,790.0,70.13
2021/2022,3813265,East Bengal,236,790.0,29.87
2021/2022,3813266,Goa,566,844.0,67.06
