team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Saint-Étienne,Romain Hamouma,36.0,3.0,4.0,5.0,7.5,10.0,12.5,30.0,Complete Progressor
Marseille,Dimitri Payet,191.0,19.0,22.0,17.0,8.95,10.37,8.01,27.33,Complete Progressor
Brazil,Antony Matheus dos Santos,140.0,7.0,16.0,19.0,4.5,10.29,12.21,27.0,Complete Progressor
Germany,Jamal Musiala,274.0,16.0,33.0,27.0,5.26,10.84,8.87,24.97,Complete Progressor
Stade de Reims,Azor Matusiwa,45.0,11.0,0.0,0.0,22.0,0.0,0.0,22.0,Progressive Passer
Stade de Reims,Ilan Kebbal,75.0,5.0,9.0,4.0,6.0,10.8,4.8,21.6,Complete Progressor
Paris Saint-Germain,Kylian Mbappé Lottin,2053.0,56.0,196.0,240.0,2.45,8.59,10.52,21.56,Ball Carrier
OGC Nice,Amine Gouiri,109.0,4.0,9.0,13.0,3.3,7.43,10.73,21.46,Complete Progressor
United States,Giovanni Reyna,63.0,1.0,6.0,8.0,1.43,8.57,11.43,21.43,Ball Carrier
Germany,Leroy Sané,127.0,9.0,8.0,13.0,6.38,5.67,9.21,21.26,Complete Progressor
Argentina,Ángel Fabián Di María Hernández,312.0,10.0,22.0,41.0,2.88,6.35,11.83,21.060000000000002,Complete Progressor
Hyderabad,Abdul Rabeeh,69.0,1.0,7.0,8.0,1.3,9.13,10.43,20.86,Ball Carrier
Nantes,Osman Bukari,103.0,3.0,12.0,8.0,2.62,10.49,6.99,20.1,Ball Carrier
Paris Saint-Germain,Ángel Fabián Di María Hernández,1411.0,72.0,96.0,141.0,4.59,6.12,8.99,19.700000000000003,Complete Progressor
Lyon,Karl Brillant Toko Ekambi,64.0,3.0,6.0,5.0,4.22,8.44,7.03,19.69,Complete Progressor
Strasbourg,Jean-Ricner Bellegarde,96.0,9.0,9.0,3.0,8.44,8.44,2.81,19.689999999999998,Complete Progressor
Qatar,Ali Assadalla Thaimn Qambar,32.0,1.0,5.0,1.0,2.81,14.06,2.81,19.68,Ball Carrier
Paris Saint-Germain,Neymar da Silva Santos Junior,1545.0,81.0,110.0,144.0,4.72,6.41,8.39,19.52,Complete Progressor
Japan,Hiroki Ito,51.0,2.0,2.0,7.0,3.53,3.53,12.35,19.41,Complete Progressor
Germany,Niclas Füllkrug,93.0,2.0,4.0,14.0,1.94,3.87,13.55,19.36,Ball Carrier
Brazil,Neymar da Silva Santos Junior,284.0,16.0,22.0,23.0,5.07,6.97,7.29,19.33,Complete Progressor
Paris Saint-Germain,Lionel Andrés Messi Cuccittini,2251.0,194.0,149.0,132.0,7.76,5.96,5.28,19.0,Complete Progressor
Denmark,Andreas Skov Olsen,133.0,4.0,9.0,15.0,2.71,6.09,10.15,18.950000000000003,Ball Carrier
Goa,Jorge Ortiz Mendoza,1260.0,54.0,104.0,106.0,3.86,7.43,7.57,18.86,Complete Progressor
Spain,Carlos Soler Barragán,105.0,9.0,4.0,9.0,7.71,3.43,7.71,18.85,Complete Progressor
Germany,Mario Götze,54.0,2.0,4.0,5.0,3.33,6.67,8.33,18.33,Complete Progressor
Serbia,Dušan Tadić,271.0,15.0,18.0,22.0,4.98,5.98,7.31,18.27,Complete Progressor
Brazil,Vinícius José Paixão de Oliveira Júnior,307.0,6.0,28.0,28.0,1.76,8.21,8.21,18.18,Ball Carrier
