season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2021/2022,3817859,Jamshedpur,20,1.915,47.0,0.096,2.35
2021/2022,3817859,NorthEast United,26,8.182,69.0,0.315,2.65
2021/2022,3817860,Hyderabad,33,2.376,74.0,0.072,2.24
2021/2022,3817860,Odisha,11,0.653,32.0,0.059,2.91
2021/2022,3817861,Bengaluru,37,2.173,86.0,0.059,2.32
2021/2022,3817861,Kerala Blasters,29,0.972,53.0,0.034,1.83
2021/2022,3817862,Mumbai City,38,3.396,160.0,0.089,4.21
2021/2022,3817862,Odisha,30,1.238,65.0,0.041,2.17
2021/2022,3817863,Goa,54,4.754,129.0,0.088,2.39
2021/2022,3817863,Hyderabad,21,1.176,70.0,0.056,3.33
2021/2022,3817864,ATK Mohun Bagan,42,2.088,96.0,0.05,2.29
2021/2022,3817864,Mumbai City,45,3.036,143.0,0.067,3.18
2021/2022,3817865,NorthEast United,27,2.159,80.0,0.08,2.96
2021/2022,3817865,Odisha,38,7.297,88.0,0.192,2.32
2021/2022,3817866,Kerala Blasters,34,2.084,70.0,0.061,2.06
2021/2022,3817866,Mumbai City,21,1.156,43.0,0.055,2.05
2021/2022,3817867,Mumbai City,14,1.797,38.0,0.128,2.71
2021/2022,3817867,NorthEast United,24,1.458,67.0,0.061,2.79
2021/2022,3817868,Bengaluru,31,5.94,76.0,0.192,2.45
2021/2022,3817868,Chennaiyin,41,5.792,97.0,0.141,2.37
2021/2022,3817869,Bengaluru,28,3.193,70.0,0.114,2.5
2021/2022,3817869,Hyderabad,18,1.335,34.0,0.074,1.89
2021/2022,3817870,Goa,41,3.84,87.0,0.094,2.12
2021/2022,3817870,Kerala Blasters,25,5.793,57.0,0.232,2.28
2021/2022,3817871,Hyderabad,39,6.093,98.0,0.156,2.51
2021/2022,3817871,NorthEast United,27,0.85,59.0,0.031,2.19
2021/2022,3817872,Bengaluru,36,5.787,143.0,0.161,3.97
2021/2022,3817872,Odisha,31,5.895,65.0,0.19,2.1
2021/2022,3817873,ATK Mohun Bagan,35,5.947,91.0,0.17,2.6
2021/2022,3817873,NorthEast United,55,3.037,136.0,0.055,2.47
2021/2022,3817874,Bengaluru,20,1.201,32.0,0.06,1.6
2021/2022,3817874,Goa,25,1.573,66.0,0.063,2.64
2021/2022,3817875,Goa,43,5.3149999999999995,190.0,0.124,4.42
2021/2022,3817875,Jamshedpur,5,0.494,9.0,0.099,1.8
2021/2022,3817876,Chennaiyin,32,2.308,78.0,0.072,2.44
2021/2022,3817876,NorthEast United,42,5.603,97.0,0.133,2.31
2021/2022,3817877,Bengaluru,50,6.666,132.0,0.133,2.64
2021/2022,3817877,NorthEast United,31,5.2540000000000004,66.0,0.169,2.13
2021/2022,3817878,East Bengal,38,1.671,99.0,0.044,2.61
2021/2022,3817878,Hyderabad,31,5.25,67.0,0.169,2.16
2021/2022,3817879,Chennaiyin,13,1.105,33.0,0.085,2.54
2021/2022,3817879,Hyderabad,69,2.719,176.0,0.039,2.55
2021/2022,3817880,Chennaiyin,39,4.322,81.0,0.111,2.08
2021/2022,3817880,Odisha,44,5.245,111.0,0.119,2.52
2021/2022,3817881,Jamshedpur,23,1.374,62.0,0.06,2.7
2021/2022,3817881,Kerala Blasters,24,0.616,39.0,0.026,1.62
2021/2022,3817882,Chennaiyin,29,2.397,59.0,0.083,2.03
2021/2022,3817882,East Bengal,62,3.346,164.0,0.054,2.65
2021/2022,3817883,Bengaluru,10,1.038,18.0,0.104,1.8
2021/2022,3817883,Jamshedpur,24,1.879,50.0,0.078,2.08
2021/2022,3817884,ATK Mohun Bagan,48,6.407,94.0,0.133,1.96
