season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2022,3857255,Spain,Rodrigo Hernández Cascante,206.0,193.0,399.0,13,12,25,40.18
2022,3869220,Spain,Rodrigo Hernández Cascante,204.0,190.0,394.0,16,12,28,41.04
2022,3857255,Spain,Pau Francisco Torres,171.0,178.0,349.0,12,12,24,35.15
2022,3869220,Spain,Aymeric Laporte,172.0,167.0,339.0,11,12,23,35.31
2022,3857264,Argentina,Rodrigo Javier De Paul,142.0,138.0,280.0,14,14,28,33.9
2022,3857291,Spain,Aymeric Laporte,143.0,135.0,278.0,13,11,24,27.55
2022,3869220,Spain,Pedro González López,135.0,134.0,269.0,13,13,26,28.02
2022,3857291,Spain,Rodrigo Hernández Cascante,139.0,125.0,264.0,12,13,25,26.16
2021/2022,3802802,Paris Saint-Germain,Leandro Daniel Paredes,125.0,119.0,244.0,13,13,26,30.85
2022,3857255,Spain,Pedro González López,116.0,121.0,237.0,13,11,24,23.87
2022,3869219,Croatia,Marcelo Brozović,116.0,120.0,236.0,15,14,29,35.92
2022,3857271,England,John Stones,117.0,113.0,230.0,14,11,25,30.83
2022,3857292,Germany,Joshua Kimmich,117.0,109.0,226.0,13,15,28,33.78
2022,3857295,Japan,Maya Yoshida,112.0,104.0,216.0,9,11,20,40.99
2022,3857279,France,Dayotchanculle Upamecano,112.0,103.0,215.0,12,11,23,31.62
2021/2022,3802839,Paris Saint-Germain,Marco Verratti,109.0,104.0,213.0,13,13,26,31.98
2021/2022,3802676,Paris Saint-Germain,Marco Verratti,110.0,102.0,212.0,11,11,22,30.42
2021/2022,3817895,Goa,Eduardo Bedia Peláez,106.0,106.0,212.0,14,14,28,35.33
2021/2022,3802805,Paris Saint-Germain,Marco Verratti,101.0,109.0,210.0,10,12,22,33.18
2022,3857284,Germany,Antonio Rüdiger,106.0,104.0,210.0,11,11,22,29.05
2022,3857291,Spain,Jordi Alba Ramos,110.0,100.0,210.0,11,8,19,20.81
2022,3857294,Netherlands,Jurriën David Norman Timber,107.0,100.0,207.0,13,13,26,27.71
2022,3869420,Croatia,Luka Modrić,102.0,105.0,207.0,12,11,23,32.39
2021/2022,3802802,Paris Saint-Germain,Sergio Ramos García,103.0,103.0,206.0,12,12,24,26.04
2022,3857284,Germany,Nico Schlotterbeck,109.0,96.0,205.0,12,10,22,28.35
2022,3857277,Croatia,Joško Gvardiol,102.0,101.0,203.0,13,10,23,35.18
2022,3857271,England,Luke Shaw,105.0,97.0,202.0,13,11,24,27.08
2021/2022,3802690,Paris Saint-Germain,Presnel Kimpembe,105.0,96.0,201.0,12,10,22,26.84
2022,3857294,Netherlands,Daley Blind,102.0,96.0,198.0,12,12,24,26.51
2021/2022,3802904,Paris Saint-Germain,Leandro Daniel Paredes,102.0,94.0,196.0,11,11,22,32.94
2022,3869220,Spain,Jordi Alba Ramos,99.0,96.0,195.0,10,10,20,20.31
2022,3857257,Denmark,Joachim Andersen,95.0,100.0,195.0,13,11,24,33.05
2021/2022,3802984,Paris Saint-Germain,Leandro Daniel Paredes,102.0,88.0,190.0,11,11,22,25.47
2022,3857283,Belgium,Toby Alderweireld,94.0,95.0,189.0,10,10,20,31.29
2022,3869420,Croatia,Marcelo Brozović,98.0,90.0,188.0,11,13,24,29.42
2022,3857292,Germany,Niklas Süle,97.0,90.0,187.0,13,9,22,27.95
2021/2022,3802685,Paris Saint-Germain,Marco Verratti,92.0,95.0,187.0,11,13,24,28.42
2021/2022,3802802,Paris Saint-Germain,Marco Verratti,91.0,96.0,187.0,10,11,21,23.64
2021/2022,3803000,Paris Saint-Germain,Sergio Ramos García,97.0,90.0,187.0,12,12,24,26.98
2022,3857291,Spain,César Azpilicueta Tanco,99.0,88.0,187.0,12,13,25,18.53
2022,3857294,Netherlands,Nathan Aké,97.0,89.0,186.0,13,12,25,24.9
