season_name,match_id,team,total_actions,final_third_actions,field_tilt_pct
2021/2022,3802643,Paris Saint-Germain,1255,342,27.25
2021/2022,3802643,Strasbourg,943,235,24.92
2021/2022,3802665,Paris Saint-Germain,1511,346,22.9
2021/2022,3802665,Montpellier,658,145,22.04
2021/2022,3802676,Paris Saint-Germain,1407,497,35.32
2021/2022,3802676,Lens,738,181,24.53
2021/2022,3802683,AS Monaco,936,236,25.21
2021/2022,3802683,Paris Saint-Germain,1130,176,15.58
2021/2022,3802685,Lens,818,272,33.25
2021/2022,3802685,Paris Saint-Germain,1342,299,22.28
2021/2022,3802690,Paris Saint-Germain,1583,622,39.29
2021/2022,3802690,Lorient,517,147,28.43
2021/2022,3802696,Stade de Reims,772,181,23.45
2021/2022,3802696,Paris Saint-Germain,1387,302,21.77
2021/2022,3802699,Paris Saint-Germain,1169,323,27.63
2021/2022,3802699,Lille,804,199,24.75
2021/2022,3802709,Saint-Étienne,790,284,35.95
2021/2022,3802709,Paris Saint-Germain,1238,283,22.86
2021/2022,3802752,Paris Saint-Germain,1113,342,30.73
2021/2022,3802752,Lyon,895,226,25.25
2021/2022,3802793,Paris Saint-Germain,1536,471,30.66
2021/2022,3802793,OGC Nice,621,113,18.2
2021/2022,3802795,Paris Saint-Germain,1440,407,28.26
2021/2022,3802795,Rennes,776,159,20.49
2021/2022,3802802,Paris Saint-Germain,1575,362,22.98
2021/2022,3802802,Stade de Reims,776,178,22.94
2021/2022,3802805,Paris Saint-Germain,1330,297,22.33
2021/2022,3802805,OGC Nice,1003,203,20.24
2021/2022,3802809,Rennes,629,242,38.47
2021/2022,3802809,Paris Saint-Germain,1239,407,32.85
2021/2022,3802818,Paris Saint-Germain,1429,381,26.66
2021/2022,3802818,Lorient,738,144,19.51
2021/2022,3802837,Paris Saint-Germain,1408,522,37.07
2021/2022,3802837,Saint-Étienne,584,91,15.58
2021/2022,3802839,Nantes,582,206,35.4
2021/2022,3802839,Paris Saint-Germain,1420,361,25.42
2021/2022,3802902,Marseille,973,227,23.33
2021/2022,3802902,Paris Saint-Germain,1084,199,18.36
2021/2022,3802904,Bordeaux,956,242,25.31
2021/2022,3802904,Paris Saint-Germain,1306,326,24.96
2021/2022,3802907,Lille,852,236,27.7
2021/2022,3802907,Paris Saint-Germain,1238,251,20.27
2021/2022,3802930,Paris Saint-Germain,1291,371,28.74
2021/2022,3802930,Troyes,724,188,25.97
2021/2022,3802948,Paris Saint-Germain,1450,387,26.69
2021/2022,3802948,Metz,469,96,20.47
2021/2022,3802983,Marseille,1275,267,20.94
2021/2022,3802983,Paris Saint-Germain,941,160,17.0
2021/2022,3802984,Nantes,775,230,29.68
2021/2022,3802984,Paris Saint-Germain,1567,334,21.31
2021/2022,3803000,Clermont Foot,771,163,21.14
2021/2022,3803000,Paris Saint-Germain,1437,286,19.9
2021/2022,3813264,ATK Mohun Bagan,828,193,23.31
2021/2022,3813264,Hyderabad,752,154,20.48
2021/2022,3813265,Mumbai City,997,297,29.79
2021/2022,3813265,East Bengal,392,87,22.19
2021/2022,3813266,Goa,1088,346,31.8
2021/2022,3813266,Chennaiyin,447,73,16.33
2021/2022,3813267,Goa,1163,306,26.31
2021/2022,3813267,East Bengal,488,99,20.29
2021/2022,3813268,ATK Mohun Bagan,766,249,32.51
2021/2022,3813268,Jamshedpur,502,148,29.48
2021/2022,3813269,Jamshedpur,591,205,34.69
2021/2022,3813269,Odisha,869,154,17.72
2021/2022,3813270,Goa,860,184,21.4
2021/2022,3813270,Mumbai City,646,135,20.9
2021/2022,3813271,Goa,999,239,23.92
2021/2022,3813271,Kerala Blasters,516,113,21.9
2021/2022,3813272,Hyderabad,521,173,33.21
2021/2022,3813272,Goa,904,218,24.12
2021/2022,3813273,Mumbai City,935,224,23.96
2021/2022,3813273,Odisha,604,140,23.18
2021/2022,3813274,Bengaluru,521,199,38.2
2021/2022,3813274,Mumbai City,616,107,17.37
2021/2022,3813275,Jamshedpur,644,220,34.16
2021/2022,3813275,Kerala Blasters,667,116,17.39
2021/2022,3813276,NorthEast United,808,231,28.59
2021/2022,3813276,East Bengal,660,124,18.79
2021/2022,3813277,Hyderabad,491,145,29.53
2021/2022,3813277,Mumbai City,886,166,18.74
2021/2022,3813278,Chennaiyin,740,159,21.49
2021/2022,3813278,Kerala Blasters,858,176,20.51
2021/2022,3813279,Chennaiyin,979,311,31.77
2021/2022,3813279,Odisha,689,175,25.4
2021/2022,3813280,Chennaiyin,909,259,28.49
2021/2022,3813280,East Bengal,641,121,18.88
2021/2022,3813281,Chennaiyin,880,250,28.41
2021/2022,3813281,ATK Mohun Bagan,665,137,20.6
2021/2022,3813282,Kerala Blasters,564,148,26.24
2021/2022,3813282,Mumbai City,874,169,19.34
2021/2022,3813283,Chennaiyin,677,217,32.05
2021/2022,3813283,Bengaluru,768,179,23.31
2021/2022,3813284,Jamshedpur,653,229,35.07
2021/2022,3813284,Mumbai City,812,135,16.63
2021/2022,3813285,Bengaluru,572,179,31.29
2021/2022,3813285,Goa,564,161,28.55
2021/2022,3813286,Chennaiyin,512,109,21.29
2021/2022,3813286,Mumbai City,1241,254,20.47
2021/2022,3813287,ATK Mohun Bagan,500,170,34.0
2021/2022,3813287,Bengaluru,467,105,22.48
2021/2022,3813288,Jamshedpur,420,136,32.38
2021/2022,3813288,Hyderabad,626,151,24.12
2021/2022,3813289,Bengaluru,983,241,24.52
2021/2022,3813289,Odisha,516,109,21.12
2021/2022,3813290,Hyderabad,758,182,24.01
2021/2022,3813290,NorthEast United,660,119,18.03
2021/2022,3813291,ATK Mohun Bagan,816,188,23.04
2021/2022,3813291,East Bengal,941,172,18.28
2021/2022,3813292,Kerala Blasters,541,154,28.47
2021/2022,3813292,Bengaluru,950,155,16.32
2021/2022,3813293,Bengaluru,1127,239,21.21
2021/2022,3813293,East Bengal,387,77,19.9
2021/2022,3813294,Chennaiyin,843,156,18.51
2021/2022,3813294,NorthEast United,809,119,14.71
2021/2022,3813295,Hyderabad,836,202,24.16
2021/2022,3813295,Odisha,657,130,19.79
2021/2022,3813296,Kerala Blasters,730,165,22.6
2021/2022,3813296,NorthEast United,636,141,22.17
2021/2022,3813297,NorthEast United,463,98,21.17
2021/2022,3813297,Bengaluru,1000,165,16.5
2021/2022,3813298,Jamshedpur,849,246,28.98
2021/2022,3813298,East Bengal,480,119,24.79
2021/2022,3813299,Hyderabad,598,143,23.91
2021/2022,3813299,Bengaluru,759,175,23.06
2021/2022,3813300,Odisha,712,175,24.58
