season_name,match_id,team,player,total_pressures,counterpresses,pressure_regains,high_pressures,pressure_success_pct,minutes_played,pressures_per_90
2021/2022,3802904,Bordeaux,Jean Emile Junior Onana Onana,31,6.0,7.0,5,22.58,67,41.64
2021/2022,3802643,Paris Saint-Germain,Marco Verratti,31,5.0,6.0,4,19.35,94,29.68
2022,3857272,United States,Tyler Adams,31,10.0,7.0,2,22.58,90,31.0
2021/2022,3802709,Paris Saint-Germain,Idrissa Gana Gueye,31,6.0,13.0,2,41.94,91,30.66
2021/2022,3817855,Kerala Blasters,Adrián Nicolás Luna Retamar,30,5.0,7.0,5,23.33,98,27.55
2021/2022,3817890,Goa,Glan Martins,30,9.0,8.0,6,26.67,94,28.72
2021/2022,3813303,ATK Mohun Bagan,Deepak Tangri,30,4.0,2.0,4,6.67,95,28.42
2021/2022,3802805,Paris Saint-Germain,Marco Verratti,30,10.0,10.0,12,33.33,90,30.0
2021/2022,3817901,Jamshedpur,Boris Singh Thangjam,30,7.0,9.0,11,30.0,73,36.99
2022,3869685,Argentina,Enzo Fernandez,30,9.0,13.0,3,43.33,120,22.5
2022,3869321,Netherlands,Frenkie de Jong,30,4.0,3.0,7,10.0,117,23.08
2022,3857281,Croatia,Marcelo Brozović,30,7.0,7.0,5,23.33,95,28.42
2021/2022,3802805,OGC Nice,Flavius Daniliuc,29,7.0,6.0,4,20.69,77,33.9
2022,3857277,Morocco,Selim Amallah,29,6.0,7.0,1,24.14,93,28.06
2021/2022,3802665,Paris Saint-Germain,Ángel Fabián Di María Hernández,29,5.0,8.0,13,27.59,88,29.66
2021/2022,3817900,Chennaiyin,Anirudh Thapa,29,4.0,4.0,5,13.79,95,27.47
2021/2022,3813277,Mumbai City,Ahmed Jahouh,29,5.0,13.0,3,44.83,94,27.77
2021/2022,3813266,Chennaiyin,Keisham Reagan Singh,29,7.0,10.0,6,34.48,92,28.37
2022,3869685,France,Randal Kolo Muani,29,6.0,11.0,12,37.93,84,31.07
2021/2022,3802709,Saint-Étienne,Denis Bouanga,29,7.0,4.0,13,13.79,71,36.76
2022,3869151,Australia,Jackson Irvine,29,2.0,2.0,5,6.9,95,27.47
2021/2022,3802795,Rennes,Benjamin Bourigeaud,29,7.0,3.0,7,10.34,79,33.04
2022,3857277,Morocco,Hakim Ziyech,29,3.0,5.0,6,17.24,92,28.37
2021/2022,3802809,Rennes,Gaëtan Laborde,29,3.0,2.0,15,6.9,96,27.19
2021/2022,3802696,Stade de Reims,Marshall Nyasha Munetsi,28,4.0,9.0,4,32.14,94,26.81
2021/2022,3813316,NorthEast United,Rochharzela Rochharzela,28,5.0,3.0,9,10.71,94,26.81
2022,3869151,Australia,Mitchell Thomas Duke,28,2.0,2.0,17,7.14,71,35.49
2021/2022,3813296,NorthEast United,Suhair Vadakkepeedika,28,3.0,9.0,4,32.14,90,28.0
2021/2022,3802752,Lyon,Maxence Caqueret,28,5.0,4.0,4,14.29,92,27.39
2021/2022,3817891,East Bengal,Naocha Huidrom Singh,28,8.0,9.0,5,32.14,92,27.39
2021/2022,3802818,Paris Saint-Germain,Idrissa Gana Gueye,28,8.0,8.0,7,28.57,92,27.39
2021/2022,3817862,Mumbai City,Bipin Singh Thounajam,28,3.0,9.0,5,32.14,85,29.65
2021/2022,3817886,Kerala Blasters,Sahal Abdul Samad,28,4.0,7.0,4,25.0,65,38.77
2022,3857289,Mexico,Jesús Daniel Gallardo Vasconcelos,28,4.0,9.0,6,32.14,95,26.53
2021/2022,3827337,Jamshedpur,Ritwik Kumar Das,28,4.0,8.0,11,28.57,91,27.69
2021/2022,3813318,Mumbai City,Lalengmawia Ralte,28,10.0,16.0,7,57.14,93,27.1
