season_name,player,team,matches,shots,xg,goals,goals_minus_xg
2022,Wahbi Khazri,Tunisia,2,5,0.3,1.0,0.7
2021/2022,Muhammad Ashique Kuruniyan,Bengaluru,9,12,0.32,1.0,0.68
2021/2022,Gaëtan Laborde,Rennes,2,5,0.37,1.0,0.63
2022,Mehdi Taremi,Iran,3,6,1.38,2.0,0.62
2021/2022,Mohammad Yasir,Hyderabad,8,13,0.39,1.0,0.61
2021/2022,Prasanth Karuthadathkuni,Kerala Blasters,6,7,0.41,1.0,0.59
2022,Timothy Weah,United States,3,5,0.44,1.0,0.56
2021/2022,Khumanthem Ninthoinganba Meetei,Chennaiyin,6,8,0.45,1.0,0.55
2021/2022,Airam López Cabrera,Goa,9,25,5.46,6.0,0.54
2021/2022,Komal Thatal,Jamshedpur,4,10,0.49,1.0,0.51
2022,Aleksandar Mitrović,Serbia,2,10,1.5,2.0,0.5
2022,Alexis Mac Allister,Argentina,3,7,0.5,1.0,0.5
2022,Daley Blind,Netherlands,3,5,0.52,1.0,0.48
2022,Ángel Fabián Di María Hernández,Argentina,3,7,0.53,1.0,0.47
2021/2022,Vikram Pratap Singh,Mumbai City,7,16,2.53,3.0,0.47
2021/2022,Ariel Borysiuk,Chennaiyin,10,22,0.53,1.0,0.47
2021/2022,Álvaro Vázquez García,Kerala Blasters,22,72,7.53,8.0,0.47
2021/2022,Prince Vinny Ibara Doniama,Bengaluru,14,35,3.55,4.0,0.45
2021/2022,David Joel Williams,ATK Mohun Bagan,11,24,3.55,4.0,0.45
2021/2022,Khassa Camara,NorthEast United,6,12,0.55,1.0,0.45
2021/2022,Harmanjot Singh Khabra,Kerala Blasters,6,9,0.56,1.0,0.44
2022,Salem Mohammed Al Dawsari,Saudi Arabia,3,7,1.56,2.0,0.44
2021/2022,Nikhil Poojary,Hyderabad,11,14,0.56,1.0,0.44
2022,Hee-Chan Hwang,South Korea,2,6,0.57,1.0,0.43
2021/2022,Redeem Tlang,Odisha,3,7,0.59,1.0,0.41
2022,Lovro Majer,Croatia,4,5,1.59,2.0,0.41
2022,Marco Asensio Willemsen,Spain,4,10,0.61,1.0,0.39
2021/2022,Randal Kolo Muani,Nantes,2,6,1.61,2.0,0.39
2022,Michy Batshuayi Tunga,Belgium,2,6,0.62,1.0,0.38
2021/2022,Jorge Rolando Pereyra Díaz,Kerala Blasters,14,37,7.64,8.0,0.36
2021/2022,Kevin Gameiro,Strasbourg,1,5,0.64,1.0,0.36
2021/2022,Jordan Murray,Jamshedpur,14,33,3.65,4.0,0.35
2022,Boulaye Dia,Senegal,4,8,0.66,1.0,0.34
2022,Haji Wright,United States,4,7,0.66,1.0,0.34
2022,João Félix Sequeira,Portugal,4,11,0.67,1.0,0.33
2021/2022,Pronay Halder,Jamshedpur,5,7,0.67,1.0,0.33
