season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2021/2022,3802643,Paris Saint-Germain,26.0,17.0,15.0,58.0,29.31,44.83
2021/2022,3802643,Strasbourg,37.0,26.0,28.0,91.0,28.57,40.66
2021/2022,3802665,Montpellier,21.0,22.0,21.0,64.0,34.38,32.81
2021/2022,3802665,Paris Saint-Germain,40.0,43.0,40.0,123.0,34.96,32.52
2021/2022,3802676,Lens,15.0,7.0,7.0,29.0,24.14,51.72
2021/2022,3802676,Paris Saint-Germain,33.0,31.0,28.0,92.0,33.7,35.87
2021/2022,3802683,AS Monaco,27.0,20.0,23.0,70.0,28.57,38.57
2021/2022,3802683,Paris Saint-Germain,24.0,21.0,23.0,68.0,30.88,35.29
2021/2022,3802685,Lens,25.0,29.0,25.0,79.0,36.71,31.65
2021/2022,3802685,Paris Saint-Germain,39.0,24.0,31.0,94.0,25.53,41.49
2021/2022,3802690,Lorient,20.0,20.0,18.0,58.0,34.48,34.48
2021/2022,3802690,Paris Saint-Germain,56.0,28.0,52.0,136.0,20.59,41.18
2021/2022,3802696,Paris Saint-Germain,34.0,24.0,34.0,92.0,26.09,36.96
2021/2022,3802696,Stade de Reims,23.0,21.0,16.0,60.0,35.0,38.33
2021/2022,3802699,Lille,25.0,18.0,25.0,68.0,26.47,36.76
2021/2022,3802699,Paris Saint-Germain,47.0,33.0,42.0,122.0,27.05,38.52
2021/2022,3802709,Paris Saint-Germain,50.0,23.0,34.0,107.0,21.5,46.73
2021/2022,3802709,Saint-Étienne,30.0,18.0,19.0,67.0,26.87,44.78
2021/2022,3802752,Lyon,23.0,20.0,16.0,59.0,33.9,38.98
2021/2022,3802752,Paris Saint-Germain,28.0,24.0,20.0,72.0,33.33,38.89
2021/2022,3802793,OGC Nice,13.0,14.0,11.0,38.0,36.84,34.21
2021/2022,3802793,Paris Saint-Germain,35.0,20.0,17.0,72.0,27.78,48.61
2021/2022,3802795,Paris Saint-Germain,62.0,42.0,54.0,158.0,26.58,39.24
2021/2022,3802795,Rennes,23.0,14.0,17.0,54.0,25.93,42.59
2021/2022,3802802,Paris Saint-Germain,60.0,38.0,58.0,156.0,24.36,38.46
2021/2022,3802802,Stade de Reims,31.0,21.0,30.0,82.0,25.61,37.8
2021/2022,3802805,OGC Nice,43.0,39.0,41.0,123.0,31.71,34.96
2021/2022,3802805,Paris Saint-Germain,48.0,29.0,40.0,117.0,24.79,41.03
2021/2022,3802809,Paris Saint-Germain,32.0,23.0,23.0,78.0,29.49,41.03
2021/2022,3802809,Rennes,25.0,24.0,21.0,70.0,34.29,35.71
2021/2022,3802818,Lorient,16.0,7.0,8.0,31.0,22.58,51.61
2021/2022,3802818,Paris Saint-Germain,53.0,32.0,53.0,138.0,23.19,38.41
2021/2022,3802837,Paris Saint-Germain,55.0,32.0,55.0,142.0,22.54,38.73
2021/2022,3802837,Saint-Étienne,8.0,5.0,1.0,14.0,35.71,57.14
2021/2022,3802839,Nantes,22.0,28.0,22.0,72.0,38.89,30.56
2021/2022,3802839,Paris Saint-Germain,40.0,33.0,38.0,111.0,29.73,36.04
2021/2022,3802902,Marseille,42.0,31.0,33.0,106.0,29.25,39.62
2021/2022,3802902,Paris Saint-Germain,30.0,24.0,29.0,83.0,28.92,36.14
2021/2022,3802904,Bordeaux,23.0,17.0,7.0,47.0,36.17,48.94
2021/2022,3802904,Paris Saint-Germain,38.0,29.0,37.0,104.0,27.88,36.54
2021/2022,3802907,Lille,19.0,29.0,19.0,67.0,43.28,28.36
2021/2022,3802907,Paris Saint-Germain,31.0,31.0,30.0,92.0,33.7,33.7
2021/2022,3802930,Paris Saint-Germain,44.0,30.0,44.0,118.0,25.42,37.29
2021/2022,3802930,Troyes,13.0,12.0,8.0,33.0,36.36,39.39
2021/2022,3802948,Metz,11.0,9.0,9.0,29.0,31.03,37.93
2021/2022,3802948,Paris Saint-Germain,55.0,28.0,44.0,127.0,22.05,43.31
2021/2022,3802983,Marseille,29.0,25.0,25.0,79.0,31.65,36.71
2021/2022,3802983,Paris Saint-Germain,18.0,14.0,12.0,44.0,31.82,40.91
2021/2022,3802984,Nantes,31.0,21.0,31.0,83.0,25.3,37.35
2021/2022,3802984,Paris Saint-Germain,58.0,37.0,58.0,153.0,24.18,37.91
2021/2022,3803000,Clermont Foot,14.0,7.0,11.0,32.0,21.88,43.75
2021/2022,3803000,Paris Saint-Germain,39.0,30.0,38.0,107.0,28.04,36.45
2021/2022,3813264,ATK Mohun Bagan,23.0,25.0,23.0,71.0,35.21,32.39
2021/2022,3813264,Hyderabad,23.0,15.0,21.0,59.0,25.42,38.98
2021/2022,3813265,East Bengal,8.0,10.0,7.0,25.0,40.0,32.0
2021/2022,3813265,Mumbai City,47.0,17.0,44.0,108.0,15.74,43.52
2021/2022,3813266,Chennaiyin,14.0,3.0,10.0,27.0,11.11,51.85
2021/2022,3813266,Goa,36.0,31.0,31.0,98.0,31.63,36.73
2021/2022,3813267,East Bengal,7.0,8.0,5.0,20.0,40.0,35.0
2021/2022,3813267,Goa,22.0,17.0,18.0,57.0,29.82,38.6
2021/2022,3813268,ATK Mohun Bagan,31.0,17.0,26.0,74.0,22.97,41.89
2021/2022,3813268,Jamshedpur,12.0,7.0,6.0,25.0,28.0,48.0
2021/2022,3813269,Jamshedpur,25.0,32.0,24.0,81.0,39.51,30.86
2021/2022,3813269,Odisha,28.0,14.0,24.0,66.0,21.21,42.42
2021/2022,3813270,Goa,17.0,12.0,7.0,36.0,33.33,47.22
