season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2022/2023,3837650,Clermont Foot,33,1.169,83.0,0.035,2.52
2022/2023,3837650,Paris Saint-Germain,68,9.542,230.0,0.14,3.38
2022/2023,3837659,Montpellier,11,4.777,89.0,0.434,8.09
2022/2023,3837659,Paris Saint-Germain,40,5.533,89.0,0.138,2.22
2022/2023,3837662,Lille,57,9.167,224.0,0.161,3.93
2022/2023,3837662,Paris Saint-Germain,54,9.864,175.0,0.183,3.24
2022/2023,3837680,AS Monaco,10,1.998,23.0,0.2,2.3
2022/2023,3837680,Paris Saint-Germain,55,5.756,243.0,0.105,4.42
2022/2023,3837683,Paris Saint-Germain,61,13.052,191.0,0.214,3.13
2022/2023,3837683,Toulouse,38,1.692,100.0,0.045,2.63
2022/2023,3837695,Nantes,31,1.092,98.0,0.035,3.16
2022/2023,3837695,Paris Saint-Germain,74,22.847,365.0,0.309,4.93
2022/2023,3837706,Paris Saint-Germain,65,6.66,229.0,0.102,3.52
2022/2023,3837706,Stade Brestois,30,1.146,82.0,0.038,2.73
2022/2023,3837717,Lyon,44,2.965,128.0,0.067,2.91
2022/2023,3837717,Paris Saint-Germain,62,9.175,205.0,0.148,3.31
2022/2023,3837727,OGC Nice,23,2.423,88.0,0.105,3.83
2022/2023,3837727,Paris Saint-Germain,21,0.9329999999999999,42.0,0.044,2.0
2022/2023,3837747,Marseille,61,3.459,229.0,0.057,3.75
2022/2023,3837747,Paris Saint-Germain,80,9.047,261.0,0.113,3.26
2022/2023,3837752,AC Ajaccio,32,0.838,99.0,0.026,3.09
2022/2023,3837752,Paris Saint-Germain,43,14.617,151.0,0.34,3.51
2022/2023,3837771,Paris Saint-Germain,85,8.767,356.0,0.103,4.19
2022/2023,3837771,Troyes,25,2.277,83.0,0.091,3.32
2022/2023,3837785,Auxerre,40,1.772,110.0,0.044,2.75
2022/2023,3837785,Paris Saint-Germain,23,2.487,76.0,0.108,3.3
2022/2023,3837818,Angers,13,0.986,46.0,0.076,3.54
2022/2023,3837818,Paris Saint-Germain,40,5.93,160.0,0.148,4.0
2022/2023,3837827,Paris Saint-Germain,39,2.805,107.0,0.072,2.74
2022/2023,3837827,Rennes,22,1.623,53.0,0.074,2.41
2022/2023,3837839,Paris Saint-Germain,35,8.131,183.0,0.232,5.23
2022/2023,3837839,Stade de Reims,58,5.435,190.0,0.094,3.28
2022/2023,3837844,Montpellier,18,0.981,36.0,0.054,2.0
2022/2023,3837844,Paris Saint-Germain,69,12.112,236.0,0.176,3.42
2022/2023,3837859,Paris Saint-Germain,85,6.615,244.0,0.078,2.87
2022/2023,3837859,Toulouse,37,2.715,109.0,0.073,2.95
2022/2023,3837876,Lille,44,6.13,149.0,0.139,3.39
2022/2023,3837876,Paris Saint-Germain,37,6.257,163.0,0.169,4.41
2022/2023,3837885,Marseille,37,6.475,171.0,0.175,4.62
2022/2023,3837885,Paris Saint-Germain,55,10.209,130.0,0.186,2.36
2022/2023,3837896,Nantes,26,1.292,76.0,0.05,2.92
2022/2023,3837896,Paris Saint-Germain,49,3.886,148.0,0.079,3.02
2022/2023,3837902,Paris Saint-Germain,61,8.815,229.0,0.145,3.75
2022/2023,3837902,Stade Brestois,16,1.7630000000000001,46.0,0.11,2.88
2022/2023,3837918,Paris Saint-Germain,78,6.647,235.0,0.085,3.01
2022/2023,3837918,Rennes,29,2.904,78.0,0.1,2.69
2022/2023,3837928,Lyon,10,2.709,24.0,0.271,2.4
2022/2023,3837928,Paris Saint-Germain,52,3.801,182.0,0.073,3.5
2022/2023,3837938,OGC Nice,47,5.335,219.0,0.114,4.66
2022/2023,3837938,Paris Saint-Germain,49,3.422,294.0,0.07,6.0
2022/2023,3837947,Lens,54,4.252,173.0,0.079,3.2
2022/2023,3837947,Paris Saint-Germain,66,7.571,314.0,0.115,4.76
2022/2023,3837954,Angers,55,5.167,177.0,0.094,3.22
2022/2023,3837954,Paris Saint-Germain,36,8.269,215.0,0.23,5.97
2022/2023,3837963,Lorient,44,8.294,132.0,0.188,3.0
2022/2023,3837963,Paris Saint-Germain,20,2.112,43.0,0.106,2.15
2022/2023,3837987,AC Ajaccio,21,0.9400000000000001,54.0,0.045,2.57
2022/2023,3837987,Paris Saint-Germain,74,12.245,332.0,0.165,4.49
2022/2023,3837998,Auxerre,53,3.261,176.0,0.062,3.32
2022/2023,3837998,Paris Saint-Germain,50,6.7509999999999994,403.0,0.135,8.06
2022/2023,3838004,Paris Saint-Germain,23,3.972,84.0,0.173,3.65
2022/2023,3838004,Strasbourg,51,4.609,126.0,0.09,2.47
2022/2023,3838017,Clermont Foot,42,13.504,140.0,0.322,3.33
2022/2023,3838017,Paris Saint-Germain,53,3.982,197.0,0.075,3.72
2023,3877060,Inter Miami,14,6.769,41.0,0.484,2.93
2023,3877060,New York Red Bulls,35,3.069,81.0,0.088,2.31
