season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2022/2023,3837896,Moses Daddy-Ajala Simon,Nantes,1,0.204,0.204,2.0,25.0,0.734
2023,3920401,Naby Deco Keïta,Guinea,2,0.455,0.152,6.0,57.0,0.718
2023,3922241,Hemeya Tanjy,Mauritania,1,0.508,0.508,2.0,65.0,0.703
2023,3920408,Jannick Buyla Sam,Equatorial Guinea,2,0.544,0.272,3.0,70.0,0.699
2022/2023,3837859,Vincent Sierro,Toulouse,3,0.369,0.092,6.0,48.0,0.692
2022/2023,3837998,Renato Júnior Luz Sanches,Paris Saint-Germain,2,0.485,0.121,46.0,64.0,0.682
2023,3920408,Jeremie Boga,Côte d'Ivoire,3,0.609,0.203,9.0,84.0,0.652
2022/2023,3837844,Khalil Fayad,Montpellier,1,0.058,0.058,4.0,8.0,0.65
2023,3920408,Luis Miguel Nlavo Asue,Equatorial Guinea,1,0.263,0.131,6.0,38.0,0.623
2023,3920397,Carlos Akapo Martínez,Equatorial Guinea,2,1.094,0.547,3.0,158.0,0.623
2023,3920405,Amine Adli,Morocco,2,0.477,0.159,6.0,69.0,0.622
2022/2023,3837747,Pablo Sarabia García,Paris Saint-Germain,1,0.096,0.096,2.0,14.0,0.62
2023,3920397,Marciano Sanca Tchami,Guinea-Bissau,1,0.22,0.22,3.0,32.0,0.618
2023,3920400,Jules Olivier Ntcham,Cameroon,1,0.116,0.116,2.0,17.0,0.616
2023,3923881,Wilfried Stephane Singo,Côte d'Ivoire,2,0.309,0.154,5.0,46.0,0.604
2023,3922237,Signori Dominique Nymi António,Angola,2,0.977,0.488,5.0,146.0,0.602
2022/2023,3837963,Bonke Innocent,Lorient,2,0.762,0.381,13.0,114.0,0.602
2023,3920397,Esteban Obiang Obono,Equatorial Guinea,1,0.605,0.605,1.0,92.0,0.592
2022/2023,3838017,Mory Diaw,Clermont Foot,2,1.164,0.582,4.0,178.0,0.589
2023,3920408,Simon Adingra,Côte d'Ivoire,1,0.131,0.065,2.0,20.0,0.588
2023,3920409,Raphael Onyedika,Nigeria,1,0.156,0.156,3.0,24.0,0.586
2023,3920394,Amine Adli,Morocco,1,0.312,0.156,12.0,48.0,0.586
2022/2023,3837876,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.117,0.117,2.0,18.0,0.584
2023,3877072,Aníbal Cesis Godoy,Nashville SC,1,0.207,0.207,1.0,32.0,0.582
2022/2023,3837876,Nuno Mendes,Paris Saint-Germain,2,0.578,0.193,7.0,90.0,0.578
2023,3920384,Euciodálcio Gomes,Guinea-Bissau,2,0.115,0.057,6.0,18.0,0.573
2022/2023,3837998,Gaëtan Perrin,Auxerre,1,0.044,0.044,2.0,7.0,0.567
2022/2023,3837885,Jonathan Clauss,Marseille,1,0.492,0.164,6.0,78.0,0.567
2023,3920397,Jesús Lázaro Owono Ngua Akeng,Equatorial Guinea,1,0.605,0.605,3.0,96.0,0.567
2023,3920401,José Kanté Martínez,Guinea,1,0.038,0.038,4.0,6.0,0.563
2023,3920414,Boureima Hassane Bandé,Burkina Faso,1,0.019,0.019,1.0,3.0,0.562
2022/2023,3837650,Nordi Mukiele Mulere,Paris Saint-Germain,4,0.545,0.136,20.0,88.0,0.557
2023,3923881,Oumar Diakité,Côte d'Ivoire,2,0.309,0.154,9.0,50.0,0.555
2022/2023,3837839,Dion Lopy,Stade de Reims,3,0.215,0.072,16.0,36.0,0.539
2022/2023,3837963,Gedeon Kalulu Kyatengwa,Lorient,2,0.762,0.381,4.0,128.0,0.536
2022/2023,3837963,Ibrahima Koné,Lorient,2,0.762,0.381,4.0,128.0,0.536
2023,3920388,Abdou Diallo,Senegal,2,0.668,0.334,9.0,114.0,0.527
2022/2023,3837752,Renato Júnior Luz Sanches,Paris Saint-Germain,3,1.07,0.357,8.0,183.0,0.526
2023,3922658,Mihlali Samson Mayambela,South Africa,1,0.611,0.204,9.0,105.0,0.524
2023,3922239,Naby Deco Keïta,Guinea,2,0.175,0.087,8.0,30.0,0.524
2022/2023,3837752,Gianluigi Donnarumma,Paris Saint-Germain,2,0.988,0.494,3.0,172.0,0.517
2023,3920400,Lamine Camara,Senegal,2,0.953,0.476,4.0,166.0,0.517
2023,3920385,Stanley Ratifo,Mozambique,1,0.383,0.383,2.0,67.0,0.514
2023,3877090,Filip Yavorov Krastev,LAFC,2,0.16,0.08,6.0,28.0,0.513
2022/2023,3838017,Grejohn Kyei,Clermont Foot,2,0.943,0.471,8.0,166.0,0.511
2023,3920397,José Antonio Miranda Boacho,Equatorial Guinea,1,0.434,0.434,2.0,77.0,0.508
2023,3877115,Víctor Vázquez Solsona,Toronto FC,1,0.062,0.062,2.0,11.0,0.508
2022/2023,3837680,Danilo Luís Hélio Pereira,Paris Saint-Germain,2,0.348,0.174,4.0,62.0,0.505
2022/2023,3837818,Warren Zaire Emery,Paris Saint-Germain,1,0.083,0.083,6.0,15.0,0.5
2022/2023,3837896,João Victor da Silva Marcelino,Nantes,2,0.241,0.12,2.0,44.0,0.492
2023,3877090,DeAndre Yedlin,Inter Miami,1,0.513,0.513,2.0,94.0,0.491
2022/2023,3838017,Muhammed Cham Saracevic,Clermont Foot,2,0.744,0.372,5.0,138.0,0.485
2022/2023,3837771,Fabián Ruiz Peña,Paris Saint-Germain,4,0.687,0.172,22.0,128.0,0.483
2023,3922242,Idrissa Gueye,Senegal,1,0.182,0.182,2.0,34.0,0.483
2023,3920400,Krépin Diatta,Senegal,2,1.008,0.504,5.0,188.0,0.483
2023,3877194,Robbie Robinson Belmar,Inter Miami,2,0.191,0.095,5.0,36.0,0.477
2022/2023,3837844,Warren Zaire Emery,Paris Saint-Germain,4,0.486,0.122,10.0,92.0,0.476
2022/2023,3837717,Jeff Reine-Adélaïde,Lyon,3,0.286,0.095,14.0,54.0,0.476
2023,3922838,Charles Pickel,Congo DR,2,0.701,0.35,2.0,134.0,0.471
2022/2023,3837938,Badredine Bouanani,OGC Nice,2,0.072,0.036,8.0,14.0,0.464
2022/2023,3837695,Vitor Machado Ferreira,Paris Saint-Germain,2,0.328,0.164,4.0,64.0,0.461
2023,3920397,Federico Bikoro Akieme Nchama,Equatorial Guinea,1,0.489,0.489,4.0,96.0,0.458
2023,3920400,Faris Pemi Moumbagna,Cameroon,1,0.116,0.116,2.0,23.0,0.455
2022/2023,3837650,Leandro Daniel Paredes,Paris Saint-Germain,4,0.444,0.111,32.0,88.0,0.454
2023,3920411,Carlos Miguel Pereira Fernandes,Cape Verde Islands,1,0.12,0.12,2.0,24.0,0.45
2023,3920416,Thabang Amod Monare,South Africa,1,0.055,0.055,6.0,11.0,0.449
2023,3920390,Bruno Lourenço Pinto de Almeida Paz,Angola,1,0.194,0.194,2.0,39.0,0.448
2022/2023,3837954,Gianluigi Donnarumma,Paris Saint-Germain,1,0.447,0.447,2.0,90.0,0.447
2023,3920405,Bilal El Khannous,Morocco,2,0.477,0.159,12.0,96.0,0.447
2022/2023,3837839,Danilo Luís Hélio Pereira,Paris Saint-Germain,1,0.307,0.153,8.0,62.0,0.445
