season_name,match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
2022/2023,3837650,Paris Saint-Germain,25,15.42,4.74,3.59
2022/2023,3837650,Clermont Foot,26,14.78,4.6,3.38
2022/2023,3837659,Paris Saint-Germain,21,14.48,5.13,3.29
2022/2023,3837659,Montpellier,29,11.31,4.3,2.97
2022/2023,3837662,Paris Saint-Germain,23,16.47,3.99,4.5
2022/2023,3837662,Lille,22,16.41,3.9,4.24
2022/2023,3837680,Paris Saint-Germain,28,18.59,5.23,4.24
2022/2023,3837680,AS Monaco,25,19.15,4.81,3.88
2022/2023,3837683,Paris Saint-Germain,26,16.45,5.03,3.36
2022/2023,3837683,Toulouse,26,17.22,5.26,3.28
2022/2023,3837695,Nantes,35,12.82,4.46,3.16
2022/2023,3837695,Paris Saint-Germain,35,13.31,5.26,2.87
2022/2023,3837706,Stade Brestois,22,14.21,5.16,2.86
2022/2023,3837706,Paris Saint-Germain,29,13.2,5.15,2.6
2022/2023,3837717,Paris Saint-Germain,28,15.2,4.88,3.39
2022/2023,3837717,Lyon,33,16.7,4.82,3.31
2022/2023,3837727,Paris Saint-Germain,27,14.55,4.99,3.32
2022/2023,3837727,OGC Nice,23,11.83,4.86,2.66
2022/2023,3837747,Paris Saint-Germain,31,17.97,4.93,3.62
2022/2023,3837747,Marseille,32,12.9,4.95,2.81
2022/2023,3837752,AC Ajaccio,35,16.45,5.52,3.02
2022/2023,3837752,Paris Saint-Germain,31,13.91,5.24,2.92
2022/2023,3837771,Troyes,33,17.01,4.99,3.34
2022/2023,3837771,Paris Saint-Germain,26,14.39,5.67,2.86
2022/2023,3837785,Paris Saint-Germain,34,14.55,4.98,2.86
2022/2023,3837785,Auxerre,28,14.15,5.14,2.64
2022/2023,3837818,Angers,26,18.33,5.24,3.66
2022/2023,3837818,Paris Saint-Germain,25,11.44,5.21,2.49
2022/2023,3837827,Rennes,29,14.56,4.77,3.06
2022/2023,3837827,Paris Saint-Germain,17,11.98,4.84,2.78
2022/2023,3837839,Paris Saint-Germain,29,15.86,4.97,3.48
2022/2023,3837839,Stade de Reims,36,14.33,5.46,2.73
2022/2023,3837844,Montpellier,48,13.48,4.22,3.61
2022/2023,3837844,Paris Saint-Germain,33,13.07,4.89,2.82
2022/2023,3837859,Toulouse,24,15.6,4.59,3.59
2022/2023,3837859,Paris Saint-Germain,30,16.03,4.55,3.47
2022/2023,3837876,Paris Saint-Germain,26,15.72,5.1,3.11
2022/2023,3837876,Lille,22,12.53,4.67,2.98
2022/2023,3837885,Marseille,36,13.17,4.46,3.14
2022/2023,3837885,Paris Saint-Germain,17,10.14,4.34,2.23
2022/2023,3837896,Nantes,26,14.73,4.92,3.35
2022/2023,3837896,Paris Saint-Germain,32,13.07,4.69,3.09
2022/2023,3837902,Paris Saint-Germain,32,16.54,5.01,3.39
2022/2023,3837902,Stade Brestois,26,16.17,5.15,3.34
2022/2023,3837918,Rennes,21,15.96,5.02,3.47
2022/2023,3837918,Paris Saint-Germain,27,14.7,5.26,2.77
2022/2023,3837928,Lyon,39,13.9,3.43,4.01
2022/2023,3837928,Paris Saint-Germain,39,14.64,5.56,2.66
2022/2023,3837938,OGC Nice,31,14.38,4.98,3.43
2022/2023,3837938,Paris Saint-Germain,22,14.22,5.27,3.02
