season_name,match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
2022/2023,3837650,Clermont Foot,52.0,1.462,63.46,26.92,9.62,Low Block,33.0,14.0,5.0
2022/2023,3837650,Paris Saint-Germain,27.0,1.593,55.56,29.63,14.81,Low Block,15.0,8.0,4.0
2022/2023,3837659,Montpellier,50.0,1.02,98.0,2.0,0.0,Low Block,49.0,1.0,0.0
2022/2023,3837659,Paris Saint-Germain,26.0,2.077,26.92,38.46,34.62,High Press,7.0,10.0,9.0
2022/2023,3837662,Lille,39.0,1.538,58.97,28.21,12.82,Low Block,23.0,11.0,5.0
2022/2023,3837662,Paris Saint-Germain,32.0,1.5,65.62,18.75,15.62,Low Block,21.0,6.0,5.0
2022/2023,3837680,AS Monaco,45.0,1.378,68.89,24.44,6.67,Low Block,31.0,11.0,3.0
2022/2023,3837680,Paris Saint-Germain,30.0,1.9,36.67,36.67,26.67,Balanced,11.0,11.0,8.0
2022/2023,3837683,Paris Saint-Germain,32.0,1.75,46.88,31.25,21.88,Balanced,15.0,10.0,7.0
2022/2023,3837683,Toulouse,40.0,1.55,60.0,25.0,15.0,Low Block,24.0,10.0,6.0
2022/2023,3837695,Nantes,53.0,1.358,75.47,13.21,11.32,Low Block,40.0,7.0,6.0
2022/2023,3837695,Paris Saint-Germain,21.0,1.762,42.86,38.1,19.05,Balanced,9.0,8.0,4.0
2022/2023,3837706,Paris Saint-Germain,45.0,1.822,42.22,33.33,24.44,Balanced,19.0,15.0,11.0
2022/2023,3837706,Stade Brestois,62.0,1.387,72.58,16.13,11.29,Low Block,45.0,10.0,7.0
2022/2023,3837717,Lyon,55.0,1.4,69.09,21.82,9.09,Low Block,38.0,12.0,5.0
2022/2023,3837717,Paris Saint-Germain,37.0,1.459,64.86,24.32,10.81,Low Block,24.0,9.0,4.0
2022/2023,3837727,OGC Nice,46.0,1.435,71.74,13.04,15.22,Low Block,33.0,6.0,7.0
2022/2023,3837727,Paris Saint-Germain,39.0,1.641,56.41,23.08,20.51,Low Block,22.0,9.0,8.0
2022/2023,3837747,Marseille,35.0,1.171,85.71,11.43,2.86,Low Block,30.0,4.0,1.0
2022/2023,3837747,Paris Saint-Germain,40.0,1.275,77.5,17.5,5.0,Low Block,31.0,7.0,2.0
2022/2023,3837752,AC Ajaccio,39.0,1.513,61.54,25.64,12.82,Low Block,24.0,10.0,5.0
2022/2023,3837752,Paris Saint-Germain,35.0,1.314,74.29,20.0,5.71,Low Block,26.0,7.0,2.0
2022/2023,3837771,Paris Saint-Germain,28.0,1.821,42.86,32.14,25.0,Balanced,12.0,9.0,7.0
2022/2023,3837771,Troyes,53.0,1.17,88.68,5.66,5.66,Low Block,47.0,3.0,3.0
2022/2023,3837785,Auxerre,38.0,1.263,76.32,21.05,2.63,Low Block,29.0,8.0,1.0
2022/2023,3837785,Paris Saint-Germain,35.0,1.657,57.14,20.0,22.86,Low Block,20.0,7.0,8.0
2022/2023,3837818,Angers,44.0,1.341,75.0,15.91,9.09,Low Block,33.0,7.0,4.0
2022/2023,3837818,Paris Saint-Germain,33.0,1.545,57.58,30.3,12.12,Low Block,19.0,10.0,4.0
2022/2023,3837827,Paris Saint-Germain,30.0,1.567,56.67,30.0,13.33,Low Block,17.0,9.0,4.0
2022/2023,3837827,Rennes,52.0,1.327,73.08,21.15,5.77,Low Block,38.0,11.0,3.0
2022/2023,3837839,Paris Saint-Germain,49.0,1.49,65.31,20.41,14.29,Low Block,32.0,10.0,7.0
2022/2023,3837839,Stade de Reims,47.0,1.468,65.96,21.28,12.77,Low Block,31.0,10.0,6.0
2022/2023,3837844,Montpellier,51.0,1.235,76.47,23.53,0.0,Low Block,39.0,12.0,0.0
2022/2023,3837844,Paris Saint-Germain,44.0,1.568,52.27,38.64,9.09,Low Block,23.0,17.0,4.0
2022/2023,3837859,Paris Saint-Germain,40.0,1.55,57.5,30.0,12.5,Low Block,23.0,12.0,5.0
2022/2023,3837859,Toulouse,42.0,1.429,71.43,14.29,14.29,Low Block,30.0,6.0,6.0
2022/2023,3837876,Lille,32.0,1.594,46.88,46.88,6.25,Balanced,15.0,15.0,2.0
2022/2023,3837876,Paris Saint-Germain,38.0,1.368,71.05,21.05,7.89,Low Block,27.0,8.0,3.0
2022/2023,3837885,Marseille,38.0,1.5,63.16,23.68,13.16,Low Block,24.0,9.0,5.0
2022/2023,3837885,Paris Saint-Germain,59.0,1.237,81.36,13.56,5.08,Low Block,48.0,8.0,3.0
2022/2023,3837896,Nantes,60.0,1.233,78.33,20.0,1.67,Low Block,47.0,12.0,1.0
2022/2023,3837896,Paris Saint-Germain,35.0,1.571,54.29,34.29,11.43,Low Block,19.0,12.0,4.0
2022/2023,3837902,Paris Saint-Germain,36.0,1.583,58.33,25.0,16.67,Low Block,21.0,9.0,6.0
2022/2023,3837902,Stade Brestois,45.0,1.156,86.67,11.11,2.22,Low Block,39.0,5.0,1.0
2022/2023,3837918,Paris Saint-Germain,32.0,1.531,56.25,34.38,9.38,Low Block,18.0,11.0,3.0
2022/2023,3837918,Rennes,51.0,1.353,68.63,27.45,3.92,Low Block,35.0,14.0,2.0
2022/2023,3837928,Lyon,82.0,1.232,82.93,10.98,6.1,Low Block,68.0,9.0,5.0
2022/2023,3837928,Paris Saint-Germain,40.0,1.9,35.0,40.0,25.0,Balanced,14.0,16.0,10.0
2022/2023,3837938,OGC Nice,36.0,1.528,61.11,25.0,13.89,Low Block,22.0,9.0,5.0
2022/2023,3837938,Paris Saint-Germain,58.0,1.224,86.21,5.17,8.62,Low Block,50.0,3.0,5.0
2022/2023,3837947,Lens,31.0,1.194,87.1,6.45,6.45,Low Block,27.0,2.0,2.0
2022/2023,3837947,Paris Saint-Germain,38.0,1.237,84.21,7.89,7.89,Low Block,32.0,3.0,3.0
2022/2023,3837954,Angers,42.0,1.476,66.67,19.05,14.29,Low Block,28.0,8.0,6.0
2022/2023,3837954,Paris Saint-Germain,47.0,1.362,74.47,14.89,10.64,Low Block,35.0,7.0,5.0
2022/2023,3837963,Lorient,44.0,1.364,75.0,13.64,11.36,Low Block,33.0,6.0,5.0
2022/2023,3837963,Paris Saint-Germain,34.0,1.559,52.94,38.24,8.82,Low Block,18.0,13.0,3.0
2022/2023,3837987,AC Ajaccio,66.0,1.121,90.91,6.06,3.03,Low Block,60.0,4.0,2.0
2022/2023,3837987,Paris Saint-Germain,25.0,2.0,40.0,20.0,40.0,High Press,10.0,5.0,10.0
2022/2023,3837998,Auxerre,38.0,1.289,73.68,23.68,2.63,Low Block,28.0,9.0,1.0
2022/2023,3837998,Paris Saint-Germain,42.0,1.286,80.95,9.52,9.52,Low Block,34.0,4.0,4.0
2022/2023,3838004,Paris Saint-Germain,24.0,1.292,75.0,20.83,4.17,Low Block,18.0,5.0,1.0
2022/2023,3838004,Strasbourg,28.0,1.607,50.0,39.29,10.71,Balanced,14.0,11.0,3.0
2022/2023,3838017,Clermont Foot,38.0,1.553,60.53,23.68,15.79,Low Block,23.0,9.0,6.0
2022/2023,3838017,Paris Saint-Germain,40.0,1.275,80.0,12.5,7.5,Low Block,32.0,5.0,3.0
2023,3877060,Inter Miami,53.0,1.358,67.92,28.3,3.77,Low Block,36.0,15.0,2.0
2023,3877060,New York Red Bulls,38.0,1.816,42.11,34.21,23.68,Balanced,16.0,13.0,9.0
2023,3877072,Inter Miami,36.0,1.861,36.11,41.67,22.22,Balanced,13.0,15.0,8.0
2023,3877072,Nashville SC,53.0,1.283,77.36,16.98,5.66,Low Block,41.0,9.0,3.0
2023,3877090,Inter Miami,54.0,1.222,77.78,22.22,0.0,Low Block,42.0,12.0,0.0
2023,3877090,LAFC,43.0,1.86,37.21,39.53,23.26,Balanced,16.0,17.0,10.0
2023,3877115,Inter Miami,32.0,1.656,53.12,28.12,18.75,Low Block,17.0,9.0,6.0
2023,3877115,Toronto FC,41.0,1.463,65.85,21.95,12.2,Low Block,27.0,9.0,5.0
2023,3877170,Cincinnati,46.0,1.326,71.74,23.91,4.35,Low Block,33.0,11.0,2.0
2023,3877170,Inter Miami,37.0,1.622,48.65,40.54,10.81,Balanced,18.0,15.0,4.0
2023,3877194,Charlotte,62.0,1.419,64.52,29.03,6.45,Low Block,40.0,18.0,4.0
2023,3877194,Inter Miami,43.0,1.395,69.77,20.93,9.3,Low Block,30.0,9.0,4.0
2023,3893787,New Zealand Women's,60.0,1.55,58.33,28.33,13.33,Low Block,35.0,17.0,8.0
2023,3893787,Norway Women's,85.0,1.435,67.06,22.35,10.59,Low Block,57.0,19.0,9.0
2023,3893788,Australia Women's,61.0,1.443,63.93,27.87,8.2,Low Block,39.0,17.0,5.0
2023,3893788,Republic of Ireland Women's,48.0,1.417,64.58,29.17,6.25,Low Block,31.0,14.0,3.0
2023,3893789,Philippines Women's,66.0,1.364,66.67,30.3,3.03,Low Block,44.0,20.0,2.0
2023,3893789,Switzerland Women's,45.0,1.689,37.78,55.56,6.67,Mid-Block,17.0,25.0,3.0
2023,3893790,Canada Women's,49.0,1.796,44.9,30.61,24.49,Balanced,22.0,15.0,12.0
2023,3893790,Nigeria Women's,53.0,1.264,79.25,15.09,5.66,Low Block,42.0,8.0,3.0
2023,3893791,Costa Rica Women's,106.0,1.094,94.34,1.89,3.77,Low Block,100.0,2.0,4.0
2023,3893791,Spain Women's,39.0,1.974,30.77,41.03,28.21,Balanced,12.0,16.0,11.0
2023,3893792,United States Women's,51.0,2.098,19.61,50.98,29.41,Mid-Block,10.0,26.0,15.0
2023,3893792,Vietnam Women's,85.0,1.141,88.24,9.41,2.35,Low Block,75.0,8.0,2.0
2023,3893793,Japan Women's,38.0,1.816,36.84,44.74,18.42,Balanced,14.0,17.0,7.0
2023,3893793,Zambia Women's,51.0,1.451,58.82,37.25,3.92,Low Block,30.0,19.0,2.0
2023,3893794,England Women's,34.0,1.912,32.35,44.12,23.53,Balanced,11.0,15.0,8.0
2023,3893794,Haiti Women's,59.0,1.237,79.66,16.95,3.39,Low Block,47.0,10.0,2.0
2023,3893795,China PR Women's,85.0,1.412,68.24,22.35,9.41,Low Block,58.0,19.0,8.0
2023,3893795,Denmark Women's,55.0,1.709,41.82,45.45,12.73,Balanced,23.0,25.0,7.0
2023,3893796,South Africa Women's,64.0,1.234,82.81,10.94,6.25,Low Block,53.0,7.0,4.0
2023,3893796,Sweden Women's,38.0,1.711,50.0,28.95,21.05,Balanced,19.0,11.0,8.0
2023,3893797,Netherlands Women's,63.0,1.635,50.79,34.92,14.29,Low Block,32.0,22.0,9.0
2023,3893797,Portugal Women's,49.0,1.531,55.1,36.73,8.16,Low Block,27.0,18.0,4.0
2023,3893798,France Women's,40.0,1.65,52.5,30.0,17.5,Low Block,21.0,12.0,7.0
2023,3893798,Jamaica Women's,75.0,1.347,72.0,21.33,6.67,Low Block,54.0,16.0,5.0
2023,3893799,Germany Women's,36.0,1.778,41.67,38.89,19.44,Balanced,15.0,14.0,7.0
2023,3893799,Morocco Women's,65.0,1.354,69.23,26.15,4.62,Low Block,45.0,17.0,3.0
2023,3893800,Argentina Women's,77.0,1.442,67.53,20.78,11.69,Low Block,52.0,16.0,9.0
2023,3893800,Italy Women's,48.0,1.646,50.0,35.42,14.58,Balanced,24.0,17.0,7.0
2023,3893801,Brazil Women's,41.0,1.854,39.02,36.59,24.39,Balanced,16.0,15.0,10.0
2023,3893801,Panama Women's,61.0,1.262,78.69,16.39,4.92,Low Block,48.0,10.0,3.0
2023,3893802,Colombia Women's,66.0,1.47,62.12,28.79,9.09,Low Block,41.0,19.0,6.0
2023,3893802,Korea Republic Women's,62.0,1.565,53.23,37.1,9.68,Low Block,33.0,23.0,6.0
2023,3893803,New Zealand Women's,49.0,1.714,44.9,38.78,16.33,Balanced,22.0,19.0,8.0
2023,3893803,Philippines Women's,71.0,1.38,70.42,21.13,8.45,Low Block,50.0,15.0,6.0
2023,3893804,Norway Women's,43.0,1.581,55.81,30.23,13.95,Low Block,24.0,13.0,6.0
2023,3893804,Switzerland Women's,48.0,1.5,62.5,25.0,12.5,Low Block,30.0,12.0,6.0
2023,3893805,Costa Rica Women's,62.0,1.323,74.19,19.35,6.45,Low Block,46.0,12.0,4.0
2023,3893805,Japan Women's,42.0,1.81,33.33,52.38,14.29,Mid-Block,14.0,22.0,6.0
2023,3893806,Spain Women's,64.0,1.672,51.56,29.69,18.75,Low Block,33.0,19.0,12.0
2023,3893806,Zambia Women's,71.0,1.225,84.51,8.45,7.04,Low Block,60.0,6.0,5.0
2023,3893807,Canada Women's,63.0,1.508,57.14,34.92,7.94,Low Block,36.0,22.0,5.0
2023,3893807,Republic of Ireland Women's,40.0,1.325,72.5,22.5,5.0,Low Block,29.0,9.0,2.0
2023,3893808,Netherlands Women's,95.0,1.274,76.84,18.95,4.21,Low Block,73.0,18.0,4.0
