season_name,match_id,team,passes,total_passes,possession_pct
2022/2023,3837650,Paris Saint-Germain,712,1158.0,61.49
2022/2023,3837650,Clermont Foot,446,1158.0,38.51
2022/2023,3837659,Paris Saint-Germain,644,1106.0,58.23
2022/2023,3837659,Montpellier,462,1106.0,41.77
2022/2023,3837662,Paris Saint-Germain,619,1195.0,51.8
2022/2023,3837662,Lille,576,1195.0,48.2
2022/2023,3837680,Paris Saint-Germain,730,1096.0,66.61
2022/2023,3837680,AS Monaco,366,1096.0,33.39
2022/2023,3837683,Paris Saint-Germain,635,1032.0,61.53
2022/2023,3837683,Toulouse,397,1032.0,38.47
2022/2023,3837695,Paris Saint-Germain,733,1217.0,60.23
2022/2023,3837695,Nantes,484,1217.0,39.77
2022/2023,3837706,Paris Saint-Germain,708,1165.0,60.77
2022/2023,3837706,Stade Brestois,457,1165.0,39.23
2022/2023,3837717,Paris Saint-Germain,819,1264.0,64.79
2022/2023,3837717,Lyon,445,1264.0,35.21
2022/2023,3837727,Paris Saint-Germain,699,1219.0,57.34
2022/2023,3837727,OGC Nice,520,1219.0,42.66
2022/2023,3837747,Paris Saint-Germain,542,1080.0,50.19
2022/2023,3837747,Marseille,538,1080.0,49.81
2022/2023,3837752,Paris Saint-Germain,705,1094.0,64.44
2022/2023,3837752,AC Ajaccio,389,1094.0,35.56
2022/2023,3837771,Paris Saint-Germain,715,1071.0,66.76
2022/2023,3837771,Troyes,356,1071.0,33.24
2022/2023,3837785,Paris Saint-Germain,682,1161.0,58.74
2022/2023,3837785,Auxerre,479,1161.0,41.26
2022/2023,3837818,Paris Saint-Germain,868,1300.0,66.77
2022/2023,3837818,Angers,432,1300.0,33.23
2022/2023,3837827,Paris Saint-Germain,711,1089.0,65.29
2022/2023,3837827,Rennes,378,1089.0,34.71
2022/2023,3837839,Paris Saint-Germain,738,1253.0,58.9
2022/2023,3837839,Stade de Reims,515,1253.0,41.1
2022/2023,3837844,Paris Saint-Germain,733,1106.0,66.27
2022/2023,3837844,Montpellier,373,1106.0,33.73
2022/2023,3837859,Paris Saint-Germain,664,1100.0,60.36
2022/2023,3837859,Toulouse,436,1100.0,39.64
2022/2023,3837876,Lille,547,1022.0,53.52
2022/2023,3837876,Paris Saint-Germain,475,1022.0,46.48
2022/2023,3837885,Marseille,512,958.0,53.44
2022/2023,3837885,Paris Saint-Germain,446,958.0,46.56
2022/2023,3837896,Paris Saint-Germain,792,1179.0,67.18
2022/2023,3837896,Nantes,387,1179.0,32.82
2022/2023,3837902,Paris Saint-Germain,649,1061.0,61.17
2022/2023,3837902,Stade Brestois,412,1061.0,38.83
2022/2023,3837918,Paris Saint-Germain,679,1127.0,60.25
2022/2023,3837918,Rennes,448,1127.0,39.75
2022/2023,3837928,Paris Saint-Germain,741,1182.0,62.69
2022/2023,3837928,Lyon,441,1182.0,37.31
2022/2023,3837938,Paris Saint-Germain,749,1368.0,54.75
2022/2023,3837938,OGC Nice,619,1368.0,45.25
2022/2023,3837947,Paris Saint-Germain,753,1221.0,61.67
2022/2023,3837947,Lens,468,1221.0,38.33
2022/2023,3837954,Paris Saint-Germain,885,1348.0,65.65
2022/2023,3837954,Angers,463,1348.0,34.35
2022/2023,3837963,Paris Saint-Germain,618,1164.0,53.09
2022/2023,3837963,Lorient,546,1164.0,46.91
2022/2023,3837987,Paris Saint-Germain,785,1075.0,73.02
2022/2023,3837987,AC Ajaccio,290,1075.0,26.98
2022/2023,3837998,Paris Saint-Germain,778,1245.0,62.49
2022/2023,3837998,Auxerre,467,1245.0,37.51
2022/2023,3838004,Paris Saint-Germain,752,1144.0,65.73
2022/2023,3838004,Strasbourg,392,1144.0,34.27
2022/2023,3838017,Paris Saint-Germain,584,1078.0,54.17
