season_name,match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
2022/2023,3837650,Clermont Foot,14.0,7.0,9.0,30.0,23.33,46.67
2022/2023,3837650,Paris Saint-Germain,43.0,34.0,41.0,118.0,28.81,36.44
2022/2023,3837659,Montpellier,8.0,5.0,8.0,21.0,23.81,38.1
2022/2023,3837659,Paris Saint-Germain,55.0,51.0,53.0,159.0,32.08,34.59
2022/2023,3837662,Lille,22.0,12.0,11.0,45.0,26.67,48.89
2022/2023,3837662,Paris Saint-Germain,50.0,40.0,50.0,140.0,28.57,35.71
2022/2023,3837680,AS Monaco,24.0,18.0,23.0,65.0,27.69,36.92
2022/2023,3837680,Paris Saint-Germain,44.0,42.0,44.0,130.0,32.31,33.85
2022/2023,3837683,Paris Saint-Germain,42.0,30.0,38.0,110.0,27.27,38.18
2022/2023,3837683,Toulouse,30.0,18.0,24.0,72.0,25.0,41.67
2022/2023,3837695,Nantes,30.0,22.0,25.0,77.0,28.57,38.96
2022/2023,3837695,Paris Saint-Germain,51.0,41.0,47.0,139.0,29.5,36.69
2022/2023,3837706,Paris Saint-Germain,39.0,35.0,37.0,111.0,31.53,35.14
2022/2023,3837706,Stade Brestois,24.0,16.0,20.0,60.0,26.67,40.0
2022/2023,3837717,Lyon,37.0,41.0,35.0,113.0,36.28,32.74
2022/2023,3837717,Paris Saint-Germain,37.0,36.0,37.0,110.0,32.73,33.64
2022/2023,3837727,OGC Nice,16.0,14.0,8.0,38.0,36.84,42.11
2022/2023,3837727,Paris Saint-Germain,44.0,31.0,42.0,117.0,26.5,37.61
2022/2023,3837747,Marseille,45.0,34.0,43.0,122.0,27.87,36.89
2022/2023,3837747,Paris Saint-Germain,38.0,39.0,31.0,108.0,36.11,35.19
2022/2023,3837752,AC Ajaccio,27.0,24.0,19.0,70.0,34.29,38.57
2022/2023,3837752,Paris Saint-Germain,41.0,37.0,39.0,117.0,31.62,35.04
2022/2023,3837771,Paris Saint-Germain,35.0,35.0,31.0,101.0,34.65,34.65
2022/2023,3837771,Troyes,22.0,23.0,22.0,67.0,34.33,32.84
2022/2023,3837785,Auxerre,30.0,15.0,9.0,54.0,27.78,55.56
