season_name,match_id,team,player,tackles,interceptions,pressures,blocks,clearances,ball_recoveries,fouls_committed,duels_won,total_duels,defensive_third_actions,middle_third_actions,attacking_third_actions,high_turnovers,total_defensive_actions,duel_win_pct,pressure_pct,tackle_interception_pct,high_turnover_pct,attacking_third_pct,defensive_profile
2023,3920385,Mozambique,Ricardo Martins Guimarães,0.0,1.0,33.0,2.0,1.0,3.0,1.0,1.0,3.0,19.0,24.0,1.0,2.0,36.0,33.33,91.67,2.78,5.56,2.27,Balanced Defender
2022/2023,3837876,Lille,Jonathan David,0.0,0.0,35.0,1.0,0.0,5.0,3.0,0.0,4.0,3.0,16.0,29.0,3.0,36.0,0.0,97.22,0.0,8.33,60.42,Balanced Defender
2023,3920408,Côte d'Ivoire,Ibrahim Sangaré,0.0,2.0,32.0,2.0,1.0,3.0,4.0,0.0,5.0,8.0,31.0,10.0,2.0,36.0,0.0,88.89,5.56,5.56,20.41,Balanced Defender
2022/2023,3837928,Lyon,Sael Kumbedi Nseke,0.0,1.0,34.0,1.0,2.0,6.0,1.0,2.0,4.0,32.0,14.0,3.0,2.0,36.0,50.0,94.44,2.78,5.56,6.12,Balanced Defender
2023,3920416,South Africa,Teboho Mokoena,0.0,2.0,33.0,1.0,1.0,3.0,5.0,1.0,2.0,9.0,33.0,5.0,0.0,36.0,50.0,91.67,5.56,0.0,10.64,Balanced Defender
2023,3920400,Senegal,Lamine Camara,0.0,0.0,33.0,3.0,1.0,2.0,3.0,0.0,1.0,10.0,26.0,7.0,0.0,36.0,0.0,91.67,0.0,0.0,16.28,Balanced Defender
2023,3920418,Congo DR,Samuel Moutoussamy,0.0,3.0,32.0,1.0,0.0,3.0,0.0,0.0,8.0,15.0,23.0,9.0,4.0,36.0,0.0,88.89,8.33,11.11,19.15,Balanced Defender
2022/2023,3838004,Strasbourg,Ibrahima Sissoko,0.0,2.0,31.0,3.0,3.0,4.0,2.0,2.0,3.0,13.0,32.0,3.0,1.0,36.0,66.67,86.11,5.56,2.78,6.25,Dominant Duelist
2022/2023,3837896,Paris Saint-Germain,Warren Zaire Emery,0.0,2.0,33.0,0.0,0.0,3.0,1.0,1.0,2.0,8.0,24.0,9.0,3.0,35.0,50.0,94.29,5.71,8.57,21.95,Balanced Defender
2022/2023,3838004,Strasbourg,Mouhamadou Diarra,0.0,0.0,35.0,0.0,1.0,4.0,2.0,0.0,2.0,11.0,26.0,7.0,1.0,35.0,0.0,100.0,0.0,2.86,15.91,Balanced Defender
2022/2023,3837706,Stade Brestois,Pierre Lees Melou,0.0,2.0,32.0,1.0,2.0,6.0,3.0,1.0,5.0,30.0,17.0,4.0,0.0,35.0,20.0,91.43,5.71,0.0,7.84,Balanced Defender
2022/2023,3837727,OGC Nice,Gaëtan Laborde,0.0,1.0,31.0,3.0,0.0,4.0,2.0,0.0,1.0,9.0,10.0,23.0,4.0,35.0,0.0,88.57,2.86,11.43,54.76,Balanced Defender
2022/2023,3837918,Rennes,Arnaud Kalimuendo Muinga,0.0,0.0,34.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,14.0,20.0,1.0,35.0,0.0,97.14,0.0,2.86,50.0,Balanced Defender
2022/2023,3838004,Strasbourg,Jean-Ricner Bellegarde,0.0,1.0,33.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,24.0,7.0,1.0,35.0,,94.29,2.86,2.86,17.95,Balanced Defender
2022/2023,3837938,Paris Saint-Germain,Achraf Hakimi Mouh,0.0,1.0,30.0,4.0,4.0,1.0,1.0,2.0,6.0,26.0,11.0,10.0,1.0,35.0,33.33,85.71,2.86,2.86,21.28,Balanced Defender
2022/2023,3837859,Toulouse,Fares Chaïbi,0.0,1.0,32.0,2.0,0.0,4.0,2.0,0.0,1.0,15.0,19.0,8.0,1.0,35.0,0.0,91.43,2.86,2.86,19.05,Balanced Defender
2023,3920415,Mauritania,Bodda Mouhsine,0.0,1.0,31.0,3.0,2.0,2.0,3.0,1.0,4.0,18.0,26.0,2.0,1.0,35.0,25.0,88.57,2.86,2.86,4.35,Balanced Defender
2022/2023,3837747,Paris Saint-Germain,Fabián Ruiz Peña,0.0,2.0,31.0,2.0,0.0,4.0,4.0,1.0,5.0,22.0,20.0,6.0,1.0,35.0,20.0,88.57,5.71,2.86,12.5,Balanced Defender
2022/2023,3837896,Paris Saint-Germain,Fabián Ruiz Peña,0.0,2.0,30.0,2.0,1.0,9.0,2.0,1.0,2.0,13.0,15.0,20.0,5.0,34.0,50.0,88.24,5.88,14.71,41.67,Balanced Defender
2022/2023,3837844,Montpellier,Téji Savanier,0.0,2.0,30.0,2.0,0.0,7.0,4.0,1.0,5.0,23.0,21.0,6.0,4.0,34.0,20.0,88.24,5.88,11.76,12.0,Balanced Defender
2022/2023,3837752,AC Ajaccio,Vincent Marchetti,0.0,2.0,29.0,3.0,1.0,5.0,3.0,0.0,1.0,11.0,26.0,7.0,1.0,34.0,0.0,85.29,5.88,2.94,15.91,Balanced Defender
2023,3877194,Charlotte,Brandt Bronico,0.0,0.0,32.0,2.0,3.0,9.0,4.0,0.0,2.0,10.0,28.0,14.0,6.0,34.0,0.0,94.12,0.0,17.65,26.92,Balanced Defender
2023,3877090,Inter Miami,Diego Alexander Gómez Amarilla,0.0,1.0,31.0,2.0,1.0,7.0,3.0,0.0,1.0,16.0,26.0,4.0,1.0,34.0,0.0,91.18,2.94,2.94,8.7,Balanced Defender
2022/2023,3837938,OGC Nice,Aaron Ramsey,0.0,1.0,29.0,4.0,1.0,8.0,0.0,0.0,2.0,12.0,19.0,14.0,4.0,34.0,0.0,85.29,2.94,11.76,31.11,Balanced Defender
2023,3920401,Gambia,Alieu Fadera,0.0,1.0,30.0,3.0,0.0,2.0,4.0,0.0,3.0,25.0,10.0,8.0,1.0,34.0,0.0,88.24,2.94,2.94,18.6,Balanced Defender
2023,3922242,Senegal,Pape Matar Sarr,0.0,2.0,29.0,3.0,2.0,8.0,2.0,1.0,6.0,15.0,32.0,5.0,1.0,34.0,16.67,85.29,5.88,2.94,9.62,Balanced Defender
2022/2023,3837827,Rennes,Lovro Majer,0.0,3.0,27.0,4.0,1.0,8.0,6.0,0.0,5.0,15.0,33.0,6.0,0.0,34.0,0.0,79.41,8.82,0.0,11.11,Balanced Defender
2022/2023,3837902,Paris Saint-Germain,Warren Zaire Emery,0.0,0.0,31.0,3.0,2.0,3.0,2.0,1.0,2.0,14.0,20.0,9.0,1.0,34.0,50.0,91.18,0.0,2.94,20.93,Balanced Defender
2022/2023,3837987,AC Ajaccio,Kevin Spadanuda,0.0,1.0,30.0,2.0,0.0,5.0,1.0,0.0,1.0,18.0,19.0,3.0,0.0,33.0,0.0,90.91,3.03,0.0,7.5,Balanced Defender
2023,3920396,Egypt,Hamdi Fathi,0.0,2.0,29.0,2.0,1.0,3.0,3.0,0.0,4.0,16.0,21.0,7.0,2.0,33.0,0.0,87.88,6.06,6.06,15.91,Balanced Defender
2022/2023,3837896,Nantes,Florent Mollet,0.0,1.0,30.0,2.0,0.0,5.0,1.0,0.0,1.0,15.0,23.0,2.0,0.0,33.0,0.0,90.91,3.03,0.0,5.0,Balanced Defender
2022/2023,3837954,Angers,Ibrahima Niane,0.0,1.0,30.0,2.0,1.0,0.0,0.0,0.0,6.0,8.0,22.0,10.0,0.0,33.0,0.0,90.91,3.03,0.0,25.0,Balanced Defender
2023,3922837,Nigeria,Frank Onyeka,0.0,5.0,27.0,1.0,1.0,5.0,4.0,1.0,5.0,15.0,25.0,8.0,7.0,33.0,20.0,81.82,15.15,21.21,16.67,Balanced Defender
2022/2023,3837938,Paris Saint-Germain,Vitor Machado Ferreira,0.0,1.0,30.0,2.0,0.0,3.0,1.0,1.0,3.0,22.0,13.0,5.0,1.0,33.0,33.33,90.91,3.03,3.03,12.5,Balanced Defender
2023,3877060,Inter Miami,Diego Alexander Gómez Amarilla,0.0,0.0,32.0,1.0,0.0,3.0,2.0,3.0,9.0,8.0,26.0,13.0,1.0,33.0,33.33,96.97,0.0,3.03,27.66,Balanced Defender
2023,3920418,Tanzania,Haji Mnoga,0.0,0.0,32.0,1.0,0.0,3.0,2.0,1.0,3.0,10.0,24.0,7.0,0.0,33.0,33.33,96.97,0.0,0.0,17.07,Balanced Defender
2022/2023,3837938,OGC Nice,Hichem Boudaoui,0.0,1.0,30.0,2.0,0.0,5.0,2.0,1.0,3.0,11.0,18.0,14.0,4.0,33.0,33.33,90.91,3.03,12.12,32.56,Balanced Defender
2022/2023,3837987,AC Ajaccio,Thomas Mangani,0.0,1.0,29.0,3.0,4.0,4.0,0.0,0.0,4.0,28.0,16.0,1.0,1.0,33.0,0.0,87.88,3.03,3.03,2.22,Balanced Defender
2022/2023,3837747,Marseille,Valentin Rongier,0.0,0.0,32.0,1.0,2.0,5.0,2.0,0.0,0.0,18.0,17.0,7.0,0.0,33.0,,96.97,0.0,0.0,16.67,Balanced Defender
2023,3922659,Côte d'Ivoire,Franck Yannick Kessié,0.0,1.0,30.0,2.0,4.0,5.0,2.0,4.0,7.0,19.0,24.0,8.0,2.0,33.0,57.14,90.91,3.03,6.06,15.69,Balanced Defender
2023,3920390,Angola,Alfredo Kulembe Ribeiro,0.0,0.0,31.0,2.0,2.0,7.0,0.0,2.0,2.0,22.0,19.0,3.0,3.0,33.0,100.0,93.94,0.0,9.09,6.82,Dominant Duelist
2022/2023,3837896,Nantes,Ludovic Blas,0.0,1.0,31.0,1.0,0.0,5.0,0.0,1.0,1.0,6.0,27.0,6.0,0.0,33.0,100.0,93.94,3.03,0.0,15.38,Dominant Duelist
2023,3920386,Nigeria,Frank Onyeka,0.0,1.0,29.0,3.0,2.0,5.0,1.0,0.0,5.0,20.0,24.0,2.0,1.0,33.0,0.0,87.88,3.03,3.03,4.35,Balanced Defender
2022/2023,3837998,Paris Saint-Germain,Warren Zaire Emery,0.0,0.0,30.0,2.0,1.0,1.0,1.0,1.0,2.0,23.0,6.0,8.0,0.0,32.0,50.0,93.75,0.0,0.0,21.62,Balanced Defender
2023,3920413,Gambia,Yankuba Minteh,0.0,0.0,27.0,5.0,1.0,4.0,2.0,0.0,2.0,14.0,13.0,14.0,2.0,32.0,0.0,84.38,0.0,6.25,34.15,Balanced Defender
2023,3922242,Senegal,Lamine Camara,0.0,2.0,30.0,0.0,0.0,7.0,4.0,0.0,4.0,20.0,24.0,3.0,2.0,32.0,0.0,93.75,6.25,6.25,6.38,Balanced Defender
2022/2023,3837954,Angers,Batista Mendy,0.0,1.0,29.0,2.0,0.0,5.0,1.0,0.0,3.0,13.0,21.0,7.0,1.0,32.0,0.0,90.62,3.12,3.12,17.07,Balanced Defender
2022/2023,3837771,Troyes,Xavier Chavalerin,0.0,2.0,30.0,0.0,1.0,4.0,1.0,0.0,1.0,24.0,8.0,7.0,3.0,32.0,0.0,93.75,6.25,9.38,17.95,Balanced Defender
2022/2023,3837987,AC Ajaccio,Mounaim El Idrissy,0.0,0.0,30.0,2.0,0.0,2.0,1.0,0.0,5.0,8.0,30.0,2.0,0.0,32.0,0.0,93.75,0.0,0.0,5.0,Balanced Defender
2023,3920412,Guinea,Aguibou Camara,0.0,1.0,28.0,3.0,0.0,5.0,4.0,0.0,6.0,15.0,20.0,12.0,3.0,32.0,0.0,87.5,3.12,9.38,25.53,Balanced Defender
2023,3920405,Congo DR,Charles Pickel,0.0,0.0,28.0,4.0,0.0,2.0,2.0,0.0,5.0,9.0,27.0,5.0,0.0,32.0,0.0,87.5,0.0,0.0,12.2,Balanced Defender
2023,3920389,Guinea,Aguibou Camara,0.0,1.0,26.0,5.0,2.0,2.0,1.0,0.0,3.0,22.0,9.0,9.0,1.0,32.0,0.0,81.25,3.12,3.12,22.5,Balanced Defender
2023,3922838,Congo DR,Samuel Moutoussamy,0.0,0.0,30.0,2.0,0.0,1.0,1.0,1.0,5.0,18.0,18.0,3.0,0.0,32.0,20.0,93.75,0.0,0.0,7.69,Balanced Defender
2023,3920415,Mauritania,Ibrahima Keita,0.0,4.0,25.0,3.0,8.0,1.0,4.0,2.0,5.0,31.0,19.0,0.0,0.0,32.0,40.0,78.12,12.5,0.0,0.0,Balanced Defender
2022/2023,3837785,Paris Saint-Germain,Marco Verratti,0.0,2.0,27.0,3.0,0.0,5.0,1.0,0.0,3.0,15.0,18.0,8.0,2.0,32.0,0.0,84.38,6.25,6.25,19.51,Balanced Defender
2023,3922240,Congo DR,Samuel Moutoussamy,0.0,0.0,30.0,2.0,3.0,5.0,2.0,1.0,3.0,16.0,16.0,13.0,5.0,32.0,33.33,93.75,0.0,15.62,28.89,Balanced Defender
2023,3877115,Toronto FC,Alonso Coello Camarero,0.0,2.0,30.0,0.0,0.0,8.0,1.0,3.0,6.0,30.0,15.0,2.0,3.0,32.0,50.0,93.75,6.25,9.38,4.26,Balanced Defender
2023,3920395,Zambia,Fashion Sakala,0.0,0.0,28.0,3.0,0.0,4.0,4.0,0.0,4.0,22.0,12.0,9.0,2.0,31.0,0.0,90.32,0.0,6.45,20.93,Balanced Defender
2023,3922242,Senegal,Sadio Mané,0.0,2.0,26.0,3.0,1.0,6.0,3.0,0.0,3.0,16.0,17.0,11.0,3.0,31.0,0.0,83.87,6.45,9.68,25.0,Balanced Defender
2023,3877170,Cincinnati,Obinna Nwobodo,0.0,2.0,27.0,2.0,0.0,10.0,2.0,2.0,3.0,21.0,23.0,2.0,3.0,31.0,66.67,87.1,6.45,9.68,4.35,Dominant Duelist
2022/2023,3837918,Rennes,Lesley Chimuanya Ugochukwu,0.0,1.0,28.0,2.0,2.0,1.0,2.0,0.0,3.0,7.0,27.0,5.0,0.0,31.0,0.0,90.32,3.23,0.0,12.82,Balanced Defender
2022/2023,3837818,Angers,Himad Abdelli,0.0,5.0,25.0,1.0,1.0,4.0,2.0,0.0,2.0,17.0,15.0,8.0,2.0,31.0,0.0,80.65,16.13,6.45,20.0,Balanced Defender
