season_name,match_id,team,opponent_passes,defensive_actions,ppda
2023,3893804,Switzerland Women's,333,23,14.48
2023,3893805,Costa Rica Women's,361,32,11.28
2023,3893805,Japan Women's,191,34,5.62
2023,3893806,Spain Women's,115,34,3.38
2023,3893806,Zambia Women's,534,20,26.7
2023,3893807,Canada Women's,183,37,4.95
2023,3893807,Republic of Ireland Women's,368,43,8.56
2023,3893808,Netherlands Women's,300,35,8.57
2023,3893808,United States Women's,264,48,5.5
2023,3893809,Australia Women's,147,23,6.39
2023,3893809,Nigeria Women's,327,25,13.08
2023,3893810,Portugal Women's,114,24,4.75
2023,3893810,Vietnam Women's,466,26,17.92
2023,3893811,Denmark Women's,413,44,9.39
2023,3893811,England Women's,145,31,4.68
2023,3893812,Argentina Women's,176,31,5.68
2023,3893812,South Africa Women's,367,44,8.34
2023,3893813,China PR Women's,247,40,6.18
2023,3893813,Haiti Women's,257,30,8.57
2023,3893814,Italy Women's,282,27,10.44
2023,3893814,Sweden Women's,254,32,7.94
2023,3893815,Brazil Women's,299,33,9.06
2023,3893815,France Women's,223,53,4.21
2023,3893816,Jamaica Women's,209,34,6.15
2023,3893816,Panama Women's,209,32,6.53
2023,3893817,New Zealand Women's,255,57,4.47
2023,3893817,Switzerland Women's,299,33,9.06
2023,3893818,Colombia Women's,394,33,11.94
2023,3893818,Germany Women's,163,40,4.07
2023,3893819,Korea Republic Women's,139,37,3.76
2023,3893819,Morocco Women's,345,31,11.13
2023,3893820,Norway Women's,146,20,7.3
2023,3893820,Philippines Women's,406,24,16.92
2023,3893821,Australia Women's,348,37,9.41
2023,3893821,Canada Women's,158,40,3.95
2023,3893822,Japan Women's,750,26,28.85
2023,3893822,Spain Women's,100,30,3.33
2023,3893823,Costa Rica Women's,144,30,4.8
2023,3893823,Zambia Women's,306,25,12.24
2023,3893824,Nigeria Women's,299,21,14.24
2023,3893824,Republic of Ireland Women's,206,25,8.24
2023,3893825,Denmark Women's,180,38,4.74
2023,3893825,Haiti Women's,302,27,11.19
2023,3893826,Portugal Women's,208,39,5.33
2023,3893826,United States Women's,224,42,5.33
2023,3893827,Netherlands Women's,103,35,2.94
2023,3893827,Vietnam Women's,676,17,39.76
2023,3893828,China PR Women's,595,23,25.87
2023,3893828,England Women's,149,43,3.47
2023,3893829,France Women's,92,59,1.56
2023,3893829,Panama Women's,402,21,19.14
2023,3893830,Argentina Women's,321,23,13.96
2023,3893830,Sweden Women's,175,45,3.89
2023,3893831,Italy Women's,172,29,5.93
2023,3893831,South Africa Women's,307,26,11.81
2023,3893832,Brazil Women's,124,28,4.43
2023,3893832,Jamaica Women's,509,35,14.54
2023,3893833,Germany Women's,134,34,3.94
2023,3893833,Korea Republic Women's,394,55,7.16
2023,3893834,Colombia Women's,193,36,5.36
2023,3893834,Morocco Women's,275,34,8.09
2023,3901733,Spain Women's,115,38,3.03
2023,3901733,Switzerland Women's,553,22,25.14
2023,3901734,Japan Women's,234,31,7.55
2023,3901734,Norway Women's,493,21,23.48
2023,3901735,England Women's,270,40,6.75
2023,3901735,Nigeria Women's,335,48,6.98
2023,3901736,Australia Women's,333,27,12.33
2023,3901736,Denmark Women's,162,47,3.45
2023,3901796,Netherlands Women's,158,36,4.39
2023,3901796,South Africa Women's,476,39,12.21
2023,3901797,Sweden Women's,418,58,7.21
2023,3901797,United States Women's,275,37,7.43
2023,3901832,Colombia Women's,233,24,9.71
2023,3901832,Jamaica Women's,224,42,5.33
2023,3901833,France Women's,127,33,3.85
