team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
AS Monaco,Aleksandr Golovin,63.0,4.0,3.0,4.0,5.71,4.29,5.71,15.71,Complete Progressor
Morocco,Amine Harit,69.0,3.0,5.0,4.0,3.91,6.52,5.22,15.649999999999999,Complete Progressor
Paris Saint-Germain,Achraf Hakimi Mouh,1861.0,61.0,103.0,159.0,2.95,4.98,7.69,15.620000000000001,Complete Progressor
Morocco,Abdessamad Ezzalzouli,191.0,5.0,13.0,15.0,2.36,6.13,7.07,15.56,Ball Carrier
Charlotte,Brandt Bronico,89.0,2.0,6.0,7.0,2.02,6.07,7.08,15.17,Ball Carrier
Strasbourg,Mouhamadou Diarra,90.0,2.0,7.0,6.0,2.0,7.0,6.0,15.0,Ball Carrier
Paris Saint-Germain,Leandro Daniel Paredes,48.0,7.0,1.0,0.0,13.12,1.88,0.0,15.0,Progressive Passer
AS Monaco,Wissam Ben Yedder,96.0,3.0,6.0,7.0,2.81,5.62,6.56,14.989999999999998,Ball Carrier
Auxerre,Lassine Sinayoko,139.0,5.0,5.0,13.0,3.24,3.24,8.42,14.9,Complete Progressor
Lorient,Enzo Le Fée,91.0,5.0,5.0,5.0,4.95,4.95,4.95,14.850000000000001,Complete Progressor
Nantes,Dennis Appiah,91.0,2.0,5.0,8.0,1.98,4.95,7.91,14.84,Ball Carrier
Strasbourg,Jean-Ricner Bellegarde,85.0,5.0,6.0,3.0,5.29,6.35,3.18,14.82,Complete Progressor
Nantes,Jaouen Hadjam,67.0,2.0,5.0,4.0,2.69,6.72,5.37,14.780000000000001,Ball Carrier
Morocco,Azzedine Ounahi,342.0,21.0,21.0,14.0,5.53,5.53,3.68,14.74,Complete Progressor
Rennes,Karl Brillant Toko Ekambi,92.0,2.0,7.0,6.0,1.96,6.85,5.87,14.68,Ball Carrier
Stade Brestois,Jean-Kevin Duverne,184.0,9.0,8.0,13.0,4.4,3.91,6.36,14.670000000000002,Complete Progressor
Congo DR,Grady Diangana,86.0,3.0,4.0,7.0,3.14,4.19,7.33,14.66,Complete Progressor
Angers,Jean-Mattéo Bahoya Négoce,86.0,0.0,7.0,7.0,0.0,7.33,7.33,14.66,Ball Carrier
Lyon,Alexandre Lacazette,160.0,10.0,11.0,5.0,5.62,6.19,2.81,14.620000000000001,Complete Progressor
Lille,Rémy Cabella,87.0,6.0,1.0,7.0,6.21,1.03,7.24,14.48,Progressive Passer
Cincinnati,Aaron Salem Boupendza Pozzi,50.0,1.0,3.0,4.0,1.8,5.4,7.2,14.4,Ball Carrier
Angers,Souleyman Doumbia,94.0,2.0,5.0,8.0,1.91,4.79,7.66,14.36,Ball Carrier
LAFC,Denis Bouanga,94.0,1.0,7.0,7.0,0.96,6.7,6.7,14.36,Ball Carrier
Lens,Angelo Fulgini,44.0,2.0,2.0,3.0,4.09,4.09,6.14,14.32,Complete Progressor
New York Red Bulls,Frankie Amaya,63.0,7.0,2.0,1.0,10.0,2.86,1.43,14.29,Progressive Passer
New York Red Bulls,Cameron Harper,82.0,0.0,7.0,6.0,0.0,7.68,6.59,14.27,Ball Carrier
Nantes,Evann Guessand,78.0,2.0,5.0,5.0,2.31,5.77,5.77,13.85,Ball Carrier
Angers,Abdallah Dipo Sima,98.0,2.0,4.0,9.0,1.84,3.67,8.27,13.78,Ball Carrier
Lyon,Malo Gusto,92.0,6.0,5.0,3.0,5.87,4.89,2.93,13.69,Complete Progressor
Paris Saint-Germain,Nuno Mendes,1499.0,46.0,66.0,114.0,2.76,3.96,6.84,13.559999999999999,Ball Carrier
Paris Saint-Germain,Pablo Sarabia García,226.0,8.0,8.0,18.0,3.19,3.19,7.17,13.55,Complete Progressor
Stade de Reims,Thibault De Smet,93.0,5.0,2.0,7.0,4.84,1.94,6.77,13.549999999999999,Progressive Passer
Angers,Batista Mendy,167.0,21.0,2.0,2.0,11.32,1.08,1.08,13.48,Progressive Passer
Clermont Foot,Muhammed Cham Saracevic,141.0,6.0,8.0,7.0,3.83,5.11,4.47,13.41,Complete Progressor
Nigeria,Samuel Chimerenka Chukwueze,289.0,13.0,12.0,18.0,4.05,3.74,5.61,13.4,Complete Progressor
Lens,Florian Sotoca,47.0,4.0,3.0,0.0,7.66,5.74,0.0,13.4,Complete Progressor
OGC Nice,Nicolas Pépé,121.0,3.0,6.0,9.0,2.23,4.46,6.69,13.379999999999999,Ball Carrier
LAFC,Mateusz Bogusz,95.0,7.0,3.0,4.0,6.63,2.84,3.79,13.259999999999998,Progressive Passer
Senegal,Idrissa Gueye,34.0,1.0,3.0,1.0,2.65,7.94,2.65,13.24,Ball Carrier
Marseille,Alexis Alejandro Sánchez Sánchez,157.0,6.0,7.0,10.0,3.44,4.01,5.73,13.18,Complete Progressor
Lille,Jonathan Bamba,180.0,8.0,4.0,14.0,4.0,2.0,7.0,13.0,Progressive Passer
Inter Miami,Facundo Farías,370.0,17.0,22.0,14.0,4.14,5.35,3.41,12.899999999999999,Complete Progressor
New York Red Bulls,Lucas Lima Linhares,91.0,1.0,8.0,4.0,0.99,7.91,3.96,12.86,Ball Carrier
