match_id,team,possession_pct,total_xg,epr,style
3930168,Hungary,30.78,1.2280333219096065,25.06,Balanced
3930169,Switzerland,52.12,0.9901536144316196,52.64,Patient Build-up
3930169,Scotland,47.88,0.7718825722113252,62.03,Patient Build-up
3930170,Serbia,60.43,1.461330771446228,41.35,Patient Build-up
3930170,Slovenia,39.57,1.5521660335361958,25.49,Balanced
3930171,Denmark,50.43,0.7333293985575438,68.77,Patient Build-up
3930171,England,49.57,1.1727052871137857,42.27,Patient Build-up
3930172,Spain,56.68,1.533880430739373,36.95,Balanced
3930172,Italy,43.32,0.14339936152100563,302.09,Patient Build-up
3930173,France,62.18,1.218402368016541,51.03,Patient Build-up
3930173,Netherlands,37.82,0.738183306530118,51.23,Patient Build-up
3930174,Portugal,56.63,1.901227105408907,29.79,Balanced
3930174,Turkey,43.37,0.7789868148975074,55.67,Patient Build-up
3930175,Belgium,55.76,1.6458169342949986,33.88,Balanced
3930175,Romania,44.24,1.2460370250046253,35.5,Balanced
3930176,Germany,65.34,1.5416782107204199,42.38,Patient Build-up
3930176,Switzerland,34.66,0.2800856027752161,123.75,Patient Build-up
3930177,Scotland,57.1,0.18353525549173355,311.11,Patient Build-up
3930177,Hungary,42.9,1.0010131020098925,42.86,Patient Build-up
3930178,Italy,52.78,0.9853943614289165,53.56,Patient Build-up
3930178,Croatia,47.22,1.4832350611686707,31.84,Balanced
3930179,Spain,59.32,0.9517126232385635,62.33,Patient Build-up
3930179,Albania,40.68,0.503154281526804,80.85,Patient Build-up
3930180,Netherlands,53.61,1.5102086253464222,35.5,Balanced
3930180,Austria,46.39,1.0578987151384354,43.85,Patient Build-up
3930181,England,72.81,0.7562219984829426,96.28,Patient Build-up
3930181,Slovenia,27.19,0.16491727158427238,164.87,Patient Build-up
3930182,Denmark,52.87,0.551532419398427,95.86,Patient Build-up
3930182,Serbia,47.13,0.32444244250655174,145.26,Patient Build-up
3930183,Slovakia,57.49,0.8447428280487657,68.06,Patient Build-up
3930183,Romania,42.51,1.1219380982220173,37.89,Balanced
3930184,Turkey,67.12,1.2175436792895198,55.13,Patient Build-up
3930184,Czech Republic,32.88,1.4103225748986006,23.31,Balanced
3938637,Netherlands,66.14,1.312755111604929,50.38,Patient Build-up
3938637,Poland,33.86,0.9091575599741191,37.24,Balanced
3938638,Ukraine,69.37,0.5434759650379419,127.64,Patient Build-up
3938638,Romania,30.63,1.1210512994148303,27.32,Balanced
3938639,Turkey,55.6,2.4031512085348368,23.14,Balanced
3938639,Georgia,44.4,1.5785675067454576,28.13,Balanced
3938640,Slovakia,56.79,0.7461385410279036,76.11,Patient Build-up
3938640,Ukraine,43.21,1.7316553057171404,24.95,Balanced
3938641,Austria,53.44,1.8216982716694474,29.34,Balanced
3938641,Poland,46.56,1.436885661445558,32.4,Balanced
3938642,Czech Republic,61.63,2.865452395286411,21.51,Balanced
3938642,Georgia,38.37,1.1799226654693484,32.52,Balanced
3938643,France,57.31,1.8914679675363004,30.3,Balanced
3938643,Poland,42.69,1.179094085469842,36.21,Balanced
3938644,Portugal,71.14,2.356130776926875,30.19,Balanced
3938644,Georgia,28.86,1.3454930828884244,21.45,Balanced
3938645,Belgium,59.76,0.6339845624752343,94.26,Patient Build-up
3938645,Ukraine,40.24,0.7091700258024503,56.74,Patient Build-up
3939969,Argentina,64.88,3.538291286677122,18.34,Clinical/Direct
3939969,Canada,35.12,0.9772994816303253,35.94,Balanced
3939970,Chile,63.34,1.024763859808445,61.81,Patient Build-up
3939970,Peru,36.66,0.677275222260505,54.13,Patient Build-up
3939971,Mexico,60.11,1.1360803348943591,52.91,Patient Build-up
3939971,Jamaica,39.89,0.5061592692509294,78.81,Patient Build-up
3939972,Venezuela,64.86,1.5850185519084334,40.92,Patient Build-up
3939972,Ecuador,35.14,0.7355915680527687,47.77,Patient Build-up
3939973,Uruguay,54.28,1.3614407465793192,39.87,Balanced
3939973,Panama,45.72,0.5408881194889545,84.53,Patient Build-up
3939974,United States,59.9,2.4046837836503983,24.91,Balanced
3939974,Bolivia,40.1,0.14969078544527292,267.89,Patient Build-up
3939975,Colombia,65.85,0.6219208361580968,105.88,Patient Build-up
3939975,Paraguay,34.15,0.8275965945795178,41.26,Patient Build-up
3939976,Brazil,74.06,1.6211921330541372,45.68,Patient Build-up
3939976,Costa Rica,25.94,0.03673056699335575,706.22,Patient Build-up
3939977,Argentina,60.14,2.7840603152289987,21.6,Balanced
3939977,Chile,39.86,0.1309882216155529,304.3,Patient Build-up
3939978,Peru,50.06,0.5764393592253327,86.84,Patient Build-up
3939978,Canada,49.94,0.9090482145547867,54.94,Patient Build-up
3939979,Mexico,59.62,2.3843226367607713,25.01,Balanced
3939979,Venezuela,40.38,1.138640807941556,35.46,Balanced
3939980,Jamaica,54.64,0.9347469238564372,58.45,Patient Build-up
3939980,Ecuador,45.36,2.331594510935247,19.45,Clinical/Direct
3939981,Panama,72.68,0.7307825898751616,99.46,Patient Build-up
3939981,United States,27.32,0.9142785435542464,29.88,Balanced
3939982,Uruguay,60.07,2.320962270256132,25.88,Balanced
3939982,Bolivia,39.93,0.05076240282505751,786.61,Patient Build-up
3939983,Brazil,54.29,3.7476898841559887,14.49,Clinical/Direct
3939983,Paraguay,45.71,0.6916759505402297,66.09,Patient Build-up
3939984,Colombia,62.82,2.9023146918043494,21.64,Balanced
3939984,Costa Rica,37.18,0.1652979739010334,224.93,Patient Build-up
3939985,Canada,56.72,0.6994938524439931,81.09,Patient Build-up
3939985,Chile,43.28,0.4540093010291457,95.33,Patient Build-up
3939986,Argentina,72.63,2.1057768370956182,34.49,Balanced
3939986,Peru,27.37,0.16662235325202346,164.26,Patient Build-up
3939987,Venezuela,52.66,1.7144099660217762,30.72,Balanced
3939987,Jamaica,47.34,0.6675848425365984,70.91,Patient Build-up
3939988,Mexico,58.73,0.9376265872269869,62.64,Patient Build-up
