season_name,match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
2023/2024,3895052,Bayer Leverkusen,34,4.943,87.0,0.145,2.56
2023/2024,3895052,RB Leipzig,45,7.808,152.0,0.174,3.38
2023/2024,3895060,Bayer Leverkusen,93,13.062,382.0,0.14,4.11
2023/2024,3895060,Borussia Mönchengladbach,54,2.7,163.0,0.05,3.02
2023/2024,3895067,Bayer Leverkusen,97,15.11,396.0,0.156,4.08
2023/2024,3895067,Darmstadt 98,18,1.102,44.0,0.061,2.44
2023/2024,3895074,Bayer Leverkusen,40,8.135,171.0,0.203,4.28
2023/2024,3895074,Bayern Munich,43,7.011,93.0,0.163,2.16
2023/2024,3895086,Bayer Leverkusen,63,13.789,270.0,0.219,4.29
2023/2024,3895086,FC Heidenheim,6,0.978,10.0,0.163,1.67
2023/2024,3895095,Bayer Leverkusen,14,3.056,66.0,0.218,4.71
2023/2024,3895095,FSV Mainz 05,34,1.21,150.0,0.036,4.41
2023/2024,3895107,Bayer Leverkusen,91,10.817,353.0,0.119,3.88
2023/2024,3895107,FC Köln,16,0.972,52.0,0.061,3.25
2023/2024,3895113,Bayer Leverkusen,54,8.129999999999999,182.0,0.151,3.37
2023/2024,3895113,Wolfsburg,47,4.4319999999999995,173.0,0.094,3.68
2023/2024,3895121,Bayer Leverkusen,70,4.539,324.0,0.065,4.63
2023/2024,3895121,Freiburg,21,1.547,46.0,0.074,2.19
2023/2024,3895134,Bayer Leverkusen,27,4.406,98.0,0.163,3.63
2023/2024,3895134,Hoffenheim,47,11.216999999999999,227.0,0.239,4.83
2023/2024,3895139,Bayer Leverkusen,51,5.1370000000000005,316.0,0.101,6.2
2023/2024,3895139,Union Berlin,11,0.202,32.0,0.018,2.91
2023/2024,3895153,Bayer Leverkusen,52,4.75,167.0,0.091,3.21
2023/2024,3895158,Bayer Leverkusen,78,5.7589999999999995,235.0,0.074,3.01
2023/2024,3895158,Borussia Dortmund,23,4.371,90.0,0.19,3.91
2023/2024,3895167,Bayer Leverkusen,60,6.909,267.0,0.115,4.45
2023/2024,3895167,VfB Stuttgart,71,7.897,331.0,0.111,4.66
2023/2024,3895180,Bayer Leverkusen,54,14.474,206.0,0.268,3.81
2023/2024,3895180,Eintracht Frankfurt,14,0.673,32.0,0.048,2.29
2023/2024,3895182,Bayer Leverkusen,52,9.051,178.0,0.174,3.42
2023/2024,3895182,Bochum,10,0.663,18.0,0.066,1.8
2023/2024,3895194,Augsburg,14,1.0979999999999999,32.0,0.078,2.29
2023/2024,3895194,Bayer Leverkusen,87,6.756,364.0,0.078,4.18
2023/2024,3895202,Bayer Leverkusen,71,9.219,396.0,0.13,5.58
2023/2024,3895202,RB Leipzig,35,2.291,144.0,0.065,4.11
2023/2024,3895210,Bayer Leverkusen,121,12.636,583.0,0.104,4.82
2023/2024,3895210,Borussia Mönchengladbach,13,0.6930000000000001,29.0,0.053,2.23
2023/2024,3895220,Bayer Leverkusen,72,6.835,271.0,0.095,3.76
2023/2024,3895220,Darmstadt 98,17,2.155,42.0,0.127,2.47
2023/2024,3895232,Bayer Leverkusen,39,2.816,140.0,0.072,3.59
2023/2024,3895232,Bayern Munich,26,1.298,102.0,0.05,3.92
2023/2024,3895244,Bayer Leverkusen,62,6.585,263.0,0.106,4.24
2023/2024,3895244,FC Heidenheim,12,0.633,30.0,0.053,2.5
2023/2024,3895250,Bayer Leverkusen,65,3.673,206.0,0.057,3.17
2023/2024,3895250,FSV Mainz 05,18,0.931,44.0,0.052,2.44
2023/2024,3895258,Bayer Leverkusen,61,5.039,370.0,0.083,6.07
2023/2024,3895258,FC Köln,10,1.142,16.0,0.114,1.6
2023/2024,3895266,Bayer Leverkusen,80,9.345,408.0,0.117,5.1
2023/2024,3895266,Wolfsburg,18,1.304,42.0,0.072,2.33
2023/2024,3895275,Bayer Leverkusen,83,15.599,397.0,0.188,4.78
2023/2024,3895275,Freiburg,30,3.142,109.0,0.105,3.63
2023/2024,3895286,Bayer Leverkusen,123,11.531,428.0,0.094,3.48
2023/2024,3895286,Hoffenheim,14,1.709,21.0,0.122,1.5
2023/2024,3895292,Bayer Leverkusen,79,7.845000000000001,256.0,0.099,3.24
2023/2024,3895292,Union Berlin,12,0.747,32.0,0.062,2.67
2023/2024,3895302,Bayer Leverkusen,58,5.676,205.0,0.098,3.53
2023/2024,3895302,Werder Bremen,27,4.129,118.0,0.153,4.37
2023/2024,3895309,Bayer Leverkusen,34,4.478,122.0,0.132,3.59
2023/2024,3895309,Borussia Dortmund,38,2.6870000000000003,141.0,0.071,3.71
2023/2024,3895320,Bayer Leverkusen,22,4.739,52.0,0.215,2.36
2023/2024,3895320,VfB Stuttgart,40,8.207,125.0,0.205,3.12
2023/2024,3895333,Bayer Leverkusen,29,5.09,80.0,0.176,2.76
2023/2024,3895333,Eintracht Frankfurt,40,4.29,133.0,0.107,3.32
2023/2024,3895340,Bayer Leverkusen,108,10.362,425.0,0.096,3.94
2023/2024,3895340,Bochum,3,0.34299999999999997,5.0,0.114,1.67
2023/2024,3895348,Augsburg,37,3.644,100.0,0.098,2.7
2023/2024,3895348,Bayer Leverkusen,91,6.216,365.0,0.068,4.01
2024,3930158,Germany,72,5.917,487.0,0.082,6.76
2024,3930158,Scotland,1,0.061,1.0,0.061,1.0
2024,3930159,Hungary,18,4.824,40.0,0.268,2.22
2024,3930159,Switzerland,52,8.65,179.0,0.166,3.44
2024,3930160,Croatia,53,11.016,257.0,0.208,4.85
2024,3930160,Spain,26,3.3609999999999998,53.0,0.129,2.04
2024,3930161,Albania,19,1.158,48.0,0.061,2.53
2024,3930161,Italy,72,6.315,342.0,0.088,4.75
2024,3930162,Denmark,47,6.45,229.0,0.137,4.87
2024,3930162,Slovenia,26,2.495,70.0,0.096,2.69
2024,3930163,England,26,2.735,89.0,0.105,3.42
2024,3930163,Serbia,19,0.656,57.0,0.035,3.0
2024,3930164,Belgium,60,8.711,219.0,0.145,3.65
2024,3930164,Slovakia,32,1.954,88.0,0.061,2.75
