season_name,match_id,team,total_defensive_actions,defensive_line_height,defensive_third_pct,middle_third_pct,attacking_third_pct,defensive_style,Defensive Third,Middle Third,Attacking Third
2024,3942785,Argentina,38.0,1.605,57.89,23.68,18.42,Low Block,22.0,9.0,7.0
2024,3942785,Canada,37.0,1.757,45.95,32.43,21.62,Balanced,17.0,12.0,8.0
2024,3942819,England,20.0,1.4,70.0,20.0,10.0,Low Block,14.0,4.0,2.0
2024,3942819,Netherlands,35.0,1.371,65.71,31.43,2.86,Low Block,23.0,11.0,1.0
2024,3942852,Colombia,30.0,1.467,63.33,26.67,10.0,Low Block,19.0,8.0,3.0
2024,3942852,Uruguay,28.0,1.429,64.29,28.57,7.14,Low Block,18.0,8.0,2.0
2024,3943043,England,53.0,1.34,75.47,15.09,9.43,Low Block,40.0,8.0,5.0
2024,3943043,Spain,40.0,1.45,65.0,25.0,10.0,Low Block,26.0,10.0,4.0
2024,3943076,Canada,58.0,1.586,53.45,34.48,12.07,Low Block,31.0,20.0,7.0
2024,3943076,Uruguay,57.0,1.351,70.18,24.56,5.26,Low Block,40.0,14.0,3.0
2024,3943077,Argentina,48.0,1.438,70.83,14.58,14.58,Low Block,34.0,7.0,7.0
2024,3943077,Colombia,41.0,1.488,63.41,24.39,12.2,Low Block,26.0,10.0,5.0
2025,3998836,Iceland Women's,60.0,1.483,61.67,28.33,10.0,Low Block,37.0,17.0,6.0
2025,3998836,WNT Finland,60.0,1.5,63.33,23.33,13.33,Low Block,38.0,14.0,8.0
2025,3998837,Norway Women's,51.0,1.627,54.9,27.45,17.65,Low Block,28.0,14.0,9.0
2025,3998837,Switzerland Women's,52.0,1.692,48.08,34.62,17.31,Balanced,25.0,18.0,9.0
2025,3998838,Belgium Women's,46.0,1.391,65.22,30.43,4.35,Low Block,30.0,14.0,2.0
2025,3998838,Italy Women's,44.0,1.5,59.09,31.82,9.09,Low Block,26.0,14.0,4.0
2025,3998839,Portugal Women's,56.0,1.161,83.93,16.07,0.0,Low Block,47.0,9.0,0.0
2025,3998839,Spain Women's,31.0,1.871,38.71,35.48,25.81,Balanced,12.0,11.0,8.0
2025,3998840,Germany Women's,34.0,1.647,50.0,35.29,14.71,Balanced,17.0,12.0,5.0
2025,3998840,Poland Women's,48.0,1.208,85.42,8.33,6.25,Low Block,41.0,4.0,3.0
2025,3998841,Denmark Women's,69.0,1.304,76.81,15.94,7.25,Low Block,53.0,11.0,5.0
2025,3998841,Sweden Women's,38.0,1.632,47.37,42.11,10.53,Balanced,18.0,16.0,4.0
2025,3998842,Netherlands Women's,43.0,1.674,48.84,34.88,16.28,Balanced,21.0,15.0,7.0
2025,3998842,Wales,54.0,1.37,75.93,11.11,12.96,Low Block,41.0,6.0,7.0
2025,3998843,England Women's,52.0,1.635,51.92,32.69,15.38,Low Block,27.0,17.0,8.0
2025,3998843,France Women's,49.0,1.327,71.43,24.49,4.08,Low Block,35.0,12.0,2.0
2025,3998844,Iceland Women's,58.0,1.517,58.62,31.03,10.34,Low Block,34.0,18.0,6.0
2025,3998844,Switzerland Women's,46.0,1.543,58.7,28.26,13.04,Low Block,27.0,13.0,6.0
2025,3998845,Norway Women's,54.0,1.519,62.96,22.22,14.81,Low Block,34.0,12.0,8.0
2025,3998845,WNT Finland,47.0,1.532,59.57,27.66,12.77,Low Block,28.0,13.0,6.0
2025,3998846,Italy Women's,44.0,1.682,54.55,22.73,22.73,Low Block,24.0,10.0,10.0
2025,3998846,Portugal Women's,65.0,1.508,58.46,32.31,9.23,Low Block,38.0,21.0,6.0
2025,3998847,Belgium Women's,77.0,1.13,88.31,10.39,1.3,Low Block,68.0,8.0,1.0
2025,3998847,Spain Women's,21.0,2.143,33.33,19.05,47.62,High Press,7.0,4.0,10.0
2025,3998848,Poland Women's,64.0,1.406,68.75,21.88,9.38,Low Block,44.0,14.0,6.0
2025,3998848,Sweden Women's,45.0,1.867,37.78,37.78,24.44,Balanced,17.0,17.0,11.0
2025,3998849,Denmark Women's,75.0,1.28,74.67,22.67,2.67,Low Block,56.0,17.0,2.0
2025,3998849,Germany Women's,39.0,1.897,35.9,38.46,25.64,Balanced,14.0,15.0,10.0
2025,3998850,France Women's,40.0,1.6,55.0,30.0,15.0,Low Block,22.0,12.0,6.0
2025,3998850,Wales,55.0,1.236,83.64,9.09,7.27,Low Block,46.0,5.0,4.0
2025,3998851,England Women's,36.0,1.75,41.67,41.67,16.67,Balanced,15.0,15.0,6.0
2025,3998851,Netherlands Women's,50.0,1.3,74.0,22.0,4.0,Low Block,37.0,11.0,2.0
2025,3998852,Switzerland Women's,48.0,1.604,52.08,35.42,12.5,Low Block,25.0,17.0,6.0
2025,3998852,WNT Finland,45.0,1.556,60.0,24.44,15.56,Low Block,27.0,11.0,7.0
2025,3998853,Iceland Women's,48.0,1.396,66.67,27.08,6.25,Low Block,32.0,13.0,3.0
2025,3998853,Norway Women's,29.0,1.483,58.62,34.48,6.9,Low Block,17.0,10.0,2.0
2025,3998854,Belgium Women's,60.0,1.383,73.33,15.0,11.67,Low Block,44.0,9.0,7.0
2025,3998854,Portugal Women's,48.0,1.708,52.08,25.0,22.92,Low Block,25.0,12.0,11.0
2025,3998855,Italy Women's,51.0,1.353,72.55,19.61,7.84,Low Block,37.0,10.0,4.0
2025,3998855,Spain Women's,41.0,1.805,43.9,31.71,24.39,Balanced,18.0,13.0,10.0
2025,3998856,Germany Women's,39.0,1.333,69.23,28.21,2.56,Low Block,27.0,11.0,1.0
2025,3998856,Sweden Women's,36.0,1.417,72.22,13.89,13.89,Low Block,26.0,5.0,5.0
2025,3998857,Denmark Women's,50.0,1.56,58.0,28.0,14.0,Low Block,29.0,14.0,7.0
2025,3998857,Poland Women's,49.0,1.449,63.27,28.57,8.16,Low Block,31.0,14.0,4.0
2025,3998858,England Women's,35.0,2.114,28.57,31.43,40.0,High Press,10.0,11.0,14.0
2025,3998858,Wales,65.0,1.231,78.46,20.0,1.54,Low Block,51.0,13.0,1.0
2025,3998859,France Women's,51.0,1.353,76.47,11.76,11.76,Low Block,39.0,6.0,6.0
2025,3998859,Netherlands Women's,47.0,1.553,61.7,21.28,17.02,Low Block,29.0,10.0,8.0
2025,4018354,Italy Women's,57.0,1.544,59.65,26.32,14.04,Low Block,34.0,15.0,8.0
2025,4018354,Norway Women's,53.0,1.453,67.92,18.87,13.21,Low Block,36.0,10.0,7.0
2025,4018355,England Women's,70.0,1.643,50.0,35.71,14.29,Balanced,35.0,25.0,10.0
2025,4018355,Sweden Women's,82.0,1.524,64.63,18.29,17.07,Low Block,53.0,15.0,14.0
2025,4018356,Spain Women's,36.0,2.139,27.78,30.56,41.67,High Press,10.0,11.0,15.0
2025,4018356,Switzerland Women's,65.0,1.277,76.92,18.46,4.62,Low Block,50.0,12.0,3.0
2025,4018357,France Women's,41.0,1.805,39.02,41.46,19.51,Balanced,16.0,17.0,8.0
2025,4018357,Germany Women's,88.0,1.318,72.73,22.73,4.55,Low Block,64.0,20.0,4.0
2025,4020005,England Women's,60.0,1.833,43.33,30.0,26.67,Balanced,26.0,18.0,16.0
2025,4020005,Italy Women's,99.0,1.293,73.74,23.23,3.03,Low Block,73.0,23.0,3.0
2025,4020077,Germany Women's,70.0,1.257,74.29,25.71,0.0,Low Block,52.0,18.0,0.0
2025,4020077,Spain Women's,42.0,1.69,50.0,30.95,19.05,Balanced,21.0,13.0,8.0
2025,4020846,England Women's,91.0,1.44,68.13,19.78,12.09,Low Block,62.0,18.0,11.0
2025,4020846,Spain Women's,91.0,1.516,52.75,42.86,4.4,Low Block,48.0,39.0,4.0
