season_name,match_id,player,team,possessions_with_buildup,xg_buildup,avg_xg_per_possession,total_touches_in_buildup,minutes_played,xg_buildup_per90
2024,3941018,Mikel Merino Zazón,Spain,4,0.388,0.078,29.0,50.0,0.699
2024,3930177,Martin Ádám,Hungary,1,0.185,0.185,1.0,24.0,0.693
2023/2024,3895074,Jamal Musiala,Bayern Munich,1,0.281,0.281,1.0,37.0,0.685
2024,3939988,Ernesto Alexis Vega Rojas,Mexico,1,0.069,0.069,1.0,9.0,0.685
2023/2024,3895113,Florian Wirtz,Bayer Leverkusen,4,1.029,0.257,18.0,136.0,0.681
2023/2024,3895060,Lukas Ullrich,Borussia Mönchengladbach,1,0.03,0.03,4.0,4.0,0.674
2024,3939976,Gabriel Teodoro Martinelli Silva,Brazil,2,0.161,0.081,17.0,22.0,0.661
2024,3939978,Jonathan Osorio,Canada,1,0.366,0.366,1.0,50.0,0.659
2023/2024,3895333,Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,3,0.303,0.101,14.0,42.0,0.649
2024,3942382,Mehmet Zeki Çelik,Turkey,1,0.078,0.078,1.0,11.0,0.638
2024,3941017,Ľubomír Tupta,Slovakia,2,0.141,0.07,6.0,20.0,0.634
2024,3942349,João Félix Sequeira,Portugal,1,0.132,0.132,2.0,19.0,0.627
2024,3930177,Ádám Nagy,Hungary,1,0.263,0.263,1.0,38.0,0.623
2024,3930165,Youssouf Fofana,France,1,0.035,0.035,1.0,5.0,0.622
2024,3942227,Silvan Widmer,Switzerland,2,0.728,0.364,3.0,106.0,0.618
2024,3941018,Alejandro Grimaldo García,Spain,4,0.885,0.177,9.0,130.0,0.613
2023/2024,3895060,Robert Andrich,Bayer Leverkusen,3,0.448,0.149,11.0,66.0,0.611
2024,3938639,Zuriko Davitashvili,Georgia,2,0.447,0.149,5.0,66.0,0.61
2024,3943076,Paul Brian Rodríguez Bravo,Uruguay,3,0.669,0.223,4.0,99.0,0.608
2024,3930159,Breel-Donald Embolo,Switzerland,1,0.148,0.148,5.0,22.0,0.607
2023/2024,3895320,Jonathan Tah,Bayer Leverkusen,1,0.604,0.302,2.0,90.0,0.604
2024,3943077,Andrés Mateus Uribe Villa,Colombia,1,0.107,0.107,4.0,16.0,0.601
2024,3943077,Jorge Andrés Carrascal Guardo,Colombia,1,0.107,0.107,4.0,16.0,0.601
2024,3930162,Jon Gorenc Stankovič,Slovenia,2,0.299,0.1,10.0,45.0,0.597
2023/2024,3895340,Borja Iglesias Quintas,Bayer Leverkusen,2,0.265,0.133,4.0,40.0,0.597
2024,3939985,Liam Millar,Canada,1,0.196,0.196,8.0,30.0,0.587
2024,3930168,Emre Can,Germany,2,0.371,0.124,16.0,57.0,0.586
2024,3939972,John Yeboah Zamora,Ecuador,1,0.215,0.215,2.0,33.0,0.585
2023/2024,3895052,Emil Peter Forsberg,RB Leipzig,2,0.307,0.102,6.0,48.0,0.575
2024,3930166,Petr Ševčík,Czech Republic,1,0.178,0.089,2.0,28.0,0.572
2023/2024,3895348,Sven Michel,Augsburg,2,0.241,0.121,4.0,38.0,0.572
2023/2024,3895095,Granit Xhaka,Bayer Leverkusen,1,0.489,0.489,7.0,77.0,0.571
2023/2024,3895182,Edmond Fayçal Tapsoba,Bayer Leverkusen,3,0.495,0.165,11.0,78.0,0.571
2024,3930166,Gonçalo Bernardo Inácio,Portugal,4,0.735,0.184,13.0,116.0,0.57
2024,3930175,Ianis Hagi,Romania,2,0.328,0.164,5.0,52.0,0.568
2024,3939975,Miguel Ángel Almirón Rejala,Paraguay,1,0.364,0.364,1.0,58.0,0.566
2023/2024,3895107,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,1,0.025,0.025,2.0,4.0,0.566
2024,3930162,Žan Celar,Slovenia,2,0.299,0.1,7.0,48.0,0.56
2024,3930168,Chris Führich,Germany,2,0.371,0.124,10.0,60.0,0.556
2024,3939991,Jhon Andrés Córdoba Copete,Colombia,1,0.463,0.463,2.0,75.0,0.555
2024,3930159,Roland Sallai,Hungary,1,0.58,0.58,2.0,96.0,0.543
2024,3942382,Semih Kılıçsoy,Turkey,1,0.03,0.03,2.0,5.0,0.542
2023/2024,3895158,Nico Schlotterbeck,Borussia Dortmund,1,0.379,0.379,2.0,63.0,0.541
2023/2024,3895158,Jamie Jermaine Bynoe-Gittens,Borussia Dortmund,1,0.379,0.379,4.0,63.0,0.541
2023/2024,3895095,Amine Adli,Bayer Leverkusen,2,0.54,0.18,7.0,90.0,0.54
2023/2024,3895095,Marco Richter,FSV Mainz 05,1,0.054,0.054,6.0,9.0,0.539
2023/2024,3895340,Gustavo Adolfo Puerta Molano,Bayer Leverkusen,4,0.335,0.084,12.0,56.0,0.538
2024,3930166,Antonín Barák,Czech Republic,1,0.178,0.089,4.0,30.0,0.534
2023/2024,3895340,Alejandro Grimaldo García,Bayer Leverkusen,5,0.356,0.071,16.0,60.0,0.534
2024,3930173,Kingsley Coman,France,1,0.077,0.077,3.0,13.0,0.534
2024,3942785,Nicolás Alejandro Tagliafico,Argentina,2,0.742,0.371,3.0,126.0,0.53
2024,3939979,Guillermo Martínez Ayala,Mexico,1,0.329,0.164,2.0,56.0,0.528
2024,3930180,Tijjani Reijnders,Netherlands,1,0.376,0.376,2.0,64.0,0.528
2024,3943076,Luc Rollet De Fougerolles,Canada,1,0.386,0.386,4.0,66.0,0.527
2023/2024,3895153,Nathan Tella,Bayer Leverkusen,2,0.128,0.064,10.0,22.0,0.524
2024,3930179,Ernest Muçi,Albania,1,0.058,0.058,1.0,10.0,0.522
2024,3939978,André Martín Carrillo Díaz,Peru,1,0.104,0.104,1.0,18.0,0.518
2024,3930162,Kasper Dolberg,Denmark,1,0.046,0.046,3.0,8.0,0.518
2023/2024,3895320,Deniz Undav,VfB Stuttgart,2,0.827,0.414,4.0,144.0,0.517
2024,3939974,João Lucas de Souza Cardoso,United States,3,0.481,0.16,8.0,84.0,0.515
2023/2024,3895302,Alejandro Grimaldo García,Bayer Leverkusen,1,0.068,0.068,2.0,12.0,0.513
2024,3942785,Mathieu Choiniere,Canada,1,0.125,0.125,1.0,22.0,0.511
2024,3939979,César Saúl Huerta Valera,Mexico,1,0.119,0.119,2.0,21.0,0.51
2023/2024,3895067,Robert Andrich,Bayer Leverkusen,5,0.913,0.152,15.0,162.0,0.507
2024,3930160,Ante Budimir,Croatia,1,1.239,0.31,4.0,220.0,0.507
2024,3943077,Miguel Ángel Borja Hernández,Colombia,1,0.107,0.107,3.0,19.0,0.506
2024,3941018,Jesús Navas González,Spain,2,0.151,0.05,15.0,27.0,0.503
2023/2024,3895095,Jonathan Tah,Bayer Leverkusen,1,0.489,0.489,2.0,88.0,0.5
2024,3930182,Filip Mladenović,Serbia,1,0.105,0.105,3.0,19.0,0.495
2024,3939983,Raphael Dias Belloli,Brazil,1,0.099,0.099,2.0,18.0,0.493
2023/2024,3895052,Yussuf Yurary Poulsen,RB Leipzig,2,0.54,0.18,6.0,99.0,0.491
2024,3930168,Leroy Sané,Germany,3,0.489,0.163,5.0,90.0,0.489
2023/2024,3895180,Victor Okoh Boniface,Bayer Leverkusen,2,1.134,0.378,3.0,210.0,0.486
2024,3939974,Yunus Dimoara Musah,United States,5,1.555,0.259,18.0,288.0,0.486
2024,3930165,Gernot Trauner,Austria,1,0.198,0.198,4.0,37.0,0.481
2024,3930165,Marko Arnautović,Austria,1,0.198,0.198,4.0,37.0,0.481
2024,3930181,Trent Alexander-Arnold,England,1,0.047,0.047,4.0,9.0,0.473
2023/2024,3895095,Alejandro Grimaldo García,Bayer Leverkusen,1,0.489,0.489,5.0,93.0,0.473
2024,3930178,Andrej Kramarić,Croatia,1,0.932,0.466,4.0,178.0,0.471
2024,3941017,Tomáš Suslov,Slovakia,2,0.574,0.287,8.0,110.0,0.47
2024,3930181,Conor Gallagher,England,2,0.438,0.219,6.0,84.0,0.469
2024,3930162,Christian Nørgaard,Denmark,1,0.046,0.046,7.0,9.0,0.461
2024,3930165,Patrick Wimmer,Austria,1,0.198,0.198,4.0,39.0,0.456
2023/2024,3895121,Junior Chukwubuike Adamu,Freiburg,1,0.056,0.056,1.0,11.0,0.455
2024,3939975,Damián Josué Bobadilla Benítez,Paraguay,1,0.185,0.185,2.0,37.0,0.45
2024,3930171,Eberechi Eze,England,1,0.114,0.114,2.0,23.0,0.447
2024,3939970,Diego Alfonso Valdés Contreras,Chile,2,0.669,0.223,13.0,135.0,0.446
2023/2024,3895302,Leonardo Bittencourt,Werder Bremen,1,0.376,0.376,9.0,76.0,0.445
2024,3930175,Darius Dumitru Olaru,Romania,3,0.384,0.128,6.0,78.0,0.444
2024,3930170,Veljko Birmančević,Serbia,1,0.049,0.049,2.0,10.0,0.443
2024,3943077,Leandro Daniel Paredes,Argentina,2,0.225,0.113,7.0,46.0,0.44
2024,3942349,Rúben Diogo Da Silva Neves,Portugal,4,0.506,0.127,22.0,104.0,0.438
2024,3930174,Barış Alper Yılmaz,Turkey,1,0.45,0.45,1.0,93.0,0.436
2023/2024,3895266,Patrik Schick,Bayer Leverkusen,2,0.717,0.359,4.0,150.0,0.43
2024,3930170,Dušan Vlahović,Serbia,1,0.297,0.297,5.0,63.0,0.425
2023/2024,3895052,Junior Castello Lukeba,RB Leipzig,4,0.905,0.151,16.0,192.0,0.424
2024,3930159,Attila Szalai,Hungary,2,0.734,0.367,3.0,156.0,0.424
2023/2024,3895134,Maximilian Beier,Hoffenheim,1,0.816,0.408,6.0,174.0,0.422
2024,3938637,Bartosz Slisz,Poland,1,0.173,0.173,1.0,37.0,0.421
2024,3942229,Ali Ahmed,Canada,2,0.187,0.094,3.0,40.0,0.421
2023/2024,3895086,Amine Adli,Bayer Leverkusen,1,0.108,0.108,5.0,23.0,0.421
2024,3938638,Ruslan Malinovskiy,Ukraine,3,0.151,0.05,14.0,33.0,0.411
2024,3941017,Róbert Boženík,Slovakia,2,0.528,0.264,6.0,116.0,0.41
2023/2024,3895275,Nathan Tella,Bayer Leverkusen,1,0.036,0.036,2.0,8.0,0.41
2024,3939992,Derlis Alberto González Galeano,Paraguay,1,0.045,0.045,2.0,10.0,0.406
2024,3930169,Kenneth McLean,Scotland,2,0.216,0.054,8.0,48.0,0.404
2023/2024,3895180,Patrik Schick,Bayer Leverkusen,3,0.241,0.08,4.0,54.0,0.401
2023/2024,3895180,Florian Wirtz,Bayer Leverkusen,2,1.122,0.374,8.0,252.0,0.401
2024,3939992,Alejandro Romero Gamarra,Paraguay,3,0.276,0.092,8.0,63.0,0.394
2023/2024,3895153,Adam Hložek,Bayer Leverkusen,3,0.209,0.052,9.0,48.0,0.393
2024,3930177,Kevin Csoboth,Hungary,1,0.061,0.061,2.0,14.0,0.39
2023/2024,3895074,Sven Ulreich,Bayern Munich,2,0.769,0.385,2.0,178.0,0.389
2024,3941017,Norbert Gyömbér,Slovakia,5,0.648,0.13,15.0,150.0,0.389
2024,3930167,Martin Baturina,Croatia,1,0.047,0.047,2.0,11.0,0.388
2023/2024,3895086,Nathan Tella,Bayer Leverkusen,1,0.065,0.065,2.0,15.0,0.388
2023/2024,3895182,Piero Martín Hincapié Reyna,Bayer Leverkusen,3,0.932,0.311,10.0,216.0,0.388
2024,3939986,Nicolás Iván González,Argentina,2,0.232,0.116,4.0,54.0,0.387
2024,3930160,Álvaro Borja Morata Martín,Spain,1,0.282,0.282,1.0,66.0,0.384
2024,3930165,Michael Gregoritsch,Austria,2,0.493,0.246,5.0,116.0,0.382
2023/2024,3895210,Nathan Tella,Bayer Leverkusen,3,0.574,0.115,12.0,135.0,0.382
2023/2024,3895167,Piero Martín Hincapié Reyna,Bayer Leverkusen,2,0.059,0.03,11.0,14.0,0.381
2024,3930184,Tomáš Chorý,Czech Republic,3,0.878,0.176,10.0,210.0,0.376
2024,3943076,Alistair Johnston,Canada,2,0.509,0.255,7.0,122.0,0.376
2024,3930165,Florian Grillitsch,Austria,2,0.493,0.246,8.0,118.0,0.376
2023/2024,3895250,Nathan Tella,Bayer Leverkusen,1,0.029,0.029,2.0,7.0,0.375
2024,3939973,Diego Nicolás De La Cruz Arcosa,Uruguay,1,0.142,0.142,2.0,34.0,0.375
2024,3942382,Okay Yokuşlu,Turkey,3,0.186,0.062,5.0,45.0,0.372
2023/2024,3895333,Kevin Trapp,Eintracht Frankfurt,1,0.367,0.367,2.0,89.0,0.371
2023/2024,3895286,Borja Iglesias Quintas,Bayer Leverkusen,2,0.271,0.09,6.0,66.0,0.37
2024,3930182,Jonas Older Wind,Denmark,1,0.184,0.184,8.0,45.0,0.369
2024,3939978,Miguel Gianpierre Araujo Blanco,Peru,1,0.208,0.208,4.0,51.0,0.368
2024,3941022,Florian Grillitsch,Austria,3,0.473,0.118,16.0,116.0,0.367
2024,3942785,Lionel Andrés Messi Cuccittini,Argentina,1,0.725,0.363,4.0,178.0,0.367
2023/2024,3895286,Ihlas Bebou,Hoffenheim,1,0.09,0.09,1.0,22.0,0.367
2023/2024,3895182,Patrik Schick,Bayer Leverkusen,2,0.513,0.256,6.0,126.0,0.366
2023/2024,3895244,Kevin Sessa,FC Heidenheim,2,0.249,0.124,6.0,62.0,0.361
2023/2024,3895074,Exequiel Alejandro Palacios,Bayer Leverkusen,4,1.019,0.204,29.0,255.0,0.36
2023/2024,3895258,Exequiel Alejandro Palacios,Bayer Leverkusen,1,0.04,0.04,12.0,10.0,0.36
2024,3942382,Joey Veerman,Netherlands,1,0.072,0.072,4.0,18.0,0.359
2024,3930159,Attila Fiola,Hungary,2,0.734,0.367,5.0,184.0,0.359
2024,3930172,Ferrán Torres García,Spain,2,0.111,0.056,3.0,28.0,0.357
2024,3930175,Deian Cristian Sorescu,Romania,1,0.016,0.016,1.0,4.0,0.355
2024,3930180,Micky van de Ven,Netherlands,1,0.122,0.122,2.0,31.0,0.354
2024,3940983,Leroy Sané,Germany,2,0.682,0.341,2.0,174.0,0.353
2024,3942752,Bradley Barcola,France,1,0.122,0.122,2.0,31.0,0.353
2023/2024,3895182,Adam Hložek,Bayer Leverkusen,2,0.157,0.079,4.0,40.0,0.353
2024,3930180,Nathan Aké,Netherlands,2,0.493,0.247,4.0,126.0,0.352
2024,3930159,Willi Orban,Hungary,2,0.734,0.367,3.0,190.0,0.348
2024,3930180,Bart Verbruggen,Netherlands,1,0.351,0.351,2.0,91.0,0.347
2024,3938639,Barış Alper Yılmaz,Turkey,2,0.715,0.357,4.0,186.0,0.346
2024,3942852,Rodrigo Bentancur Colmán,Uruguay,2,0.261,0.131,3.0,68.0,0.346
2024,3939969,Tajon Buchanan,Canada,1,0.442,0.221,4.0,116.0,0.343
2024,3930176,Nico Schlotterbeck,Germany,1,0.095,0.095,3.0,25.0,0.343
2024,3939978,Jonathan David,Canada,1,0.366,0.366,2.0,96.0,0.343
2024,3942752,Antoine Griezmann,France,1,0.122,0.122,2.0,32.0,0.342
2023/2024,3895134,Josip Stanišić,Bayer Leverkusen,1,0.364,0.182,4.0,96.0,0.341
2023/2024,3895167,Amine Adli,Bayer Leverkusen,3,0.702,0.234,12.0,186.0,0.34
2024,3938641,Robert Lewandowski,Poland,1,0.12,0.12,2.0,32.0,0.338
2024,3938638,Nicolae Claudiu Stanciu,Romania,2,0.968,0.323,11.0,258.0,0.338
2024,3939970,Piero Aldair Quispe Córdova,Peru,1,0.263,0.263,1.0,70.0,0.338
2024,3938640,Artem Dovbyk,Ukraine,1,0.24,0.24,2.0,64.0,0.337
2024,3941017,Ondrej Duda,Slovakia,2,0.607,0.304,6.0,162.0,0.337
2023/2024,3895275,Philipp Lienhart,Freiburg,1,0.231,0.116,8.0,62.0,0.336
2023/2024,3895258,Edmond Fayçal Tapsoba,Bayer Leverkusen,2,0.089,0.044,11.0,24.0,0.333
2024,3930159,Péter Gulácsi,Hungary,2,0.664,0.332,4.0,180.0,0.332
2024,3942819,Ollie Watkins,England,1,0.051,0.051,1.0,14.0,0.331
2024,3941017,Juraj Kucka,Slovakia,2,0.581,0.291,8.0,158.0,0.331
2023/2024,3895333,Jonas Hofmann,Bayer Leverkusen,2,0.674,0.337,5.0,184.0,0.33
2023/2024,3895333,Hugo Larsson,Eintracht Frankfurt,3,0.274,0.091,23.0,75.0,0.329
2024,3939979,Orbelín Pineda Alvarado,Mexico,1,0.055,0.055,4.0,15.0,0.329
2023/2024,3895275,Robert Andrich,Bayer Leverkusen,1,0.036,0.036,6.0,10.0,0.328
2023/2024,3895107,Steffen Tigges,FC Köln,2,0.116,0.058,7.0,32.0,0.327
2023/2024,3895348,Granit Xhaka,Bayer Leverkusen,3,0.275,0.069,31.0,76.0,0.326
2024,3938641,Kevin Danso,Austria,3,0.368,0.123,5.0,102.0,0.325
2023/2024,3895302,Patrik Schick,Bayer Leverkusen,1,0.068,0.068,2.0,19.0,0.324
2024,3938642,Patrik Schick,Czech Republic,2,0.961,0.24,12.0,268.0,0.323
2023/2024,3895067,Adam Hložek,Bayer Leverkusen,1,0.047,0.047,3.0,13.0,0.323
2023/2024,3895086,Robert Andrich,Bayer Leverkusen,1,0.065,0.065,2.0,18.0,0.323
2024,3930174,Kaan Ayhan,Turkey,3,0.598,0.199,7.0,168.0,0.32
2024,3943076,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,2,0.56,0.28,3.0,158.0,0.319
2024,3939969,Lionel Andrés Messi Cuccittini,Argentina,2,0.666,0.333,9.0,188.0,0.319
2024,3930164,Youri Tielemans,Belgium,2,0.155,0.077,6.0,44.0,0.317
2024,3942227,Dan Ndoye,Switzerland,2,0.682,0.341,9.0,194.0,0.317
2023/2024,3895052,Granit Xhaka,Bayer Leverkusen,3,0.941,0.314,4.0,267.0,0.317
2023/2024,3895340,Amine Adli,Bayer Leverkusen,4,0.423,0.085,11.0,120.0,0.317
2024,3930176,Maximilian Beier,Germany,1,0.095,0.095,1.0,27.0,0.317
2024,3939989,Eduardo Antonio Guerrero Lozcano,Panama,2,0.14,0.07,2.0,40.0,0.315
2023/2024,3895309,Alejandro Grimaldo García,Bayer Leverkusen,3,1.001,0.334,8.0,288.0,0.313
2023/2024,3895182,Jonas Hofmann,Bayer Leverkusen,4,0.932,0.233,12.0,268.0,0.313
2024,3930184,Tomáš Souček,Czech Republic,1,0.671,0.336,2.0,194.0,0.311
2023/2024,3895153,Jeremie Frimpong,Bayer Leverkusen,1,0.277,0.277,4.0,80.0,0.311
2024,3941021,Donyell Malen,Netherlands,3,0.677,0.169,11.0,196.0,0.311
2024,3941020,Andraž Šporar,Slovenia,1,0.251,0.251,1.0,73.0,0.31
2023/2024,3895182,Lukáš Hrádecký,Bayer Leverkusen,1,0.305,0.305,2.0,89.0,0.308
2024,3940878,Vincent Sierro,Switzerland,2,0.082,0.041,3.0,24.0,0.308
2024,3939984,James David Rodríguez Rubio,Colombia,3,0.94,0.235,7.0,276.0,0.306
2023/2024,3895286,David Jurásek,Hoffenheim,1,0.322,0.322,2.0,95.0,0.305
2024,3939974,Matthew Charles Turner,United States,1,0.3,0.3,2.0,89.0,0.304
2024,3938641,Krzysztof Piątek,Poland,3,0.795,0.199,10.0,236.0,0.303
