season_name,match_id,team,opponent_passes,defensive_actions,ppda
2023/2024,3895052,Bayer Leverkusen,324,32,10.13
2023/2024,3895052,RB Leipzig,332,29,11.45
2023/2024,3895060,Bayer Leverkusen,318,23,13.83
2023/2024,3895060,Borussia Mönchengladbach,509,21,24.24
2023/2024,3895067,Bayer Leverkusen,113,19,5.95
2023/2024,3895067,Darmstadt 98,697,28,24.89
2023/2024,3895074,Bayer Leverkusen,430,21,20.48
2023/2024,3895074,Bayern Munich,368,34,10.82
2023/2024,3895086,Bayer Leverkusen,162,29,5.59
2023/2024,3895086,FC Heidenheim,658,26,25.31
2023/2024,3895095,Bayer Leverkusen,329,21,15.67
2023/2024,3895095,FSV Mainz 05,427,37,11.54
2023/2024,3895107,Bayer Leverkusen,183,26,7.04
2023/2024,3895107,FC Köln,498,20,24.9
2023/2024,3895113,Bayer Leverkusen,260,24,10.83
2023/2024,3895113,Wolfsburg,399,41,9.73
2023/2024,3895121,Bayer Leverkusen,178,31,5.74
2023/2024,3895121,Freiburg,626,32,19.56
2023/2024,3895134,Bayer Leverkusen,326,21,15.52
2023/2024,3895134,Hoffenheim,407,26,15.65
2023/2024,3895139,Bayer Leverkusen,205,19,10.79
2023/2024,3895139,Union Berlin,714,21,34.0
2023/2024,3895153,Bayer Leverkusen,304,17,17.88
2023/2024,3895153,Werder Bremen,459,37,12.41
2023/2024,3895158,Bayer Leverkusen,159,42,3.79
2023/2024,3895158,Borussia Dortmund,627,17,36.88
2023/2024,3895167,Bayer Leverkusen,383,35,10.94
2023/2024,3895167,VfB Stuttgart,371,38,9.76
2023/2024,3895180,Bayer Leverkusen,251,21,11.95
2023/2024,3895180,Eintracht Frankfurt,484,37,13.08
2023/2024,3895182,Bayer Leverkusen,197,23,8.57
2023/2024,3895182,Bochum,484,52,9.31
2023/2024,3895194,Augsburg,603,35,17.23
2023/2024,3895194,Bayer Leverkusen,134,23,5.83
2023/2024,3895202,Bayer Leverkusen,241,25,9.64
2023/2024,3895202,RB Leipzig,513,35,14.66
2023/2024,3895210,Bayer Leverkusen,121,43,2.81
2023/2024,3895210,Borussia Mönchengladbach,887,10,88.7
2023/2024,3895220,Bayer Leverkusen,240,32,7.5
2023/2024,3895220,Darmstadt 98,538,32,16.81
2023/2024,3895232,Bayer Leverkusen,476,34,14.0
2023/2024,3895232,Bayern Munich,247,35,7.06
2023/2024,3895244,Bayer Leverkusen,263,25,10.52
2023/2024,3895244,FC Heidenheim,392,51,7.69
2023/2024,3895250,Bayer Leverkusen,193,28,6.89
2023/2024,3895250,FSV Mainz 05,529,48,11.02
2023/2024,3895258,Bayer Leverkusen,100,31,3.23
2023/2024,3895258,FC Köln,747,16,46.69
2023/2024,3895266,Bayer Leverkusen,141,23,6.13
2023/2024,3895266,Wolfsburg,855,15,57.0
2023/2024,3895275,Bayer Leverkusen,225,23,9.78
2023/2024,3895275,Freiburg,558,38,14.68
2023/2024,3895286,Bayer Leverkusen,166,27,6.15
2023/2024,3895286,Hoffenheim,696,20,34.8
2023/2024,3895292,Bayer Leverkusen,167,30,5.57
2023/2024,3895292,Union Berlin,525,36,14.58
2023/2024,3895302,Bayer Leverkusen,256,25,10.24
2023/2024,3895302,Werder Bremen,493,20,24.65
2023/2024,3895309,Bayer Leverkusen,238,29,8.21
2023/2024,3895309,Borussia Dortmund,405,34,11.91
2023/2024,3895320,Bayer Leverkusen,289,30,9.63
2023/2024,3895320,VfB Stuttgart,340,24,14.17
2023/2024,3895333,Bayer Leverkusen,370,11,33.64
2023/2024,3895333,Eintracht Frankfurt,245,40,6.13
2023/2024,3895340,Bayer Leverkusen,192,31,6.19
