team,player,total_mins,progressive_passes,progressive_carries,progressive_passes_received,progressive_passes_p90,progressive_carries_p90,progressive_passes_received_p90,total_progressive_actions_p90,progression_type
Portugal,Francisco Fernandes Conceição,161.0,4.0,20.0,26.0,2.24,11.18,14.53,27.95,Ball Carrier
Switzerland,Steven Zuber,30.0,4.0,2.0,3.0,12.0,6.0,9.0,27.0,Complete Progressor
Bayern Munich,Serge Gnabry,69.0,5.0,5.0,9.0,6.52,6.52,11.74,24.78,Complete Progressor
Portugal,Pedro Lomba Neto,130.0,3.0,11.0,21.0,2.08,7.62,14.54,24.24,Ball Carrier
Albania,Arbër Hoxha,67.0,3.0,10.0,5.0,4.03,13.43,6.72,24.18,Complete Progressor
Germany,Florian Wirtz,291.0,19.0,19.0,37.0,5.88,5.88,11.44,23.2,Complete Progressor
Portugal,António João Pereira Albuquerque Tavares Silva,78.0,11.0,3.0,6.0,12.69,3.46,6.92,23.07,Complete Progressor
Portugal,Diogo José Teixeira da Silva,59.0,1.0,7.0,7.0,1.53,10.68,10.68,22.89,Ball Carrier
Paraguay,Ramón Sosa Acosta,151.0,5.0,13.0,19.0,2.98,7.75,11.32,22.05,Complete Progressor
Bayer Leverkusen,Florian Wirtz,2454.0,118.0,208.0,271.0,4.33,7.63,9.94,21.9,Complete Progressor
Bayern Munich,Thomas Müller,96.0,7.0,5.0,11.0,6.56,4.69,10.31,21.560000000000002,Complete Progressor
Spain,Nicholas Williams Arthuer,503.0,19.0,41.0,57.0,3.4,7.34,10.2,20.939999999999998,Complete Progressor
Bayern Munich,Leroy Sané,194.0,13.0,10.0,21.0,6.03,4.64,9.74,20.41,Complete Progressor
Czech Republic,Matěj Jurásek,58.0,2.0,5.0,6.0,3.1,7.76,9.31,20.17,Complete Progressor
Colombia,Jorge Andrés Carrascal Guardo,64.0,7.0,4.0,3.0,9.84,5.62,4.22,19.68,Complete Progressor
Bayer Leverkusen,Jeremie Frimpong,2305.0,50.0,191.0,245.0,1.95,7.46,9.57,18.98,Ball Carrier
Colombia,Juan Fernando Quintero Paniagua,62.0,5.0,3.0,5.0,7.26,4.35,7.26,18.869999999999997,Complete Progressor
Borussia Mönchengladbach,Nathan Ngoumou Minpole,82.0,3.0,8.0,6.0,3.29,8.78,6.59,18.66,Complete Progressor
Bayer Leverkusen,Amine Adli,970.0,36.0,67.0,98.0,3.34,6.22,9.09,18.65,Complete Progressor
Bayern Munich,Mathys Tel,54.0,2.0,3.0,6.0,3.33,5.0,10.0,18.33,Complete Progressor
Germany,Jamal Musiala,425.0,15.0,33.0,35.0,3.18,6.99,7.41,17.58,Complete Progressor
Belgium,Jeremy Doku,325.0,8.0,28.0,26.0,2.22,7.75,7.2,17.17,Ball Carrier
Bayer Leverkusen,Arthur Augusto de Matos Soares,197.0,7.0,11.0,19.0,3.2,5.03,8.68,16.91,Complete Progressor
Bayer Leverkusen,Nathan Tella,895.0,24.0,50.0,94.0,2.41,5.03,9.45,16.89,Ball Carrier
Bayer Leverkusen,Nadiem Amiri,113.0,6.0,10.0,5.0,4.78,7.96,3.98,16.72,Complete Progressor
Italy,Mattia Zaccagni,98.0,1.0,5.0,12.0,0.92,4.59,11.02,16.53,Ball Carrier
Brazil,Sávio Moreira de Oliveira,164.0,2.0,14.0,14.0,1.1,7.68,7.68,16.46,Ball Carrier
Freiburg,Florent Muslija,33.0,2.0,3.0,1.0,5.45,8.18,2.73,16.36,Complete Progressor
Spain,Lamine Yamal Nasraoui Ebana,517.0,15.0,36.0,42.0,2.61,6.27,7.31,16.189999999999998,Ball Carrier
England,Cole Palmer,102.0,5.0,6.0,7.0,4.41,5.29,6.18,15.879999999999999,Complete Progressor
Borussia Dortmund,Jadon Sancho,68.0,2.0,6.0,4.0,2.65,7.94,5.29,15.879999999999999,Ball Carrier
Spain,Pedro González López,189.0,11.0,10.0,12.0,5.24,4.76,5.71,15.71,Complete Progressor
Portugal,Gonçalo Bernardo Inácio,126.0,18.0,3.0,1.0,12.86,2.14,0.71,15.71,Progressive Passer
Paraguay,Julio César Enciso Espínola,259.0,11.0,18.0,16.0,3.82,6.25,5.56,15.629999999999999,Complete Progressor
Bayer Leverkusen,Victor Okoh Boniface,1602.0,40.0,107.0,131.0,2.25,6.01,7.36,15.620000000000001,Ball Carrier
Germany,Joshua Kimmich,503.0,20.0,21.0,46.0,3.58,3.76,8.23,15.57,Complete Progressor
France,Bradley Barcola,116.0,3.0,9.0,8.0,2.33,6.98,6.21,15.52,Ball Carrier
Portugal,João Félix Sequeira,116.0,4.0,8.0,8.0,3.1,6.21,6.21,15.52,Complete Progressor
VfB Stuttgart,Silas Katompa Mvumpa,47.0,0.0,4.0,4.0,0.0,7.66,7.66,15.32,Ball Carrier
Eintracht Frankfurt,Omar Marmoush,95.0,6.0,6.0,4.0,5.68,5.68,3.79,15.149999999999999,Complete Progressor
France,Kylian Mbappé Lottin,589.0,14.0,43.0,42.0,2.14,6.57,6.42,15.13,Ball Carrier
France,Ousmane Dembélé,369.0,10.0,28.0,24.0,2.44,6.83,5.85,15.12,Ball Carrier
Czech Republic,David Jurásek,161.0,3.0,8.0,16.0,1.68,4.47,8.94,15.09,Ball Carrier
Colombia,Luis Fernando Sinisterra Lucumí,48.0,0.0,2.0,6.0,0.0,3.75,11.25,15.0,Ball Carrier
Belgium,Kevin De Bruyne,379.0,23.0,20.0,20.0,5.46,4.75,4.75,14.96,Complete Progressor
Bayern Munich,Konrad Laimer,85.0,5.0,6.0,3.0,5.29,6.35,3.18,14.82,Complete Progressor
Eintracht Frankfurt,Hugo Ekitike,79.0,1.0,4.0,8.0,1.14,4.56,9.11,14.809999999999999,Ball Carrier
Spain,Alejandro Grimaldo García,122.0,4.0,4.0,12.0,2.95,2.95,8.85,14.75,Complete Progressor
Bayern Munich,Alphonso Davies,98.0,4.0,4.0,8.0,3.67,3.67,7.35,14.69,Complete Progressor
Turkey,Mehmet Zeki Çelik,123.0,5.0,6.0,9.0,3.66,4.39,6.59,14.64,Complete Progressor
Portugal,Bruno Miguel Borges Fernandes,388.0,25.0,17.0,21.0,5.8,3.94,4.87,14.61,Complete Progressor
Czech Republic,Petr Ševčík,31.0,2.0,2.0,1.0,5.81,5.81,2.9,14.52,Complete Progressor
Darmstadt 98,Gerrit Holtmann,62.0,2.0,4.0,4.0,2.9,5.81,5.81,14.52,Complete Progressor
RB Leipzig,Timo Werner,62.0,0.0,5.0,5.0,0.0,7.26,7.26,14.52,Ball Carrier
Bochum,Moritz Broschinski,31.0,1.0,2.0,2.0,2.9,5.81,5.81,14.52,Complete Progressor
Austria,Marcel Sabitzer,385.0,13.0,17.0,32.0,3.04,3.97,7.48,14.49,Complete Progressor
Portugal,Danilo Luís Hélio Pereira,94.0,13.0,2.0,0.0,12.45,1.91,0.0,14.36,Progressive Passer
Paraguay,Alejandro Romero Gamarra,44.0,1.0,2.0,4.0,2.05,4.09,8.18,14.32,Ball Carrier
Portugal,Bernardo Mota Veiga de Carvalho e Silva,441.0,12.0,23.0,35.0,2.45,4.69,7.14,14.280000000000001,Ball Carrier
Portugal,João Neves,82.0,5.0,3.0,5.0,5.49,3.29,5.49,14.270000000000001,Complete Progressor
Croatia,Ivan Perišić,153.0,3.0,8.0,13.0,1.76,4.71,7.65,14.120000000000001,Ball Carrier
Bayern Munich,Eric Dier,96.0,13.0,1.0,1.0,12.19,0.94,0.94,14.069999999999999,Progressive Passer
