season_name,match_id,team,player,passes_made,passes_received,total_pass_involvement,unique_receivers,unique_passers,degree_centrality,network_involvement_pct
2024,3942349,Portugal,Vitor Machado Ferreira,97.0,98.0,195.0,12,11,23,23.24
2024,3941019,Belgium,Jan Vertonghen,96.0,99.0,195.0,10,7,17,42.76
2025,3998855,Spain Women's,Patricia Guijarro Gutiérrez,96.0,97.0,193.0,12,9,21,25.43
2024,3942349,Portugal,Nuno Mendes,99.0,94.0,193.0,11,10,21,23.0
2023/2024,3895067,Bayer Leverkusen,Edmond Fayçal Tapsoba,101.0,92.0,193.0,13,12,25,26.12
2024,3930158,Germany,Toni Kroos,100.0,93.0,193.0,12,13,25,29.02
2023/2024,3895182,Bayer Leverkusen,Granit Xhaka,94.0,96.0,190.0,14,15,29,27.7
2023/2024,3895220,Bayer Leverkusen,Piero Martín Hincapié Reyna,96.0,94.0,190.0,10,10,20,26.54
2025,4020846,Spain Women's,Ona Batlle Pascual,98.0,92.0,190.0,11,12,23,27.18
2023/2024,3895266,Bayer Leverkusen,Florian Wirtz,86.0,104.0,190.0,11,12,23,21.89
2024,3941019,France,Aurélien Djani Tchouaméni,92.0,98.0,190.0,9,10,19,32.31
2024,3930181,England,Marc Guehi,100.0,90.0,190.0,13,11,24,26.76
2024,3930181,England,Kieran Trippier,101.0,89.0,190.0,10,10,20,26.76
2025,3998858,England Women's,Alex Greenwood,105.0,84.0,189.0,14,9,23,27.27
2023/2024,3895340,Bayer Leverkusen,Edmond Fayçal Tapsoba,95.0,94.0,189.0,13,13,26,32.59
2024,3941020,Portugal,Nuno Mendes,94.0,94.0,188.0,10,12,22,26.18
2024,3941020,Portugal,Rúben Santos Gato Alves Dias,97.0,91.0,188.0,11,12,23,26.18
2023/2024,3895139,Bayer Leverkusen,Piero Martín Hincapié Reyna,99.0,89.0,188.0,11,11,22,24.01
2024,3939976,Brazil,Danilo Luiz da Silva,93.0,92.0,185.0,10,11,21,28.03
2025,4020846,Spain Women's,Laia Aleixandri López,97.0,88.0,185.0,11,12,23,26.47
2024,3930181,England,Kyle Walker,98.0,87.0,185.0,13,13,26,26.06
2023/2024,3895121,Bayer Leverkusen,Jonathan Tah,95.0,90.0,185.0,9,10,19,27.49
2024,3930167,Croatia,Mateo Kovačić,91.0,92.0,183.0,13,12,25,30.35
2023/2024,3895121,Bayer Leverkusen,Granit Xhaka,91.0,92.0,183.0,9,10,19,27.19
2025,4020077,Spain Women's,Irene Paredes Hernandez,94.0,89.0,183.0,12,10,22,26.75
2024,3940878,Switzerland,Granit Xhaka,94.0,88.0,182.0,13,13,26,36.62
2024,3942227,England,Declan Rice,96.0,85.0,181.0,14,12,26,28.02
2024,3930172,Spain,Rodrigo Hernández Cascante,93.0,87.0,180.0,11,11,22,31.91
2023/2024,3895266,Bayer Leverkusen,Edmond Fayçal Tapsoba,95.0,85.0,180.0,11,10,21,20.74
2024,3939969,Argentina,Cristian Gabriel Romero,95.0,84.0,179.0,13,9,22,30.44
2023/2024,3895182,Bayer Leverkusen,Josip Stanišić,95.0,84.0,179.0,13,13,26,26.09
2025,3998855,Spain Women's,Jana Fernandez Velasco,96.0,82.0,178.0,11,12,23,23.45
2024,3938639,Turkey,Hakan Çalhanoğlu,89.0,89.0,178.0,12,11,23,32.96
2024,3930162,Denmark,Andreas Christensen,92.0,86.0,178.0,11,11,22,29.13
2024,3942819,England,Declan Rice,88.0,89.0,177.0,10,12,22,31.61
2023/2024,3895074,Bayern Munich,Min Jae Kim,91.0,86.0,177.0,11,12,23,32.48
2023/2024,3895275,Bayer Leverkusen,Piero Martín Hincapié Reyna,90.0,87.0,177.0,8,9,17,25.5
2024,3930166,Portugal,Vitor Machado Ferreira,87.0,89.0,176.0,11,11,22,27.37
