season_name,match_id,team,passes,total_passes,possession_pct
2024,3930182,Denmark,599,1133.0,52.87
2024,3930182,Serbia,534,1133.0,47.13
2024,3930183,Slovakia,495,861.0,57.49
2024,3930183,Romania,366,861.0,42.51
2024,3930184,Turkey,543,809.0,67.12
2024,3930184,Czech Republic,266,809.0,32.88
2024,3938637,Netherlands,631,954.0,66.14
2024,3938637,Poland,323,954.0,33.86
2024,3938638,Ukraine,632,911.0,69.37
2024,3938638,Romania,279,911.0,30.63
2024,3938639,Turkey,611,1099.0,55.6
2024,3938639,Georgia,488,1099.0,44.4
2024,3938640,Slovakia,598,1053.0,56.79
2024,3938640,Ukraine,455,1053.0,43.21
2024,3938641,Austria,489,915.0,53.44
2024,3938641,Poland,426,915.0,46.56
2024,3938642,Czech Republic,567,920.0,61.63
2024,3938642,Georgia,353,920.0,38.37
2024,3938643,France,592,1033.0,57.31
2024,3938643,Poland,441,1033.0,42.69
2024,3938644,Portugal,737,1036.0,71.14
2024,3938644,Georgia,299,1036.0,28.86
2024,3938645,Belgium,600,1004.0,59.76
2024,3938645,Ukraine,404,1004.0,40.24
2024,3939969,Argentina,652,1005.0,64.88
2024,3939969,Canada,353,1005.0,35.12
2024,3939970,Chile,558,881.0,63.34
2024,3939970,Peru,323,881.0,36.66
2024,3939971,Mexico,565,940.0,60.11
2024,3939971,Jamaica,375,940.0,39.89
2024,3939972,Venezuela,550,848.0,64.86
2024,3939972,Ecuador,298,848.0,35.14
2024,3939973,Uruguay,450,829.0,54.28
2024,3939973,Panama,379,829.0,45.72
2024,3939974,United States,584,975.0,59.9
2024,3939974,Bolivia,391,975.0,40.1
2024,3939975,Colombia,561,852.0,65.85
2024,3939975,Paraguay,291,852.0,34.15
2024,3939976,Brazil,748,1010.0,74.06
2024,3939976,Costa Rica,262,1010.0,25.94
2024,3939977,Argentina,596,991.0,60.14
2024,3939977,Chile,395,991.0,39.86
2024,3939978,Peru,406,811.0,50.06
2024,3939978,Canada,405,811.0,49.94
2024,3939979,Mexico,530,889.0,59.62
2024,3939979,Venezuela,359,889.0,40.38
2024,3939980,Jamaica,377,690.0,54.64
2024,3939980,Ecuador,313,690.0,45.36
2024,3939981,Panama,596,820.0,72.68
2024,3939981,United States,224,820.0,27.32
2024,3939982,Uruguay,531,884.0,60.07
2024,3939982,Bolivia,353,884.0,39.93
2024,3939983,Brazil,500,921.0,54.29
2024,3939983,Paraguay,421,921.0,45.71
2024,3939984,Colombia,566,901.0,62.82
2024,3939984,Costa Rica,335,901.0,37.18
2024,3939985,Canada,477,841.0,56.72
2024,3939985,Chile,364,841.0,43.28
2024,3939986,Argentina,666,917.0,72.63
2024,3939986,Peru,251,917.0,27.37
2024,3939987,Venezuela,436,828.0,52.66
2024,3939987,Jamaica,392,828.0,47.34
2024,3939988,Mexico,454,773.0,58.73
2024,3939988,Ecuador,319,773.0,41.27
2024,3939989,Bolivia,480,938.0,51.17
2024,3939989,Panama,458,938.0,48.83
2024,3939990,United States,377,729.0,51.71
2024,3939990,Uruguay,352,729.0,48.29
2024,3939991,Colombia,449,896.0,50.11
2024,3939991,Brazil,447,896.0,49.89
2024,3939992,Paraguay,569,873.0,65.18
2024,3939992,Costa Rica,304,873.0,34.82
2024,3940878,Italy,563,1125.0,50.04
2024,3940878,Switzerland,562,1125.0,49.96
2024,3940983,Germany,575,1050.0,54.76
2024,3940983,Denmark,475,1050.0,45.24
2024,3941017,England,872,1386.0,62.91
2024,3941017,Slovakia,514,1386.0,37.09
2024,3941018,Spain,850,1135.0,74.89
2024,3941018,Georgia,285,1135.0,25.11
2024,3941019,France,647,1169.0,55.35
2024,3941019,Belgium,522,1169.0,44.65
2024,3941020,Portugal,842,1191.0,70.7
2024,3941020,Slovenia,349,1191.0,29.3
2024,3941021,Netherlands,559,877.0,63.74
2024,3941021,Romania,318,877.0,36.26
2024,3941022,Austria,628,1055.0,59.53
2024,3941022,Turkey,427,1055.0,40.47
2024,3942226,Germany,655,1261.0,51.94
2024,3942226,Spain,606,1261.0,48.06
2024,3942227,England,738,1411.0,52.3
2024,3942227,Switzerland,673,1411.0,47.7
2024,3942228,Argentina,401,794.0,50.5
2024,3942228,Ecuador,393,794.0,49.5
2024,3942229,Venezuela,479,861.0,55.63
2024,3942229,Canada,382,861.0,44.37
2024,3942349,Portugal,927,1552.0,59.73
2024,3942349,France,625,1552.0,40.27
2024,3942382,Netherlands,569,965.0,58.96
2024,3942382,Turkey,396,965.0,41.04
2024,3942415,Brazil,425,707.0,60.11
2024,3942415,Uruguay,282,707.0,39.89
2024,3942416,Colombia,413,783.0,52.75
2024,3942416,Panama,370,783.0,47.25
2024,3942752,Spain,542,935.0,57.97
2024,3942752,France,393,935.0,42.03
2024,3942785,Argentina,506,983.0,51.48
2024,3942785,Canada,477,983.0,48.52
2024,3942819,England,621,1065.0,58.31
2024,3942819,Netherlands,444,1065.0,41.69
2024,3942852,Uruguay,460,764.0,60.21
2024,3942852,Colombia,304,764.0,39.79
2024,3943043,Spain,593,917.0,64.67
2024,3943043,England,324,917.0,35.33
2024,3943076,Canada,378,743.0,50.87
2024,3943076,Uruguay,365,743.0,49.13
2024,3943077,Colombia,659,1196.0,55.1
2024,3943077,Argentina,537,1196.0,44.9
