season_name,match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
2023/2024,3895052,RB Leipzig,14,1.722,1.722,2.0,2.0,0.123
2023/2024,3895052,Bayer Leverkusen,11,1.523,1.523,3.0,3.0,0.138
2023/2024,3895060,Bayer Leverkusen,24,2.72,2.72,3.0,3.0,0.113
2023/2024,3895060,Borussia Mönchengladbach,12,0.799,0.799,0.0,0.0,0.067
2023/2024,3895067,Bayer Leverkusen,25,3.305,3.305,5.0,5.0,0.132
2023/2024,3895067,Darmstadt 98,5,0.579,0.579,1.0,1.0,0.116
2023/2024,3895074,Bayern Munich,16,2.21,2.21,2.0,2.0,0.138
2023/2024,3895074,Bayer Leverkusen,13,2.218,1.435,2.0,1.0,0.12
2023/2024,3895086,Bayer Leverkusen,21,3.708,2.925,4.0,3.0,0.146
2023/2024,3895086,FC Heidenheim,2,0.327,0.327,1.0,1.0,0.163
2023/2024,3895095,Bayer Leverkusen,6,0.794,0.794,2.0,2.0,0.132
2023/2024,3895095,FSV Mainz 05,10,0.435,0.435,0.0,0.0,0.044
2023/2024,3895107,Bayer Leverkusen,23,2.942,2.942,3.0,3.0,0.128
2023/2024,3895107,FC Köln,7,1.19,1.19,0.0,0.0,0.17
2023/2024,3895113,Bayer Leverkusen,13,1.963,1.963,2.0,2.0,0.151
2023/2024,3895113,Wolfsburg,18,1.198,1.198,1.0,1.0,0.067
2023/2024,3895121,Bayer Leverkusen,18,1.425,1.425,1.0,1.0,0.079
2023/2024,3895121,Freiburg,10,0.768,0.768,1.0,1.0,0.077
2023/2024,3895134,Hoffenheim,12,1.484,1.484,2.0,2.0,0.124
2023/2024,3895134,Bayer Leverkusen,10,1.274,1.274,3.0,3.0,0.127
2023/2024,3895139,Bayer Leverkusen,18,1.883,1.883,4.0,4.0,0.105
2023/2024,3895139,Union Berlin,2,0.039,0.039,0.0,0.0,0.019
2023/2024,3895153,Bayer Leverkusen,14,1.091,1.091,2.0,2.0,0.078
2023/2024,3895153,Werder Bremen,2,0.186,0.186,0.0,0.0,0.093
2023/2024,3895158,Bayer Leverkusen,24,2.145,2.145,1.0,1.0,0.089
2023/2024,3895158,Borussia Dortmund,6,0.808,0.808,1.0,1.0,0.135
2023/2024,3895167,VfB Stuttgart,22,2.404,2.404,1.0,1.0,0.109
2023/2024,3895167,Bayer Leverkusen,19,1.532,1.532,1.0,1.0,0.081
2023/2024,3895180,Bayer Leverkusen,14,2.753,2.753,3.0,3.0,0.197
2023/2024,3895180,Eintracht Frankfurt,4,0.185,0.185,0.0,0.0,0.046
2023/2024,3895182,Bayer Leverkusen,16,3.401,2.617,4.0,3.0,0.174
2023/2024,3895182,Bochum,6,0.288,0.288,0.0,0.0,0.048
2023/2024,3895194,Bayer Leverkusen,25,1.576,1.576,1.0,1.0,0.063
2023/2024,3895194,Augsburg,4,0.316,0.316,0.0,0.0,0.079
2023/2024,3895202,Bayer Leverkusen,18,1.881,1.881,3.0,3.0,0.104
2023/2024,3895202,RB Leipzig,10,1.087,1.087,2.0,2.0,0.109
2023/2024,3895210,Bayer Leverkusen,28,2.561,2.561,0.0,0.0,0.091
2023/2024,3895210,Borussia Mönchengladbach,4,0.184,0.184,0.0,0.0,0.046
2023/2024,3895220,Bayer Leverkusen,20,1.952,1.952,2.0,2.0,0.098
2023/2024,3895220,Darmstadt 98,8,0.771,0.771,0.0,0.0,0.096
2023/2024,3895232,Bayer Leverkusen,14,1.034,1.034,3.0,3.0,0.074
2023/2024,3895232,Bayern Munich,9,0.618,0.618,0.0,0.0,0.069
2023/2024,3895244,Bayer Leverkusen,18,1.819,1.819,2.0,2.0,0.101
2023/2024,3895244,FC Heidenheim,6,0.457,0.457,1.0,1.0,0.076
2023/2024,3895250,FSV Mainz 05,13,1.141,1.141,1.0,1.0,0.088
2023/2024,3895250,Bayer Leverkusen,17,1.113,1.113,2.0,2.0,0.065
2023/2024,3895258,Bayer Leverkusen,17,1.293,1.293,2.0,2.0,0.076
2023/2024,3895258,FC Köln,6,0.686,0.686,0.0,0.0,0.114
2023/2024,3895266,Bayer Leverkusen,19,1.786,1.786,2.0,2.0,0.094
2023/2024,3895266,Wolfsburg,3,0.227,0.227,0.0,0.0,0.076
2023/2024,3895275,Bayer Leverkusen,19,2.596,2.596,3.0,3.0,0.137
2023/2024,3895275,Freiburg,11,0.931,0.931,2.0,2.0,0.085
2023/2024,3895286,Bayer Leverkusen,34,2.77,2.77,2.0,2.0,0.081
2023/2024,3895286,Hoffenheim,6,0.649,0.649,1.0,1.0,0.108
2023/2024,3895292,Bayer Leverkusen,20,2.564,1.78,1.0,0.0,0.094
2023/2024,3895292,Union Berlin,9,0.545,0.545,0.0,0.0,0.061
2023/2024,3895302,Bayer Leverkusen,20,3.004,2.221,5.0,4.0,0.117
2023/2024,3895302,Werder Bremen,7,0.684,0.684,0.0,0.0,0.098
2023/2024,3895309,Bayer Leverkusen,13,1.364,1.364,1.0,1.0,0.105
2023/2024,3895309,Borussia Dortmund,8,0.555,0.555,1.0,1.0,0.069
2023/2024,3895320,VfB Stuttgart,11,1.799,1.799,2.0,2.0,0.164
2023/2024,3895320,Bayer Leverkusen,14,1.653,1.653,2.0,2.0,0.118
2023/2024,3895333,Eintracht Frankfurt,17,1.442,1.442,1.0,1.0,0.085
2023/2024,3895333,Bayer Leverkusen,9,2.586,1.019,5.0,3.0,0.146
2023/2024,3895340,Bayer Leverkusen,29,4.302,3.518,5.0,4.0,0.126
2023/2024,3895340,Bochum,3,0.314,0.314,0.0,0.0,0.105
2023/2024,3895348,Bayer Leverkusen,20,2.165,2.165,2.0,2.0,0.108
2023/2024,3895348,Augsburg,10,0.78,0.78,1.0,1.0,0.078
2024,3930158,Germany,20,1.845,1.061,5.0,4.0,0.056
2024,3930158,Scotland,1,0.061,0.061,0.0,0.0,0.061
2024,3930159,Switzerland,15,2.096,2.096,3.0,3.0,0.14
2024,3930159,Hungary,6,1.103,1.103,1.0,1.0,0.184
2024,3930160,Croatia,16,2.482,1.699,0.0,0.0,0.113
2024,3930160,Spain,11,1.567,1.567,3.0,3.0,0.142
2024,3930161,Italy,17,1.45,1.45,2.0,2.0,0.085
2024,3930161,Albania,8,0.355,0.355,1.0,1.0,0.044
2024,3930162,Denmark,16,1.511,1.511,1.0,1.0,0.094
2024,3930162,Slovenia,11,0.966,0.966,1.0,1.0,0.088
2024,3930163,England,5,0.559,0.559,1.0,1.0,0.112
2024,3930163,Serbia,6,0.249,0.249,0.0,0.0,0.042
2024,3930164,Belgium,16,1.735,1.735,0.0,0.0,0.108
2024,3930164,Slovakia,10,0.687,0.687,1.0,1.0,0.069
2024,3930165,France,14,1.905,1.905,0.0,0.0,0.136
2024,3930165,Austria,5,0.748,0.748,0.0,0.0,0.15
2024,3930166,Portugal,19,1.838,1.838,1.0,1.0,0.097
2024,3930166,Czech Republic,5,0.315,0.315,1.0,1.0,0.063
2024,3930167,Croatia,21,1.859,1.859,1.0,1.0,0.089
2024,3930167,Albania,14,1.326,1.326,2.0,2.0,0.095
2024,3930168,Germany,19,1.484,1.484,2.0,2.0,0.078
2024,3930168,Hungary,11,1.228,1.228,0.0,0.0,0.112
2024,3930169,Switzerland,11,0.99,0.99,1.0,1.0,0.09
2024,3930169,Scotland,12,0.772,0.772,1.0,1.0,0.064
2024,3930170,Slovenia,12,1.552,1.552,1.0,1.0,0.129
2024,3930170,Serbia,15,1.461,1.461,1.0,1.0,0.097
2024,3930171,England,12,1.173,1.173,1.0,1.0,0.098
2024,3930171,Denmark,16,0.733,0.733,1.0,1.0,0.046
2024,3930172,Spain,20,1.534,1.534,0.0,0.0,0.077
2024,3930172,Italy,4,0.143,0.143,0.0,0.0,0.036
2024,3930173,France,15,1.218,1.218,0.0,0.0,0.081
2024,3930173,Netherlands,9,0.738,0.738,0.0,0.0,0.082
2024,3930174,Portugal,12,1.901,1.901,2.0,2.0,0.158
2024,3930174,Turkey,11,0.779,0.779,0.0,0.0,0.071
2024,3930175,Belgium,20,1.646,1.646,2.0,2.0,0.082
2024,3930175,Romania,14,1.246,1.246,0.0,0.0,0.089
2024,3930176,Germany,18,1.542,1.542,1.0,1.0,0.086
2024,3930176,Switzerland,4,0.28,0.28,1.0,1.0,0.07
2024,3930177,Hungary,14,1.001,1.001,1.0,1.0,0.072
2024,3930177,Scotland,4,0.184,0.184,0.0,0.0,0.046
2024,3930178,Italy,13,0.985,0.985,1.0,1.0,0.076
2024,3930178,Croatia,6,1.483,0.7,1.0,1.0,0.14
2024,3930179,Spain,16,0.952,0.952,1.0,1.0,0.059
2024,3930179,Albania,10,0.503,0.503,0.0,0.0,0.05
2024,3930180,Netherlands,11,1.51,1.51,2.0,2.0,0.137
2024,3930180,Austria,9,1.058,1.058,2.0,2.0,0.118
2024,3930181,England,12,0.756,0.756,0.0,0.0,0.063
2024,3930181,Slovenia,4,0.165,0.165,0.0,0.0,0.041
2024,3930182,Denmark,10,0.552,0.552,0.0,0.0,0.055
2024,3930182,Serbia,5,0.324,0.324,0.0,0.0,0.065
2024,3930183,Slovakia,13,0.845,0.845,1.0,1.0,0.065
2024,3930183,Romania,9,1.122,0.338,1.0,0.0,0.042
2024,3930184,Czech Republic,12,1.41,1.41,1.0,1.0,0.118
2024,3930184,Turkey,18,1.218,1.218,2.0,2.0,0.068
