match_id,team,total_shots,total_xg,npxg,total_goals,np_goals,avg_npxg_per_shot
3857271,England,13,1.987,1.987,6.0,6.0,0.153
3857271,Iran,8,1.456,0.672,2.0,1.0,0.096
3857272,United States,10,0.514,0.514,0.0,0.0,0.051
3857272,England,8,0.461,0.461,0.0,0.0,0.058
3857273,Iran,21,1.454,1.454,2.0,2.0,0.069
3857273,Wales,10,0.616,0.616,0.0,0.0,0.062
3857274,Ecuador,15,1.651,1.651,1.0,1.0,0.11
3857274,Netherlands,2,0.104,0.104,1.0,1.0,0.052
3857275,France,10,0.477,0.477,0.0,0.0,0.048
3857275,Tunisia,5,0.298,0.298,1.0,1.0,0.06
3857276,Canada,5,1.096,1.096,0.0,0.0,0.219
3857276,Morocco,7,0.426,0.426,2.0,2.0,0.061
3857277,Croatia,5,0.85,0.85,0.0,0.0,0.17
3857277,Morocco,8,0.363,0.363,0.0,0.0,0.045
3857278,United States,12,1.17,1.17,1.0,1.0,0.097
3857278,Iran,4,0.921,0.921,0.0,0.0,0.23
3857279,France,23,3.17,3.17,4.0,4.0,0.138
3857279,Australia,4,0.323,0.323,1.0,1.0,0.081
3857280,Brazil,21,2.378,2.378,0.0,0.0,0.113
3857280,Cameroon,7,0.383,0.383,1.0,1.0,0.055
3857281,Croatia,13,2.61,2.61,4.0,4.0,0.201
3857281,Canada,8,0.287,0.287,1.0,1.0,0.036
3857282,Wales,7,1.395,0.612,1.0,0.0,0.102
3857282,United States,6,0.602,0.602,1.0,1.0,0.1
3857283,Morocco,10,0.991,0.991,2.0,2.0,0.099
3857283,Belgium,10,0.643,0.643,0.0,0.0,0.064
3857284,Germany,26,2.768,1.985,1.0,0.0,0.079
3857284,Japan,12,1.249,1.249,2.0,2.0,0.104
3857285,Netherlands,10,1.124,1.124,2.0,2.0,0.112
3857285,Senegal,15,0.691,0.691,0.0,0.0,0.046
3857286,Ecuador,6,1.154,0.371,2.0,1.0,0.074
3857286,Qatar,5,0.304,0.304,0.0,0.0,0.061
3857287,South Korea,7,0.493,0.493,0.0,0.0,0.07
3857287,Uruguay,10,0.417,0.417,0.0,0.0,0.042
3857288,Tunisia,14,1.052,1.052,0.0,0.0,0.075
3857288,Australia,9,0.359,0.359,1.0,1.0,0.04
3857289,Argentina,5,0.325,0.325,2.0,2.0,0.065
3857289,Mexico,4,0.206,0.206,0.0,0.0,0.052
3857290,Switzerland,7,1.427,1.427,1.0,1.0,0.204
3857290,Cameroon,8,0.613,0.613,0.0,0.0,0.077
3857291,Spain,17,2.762,1.978,7.0,6.0,0.124
3857292,Germany,31,4.316,4.316,4.0,4.0,0.139
3857292,Costa Rica,7,1.035,1.035,1.0,1.0,0.148
3857293,Uruguay,12,1.637,1.637,2.0,2.0,0.136
3857293,Ghana,9,1.393,0.609,0.0,0.0,0.076
3857294,Netherlands,13,1.714,1.714,2.0,2.0,0.132
3857294,Qatar,5,0.144,0.144,0.0,0.0,0.029
3857295,Japan,13,0.774,0.774,0.0,0.0,0.06
3857295,Costa Rica,4,0.199,0.199,1.0,1.0,0.05
3857296,Belgium,16,2.382,2.382,0.0,0.0,0.149
3857296,Croatia,11,0.695,0.695,0.0,0.0,0.063
3857297,Poland,9,1.734,1.734,2.0,2.0,0.193
3857297,Saudi Arabia,17,1.972,1.188,0.0,0.0,0.074
3857298,Portugal,11,2.097,1.313,3.0,2.0,0.131
3857298,Ghana,9,0.78,0.78,2.0,2.0,0.087
3857299,South Korea,21,1.368,1.368,2.0,2.0,0.065
3857299,Ghana,7,1.181,1.181,3.0,3.0,0.169
3857300,Argentina,15,2.492,1.708,1.0,0.0,0.122
3857300,Saudi Arabia,3,0.153,0.153,2.0,2.0,0.051
3857301,Qatar,10,0.96,0.96,1.0,1.0,0.096
3857301,Senegal,12,0.903,0.903,3.0,3.0,0.075
3869117,United States,18,1.652,1.652,1.0,1.0,0.092
3869117,Netherlands,11,1.482,1.482,3.0,3.0,0.135
3869118,England,8,1.02,1.02,3.0,3.0,0.128
3869118,Senegal,10,0.973,0.973,0.0,0.0,0.097
3869151,Argentina,14,1.482,1.482,2.0,2.0,0.106
3869151,Australia,5,0.426,0.426,0.0,0.0,0.085
3869152,France,16,1.126,1.126,3.0,3.0,0.07
3869152,Poland,12,1.594,0.81,1.0,0.0,0.074
3869219,Japan,17,4.203,1.069,2.0,1.0,0.082
3869219,Croatia,21,3.988,0.854,4.0,1.0,0.05
3869220,Morocco,10,3.704,0.57,3.0,0.0,0.095
3869220,Spain,15,2.845,0.495,0.0,0.0,0.041
3869253,Brazil,18,3.261,2.478,4.0,3.0,0.146
3869253,South Korea,8,0.345,0.345,1.0,1.0,0.043
3869254,Portugal,15,2.284,2.284,6.0,6.0,0.152
3869254,Switzerland,10,1.272,1.272,1.0,1.0,0.127
3869321,Argentina,19,5.857,1.156,6.0,1.0,0.089
3869321,Netherlands,12,4.487,0.57,5.0,2.0,0.081
3869354,France,8,0.839,0.839,2.0,2.0,0.105
3869354,England,16,2.353,0.786,1.0,0.0,0.056
3869420,Brazil,24,4.95,1.816,3.0,1.0,0.091
3869420,Croatia,13,3.767,0.633,5.0,1.0,0.07
3869486,Morocco,9,0.972,0.972,1.0,1.0,0.108
3869486,Portugal,12,0.744,0.744,0.0,0.0,0.062
3869519,Argentina,9,1.864,1.081,3.0,2.0,0.135
3869519,Croatia,12,0.41,0.41,0.0,0.0,0.034
3869552,France,14,2.002,2.002,2.0,2.0,0.143
3869552,Morocco,13,1.23,1.23,0.0,0.0,0.095
3869684,Morocco,9,0.991,0.991,1.0,1.0,0.11
3869684,Croatia,12,0.849,0.849,2.0,2.0,0.071
3869685,Argentina,24,5.892,1.975,7.0,2.0,0.104
3869685,France,14,5.407,0.706,5.0,1.0,0.088
3930158,Germany,20,1.845,1.061,5.0,4.0,0.056
3930158,Scotland,1,0.061,0.061,0.0,0.0,0.061
3930159,Switzerland,15,2.096,2.096,3.0,3.0,0.14
3930159,Hungary,6,1.103,1.103,1.0,1.0,0.184
3930160,Croatia,16,2.482,1.699,0.0,0.0,0.113
3930160,Spain,11,1.567,1.567,3.0,3.0,0.142
3930161,Italy,17,1.45,1.45,2.0,2.0,0.085
3930161,Albania,8,0.355,0.355,1.0,1.0,0.044
3930162,Denmark,16,1.511,1.511,1.0,1.0,0.094
3930162,Slovenia,11,0.966,0.966,1.0,1.0,0.088
3930163,England,5,0.559,0.559,1.0,1.0,0.112
3930163,Serbia,6,0.249,0.249,0.0,0.0,0.042
3930164,Belgium,16,1.735,1.735,0.0,0.0,0.108
3930164,Slovakia,10,0.687,0.687,1.0,1.0,0.069
3930165,France,14,1.905,1.905,0.0,0.0,0.136
3930165,Austria,5,0.748,0.748,0.0,0.0,0.15
3930166,Portugal,19,1.838,1.838,1.0,1.0,0.097
3930166,Czech Republic,5,0.315,0.315,1.0,1.0,0.063
3930167,Croatia,21,1.859,1.859,1.0,1.0,0.089
3930167,Albania,14,1.326,1.326,2.0,2.0,0.095
3930168,Germany,19,1.484,1.484,2.0,2.0,0.078
3930168,Hungary,11,1.228,1.228,0.0,0.0,0.112
3930169,Switzerland,11,0.99,0.99,1.0,1.0,0.09
3930169,Scotland,12,0.772,0.772,1.0,1.0,0.064
3930170,Slovenia,12,1.552,1.552,1.0,1.0,0.129
3930170,Serbia,15,1.461,1.461,1.0,1.0,0.097
3930171,England,12,1.173,1.173,1.0,1.0,0.098
3930171,Denmark,16,0.733,0.733,1.0,1.0,0.046
3930172,Spain,20,1.534,1.534,0.0,0.0,0.077
3930172,Italy,4,0.143,0.143,0.0,0.0,0.036
3930173,France,15,1.218,1.218,0.0,0.0,0.081
3930173,Netherlands,9,0.738,0.738,0.0,0.0,0.082
3930174,Portugal,12,1.901,1.901,2.0,2.0,0.158
3930174,Turkey,11,0.779,0.779,0.0,0.0,0.071
3930175,Belgium,20,1.646,1.646,2.0,2.0,0.082
3930175,Romania,14,1.246,1.246,0.0,0.0,0.089
3930176,Germany,18,1.542,1.542,1.0,1.0,0.086
3930176,Switzerland,4,0.28,0.28,1.0,1.0,0.07
3930177,Hungary,14,1.001,1.001,1.0,1.0,0.072
3930177,Scotland,4,0.184,0.184,0.0,0.0,0.046
3930178,Italy,13,0.985,0.985,1.0,1.0,0.076
3930178,Croatia,6,1.483,0.7,1.0,1.0,0.14
3930179,Spain,16,0.952,0.952,1.0,1.0,0.059
3930179,Albania,10,0.503,0.503,0.0,0.0,0.05
3930180,Netherlands,11,1.51,1.51,2.0,2.0,0.137
3930180,Austria,9,1.058,1.058,2.0,2.0,0.118
3930181,England,12,0.756,0.756,0.0,0.0,0.063
3930181,Slovenia,4,0.165,0.165,0.0,0.0,0.041
3930182,Denmark,10,0.552,0.552,0.0,0.0,0.055
3930182,Serbia,5,0.324,0.324,0.0,0.0,0.065
3930183,Slovakia,13,0.845,0.845,1.0,1.0,0.065
3930183,Romania,9,1.122,0.338,1.0,0.0,0.042
3930184,Czech Republic,12,1.41,1.41,1.0,1.0,0.118
3930184,Turkey,18,1.218,1.218,2.0,2.0,0.068
3938637,Netherlands,21,1.313,1.313,2.0,2.0,0.063
3938637,Poland,12,0.909,0.909,1.0,1.0,0.076
3938638,Romania,10,1.121,1.121,3.0,3.0,0.112
3938638,Ukraine,13,0.543,0.543,0.0,0.0,0.042
3938639,Turkey,22,2.403,2.403,3.0,3.0,0.109
3938639,Georgia,14,1.579,1.579,1.0,1.0,0.113
3938640,Ukraine,13,1.732,1.732,2.0,2.0,0.133
3938640,Slovakia,14,0.746,0.746,1.0,1.0,0.053
3938641,Poland,15,1.437,1.437,1.0,1.0,0.096
3938641,Austria,15,1.822,1.038,3.0,2.0,0.074
3938642,Czech Republic,27,2.865,2.865,1.0,1.0,0.106
3938642,Georgia,5,1.18,0.396,1.0,0.0,0.099
3938643,France,19,1.891,1.108,1.0,0.0,0.062
3938643,Poland,10,1.179,0.396,1.0,0.0,0.044
3938644,Portugal,22,2.356,2.356,0.0,0.0,0.107
3938644,Georgia,7,1.345,0.562,2.0,1.0,0.094
3938645,Ukraine,14,0.709,0.709,0.0,0.0,0.051
3938645,Belgium,12,0.634,0.634,0.0,0.0,0.053
3939969,Argentina,19,3.538,3.538,2.0,2.0,0.186
3939969,Canada,10,0.977,0.977,0.0,0.0,0.098
3939970,Chile,11,1.025,1.025,0.0,0.0,0.093
3939970,Peru,7,0.677,0.677,0.0,0.0,0.097
3939971,Mexico,20,1.136,1.136,1.0,1.0,0.057
3939971,Jamaica,13,0.506,0.506,0.0,0.0,0.039
3939972,Venezuela,14,1.585,1.585,2.0,2.0,0.113
3939972,Ecuador,9,0.736,0.736,1.0,1.0,0.082
3939973,Uruguay,20,1.361,1.361,3.0,3.0,0.068
3939973,Panama,10,0.541,0.541,1.0,1.0,0.054
3939974,United States,20,2.405,2.405,2.0,2.0,0.12
3939974,Bolivia,6,0.15,0.15,0.0,0.0,0.025
3939975,Paraguay,11,0.828,0.828,1.0,1.0,0.075
3939975,Colombia,11,0.622,0.622,2.0,2.0,0.057
3939976,Brazil,20,1.621,1.621,0.0,0.0,0.081
3939976,Costa Rica,2,0.037,0.037,0.0,0.0,0.018
3939977,Argentina,22,2.784,2.784,1.0,1.0,0.127
3939977,Chile,3,0.131,0.131,0.0,0.0,0.044
3939978,Canada,5,0.909,0.909,1.0,1.0,0.182
3939978,Peru,9,0.576,0.576,0.0,0.0,0.064
3939979,Mexico,18,2.384,1.601,0.0,0.0,0.094
3939979,Venezuela,10,1.139,0.355,1.0,0.0,0.039
3939980,Ecuador,23,2.332,1.548,2.0,1.0,0.07
3939980,Jamaica,7,0.935,0.935,1.0,1.0,0.134
3939981,United States,6,0.914,0.914,1.0,1.0,0.152
3939981,Panama,13,0.731,0.731,2.0,2.0,0.056
3939982,Uruguay,18,2.321,2.321,5.0,5.0,0.129
3939982,Bolivia,4,0.051,0.051,0.0,0.0,0.013
3939983,Brazil,17,3.748,2.181,4.0,3.0,0.145
3939983,Paraguay,15,0.692,0.692,1.0,1.0,0.046
3939984,Colombia,18,2.902,2.119,3.0,2.0,0.125
3939984,Costa Rica,5,0.165,0.165,0.0,0.0,0.033
3939985,Canada,9,0.699,0.699,0.0,0.0,0.078
3939985,Chile,8,0.454,0.454,0.0,0.0,0.057
3939986,Argentina,12,2.106,1.322,2.0,2.0,0.12
3939986,Peru,7,0.167,0.167,0.0,0.0,0.024
3939987,Venezuela,17,1.714,1.714,3.0,3.0,0.101
3939987,Jamaica,8,0.668,0.668,0.0,0.0,0.083
3939988,Mexico,20,0.938,0.938,0.0,0.0,0.047
3939988,Ecuador,9,0.306,0.306,0.0,0.0,0.034
