match_id,player,team,possessions_with_shot,xg_chain,shots_in_chain,goals_in_chain,avg_xg_per_possession,total_touches_in_chains,minutes_played,xg_chain_per90,team_involvement_pct
3938640,Róbert Boženík,Slovakia,1,0.062,1.0,0.0,0.062,1.0,59.0,0.095,9.48
3857293,Edinson Roberto Cavani Gómez,Uruguay,4,0.144,4.0,0.0,0.036,12.0,136.0,0.095,10.56
3857256,Ruben Vargas,Switzerland,5,0.433,5.0,2.0,0.087,11.0,410.0,0.095,14.84
3857278,Brenden Aaronson,United States,2,0.114,2.0,0.0,0.057,5.0,108.0,0.095,10.1
3939977,Alexis Mac Allister,Argentina,11,1.088,11.0,0.0,0.099,30.0,1034.0,0.095,44.17
3857266,Ousmane Dembélé,France,8,0.615,11.0,0.0,0.077,38.0,584.0,0.095,33.18
3857266,Jules Koundé,France,10,0.977,13.0,2.0,0.098,36.0,930.0,0.095,52.71
3930168,Jamal Musiala,Germany,9,0.676,9.0,2.0,0.075,31.0,639.0,0.095,46.55
3857266,Kylian Mbappé Lottin,France,12,1.166,12.0,2.0,0.097,40.0,1104.0,0.095,62.91
3939969,Alphonso Davies,Canada,6,0.592,8.0,0.0,0.099,12.0,558.0,0.095,76.91
3930175,Kevin De Bruyne,Belgium,14,1.371,15.0,1.0,0.098,31.0,1302.0,0.095,83.95
3939978,Sergio Fernando Peña Flores,Peru,4,0.328,4.0,0.0,0.082,5.0,312.0,0.095,56.9
3857276,Sofyan Amrabat,Morocco,1,0.097,1.0,0.0,0.097,2.0,93.0,0.094,22.75
3857275,Wahbi Khazri,Tunisia,3,0.184,3.0,1.0,0.061,6.0,177.0,0.094,61.67
3857265,Piotr Zieliński,Poland,2,0.181,2.0,0.0,0.091,2.0,174.0,0.094,17.47
3869220,Yassine Bounou,Morocco,2,0.249,2.0,0.0,0.125,3.0,238.0,0.094,6.72
3857279,Aziz Eraltay Behich,Australia,3,0.305,3.0,1.0,0.102,7.0,291.0,0.094,94.34
3941018,Unai Simón Mendibil,Spain,10,0.863,11.0,0.0,0.086,22.0,830.0,0.094,33.75
3869685,Nahuel Molina Lucero,Argentina,5,0.496,5.0,1.0,0.099,7.0,475.0,0.094,8.6
3857295,Miki Yamane,Japan,2,0.119,3.0,0.0,0.059,3.0,114.0,0.094,19.46
3939977,Nahuel Molina Lucero,Argentina,8,0.685,8.0,0.0,0.086,23.0,656.0,0.094,27.81
3869486,Sofiane Boufal,Morocco,5,0.411,5.0,1.0,0.082,13.0,395.0,0.094,42.28
3857255,Marco Asensio Willemsen,Spain,5,0.193,7.0,0.0,0.039,30.0,185.0,0.094,23.37
3942226,Maximilian Mittelstädt,Germany,9,0.63,9.0,1.0,0.07,35.0,603.0,0.094,38.67
3939971,Orbelín Pineda Alvarado,Mexico,10,0.697,10.0,0.0,0.07,21.0,670.0,0.094,61.35
3930171,Yussuf Yurary Poulsen,Denmark,1,0.023,1.0,0.0,0.023,2.0,22.0,0.094,3.14
3857272,Declan Rice,England,2,0.193,2.0,0.0,0.096,8.0,184.0,0.094,43.77
3941020,Bernardo Mota Veiga de Carvalho e Silva,Portugal,9,1.166,11.0,1.0,0.13,21.0,1116.0,0.094,28.99
3857284,Serge Gnabry,Germany,10,0.922,15.0,0.0,0.092,45.0,880.0,0.094,36.88
3942785,Stephen Antunes Eustáquio,Canada,1,0.071,1.0,0.0,0.071,1.0,69.0,0.093,10.48
3938644,Danilo Luís Hélio Pereira,Portugal,9,0.862,9.0,0.0,0.096,38.0,837.0,0.093,37.3
3930161,Alessandro Bastoni,Italy,10,0.962,11.0,2.0,0.096,42.0,930.0,0.093,70.24
3857270,Facundo Pellistri Rebollo,Uruguay,3,0.109,3.0,0.0,0.036,8.0,105.0,0.093,8.96
3930160,Mikel Merino Zazón,Spain,1,0.027,1.0,0.0,0.027,1.0,26.0,0.093,1.72
3857262,Kléper Laveran Lima Ferreira,Portugal,5,0.476,5.0,1.0,0.095,34.0,460.0,0.093,50.8
3939992,Rodrigo Mario Morínigo Acosta,Paraguay,2,0.191,2.0,0.0,0.096,3.0,184.0,0.093,14.09
3857257,Kasper Schmeichel,Denmark,1,0.096,2.0,0.0,0.096,1.0,93.0,0.093,13.75
3938639,Ferdi Erenay Kadıoğlu,Turkey,13,1.233,15.0,1.0,0.095,46.0,1196.0,0.093,52.03
3930181,Kyle Walker,England,6,0.569,6.0,0.0,0.095,16.0,552.0,0.093,77.29
3938639,Solomon Kverkvelia,Georgia,4,0.346,4.0,1.0,0.087,17.0,336.0,0.093,22.74
3939969,Derek Cornelius,Canada,1,0.096,1.0,0.0,0.096,1.0,93.0,0.093,12.47
3930176,Ruben Vargas,Switzerland,1,0.028,1.0,0.0,0.028,2.0,27.0,0.093,10.0
3869552,Raphaël Varane,France,2,0.173,3.0,1.0,0.087,9.0,170.0,0.092,10.41
3939987,Yordan Hernando Osorio Paredes,Venezuela,7,0.654,7.0,1.0,0.093,23.0,637.0,0.092,38.83
3939979,Cristian Sleiker Cásseres Yepes,Venezuela,3,0.156,4.0,0.0,0.052,8.0,153.0,0.092,13.96
3942819,Luke Shaw,England,1,0.051,1.0,0.0,0.051,2.0,50.0,0.092,4.07
3941019,Romelu Lukaku Menama,Belgium,3,0.227,3.0,0.0,0.076,8.0,222.0,0.092,62.5
3938640,Georgiy Sudakov,Ukraine,7,0.64,7.0,1.0,0.091,22.0,623.0,0.092,37.58
3857292,Óscar Esau Duarte Gaitán,Costa Rica,2,0.183,2.0,0.0,0.092,6.0,180.0,0.092,19.56
3869220,Romain Saïss,Morocco,1,0.119,1.0,0.0,0.119,4.0,117.0,0.092,3.21
3869151,Rodrigo Javier De Paul,Argentina,7,0.679,10.0,0.0,0.097,51.0,665.0,0.092,51.18
3857266,Andreas Evald Cornelius,Denmark,1,0.048,1.0,0.0,0.048,3.0,47.0,0.092,5.96
3930160,Daniel Carvajal Ramos,Spain,4,0.384,4.0,1.0,0.096,8.0,376.0,0.092,24.5
3869118,John Stones,England,3,0.231,3.0,1.0,0.077,7.0,225.0,0.092,22.65
3857282,Antonee Robinson,United States,5,0.508,5.0,1.0,0.102,12.0,495.0,0.092,84.32
3869151,Kye Rowles,Australia,4,0.393,4.0,0.0,0.098,9.0,384.0,0.092,92.23
3857287,Moon-Hwan Kim,South Korea,4,0.389,4.0,0.0,0.097,17.0,380.0,0.092,78.91
3930166,Patrik Schick,Czech Republic,1,0.061,1.0,0.0,0.061,2.0,60.0,0.092,28.58
3930167,Berat Djimsiti,Albania,4,0.392,4.0,1.0,0.098,15.0,384.0,0.092,29.87
3869151,Aziz Eraltay Behich,Australia,4,0.393,4.0,0.0,0.098,14.0,384.0,0.092,92.23
3869321,Nicolás Alejandro Tagliafico,Argentina,1,0.042,1.0,0.0,0.042,1.0,41.0,0.092,0.72
3942228,Alexander Domínguez Carabalí,Ecuador,1,0.119,2.0,0.0,0.119,4.0,116.0,0.092,2.67
3942752,Fabián Ruiz Peña,Spain,4,0.38,4.0,1.0,0.095,17.0,372.0,0.092,88.13
3939987,Eduard Alexander Bello Gil,Venezuela,6,0.489,7.0,1.0,0.082,16.0,486.0,0.091,29.04
3939984,Carlos Eccehomo Cuesta Figueroa,Colombia,3,0.272,3.0,1.0,0.091,14.0,270.0,0.091,10.29
3942349,Jules Koundé,France,11,1.363,12.0,1.0,0.124,33.0,1342.0,0.091,27.46
3938643,Ousmane Dembélé,France,10,0.845,11.0,0.0,0.085,26.0,840.0,0.091,45.96
3939975,Víctor Gustavo Velázquez Ramos,Paraguay,5,0.472,5.0,0.0,0.094,7.0,465.0,0.091,57.71
3940983,Robert Andrich,Germany,2,0.128,2.0,0.0,0.064,3.0,126.0,0.091,5.85
3939985,Víctor Alejandro Dávila Zavala,Chile,3,0.225,4.0,0.0,0.075,6.0,222.0,0.091,54.54
3857301,Boulaye Dia,Senegal,4,0.367,4.0,1.0,0.092,9.0,364.0,0.091,40.64
3869152,Bartosz Bereszyński,Poland,4,0.381,6.0,0.0,0.095,30.0,376.0,0.091,27.56
3942852,Giorgian Daniel De Arrascaeta Benedetti,Uruguay,6,0.308,6.0,0.0,0.051,17.0,306.0,0.091,40.82
3857257,Joakim Mæhle,Denmark,5,0.347,5.0,0.0,0.069,20.0,345.0,0.091,49.71
3857268,Stephen Antunes Eustáquio,Canada,14,1.135,14.0,0.0,0.081,49.0,1120.0,0.091,48.47
3939977,Nicolás Alejandro Tagliafico,Argentina,8,0.666,8.0,0.0,0.083,29.0,656.0,0.091,27.04
3930173,Antoine Griezmann,France,7,0.662,7.0,0.0,0.095,18.0,658.0,0.091,54.33
3939977,Nicolás Iván González,Argentina,12,0.866,13.0,0.0,0.072,31.0,852.0,0.091,35.16
3942228,Enzo Fernandez,Argentina,4,0.307,4.0,0.0,0.077,12.0,304.0,0.091,6.51
3869321,Germán Alejandro Pezzella,Argentina,2,0.087,2.0,0.0,0.043,5.0,86.0,0.091,1.49
3930175,Wout Faes,Belgium,6,0.521,6.0,0.0,0.087,21.0,516.0,0.091,31.9
3857294,Cody Mathès Gakpo,Netherlands,3,0.248,3.0,1.0,0.083,6.0,246.0,0.091,18.46
3857284,Thomas Müller,Germany,12,0.805,14.0,0.0,0.067,32.0,792.0,0.091,32.2
3939972,Nahuel Adolfo Ferraresi Hernández,Venezuela,5,0.477,6.0,1.0,0.095,16.0,470.0,0.091,38.57
3930167,Ivan Perišić,Croatia,8,0.664,9.0,0.0,0.083,20.0,656.0,0.091,37.37
3869420,Antony Matheus dos Santos,Brazil,5,0.325,6.0,0.0,0.065,15.0,325.0,0.09,6.63
3938638,Andriy Yarmolenko,Ukraine,3,0.093,3.0,0.0,0.031,9.0,93.0,0.09,17.11
3869420,Carlos Henrique Casimiro,Brazil,13,1.579,14.0,1.0,0.121,29.0,1586.0,0.09,32.22
3940878,Lorenzo Pellegrini,Italy,2,0.03,2.0,0.0,0.015,12.0,30.0,0.09,4.88
3869151,Lisandro Martínez,Argentina,2,0.078,2.0,0.0,0.039,4.0,78.0,0.09,5.88
3938641,Piotr Zieliński,Poland,13,1.113,14.0,1.0,0.086,32.0,1118.0,0.09,90.25
3869118,Pape Gueye,Senegal,4,0.187,4.0,0.0,0.047,12.0,188.0,0.09,20.34
3857299,Tariq Lamptey,Ghana,1,0.075,1.0,0.0,0.075,6.0,75.0,0.09,6.98
3930184,Kenan Yildiz,Turkey,8,0.599,13.0,1.0,0.075,21.0,600.0,0.09,62.87
3939971,Damion Lowe,Jamaica,2,0.046,2.0,0.0,0.023,2.0,46.0,0.09,9.09
3938642,Luka Lochoshvili,Georgia,1,0.024,1.0,0.0,0.024,1.0,24.0,0.09,2.03
3930184,Antonín Barák,Czech Republic,2,0.038,2.0,0.0,0.019,3.0,38.0,0.09,3.13
3939976,Rodrygo Silva de Goes,Brazil,14,1.285,15.0,0.0,0.092,35.0,1288.0,0.09,89.81
3939971,Roberto Carlos Alvarado Hernández,Mexico,1,0.014,1.0,0.0,0.014,2.0,14.0,0.09,1.23
3857293,José María Giménez de Vargas,Uruguay,2,0.2,2.0,1.0,0.1,3.0,200.0,0.09,14.67
3938639,Orkun Kökçü,Turkey,10,0.949,12.0,1.0,0.095,38.0,950.0,0.09,40.05
3939971,Erick Daniel Sánchez Ocegueda,Mexico,1,0.014,1.0,0.0,0.014,6.0,14.0,0.09,1.23
3930164,Leandro Trossard,Belgium,5,0.36,5.0,0.0,0.072,14.0,360.0,0.09,22.71
3869254,Raphaël Adelino José Guerreiro,Portugal,8,0.724,8.0,3.0,0.091,28.0,728.0,0.09,31.7
3942229,Cristian Sleiker Cásseres Yepes,Venezuela,4,0.228,4.0,0.0,0.057,7.0,228.0,0.09,4.06
3930168,Attila Fiola,Hungary,1,0.086,2.0,0.0,0.086,1.0,86.0,0.09,7.16
3942349,João Pedro Cavaco Cancelo,Portugal,3,0.21,4.0,0.0,0.07,7.0,210.0,0.09,4.83
