match_id,team,counter_attacks,avg_distance_gained,avg_time_elapsed,avg_speed_units_per_sec
3930163,Serbia,19,12.6,5.16,2.8
3930163,England,24,12.5,5.18,2.59
3930164,Slovakia,21,11.46,4.42,2.92
3930164,Belgium,23,14.32,5.0,2.9
3930165,France,29,15.07,4.93,3.03
3930165,Austria,24,13.95,4.7,2.93
3930166,Czech Republic,27,16.6,5.05,3.72
3930166,Portugal,28,14.52,4.71,3.22
3930167,Albania,25,15.12,5.0,3.43
3930167,Croatia,40,14.64,5.08,3.37
3930168,Hungary,22,12.84,4.78,2.83
3930168,Germany,29,12.91,4.85,2.79
3930169,Scotland,17,11.77,5.35,2.91
3930169,Switzerland,20,6.57,4.03,2.62
3930170,Serbia,24,16.65,5.26,3.34
3930170,Slovenia,23,15.22,4.85,3.16
3930171,England,22,15.02,4.86,4.31
3930171,Denmark,22,11.78,5.24,2.53
3930172,Spain,27,15.01,5.06,3.0
3930172,Italy,21,9.45,4.07,2.96
3930173,Netherlands,15,14.62,4.83,3.27
3930173,France,20,15.19,4.92,3.21
3930174,Portugal,31,17.3,4.56,3.61
3930174,Turkey,24,10.45,4.57,2.82
3930175,Belgium,23,17.54,5.07,3.69
3930175,Romania,17,15.03,5.17,3.28
3930176,Germany,31,15.58,4.59,3.31
3930176,Switzerland,24,13.34,4.73,2.97
3930177,Hungary,16,18.02,5.38,3.2
3930177,Scotland,17,13.9,4.82,2.97
3930178,Croatia,25,11.31,4.75,2.54
3930178,Italy,25,9.77,4.67,2.27
3930179,Spain,27,14.99,4.5,3.49
3930179,Albania,25,15.69,4.46,3.27
3930180,Netherlands,21,18.0,5.3,3.24
3930180,Austria,26,12.31,4.24,3.22
3930181,Slovenia,20,13.7,4.1,3.45
3930181,England,24,8.0,5.06,1.9
3930182,Denmark,25,13.45,4.81,2.86
3930182,Serbia,18,12.96,5.0,2.67
3930183,Slovakia,20,11.72,5.07,2.96
3930183,Romania,27,12.41,4.91,2.77
3930184,Czech Republic,26,20.53,4.69,4.25
3930184,Turkey,17,12.82,4.51,3.18
3938637,Poland,21,16.58,4.75,3.49
3938637,Netherlands,19,13.12,5.1,2.78
3938638,Romania,23,12.69,4.64,3.06
3938638,Ukraine,27,12.78,4.0,2.97
3938639,Georgia,26,16.26,4.68,3.67
3938639,Turkey,24,13.76,4.7,3.14
3938640,Ukraine,20,16.49,5.05,3.34
3938640,Slovakia,18,17.46,5.41,3.18
3938641,Austria,30,14.87,4.49,3.41
3938641,Poland,23,13.41,4.57,3.06
3938642,Georgia,29,18.1,4.97,3.61
3938642,Czech Republic,24,15.02,5.34,2.99
3938643,France,19,16.25,4.35,4.17
3938643,Poland,24,13.3,4.6,3.03
3938644,Georgia,19,18.42,4.6,4.62
3938644,Portugal,37,17.22,5.37,3.17
3938645,Belgium,22,16.1,5.36,3.2
3938645,Ukraine,16,10.42,4.74,2.35
