match_id,team,buildup_possessions,total_xg_from_buildup,total_touches_in_buildup,avg_xg_per_buildup_possession,avg_touches_per_buildup_possession
3930165,Austria,18,3.438,57.0,0.191,3.17
3930165,France,34,6.454,115.0,0.19,3.38
3930166,Czech Republic,11,1.199,27.0,0.109,2.45
3930166,Portugal,77,9.736,327.0,0.126,4.25
3930167,Albania,45,4.745,125.0,0.105,2.78
3930167,Croatia,74,7.034000000000001,229.0,0.095,3.09
3930168,Germany,76,7.141,329.0,0.094,4.33
3930168,Hungary,24,3.729,47.0,0.155,1.96
3930169,Scotland,20,1.934,105.0,0.097,5.25
3930169,Switzerland,36,2.759,89.0,0.077,2.47
3930170,Serbia,36,5.577,140.0,0.155,3.89
3930170,Slovenia,26,7.455,240.0,0.287,9.23
3930171,Denmark,56,1.886,213.0,0.034,3.8
3930171,England,54,8.2,220.0,0.152,4.07
3930172,Italy,6,0.17200000000000001,11.0,0.029,1.83
3930172,Spain,91,7.468,257.0,0.082,2.82
3930173,France,59,6.644,259.0,0.113,4.39
3930173,Netherlands,30,4.167,116.0,0.139,3.87
3930174,Portugal,58,7.827,147.0,0.135,2.53
3930174,Turkey,29,3.521,68.0,0.121,2.34
3930175,Belgium,48,3.975,130.0,0.083,2.71
3930175,Romania,53,5.201,112.0,0.098,2.11
3930176,Germany,63,5.158,213.0,0.082,3.38
3930176,Switzerland,5,0.329,11.0,0.066,2.2
3930177,Hungary,29,1.989,69.0,0.069,2.38
3930177,Scotland,16,0.615,38.0,0.038,2.38
3930178,Croatia,21,4.099,156.0,0.195,7.43
3930178,Italy,50,3.052,160.0,0.061,3.2
3930179,Albania,26,0.987,49.0,0.038,1.88
3930179,Spain,53,3.343,148.0,0.063,2.79
3930180,Austria,10,2.16,21.0,0.216,2.1
3930180,Netherlands,32,5.556,61.0,0.174,1.91
3930181,England,43,4.023,123.0,0.094,2.86
3930181,Slovenia,17,0.764,48.0,0.045,2.82
3930182,Denmark,44,3.171,209.0,0.072,4.75
3930182,Serbia,25,1.592,57.0,0.064,2.28
3930183,Romania,15,1.169,70.0,0.078,4.67
3930183,Slovakia,36,3.577,120.0,0.099,3.33
3930184,Czech Republic,27,3.7640000000000002,67.0,0.139,2.48
3930184,Turkey,53,4.899,265.0,0.092,5.0
3938637,Netherlands,73,6.011,283.0,0.082,3.88
3938637,Poland,27,2.4339999999999997,101.0,0.09,3.74
3938638,Romania,16,1.585,56.0,0.099,3.5
3938638,Ukraine,51,1.758,170.0,0.034,3.33
3938639,Georgia,59,8.333,192.0,0.141,3.25
3938639,Turkey,66,6.5489999999999995,319.0,0.099,4.83
3938640,Slovakia,44,3.049,157.0,0.069,3.57
3938640,Ukraine,53,7.725,194.0,0.146,3.66
3938641,Austria,42,3.597,121.0,0.086,2.88
3938641,Poland,51,5.665,134.0,0.111,2.63
3938642,Czech Republic,65,6.318,244.0,0.097,3.75
3938642,Georgia,14,0.517,66.0,0.037,4.71
3938643,France,63,4.134,221.0,0.066,3.51
3938643,Poland,23,1.099,69.0,0.048,3.0
3938644,Georgia,15,0.628,49.0,0.042,3.27
3938644,Portugal,81,9.803,306.0,0.121,3.78
3938645,Belgium,29,2.302,141.0,0.079,4.86
3938645,Ukraine,43,1.889,118.0,0.044,2.74
3939969,Argentina,43,7.7,143.0,0.179,3.33
3939969,Canada,19,3.73,58.0,0.196,3.05
3939970,Chile,30,5.79,100.0,0.193,3.33
3939970,Peru,11,1.1680000000000001,14.0,0.106,1.27
3939971,Jamaica,39,1.173,91.0,0.03,2.33
3939971,Mexico,70,4.326,174.0,0.062,2.49
3939972,Ecuador,12,0.859,18.0,0.072,1.5
3939972,Venezuela,32,4.511,136.0,0.141,4.25
3939973,Panama,28,1.252,64.0,0.045,2.29
3939973,Uruguay,44,5.177,158.0,0.118,3.59
3939974,Bolivia,17,0.46199999999999997,49.0,0.027,2.88
3939974,United States,68,13.09,187.0,0.192,2.75
3939975,Colombia,37,1.835,103.0,0.05,2.78
3939975,Paraguay,18,1.8599999999999999,26.0,0.103,1.44
3939976,Brazil,97,9.066,397.0,0.093,4.09
3939976,Costa Rica,11,0.214,22.0,0.019,2.0
3939977,Argentina,66,5.57,204.0,0.084,3.09
3939977,Chile,11,0.587,23.0,0.053,2.09
3939978,Canada,13,2.258,26.0,0.174,2.0
3939978,Peru,15,1.714,26.0,0.114,1.73
3939979,Mexico,53,4.197,188.0,0.079,3.55
3939979,Venezuela,18,0.9239999999999999,50.0,0.051,2.78
3939980,Ecuador,50,2.619,116.0,0.052,2.32
3939980,Jamaica,10,1.182,19.0,0.118,1.9
3939981,Panama,53,3.6550000000000002,167.0,0.069,3.15
3939981,United States,5,0.65,9.0,0.13,1.8
3939982,Bolivia,2,0.024,4.0,0.012,2.0
3939982,Uruguay,63,6.719,227.0,0.107,3.6
3939983,Brazil,52,13.489,242.0,0.259,4.65
3939983,Paraguay,50,2.452,154.0,0.049,3.08
3939984,Colombia,36,3.39,123.0,0.094,3.42
3939984,Costa Rica,7,0.20500000000000002,8.0,0.029,1.14
3939985,Canada,28,2.936,99.0,0.105,3.54
3939985,Chile,6,0.253,11.0,0.042,1.83
3939986,Argentina,36,6.227,125.0,0.173,3.47
3939986,Peru,7,0.209,13.0,0.03,1.86
3939987,Jamaica,23,4.2540000000000004,112.0,0.185,4.87
