match_id,team,progressive_passes,progressive_carries,progressive_passes_received,progressive_actions,progressive_carry_pct,progressive_pass_pct
3857301,Senegal,24.0,22.0,24.0,70.0,31.43,34.29
3869117,Netherlands,25.0,31.0,25.0,81.0,38.27,30.86
3869117,United States,42.0,37.0,42.0,121.0,30.58,34.71
3869118,England,25.0,17.0,25.0,67.0,25.37,37.31
3869118,Senegal,16.0,16.0,16.0,48.0,33.33,33.33
3869151,Argentina,24.0,31.0,24.0,79.0,39.24,30.38
3869151,Australia,15.0,6.0,15.0,36.0,16.67,41.67
3869152,France,30.0,28.0,30.0,88.0,31.82,34.09
3869152,Poland,41.0,24.0,41.0,106.0,22.64,38.68
3869219,Croatia,41.0,24.0,41.0,106.0,22.64,38.68
3869219,Japan,32.0,29.0,32.0,93.0,31.18,34.41
3869220,Morocco,13.0,11.0,13.0,37.0,29.73,35.14
3869220,Spain,66.0,36.0,66.0,168.0,21.43,39.29
3869253,Brazil,26.0,22.0,26.0,74.0,29.73,35.14
3869253,South Korea,20.0,20.0,20.0,60.0,33.33,33.33
3869254,Portugal,19.0,15.0,19.0,53.0,28.3,35.85
3869254,Switzerland,18.0,12.0,18.0,48.0,25.0,37.5
3869321,Argentina,30.0,20.0,30.0,80.0,25.0,37.5
3869321,Netherlands,29.0,15.0,29.0,73.0,20.55,39.73
3869354,England,23.0,22.0,23.0,68.0,32.35,33.82
3869354,France,35.0,26.0,35.0,96.0,27.08,36.46
3869420,Brazil,43.0,34.0,43.0,120.0,28.33,35.83
3869420,Croatia,30.0,24.0,30.0,84.0,28.57,35.71
3869486,Morocco,10.0,11.0,10.0,31.0,35.48,32.26
3869486,Portugal,29.0,18.0,29.0,76.0,23.68,38.16
3869519,Argentina,19.0,26.0,19.0,64.0,40.62,29.69
3869519,Croatia,25.0,24.0,25.0,74.0,32.43,33.78
3869552,France,18.0,24.0,18.0,60.0,40.0,30.0
3869552,Morocco,15.0,20.0,15.0,50.0,40.0,30.0
3869684,Croatia,29.0,24.0,29.0,82.0,29.27,35.37
3869684,Morocco,20.0,23.0,20.0,63.0,36.51,31.75
3869685,Argentina,43.0,19.0,43.0,105.0,18.1,40.95
3869685,France,23.0,20.0,23.0,66.0,30.3,34.85
