player,team,matches,shots,xg,goals,goals_minus_xg
Breel-Donald Embolo,Switzerland,6,14,3.96,4.0,0.04
Manuel Ugarte Ribeiro,Uruguay,4,5,0.96,1.0,0.04
Youssouf Fofana,France,5,6,0.97,1.0,0.03
Ruben Vargas,Switzerland,6,8,0.99,1.0,0.01
Christian Dannemann Eriksen,Denmark,7,16,0.99,1.0,0.01
Adrien Rabiot,France,7,12,0.99,1.0,0.01
Jules Koundé,France,5,6,1.02,1.0,-0.02
Dušan Vlahović,Serbia,4,9,1.03,1.0,-0.03
Ismael Koné,Canada,3,7,2.03,2.0,-0.03
Kevin De Bruyne,Belgium,7,18,1.04,1.0,-0.04
Darwin Gabriel Núñez Ribeiro,Uruguay,9,24,2.08,2.0,-0.08
Ahmad Nourollahi,Iran,2,5,0.08,0.0,-0.08
Ángel Fabián Di María Hernández,Argentina,7,13,1.09,1.0,-0.09
Luis Alberto Suárez Díaz,Uruguay,5,8,2.09,2.0,-0.09
Denis Mihai Drăguş,Romania,3,5,1.1,1.0,-0.1
Fabian Lukas Schär,Switzerland,5,8,1.11,1.0,-0.11
James David Rodríguez Rubio,Colombia,5,8,1.11,1.0,-0.11
Kang-In Lee,South Korea,3,5,0.12,0.0,-0.12
Neymar da Silva Santos Junior,Brazil,3,12,2.13,2.0,-0.13
Antony Matheus dos Santos,Brazil,4,6,0.15,0.0,-0.15
Maximilian Mittelstädt,Germany,3,5,0.15,0.0,-0.15
Wataru Endo,Japan,2,6,0.18,0.0,-0.18
Pierre Kunde Malong,Cameroon,2,5,0.19,0.0,-0.19
Gabriel Teodoro Martinelli Silva,Brazil,2,5,1.19,1.0,-0.19
Patrik Schick,Czech Republic,1,7,1.19,1.0,-0.19
Ladislav Krejčí,Czech Republic,2,5,0.2,0.0,-0.2
Nikola Vlašić,Croatia,5,7,2.2,2.0,-0.2
In-Beom Hwang,South Korea,4,6,0.2,0.0,-0.2
Florian Grillitsch,Austria,2,5,0.2,0.0,-0.2
Richie Laryea,Canada,4,6,0.2,0.0,-0.2
Jhon Adolfo Arias Andrade,Colombia,5,7,0.21,0.0,-0.21
Dominik Szoboszlai,Hungary,2,6,0.22,0.0,-0.22
Diego Nicolás De La Cruz Arcosa,Uruguay,5,6,0.22,0.0,-0.22
Pedro Guilherme Abreu dos Santos,Brazil,2,5,1.22,1.0,-0.22
João Maria Lobo Alves Palhinha Gonçalves,Portugal,3,6,0.23,0.0,-0.23
Mario Pašalić,Croatia,3,7,1.23,1.0,-0.23
Hirving Rodrigo Lozano Bahena,Mexico,3,6,0.24,0.0,-0.24
Bruno Petković,Croatia,3,5,1.24,1.0,-0.24
N'Golo Kanté,France,3,5,0.24,0.0,-0.24
Azzedine Ounahi,Morocco,3,6,0.24,0.0,-0.24
Dan Ndoye,Switzerland,5,14,1.24,1.0,-0.24
Johan Felipe Vásquez Ibarra,Mexico,2,5,0.25,0.0,-0.25
Federico Chiesa,Italy,3,8,0.25,0.0,-0.25
Pierre-Emile Højbjerg,Denmark,5,9,0.25,0.0,-0.25
Muhammed Kerem Aktürkoğlu,Turkey,3,6,1.25,1.0,-0.25
Sergino Dest,United States,4,6,0.25,0.0,-0.25
