market_id,question,slug,event_slug,category,volume,active,closed,created_at,end_date,year,found_teams,found_teams_slug,all_found_teams,num_teams_found,found_players_question,found_players_slug,all_found_players,num_players_found,market_context,tournament_v2,tournament_final,market_type
503276,Will Xavi Simons be Player of the Tournament for Euro 2024?,will-xavi-simons-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,12788.49,True,True,2024-07-08 16:26:03,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Xavi Simons', 'Xavi Simons']",[],['Xavi Simons'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
503216,Copa America: Venezuela vs. Canada - Who will advance? ,copa-america-venezuela-vs-canada-who-will-advance,copa-america-venezuela-vs-canada-who-will-advance,,10307.7,True,True,2024-07-05 15:40:03,2024-07-05 12:00:00,2024.0,"['Canada', 'Venezuela']","['Canada', 'Venezuela']","['Canada', 'Venezuela']",2,[],[],[],0,international,Copa America 2024,Copa America 2024,match_winner
503217,Copa America: Colombia vs. Panama - Who will advance? ,copa-america-colombia-vs-panama-who-will-advance,copa-america-colombia-vs-panama-who-will-advance,,6311.98,True,True,2024-07-05 15:42:30,2024-07-06 12:00:00,2024.0,"['Colombia', 'Panama']","['Colombia', 'Panama']","['Colombia', 'Panama']",2,[],[],[],0,international,Copa America 2024,Copa America 2024,match_winner
503218,Copa America: Uruguay vs. Brazil - Who will advance? ,copa-america-uruguay-vs-brazil-who-will-advance,copa-america-uruguay-vs-brazil-who-will-advance,,37629.85,True,True,2024-07-05 15:44:13,2024-07-06 12:00:00,2024.0,"['Brazil', 'Uruguay']","['Brazil', 'Uruguay']","['Brazil', 'Uruguay']",2,[],[],[],0,international,Copa America 2024,Copa America 2024,match_winner
503424,Messi scores in Copa America Finals?,messi-scores-in-copa-america-finals,messi-scores-in-copa-america-finals,,5718.28,True,True,2024-07-12 18:45:32,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,Copa America 2024,Copa America 2024,no_teams
254527,Will Bayern Munich win the Bundesliga 2023-24?,will-bayern-munich-win-the-bundesliga-2023-24,will-bayern-munich-win-the-bundesliga-2023-24,,11958.58,True,True,2024-02-18 20:22:01,2024-12-31 12:00:00,2024.0,['Bayern Munich'],['Bayern Munich'],['Bayern Munich'],1,[],[],[],0,club,1. Bundesliga,1. Bundesliga,tournament_future
502548,Euro 2024: Favorite fails to advance beyond group stage?,euro-2024-will-a-favorite-fail-to-advance-beyond-group-stage,euro-2024-will-a-favorite-fail-to-advance-beyond-group-stage,,14835.08,True,True,2024-06-17 19:28:26,2024-06-26 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,no_teams
502554,Will Kai Havertz be Euro 2024 top scorer?,will-kai-havertz-be-euro-2024-top-scorer,euro-2024-top-scorer,,23338.25,True,True,2024-06-17 20:37:29,2024-07-14 12:00:00,2024.0,[],[],[],0,['Kai Havertz'],[],['Kai Havertz'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502555,Will Harry Kane be Euro 2024 top scorer?,will-harry-kane-be-euro-2024-top-scorer,euro-2024-top-scorer,,27115.58,True,True,2024-06-17 20:39:28,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Harry Kane', 'Harry Kane']",[],['Harry Kane'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502556,Will Kylian Mbappe be Euro 2024 top scorer?,will-kylian-mbappe-be-euro-2024-top-scorer,euro-2024-top-scorer,,25583.15,True,True,2024-06-17 20:40:44,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502557,Will Florian Wirtz be Euro 2024 top scorer?,will-florian-wirtz-be-euro-2024-top-scorer,euro-2024-top-scorer,,7343.67,True,True,2024-06-17 20:50:00,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Florian Wirtz', 'Florian Wirtz']",[],['Florian Wirtz'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502558,Will Cristiano Ronaldo be Euro 2024 top scorer?,will-cristiano-ronaldo-be-euro-2024-top-scorer,euro-2024-top-scorer,,21723.15,True,True,2024-06-17 20:51:07,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502559,Will Romelu Lukaku be Euro 2024 top scorer?,will-romelu-lukaku-be-euro-2024-top-scorer,euro-2024-top-scorer,,8257.9,True,True,2024-06-17 20:54:43,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502561,Will Jude Bellingham be Euro 2024 top scorer?,will-jude-bellingham-be-euro-2024-top-scorer,euro-2024-top-scorer,,69055.9,True,True,2024-06-17 20:58:32,2024-07-14 12:00:00,2024.0,[],[],[],0,['Jude Bellingham'],[],['Jude Bellingham'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502562,Will Alvaro Morata be Euro 2024 top scorer?,will-alvaro-morata-be-euro-2024-top-scorer,euro-2024-top-scorer,,14292.53,True,True,2024-06-17 21:01:14,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502563,Will another player be Euro 2024 top scorer?,will-another-player-be-euro-2024-top-scorer,euro-2024-top-scorer,,17512.18,True,True,2024-06-17 21:03:21,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502565,Will Cody Gakpo be Euro 2024 top scorer?,will-cody-gakpo-be-euro-2024-top-scorer,euro-2024-top-scorer,,166788.6,True,True,2024-06-17 21:56:18,2024-07-14 12:00:00,2024.0,[],[],[],0,['Cody Mathès Gakpo'],['Cody Mathès Gakpo'],['Cody Mathès Gakpo'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502566,Will Jamal Musiala be Euro 2024 top scorer?,will-jamal-musiala-be-euro-2024-top-scorer,euro-2024-top-scorer,,41794.92,True,True,2024-06-17 22:23:24,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Jamal Musiala', 'Jamal Musiala']",[],['Jamal Musiala'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502567,Will Phil Foden be Euro 2024 top scorer?,will-phil-foden-be-euro-2024-top-scorer,euro-2024-top-scorer,,17841.04,True,True,2024-06-17 22:24:37,2024-07-14 12:00:00,2024.0,[],[],[],0,['Phil Foden'],[],['Phil Foden'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502568,Will Antoine Griezmann be Euro 2024 top scorer?,will-antoine-griezmann-be-euro-2024-top-scorer,euro-2024-top-scorer,,16636.4,True,True,2024-06-17 22:25:44,2024-07-14 12:00:00,2024.0,[],[],[],0,['Antoine Griezmann'],[],['Antoine Griezmann'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502858,Will Toni Kroos be Player of the Tournament for Euro 2024?,will-toni-kroos-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,27898.95,True,True,2024-06-25 15:48:05,2024-07-14 12:00:00,2024.0,[],[],[],0,['Toni Kroos'],[],['Toni Kroos'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502859,Will Phil Foden be Player of the Tournament for Euro 2024?,will-phil-foden-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,5366.28,True,True,2024-06-25 15:53:38,2024-07-14 12:00:00,2024.0,[],[],[],0,['Phil Foden'],[],['Phil Foden'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502860,Will Jude Bellingham be Player of the Tournament for Euro 2024?,will-jude-bellingham-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,8784.48,True,True,2024-06-25 15:56:38,2024-07-14 12:00:00,2024.0,[],[],[],0,['Jude Bellingham'],[],['Jude Bellingham'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502861,Will Kylian Mbappe be Player of the Tournament for Euro 2024?,will-kylian-mbappe-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,17651.17,True,True,2024-06-25 15:57:40,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502862,Will N'Golo Kante be Player of the Tournament for Euro 2024?,will-ngolo-kante-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,9584.55,True,True,2024-06-25 15:58:23,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502863,Will Lamine Yamal be Player of the Tournament for Euro 2024?,will-lamine-yamal-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,21271.2,True,True,2024-06-25 15:59:22,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502864,Will Cristiano Ronaldo be Player of the Tournament for Euro 2024?,will-cristiano-ronaldo-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,17494.79,True,True,2024-06-25 16:01:05,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502865,Will Cody Gakpo be Player of the Tournament for Euro 2024?,will-cody-gakpo-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,10424.48,True,True,2024-06-25 16:01:51,2024-07-14 12:00:00,2024.0,[],[],[],0,['Cody Mathès Gakpo'],['Cody Mathès Gakpo'],['Cody Mathès Gakpo'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502866,Will Harry Kane be Player of the Tournament for Euro 2024?,will-harry-kane-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,7065.29,True,True,2024-06-25 16:02:40,2024-07-14 12:00:00,2024.0,[],[],[],0,"['Harry Kane', 'Harry Kane']",[],['Harry Kane'],1,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502867,Will Rodri be Player of the Tournament for Euro 2024?,will-rodri-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,5360.33,True,True,2024-06-25 16:03:23,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
502868,Will another player be Player of the Tournament for Euro 2024?,will-another-player-be-player-of-the-tournament-for-euro-2024,euro-2024-player-of-the-tournament,,3139.35,True,True,2024-06-25 16:04:30,2024-07-14 12:00:00,2024.0,[],[],[],0,[],[],[],0,international,UEFA Euro 2024,UEFA Euro 2024,player_prop
503421,Copa America Finals: Argentina vs. Colombia,copa-america-finals-argentina-vs-colombia,copa-america-finals-argentina-vs-colombia,,89773.74,True,True,2024-07-12 17:53:41,2024-07-14 12:00:00,2024.0,"['Argentina', 'Colombia']","['Argentina', 'Colombia']","['Argentina', 'Colombia']",2,[],[],[],0,international,Copa America 2024,Copa America 2024,match_winner
