match_id,team,zone,defensive_actions
7493,OL Reign,Middle Third,13
7493,Washington Spirit,Attacking Third,6
7493,Washington Spirit,Defensive Third,39
7493,Washington Spirit,Middle Third,15
7494,Houston Dash,Attacking Third,2
7494,Houston Dash,Defensive Third,26
7494,Houston Dash,Middle Third,8
7494,Utah Royals,Attacking Third,7
7494,Utah Royals,Defensive Third,32
7494,Utah Royals,Middle Third,13
7496,Utah Royals,Attacking Third,4
7496,Utah Royals,Defensive Third,15
7496,Utah Royals,Middle Third,6
7496,Washington Spirit,Attacking Third,3
7496,Washington Spirit,Defensive Third,32
7496,Washington Spirit,Middle Third,6
7497,Chicago Red Stars,Attacking Third,9
7497,Chicago Red Stars,Defensive Third,30
7497,Chicago Red Stars,Middle Third,9
7497,North Carolina Courage,Attacking Third,9
7497,North Carolina Courage,Defensive Third,41
7497,North Carolina Courage,Middle Third,7
7500,Orlando Pride,Attacking Third,7
7500,Orlando Pride,Defensive Third,31
7500,Orlando Pride,Middle Third,4
7500,Portland Thorns,Attacking Third,4
7500,Portland Thorns,Defensive Third,35
7500,Portland Thorns,Middle Third,9
7519,North Carolina Courage,Attacking Third,11
7519,North Carolina Courage,Defensive Third,39
7519,North Carolina Courage,Middle Third,10
7519,Portland Thorns,Attacking Third,6
7519,Portland Thorns,Defensive Third,26
7519,Portland Thorns,Middle Third,5
7520,Chicago Red Stars,Attacking Third,8
7520,Chicago Red Stars,Defensive Third,28
7520,Chicago Red Stars,Middle Third,12
7520,Washington Spirit,Attacking Third,6
7520,Washington Spirit,Defensive Third,27
7520,Washington Spirit,Middle Third,3
7521,NJ/NY Gotham FC,Attacking Third,6
7521,NJ/NY Gotham FC,Defensive Third,42
7521,NJ/NY Gotham FC,Middle Third,15
7521,Utah Royals,Attacking Third,3
7521,Utah Royals,Defensive Third,41
7521,Utah Royals,Middle Third,9
7522,Houston Dash,Attacking Third,2
7522,Houston Dash,Defensive Third,23
7522,Houston Dash,Middle Third,15
7522,North Carolina Courage,Attacking Third,8
7522,North Carolina Courage,Defensive Third,17
7522,North Carolina Courage,Middle Third,24
7523,OL Reign,Attacking Third,7
7523,OL Reign,Defensive Third,36
7523,OL Reign,Middle Third,16
7523,Orlando Pride,Attacking Third,8
7523,Orlando Pride,Defensive Third,47
7523,Orlando Pride,Middle Third,16
7524,Houston Dash,Attacking Third,2
7524,Houston Dash,Defensive Third,50
7524,Houston Dash,Middle Third,13
7524,Orlando Pride,Attacking Third,9
7524,Orlando Pride,Defensive Third,16
7524,Orlando Pride,Middle Third,10
7525,Russia,Attacking Third,4
7525,Russia,Defensive Third,13
